id,title,artist,count,year,duration,loudness,tempo,time_signature,key,danceability,energy,valence,explicit
4ZJ4vzLQekI0WntDbanNC7,Pink Skies,Zach Bryan,21,2024,194.92,-6.909,84.999,4.0,0.0,0.525,0.488,0.253,False
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Taylor Swift,21,2024,178.42667,-5.707,169.994,4.0,9.0,0.552,0.702,0.564,False
3qhlB30KknSejmIvZZLjOD,End Of Beginning,Djo,21,2024,159.24557,-7.643,159.982,4.0,2.0,0.689,0.454,0.912,False
2MjXWroB9wlTG2kqv3avfS,Get It Sexyy,Sexyy Red,20,2024,148.5517,-5.63,145.031,4.0,5.0,0.811,0.64,0.527,True
4xdBrk0nFZaP54vvZj0yx7,Hot To Go!,Chappell Roan,20,2024,184.8411,-4.981,139.982,4.0,6.0,0.742,0.757,0.957,False
6rVuwfysYo1Bp4Hoc4YuE0,Bulletproof,Nate Smith,20,2024,183.91995,-5.177,79.912,4.0,7.0,0.444,0.727,0.519,False
4FgvZaxSi4fwCLEc5tFV00,Wine Into Whiskey,Tucker Wetmore,20,2024,166.34666,-5.227,149.983,4.0,11.0,0.714,0.697,0.32,False
1C84d9abZVKWHT2YYpoean,Si No Quieres No,Luis R Conriquez x Neton Vega,20,2024,147.01102,-6.372,100.123,1.0,4.0,0.786,0.786,0.611,False
57wp7VFnV8X0pSVnYArGeJ,Whatever She Wants,Bryson Tiller,20,2024,161.34209,-6.871,96.02,4.0,9.0,0.803,0.512,0.435,True
2OzhQlSqBEmt7hmkYxfT6m,Fortnight,Taylor Swift Featuring Post Malone,20,2024,228.96548,-10.976,192.004,4.0,11.0,0.504,0.386,0.281,False
28drn6tQo95MRvO0jQEo5C,Type Shit,"Future, Metro Boomin, Travis Scott & Playboi Carti",20,2024,228.26666,-5.679,144.941,4.0,2.0,0.64,0.552,0.112,True
7BRD7x5pt8Lqa1eGYC4dzj,Chihiro,Billie Eilish,20,2024,303.44,-12.531,110.015,4.0,7.0,0.7,0.425,0.521,False
4Na2HfNSr58chvfX69fy36,One Of Wun,Gunna,20,2024,144.0,-4.589,139.943,4.0,10.0,0.915,0.453,0.287,True
2x2olWuWXpqjoeE4bO1NFS,Never Lose Me,Flo Milli,20,2024,125.90163,-7.858,121.971,4.0,1.0,0.781,0.569,0.0739,True
629DixmZGHc7ILtEntuiWE,Lunch,Billie Eilish,20,2024,179.58667,-7.981,124.987,4.0,11.0,0.893,0.4,0.945,False
48X5k2vce5rXckgDAnXMsa,Dirt Cheap,Cody Johnson,20,2024,239.34666,-5.891,120.065,4.0,1.0,0.62,0.507,0.266,False
0Lmbke3KNVFXtoH2mMSHCw,The Boy Is Mine,Ariana Grande,20,2024,173.63977,-5.854,97.998,4.0,7.0,0.795,0.63,0.447,True
5NU6kBZORKaoqS09mOqgXs,23,Chayce Beckham,20,2024,228.14499,-7.361,87.972,4.0,0.0,0.628,0.584,0.38,False
3dj4wgM3cPeuLwMNHDuBon,The Door,Teddy Swims,20,2024,212.64853,-5.483,127.922,4.0,8.0,0.731,0.861,0.759,False
3QS9ZCtoSCJhmaJ7QNXSAS,Act II: Date @ 8,4Batz,20,2024,231.33868,-9.304,102.469,4.0,0.0,0.55,0.545,0.412,True
7wLShogStyDeZvL0a6daN5,Texas Hold 'Em,Beyonce,20,2024,233.45663,-6.549,110.012,4.0,2.0,0.727,0.711,0.375,True
47Xj8eIAp7hYOOqArmkqZE,Spin You Around (1/24),Morgan Wallen,20,2024,209.42722,-6.06,141.952,4.0,4.0,0.622,0.444,0.603,False
