,id,title,artist,count,year,duration,loudness,tempo,time_signiture,key
49,28drn6tQo95MRvO0jQEo5C,Type Shit,"Future, Metro Boomin, Travis Scott & Playboi Carti",20,2024,228.26666,-5.679,144.941,4,2
50,7BRD7x5pt8Lqa1eGYC4dzj,Chihiro,Billie Eilish,20,2024,303.44,-12.531,110.015,4,7
51,4Na2HfNSr58chvfX69fy36,One Of Wun,Gunna,20,2024,144.0,-4.589,139.943,4,10
52,2x2olWuWXpqjoeE4bO1NFS,Never Lose Me,Flo Milli,20,2024,125.90163,-7.858,121.971,4,1
53,629DixmZGHc7ILtEntuiWE,Lunch,Billie Eilish,20,2024,179.58667,-7.981,124.987,4,11
54,48X5k2vce5rXckgDAnXMsa,Dirt Cheap,Cody Johnson,20,2024,239.34666,-5.891,120.065,4,1
55,0Lmbke3KNVFXtoH2mMSHCw,The Boy Is Mine,Ariana Grande,20,2024,173.63977,-5.854,97.998,4,7
56,5NU6kBZORKaoqS09mOqgXs,23,Chayce Beckham,20,2024,228.14499,-7.361,87.972,4,0
57,3dj4wgM3cPeuLwMNHDuBon,The Door,Teddy Swims,20,2024,212.64853,-5.483,127.922,4,8
58,3QS9ZCtoSCJhmaJ7QNXSAS,Act II: Date @ 8,4Batz,20,2024,231.33868,-9.304,102.469,4,0
59,7wLShogStyDeZvL0a6daN5,Texas Hold 'Em,Beyonce,20,2024,233.45663,-6.549,110.012,4,2
60,47Xj8eIAp7hYOOqArmkqZE,Spin You Around (1/24),Morgan Wallen,20,2024,209.42722,-6.06,141.952,4,4
61,2GxrNKugF82CnoRFbQfzPf,I Like The Way You Kiss Me,Artemas,20,2024,142.5146,-4.263,151.647,4,11
62,6bryx7HyB4lVDc0KQXuoJ0,Get In With Me,BossMan Dlow,20,2024,120.79297,-5.553,158.9,4,1
63,52eIcoLUM25zbQupAZYoFh,Redrum,21 Savage,20,2024,270.69763,-8.757,172.09,4,2
64,7FOgcfdz9Nx5V9lCNXdBYv,Red Wine Supernova,Chappell Roan,20,2024,192.721,-4.448,124.041,4,9
65,2ObBVRY8a2lnAkNG62u9eC,Beautiful As You,Thomas Rhett,19,2024,163.89401,-4.41,128.007,4,9
66,4w2GLmK2wnioVnb5CPQeex,360,Charli XCX,19,2024,133.80522,-8.13,120.042,4,0
67,1FhgmMvNlh3nJ1Ldc2eE6H,High Road,Koe Wetzel & Jessie Murph,19,2024,179.41324,-5.046,138.077,4,6
68,4QTlxavdQGUVitxAvQqqkU,Mmhmm,BigXthaPlug,19,2024,119.01574,-8.799,126.003,4,9
69,4OssqCixV2Xsxd43wMIQyS,Carnival,¥$: Kanye West & Ty Dolla $ign,19,2024,264.32434,-5.746,148.144,4,1
