index,rank,title,artist,count,year,id,duration,loudness,tempo,time_signature,key
45,45,Wine Into Whiskey,Tucker Wetmore,20,2024,4FgvZaxSi4fwCLEc5tFV00,166.34666,-5.227,149.983,4.0,11.0
46,46,Si No Quieres No,Luis R Conriquez x Neton Vega,20,2024,1C84d9abZVKWHT2YYpoean,147.01102,-6.372,100.123,1.0,4.0
47,47,Whatever She Wants,Bryson Tiller,20,2024,57wp7VFnV8X0pSVnYArGeJ,161.34209,-6.871,96.02,4.0,9.0
48,48,Fortnight,Taylor Swift Featuring Post Malone,20,2024,2OzhQlSqBEmt7hmkYxfT6m,228.96548,-10.976,192.004,4.0,11.0
49,49,Type Shit,"Future, Metro Boomin, Travis Scott & Playboi Carti",20,2024,28drn6tQo95MRvO0jQEo5C,228.26666,-5.679,144.941,4.0,2.0
50,50,Chihiro,Billie Eilish,20,2024,7BRD7x5pt8Lqa1eGYC4dzj,303.44,-12.531,110.015,4.0,7.0
51,51,One Of Wun,Gunna,20,2024,4Na2HfNSr58chvfX69fy36,144.0,-4.589,139.943,4.0,10.0
52,52,Never Lose Me,Flo Milli,20,2024,2x2olWuWXpqjoeE4bO1NFS,125.90163,-7.858,121.971,4.0,1.0
53,53,Lunch,Billie Eilish,20,2024,629DixmZGHc7ILtEntuiWE,179.58667,-7.981,124.987,4.0,11.0
54,54,Dirt Cheap,Cody Johnson,20,2024,48X5k2vce5rXckgDAnXMsa,239.34666,-5.891,120.065,4.0,1.0
55,55,The Boy Is Mine,Ariana Grande,20,2024,0Lmbke3KNVFXtoH2mMSHCw,173.63977,-5.854,97.998,4.0,7.0
56,56,23,Chayce Beckham,20,2024,5NU6kBZORKaoqS09mOqgXs,228.14499,-7.361,87.972,4.0,0.0
57,57,The Door,Teddy Swims,20,2024,3dj4wgM3cPeuLwMNHDuBon,212.64853,-5.483,127.922,4.0,8.0
58,58,Act II: Date @ 8,4Batz,20,2024,3QS9ZCtoSCJhmaJ7QNXSAS,231.33868,-9.304,102.469,4.0,0.0
59,59,Texas Hold 'Em,Beyonce,20,2024,7wLShogStyDeZvL0a6daN5,233.45663,-6.549,110.012,4.0,2.0
60,60,Spin You Around (1/24),Morgan Wallen,20,2024,47Xj8eIAp7hYOOqArmkqZE,209.42722,-6.06,141.952,4.0,4.0
61,61,I Like The Way You Kiss Me,Artemas,20,2024,2GxrNKugF82CnoRFbQfzPf,142.5146,-4.263,151.647,4.0,11.0
62,62,Get In With Me,BossMan Dlow,20,2024,6bryx7HyB4lVDc0KQXuoJ0,120.79297,-5.553,158.9,4.0,1.0
63,63,Redrum,21 Savage,20,2024,52eIcoLUM25zbQupAZYoFh,270.69763,-8.757,172.09,4.0,2.0
64,64,Red Wine Supernova,Chappell Roan,20,2024,7FOgcfdz9Nx5V9lCNXdBYv,192.721,-4.448,124.041,4.0,9.0
65,65,Beautiful As You,Thomas Rhett,19,2024,2ObBVRY8a2lnAkNG62u9eC,163.89401,-4.41,128.007,4.0,9.0
66,66,360,Charli XCX,19,2024,4w2GLmK2wnioVnb5CPQeex,133.80522,-8.13,120.042,4.0,0.0
67,67,High Road,Koe Wetzel & Jessie Murph,19,2024,1FhgmMvNlh3nJ1Ldc2eE6H,179.41324,-5.046,138.077,4.0,6.0
68,68,Mmhmm,BigXthaPlug,19,2024,4QTlxavdQGUVitxAvQqqkU,119.01574,-8.799,126.003,4.0,9.0
69,69,Carnival,¥$: Kanye West & Ty Dolla $ign,19,2024,4OssqCixV2Xsxd43wMIQyS,264.32434,-5.746,148.144,4.0,1.0
70,70,Please Please Please,Sabrina Carpenter,19,2024,5N3hjp1WNayUPZrA8kJmJP,186.36504,-6.185,107.067,4.0,9.0
71,71,One Of The Girls,"The Weeknd, JENNIE & Lily Rose Depp",19,2024,7CyPwkp0oE8Ro9Dd5CUDjW,244.68454,-6.221,84.828,4.0,8.0
72,72,La Diabla,Xavi,19,2024,0R6NfOiLzLj4O5VbYSJAjf,172.26427,-4.372,131.842,3.0,11.0
73,73,Nights Like This,Future & Metro Boomin,18,2024,6c0rii1TOf2fvq3hhqqExW,232.26666,-6.197,160.025,4.0,9.0
74,74,Pink Pony Club,Chappell Roan,18,2024,1k2pQc5i348DCHwbn5KTdc,258.03473,-6.199,106.719,4.0,6.0
75,75,Everybody,Nicki Minaj Featuring Lil Uzi Vert,18,2024,5ZJGv7aGdIr9IGpxzSG18T,180.86952,-5.525,137.959,4.0,11.0
76,76,Fast Car,Luke Combs,18,2024,1Lo0QY9cvc8sUB2vnIOxDT,265.49332,-5.52,97.994,4.0,8.0
77,77,Illusion,Dua Lipa,18,2024,5q0EXnBYyeCdXD72FzJxH0,188.14345,-4.701,126.962,4.0,8.0
78,78,We Ride,Bryan Martin,18,2024,72kGuWpRiuA149Bn5lDkIO,188.48268,-4.176,81.989,4.0,3.0
79,79,Whiskey Whiskey,Moneybagg Yo Featuring Morgan Wallen,18,2024,7hRLuo4QnzCsjICXUOhTE6,161.05261,-3.846,151.951,4.0,5.0
80,80,Bandit,Don Toliver,18,2024,0PHrcmOtDE89ew4vVEaD7S,147.70667,-4.534,130.109,4.0,2.0
81,81,I Am Not Okay,Jelly Roll,18,2024,3SaS0Va6o6jYkWvadT86C6,198.06667,-5.272,153.742,4.0,7.0
82,82,FTCU,Nicki Minaj,18,2024,1a73gcEg6h6Re6hHXoVltJ,172.13791,-6.694,144.978,4.0,11.0
83,83,Si Antes Te Hubiera Conocido,Karol G,17,2024,6WatFBLVB0x077xWeoVc2k,195.82413,-6.83,128.038,4.0,11.0
84,84,TGIF,GloRilla,17,2024,2hKYtHbwYOSjvYQhVdUpdQ,164.57143,-6.381,140.067,4.0,8.0
85,85,Chevrolet,Dustin Lynch Featuring Jelly Roll,17,2024,7FKAVg9SA7QYLxdVRLnKjd,184.17332,-3.801,78.194,4.0,7.0
86,86,Paint The Town Red,Doja Cat,17,2024,2IGMVunIBsBLtEQyoI1Mu7,231.75002,-8.603,99.968,4.0,5.0
87,87,BAND4BAND,Central Cee & Lil Baby,17,2024,7iabz12vAuVQYyekFIWJxD,140.73334,-5.241,140.113,4.0,11.0
88,88,Kehlani,Jordan Adetunji,17,2024,2hrycoFU1mZw6YPvMcn8yC,122.36086,-3.769,160.017,4.0,10.0
89,89,Water,Tyla,17,2024,5aIVCx5tnk0ntmdiinnYvw,200.25551,-3.495,117.187,4.0,3.0
90,90,U My Everything,Sexyy Red & Drake,17,2024,1TgStpMGTflN84asKJ8VU3,225.13293,-5.413,145.212,4.0,6.0
91,91,You Look Like You Love Me,Ella Langley Featuring Riley Green,17,2024,0y5Ex8oQ8zCH5TQxHUy1Eo,224.28,-5.851,128.942,4.0,11.0
92,92,Where The Wild Things Are,Luke Combs,17,2024,0eBFgRxyVSeuT4iyrbukdn,239.53333,-4.872,116.975,4.0,3.0
93,93,Pour Me A Drink,Post Malone Featuring Blake Shelton,17,2024,0mNzElhEofvgMWAJoOA4q9,195.1229,-3.855,119.05,4.0,11.0
94,94,Man Made A Bar,Morgan Wallen Featuring Eric Church,17,2024,73zawW1ttszLRgT9By826D,191.23106,-5.005,148.006,4.0,4.0
95,95,Euphoria,Kendrick Lamar,16,2024,77DRzu7ERs0TX3roZcre7Q,383.63904,-5.002,139.948,4.0,1.0
96,96,Snooze,SZA,16,2024,4iZ4pt7kvcaH6Yo8UoZ4s2,201.8,-7.231,143.008,4.0,5.0
97,97,Burn It Down,Parker McCollum,16,2024,09hVlIVHtEE1nLUv6YGZiW,233.86938,-5.627,162.187,4.0,2.0
98,98,Casual,Chappell Roan,16,2024,3WSOUb3U7tqURbBSgZTrZX,232.79619,-6.95,131.008,4.0,1.0
99,99,Mamushi,Megan Thee Stallion Featuring Yuki Chiba,16,2024,5b3XJ1pjrHO5JtY2PcTjnI,156.98834,-4.968,81.036,4.0,1.0
