index,rank,title,artist,count,year,id,duration,loudness,tempo,time_signature,key
958,58,Break Up With Him,Old Dominion,20,2015,5ZManJDV3CexO66nRCkdiV,207.73334,-5.381,151.988,4.0,8.0
959,59,Homegrown,Zac Brown Band,20,2015,2kR18wsL3gvXRXdNE4dCGc,205.0,-3.976,105.024,4.0,6.0
960,60,Buy Me A Boat,Chris Janson,20,2015,2WKLUgklz0VDX5bKTZ3eYD,179.07777,-6.663,154.042,4.0,2.0
961,61,Crash And Burn,Thomas Rhett,20,2015,2Fk0WwAqTBesLtKg97nojy,190.73334,-5.101,130.021,4.0,5.0
962,62,Cool For The Summer,Demi Lovato,20,2015,3uwnnTQcHM1rDqSfA4gQNz,214.73964,-5.639,114.06,4.0,5.0
963,63,Chains,Nick Jonas,20,2015,5Eg4TsPcqNbIjd8ADMZosg,203.10667,-5.884,76.003,4.0,0.0
964,64,FourFiveSeconds,Rihanna & Kanye West & Paul McCartney,20,2015,78TTtXnFQPzwqlbtbwqN0y,188.238,-5.662,205.846,4.0,2.0
965,65,Commas,Future,20,2015,49zD0wr2S3d0lZPib0K4e1,237.4,-5.896,139.997,4.0,11.0
966,66,Geronimo,Sheppard,20,2015,0qt5f5EL92o8Snzopsv0en,218.22757,-6.267,142.029,4.0,7.0
967,67,Sangria,Blake Shelton,20,2015,0p1HtkrNYxv0iDfEKwXSTp,233.48,-6.96,115.984,4.0,9.0
968,68,Planez,Jeremih Featuring J. Cole,20,2015,08zJpaUQVi9FrKv2e32Bah,240.32,-7.738,129.336,4.0,6.0
969,69,Centuries,Fall Out Boy,20,2015,04aAxqtGp5pv12UXAg4pkq,228.36,-2.868,176.042,4.0,4.0
970,70,Lay Me Down,Sam Smith,20,2015,74sb4Gib0cL3TQeCjYF8vh,253.20811,-9.482,119.164,4.0,4.0
971,71,Blessings,Big Sean Featuring Drake,20,2015,1bzM1cd6oqFozdr4wK6HdR,252.04,-7.634,118.895,4.0,1.0
972,72,One Last Time,Ariana Grande,20,2015,7xoUc6faLbCqZO6fQEYprd,197.26666,-5.036,125.025,4.0,8.0
973,73,Truffle Butter,Nicki Minaj Featuring Drake & Lil Wayne,20,2015,7e44z4wOjkllaD8eulUeMd,220.46667,-6.862,105.103,4.0,2.0
974,74,Throw Sum Mo,Rae Sremmurd Featuring Nicki Minaj & Young Thug,20,2015,5uqphUYsR45kPYplrYSAQh,260.45334,-7.91,142.061,4.0,6.0
975,75,This Could Be Us,Rae Sremmurd,20,2015,4jTiyLlOJVJj3mCr7yfPQD,206.30667,-4.992,143.072,4.0,0.0
976,76,Heartbeat Song,Kelly Clarkson,20,2015,7FC9Lng8iXU081lbigu8m8,198.73334,-3.66,149.109,4.0,6.0
977,77,Lose My Mind,Brett Eldredge,20,2015,1qC0pi9ZH47XDjvaNbg8ch,155.44,-5.509,101.048,4.0,6.0
978,78,Energy,Drake,20,2015,79XrkTOfV1AqySNjVlygpW,181.93333,-7.916,172.104,4.0,11.0
979,79,Ayo,Chris Brown & Tyga,20,2015,0k6DnZMLoEUH8NGD5zh2SE,225.22667,-5.095,98.031,4.0,6.0
980,80,How Deep Is Your Love,Calvin Harris & Disciples,20,2015,22mek4IiqubGD9ctzxc69s,212.64,-4.373,122.003,4.0,11.0
981,81,I Really Like You,Carly Rae Jepsen,20,2015,2hHLbkatPwOOmrNxTiD41L,204.76372,-5.538,122.062,4.0,5.0
982,82,Marvin Gaye,Charlie Puth Featuring Meghan Trainor,20,2015,4LfkoDOt4mhrbo8Ndk37sQ,200.10667,-5.298,109.974,4.0,1.0
983,83,A Guy Walks Into A Bar,Tyler Farr,20,2015,16PNN9wK1LbedzcTp7y8y0,196.0,-3.472,147.986,4.0,0.0
984,84,All Eyes On You,Meek Mill Featuring Chris Brown & Nicki Minaj,20,2015,0hy1SOTEn9ifXTzOwnCwEr,223.97333,-5.288,77.521,4.0,11.0
985,85,Don't It,Billy Currington,20,2015,4iLPK8QnOvqm0Azbsk2GDn,189.0,-4.475,90.968,4.0,1.0
986,86,House Party,Sam Hunt,20,2015,1TwLKNsCnhi1HxbIi4bAW0,190.24,-5.251,103.966,4.0,8.0
987,87,Don't,Ed Sheeran,20,2015,1huvTbEYtgltjQRXzrNKGi,219.84,-7.008,95.049,4.0,1.0
988,88,Be Real,Kid Ink Featuring DeJ Loaf,20,2015,4fUh9VvKW4shhWN5LfN1Ba,206.76,-5.462,99.934,4.0,9.0
989,89,Love You Like That,Canaan Smith,20,2015,2QVzUws1l5mzZ4v46tGHrC,203.05333,-5.056,145.259,4.0,11.0
990,90,Feeling Myself,Nicki Minaj Featuring Beyonce,20,2015,5fyIGoaaKelzdyW8ELhYJZ,237.84,-5.459,101.64,3.0,2.0
991,91,"John Cougar, John Deere, John 3:16",Keith Urban,20,2015,72f7jNxopSGvbx3M35i3Zl,221.6,-6.984,84.975,4.0,0.0
992,92,Kick The Dust Up,Luke Bryan,20,2015,5g15o2Sm55Hn9ShK5yEXgp,190.58667,-2.315,172.063,4.0,1.0
993,93,Smoke,A Thousand Horses,20,2015,0ZUnRmGiWEypcw14WjW109,219.08,-5.53,149.641,4.0,7.0
994,94,Know Yourself,Drake,20,2015,5InOp6q2vvx0fShv3bzFLZ,275.84,-8.687,114.408,4.0,11.0
995,95,Hotline Bling,Drake,19,2015,0wwPcA6wtMf6HUMpIRdeP7,267.06668,-7.863,134.966,4.0,2.0
996,96,Wet Dreamz,J. Cole,19,2015,4tqcoej1zPvwePZCzuAjJd,239.26659,-8.108,175.627,4.0,6.0
997,97,Ain't Worth The Whiskey,Cole Swindell,19,2015,3OZVqx1YsqDDkxQ6TnmHtn,191.90668,-3.91,153.712,4.0,2.0
998,98,Dear Future Husband,Meghan Trainor,19,2015,3cU2wBxuV6nFiuf6PJZNlC,184.22667,-4.789,79.427,4.0,1.0
999,99,Sippin' On Fire,Florida Georgia Line,19,2015,0H9Q7Vzu8nYRDBZYKbtU8d,193.64,-3.223,142.952,4.0,10.0
1000,0,All Of Me,John Legend,49,2014,3U4isOIWM3VvDubwSI3y7a,269.56,-7.064,119.93,4.0,8.0
1001,1,Let It Go,Idina Menzel,47,2014,0qcr5FMsEO85NAQjrlDRKo,223.84,-6.79,136.961,4.0,8.0
1002,2,Happy,Pharrell Williams,47,2014,60nZcImufyMA1MKQY3dcCH,232.72,-4.662,160.019,4.0,5.0
1003,3,Dark Horse,Katy Perry Featuring Juicy J,44,2014,4jbmgIyjGoXjY01XxatOx6,215.67215,-6.123,131.934,4.0,6.0
1004,4,Counting Stars,OneRepublic,42,2014,2tpWsVSb9UEmDRxAl1zhX1,257.26666,-4.972,122.013,4.0,1.0
1005,5,Fancy,Iggy Azalea Featuring Charli XCX,39,2014,3oiMJQAWVaxSubJ7b2VUtX,199.93819,-4.141,94.981,4.0,10.0
1006,6,Animals,Martin Garrix,38,2014,0A9mHc7oYUoCECqByV8cQR,304.22852,-6.36,128.007,4.0,1.0
1007,7,Turn Down For What,DJ Snake & Lil Jon,37,2014,67awxiNHNyjMXhVgsHuIrs,213.73334,-4.1,100.014,4.0,1.0
1008,8,Stay With Me,Sam Smith,37,2014,5Nm9ERjJZ5oyfXZTECKmRt,172.72385,-6.444,84.126,4.0,0.0
1009,9,Loyal,Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga,36,2014,5BrTUo0xP1wKXLJWUaGFtk,264.94666,-5.963,99.059,4.0,10.0
1010,10,Pompeii,Bastille,35,2014,3gbBpTdY8lnQwqxNCcf795,214.14766,-6.383,127.435,4.0,9.0
1011,11,Rude,MAGIC!,34,2014,6RtPijgfPKROxEzTHNRiDp,224.84,-4.993,144.033,4.0,1.0
1012,12,Latch,Disclosure Featuring Sam Smith,33,2014,1DunhgeZSEgWiIYbHqXl0c,255.86667,-5.451,121.985,4.0,1.0
1013,13,Talk Dirty,Jason Derulo Featuring 2 Chainz,33,2014,6g6A7qNhTfUgOSH7ROOxTD,177.6854,-7.321,100.315,4.0,6.0
1014,14,Chandelier,Sia,32,2014,2s1sdSqGcKxpPr5lCl7jAV,216.12,-2.88,117.089,5.0,1.0
1015,15,Am I Wrong,Nico & Vinz,31,2014,1fidCEsYlaVE3pHwKCvpFZ,245.86667,-6.003,119.968,4.0,8.0
1016,16,Best Day Of My Life,American Authors,31,2014,5Hroj5K7vLpIG4FNCRIjbP,194.24,-2.392,100.012,4.0,2.0
1017,17,Bailando,Enrique Iglesias Featuring Descemer Bueno & Gente de Zona,30,2014,32lm3769IRfcnrQV11LO4E,243.41333,-3.503,91.017,4.0,7.0
1018,18,Timber,Pitbull Featuring Ke$ha,29,2014,3cHyrEgdyYRjgJKSOiOtcS,204.16,-4.087,129.992,4.0,11.0
1019,19,Habits (Stay High),Tove Lo,29,2014,14OxJlLdcHNpgsm4DRwDOB,209.16,-3.539,110.02,4.0,5.0
1020,20,Trumpets,Jason Derulo,29,2014,5KONnBIQ9LqCxyeSPin26k,217.41914,-4.862,82.142,4.0,0.0
1021,21,Na Na,Trey Songz,28,2014,5maiP9UMnTSgoxPX8X3bdz,231.90668,-6.253,96.975,4.0,9.0
1022,22,Wake Me Up!,Avicii,28,2014,0nrRP2bk19rLc0orkWPQk2,247.42667,-5.697,124.08,4.0,2.0
1023,23,This Is How We Roll,Florida Georgia Line Featuring Luke Bryan,27,2014,2TR7A4ulH9R1PNwMyd8o8U,220.90668,-2.969,132.073,4.0,8.0
1024,24,Demons,Imagine Dragons,27,2014,3LlAyCYU26dvFZBDUIMb7a,175.2,-3.015,89.929,4.0,3.0
1025,25,Rather Be,Clean Bandit Featuring Jess Glynne,27,2014,0am001WwFBVGDGLwRh3ixi,227.83342,-6.735,120.97,4.0,11.0
1026,26,Don't,Ed Sheeran,27,2014,1huvTbEYtgltjQRXzrNKGi,219.84,-7.008,95.049,4.0,1.0
1027,27,Classic,MKTO,27,2014,6FE2iI43OZnszFLuLtvvmg,175.42667,-4.689,102.071,4.0,1.0
1028,28,Summer,Calvin Harris,26,2014,6YUTL4dYpB9xZO5qExPf05,222.53333,-3.555,127.949,4.0,4.0
1029,29,A Sky Full Of Stars,Coldplay,26,2014,0FDzzruyVECATHXKHFs9eJ,267.86667,-6.474,124.97,4.0,6.0
1030,30,Team,Lorde,26,2014,3G6hD9B2ZHOsgf4WfNu7X1,193.05878,-7.436,99.984,4.0,6.0
1031,31,Bottoms Up,Brantley Gilbert,25,2014,0HZUp8fm9fh1Mitqx4CIOr,220.2,-5.733,170.007,4.0,7.0
1032,32,Boom Clap,Charli XCX,25,2014,0Y1MWB026LYxGvhq4EcMiC,169.86612,-2.28,91.999,4.0,4.0
1033,33,Problem,Ariana Grande Featuring Iggy Azalea,25,2014,7vS3Y0IKjde7Xg85LWIEdP,193.92,-5.352,103.021,4.0,1.0
1034,34,Riptide,Vance Joy,25,2014,2uXlHCUbq9OMUwx3hrk06o,204.28,-6.696,101.654,4.0,1.0
1035,35,Show Me,Kid Ink Featuring Chris Brown,25,2014,4q6dqyGM25sKFU8nYAGRe4,217.8,-7.299,98.098,4.0,7.0
1036,36,Don't Tell 'Em,Jeremih Featuring YG,25,2014,0Dc7J9VPV4eOInoxUiZrsL,266.84,-5.225,98.052,4.0,2.0
1037,37,Story Of My Life,One Direction,25,2014,4nVBt6MZDDP6tRVdQTgxJg,245.49333,-5.802,121.07,4.0,3.0
1038,38,2 On,Tinashe Featuring ScHoolboy Q,24,2014,3jVtllWS5CFFWLQng8sKsr,227.0,-7.51,101.013,4.0,9.0
1039,39,Black Widow,Iggy Azalea Featuring Rita Ora,24,2014,7pNC5ZIKtwUK0ReSpM3P9f,209.42308,-3.753,164.014,4.0,3.0
1040,40,Ain't It Fun,Paramore,24,2014,1j8z4TTjJ1YOdoFEDwJTQa,296.52,-3.681,104.031,4.0,9.0
1041,41,Let Her Go,Passenger,23,2014,1KxwZYyzWNyZSRyErj2ojT,252.73334,-7.346,74.897,4.0,7.0
1042,42,Cool Kids,Echosmith,23,2014,13P5rwmk2EsoFRIz9UCeh9,237.62666,-6.279,130.027,4.0,8.0
1043,43,All About That Bass,Meghan Trainor,23,2014,5jE48hhRu8E6zBDPRSkEq7,187.92,-3.726,134.052,4.0,9.0
1044,44,Lifestyle,Rich Gang Featuring Young Thug & Rich Homie Quan,22,2014,7DTlsMOQjGysXHpwwpHuPl,269.69333,-5.236,87.666,4.0,1.0
1045,45,Break Free,Ariana Grande Featuring Zedd,22,2014,12KUFSHFgT0XCoiSlvdQi4,214.84,-5.325,129.948,4.0,7.0
1046,46,Maps,Maroon 5,22,2014,4gbVRS8gloEluzf0GzDOFc,189.96,-5.522,120.032,4.0,1.0
1047,47,New Flame,Chris Brown Featuring Usher & Rick Ross,22,2014,3fBbfrWZUuWWrMQXFISr7N,244.22667,-4.292,141.967,4.0,1.0
1048,48,Not A Bad Thing,Justin Timberlake,22,2014,3nB82yGjtbQFSU0JLAwLRH,688.4533,-9.169,85.901,4.0,0.0
1049,49,The Monster,Eminem Featuring Rihanna,22,2014,48RrDBpOSSl1aLVCalGl5C,250.18866,-3.68,110.046,4.0,1.0
1050,50,Wiggle,Jason Derulo Featuring Snoop Dogg,21,2014,2sLwPnIP3CUVmIuHranJZU,193.29556,-6.886,81.946,4.0,9.0
1051,51,Partition,Beyonce,21,2014,5hgnY0mVcVetszbb85qeDg,319.46667,-11.522,175.928,4.0,11.0
1052,52,Burn,Ellie Goulding,21,2014,5lF0pHbsJ0QqyIrLweHJPW,231.21333,-5.049,86.735,4.0,10.0
1053,53,Leave The Night On,Sam Hunt,21,2014,3wx2kQWPn9p5UppQbNhPAk,192.16,-3.813,171.96,4.0,9.0
1054,54,Royals,Lorde,21,2014,2dLLR6qlu5UJ5gk0dKz0h3,190.18526,-9.504,84.876,4.0,7.0
1055,55,Stolen Dance,Milky Chance,21,2014,0ZfByLXCeKchuj7zi1CJ0S,313.62668,-8.809,114.009,4.0,11.0
1056,56,Come With Me Now,KONGOS,21,2014,2kWowW0k4oFymhkr7LmvzO,211.96,-3.803,103.987,4.0,10.0
1057,57,Hey Brother,Avicii,21,2014,4lhqb6JvbHId48OUJGwymk,255.09332,-4.867,125.014,4.0,7.0
1058,58,Drink To That All Night,Jerrod Niemann,20,2014,3M31S6f0z8S3nkFh3eS06W,224.81332,-6.184,115.965,4.0,9.0
1059,59,Studio,ScHoolboy Q Featuring BJ The Chicago Kid,20,2014,29gsi1zZrZxdStACmTQB0Z,278.06668,-7.776,133.921,3.0,8.0
1060,60,Sing,Ed Sheeran,20,2014,6K8qKeWo5MsFED7wCR6Kop,235.38219,-4.451,119.988,4.0,8.0
1061,61,Small Town Throwdown,Brantley Gilbert Featuring Justin Moore & Thomas Rhett,20,2014,3JUT20Ycry03hgIbMSSBzV,201.68,-3.867,98.031,4.0,7.0
1062,62,"Where It's At (Yep, Yep)",Dustin Lynch,20,2014,3IQu6EQqPlYN3pk0xQz9zK,204.18668,-5.75,158.05,4.0,3.0
1063,63,Give Me Back My Hometown,Eric Church,20,2014,3MykNWa65IP2VN1Qa6B9yK,252.49333,-7.808,104.007,4.0,1.0
1064,64,Girls Chase Boys,Ingrid Michaelson,20,2014,3tInTDUq8wdIMw5ftohmqJ,221.41333,-5.725,84.835,4.0,8.0
1065,65,Somethin' Bad,Miranda Lambert Duet With Carrie Underwood,20,2014,6s9m5J92By7jii22Q2XtY2,169.58667,-5.308,90.076,4.0,9.0
1066,66,The Worst,Jhene Aiko,20,2014,2wBCrtJS3E3TimRZ5MElTI,254.49333,-9.156,94.895,4.0,1.0
1067,67,Dirt,Florida Georgia Line,20,2014,5CXnIPD6rTjszYYQm6fY2P,230.58667,-4.224,121.973,4.0,2.0
1068,68,Get Me Some Of That,Thomas Rhett,20,2014,4O1CExxinEpKZi3861NlTK,187.4,-5.306,87.964,4.0,6.0
1069,69,Trophies,Young Money Featuring Drake,20,2014,6HfOzLLjsaXsehIFEsrxTk,188.32,-7.475,143.936,4.0,1.0
1070,70,Who Do You Love?,YG Featuring Drake,20,2014,7ngdkrVQPgP3AoIxUrTpHT,233.51518,-9.761,193.131,4.0,9.0
1071,71,Sunshine & Whiskey,Frankie Ballard,20,2014,2K2M0TcglCRLLpFOzKeFZA,250.4,-8.289,115.099,4.0,2.0
1072,72,Shower,Becky G,20,2014,3DmW6y7wTEYHJZlLo1r6XJ,206.16667,-7.548,119.987,4.0,2.0
1073,73,Drunk On A Plane,Dierks Bentley,20,2014,1soxUgYIZb1qx1c7o1Lc7z,254.46667,-5.566,205.972,4.0,9.0
1074,74,Drunk In Love,Beyonce Featuring Jay Z,20,2014,6jG2YzhxptolDzLHTGLt7S,323.48,-6.902,140.036,4.0,5.0
1075,75,No Flex Zone,Rae Sremmurd,20,2014,2L8cFPItBljPNJgPjTnuIf,231.06667,-5.831,120.063,4.0,8.0
1076,76,Hot Boy,Bobby Shmurda,20,2014,0rFke7eNFHbGuGJUdRgjB2,194.56113,-7.628,83.981,4.0,9.0
1077,77,Hope You Get Lonely Tonight,Cole Swindell,20,2014,5BtS8w1kkjLV1BbvB0t12u,227.98666,-4.249,151.884,4.0,10.0
1078,78,Love Never Felt So Good,Michael Jackson & Justin Timberlake,20,2014,48td6xvpokdYwvbl3JIiXP,246.02667,-6.212,117.513,4.0,7.0
1079,79,Neon Lights,Demi Lovato,20,2014,34MJ07N9Bhu6iKPaxSVnCT,233.17332,-4.24,125.928,4.0,9.0
1080,80,On Top Of The World,Imagine Dragons,20,2014,6KuHjfXHkfnIjdmcIvt9r0,189.84,-5.589,100.043,4.0,0.0
1081,81,Or Nah,Ty Dolla $ign Featuring Wiz Khalifa & DJ Mustard,20,2014,7t2bFihaDvhIrd2gn2CWJO,242.9834,-8.712,121.97,4.0,1.0
1082,82,Me And My Broken Heart,Rixton,20,2014,1oew3nFNY3vMacJAsvry0S,193.73334,-4.261,174.084,4.0,5.0
1083,83,Paranoid,Ty Dolla $ign Featuring B.o.B,20,2014,0Yp3wCUpjrG7NWWPDpmQXm,216.52,-11.306,97.476,4.0,1.0
1084,84,Main Chick,Kid Ink Featuring Chris Brown,20,2014,2asIUjALYhUbH8hvLUhDWo,197.81332,-5.652,95.074,4.0,10.0
1085,85,Love Runs Out,OneRepublic,20,2014,5BJSZocnCeSNeYMj3iVqM7,224.22667,-3.752,120.022,4.0,7.0
1086,86,Play It Again,Luke Bryan,20,2014,03fT3OHB9KyMtGMt2zwqCT,226.86667,-3.224,143.938,4.0,11.0
1087,87,Ready Set Roll,Chase Rice,20,2014,1pbjOhmFwYC09EYU5EwB5L,190.58711,-4.45,156.038,4.0,0.0
1088,88,No Mediocre,T.I. Featuring Iggy Azalea,20,2014,0SqUFLaRXwufRUsJ0t4dXB,202.21333,-7.449,95.466,4.0,1.0
1089,89,Rewind,Rascal Flatts,20,2014,6eZP01jERQt27Ggq7kpEf9,203.50667,-6.679,164.049,4.0,3.0
1090,90,Lettin' The Night Roll,Justin Moore,20,2014,33LSgUa20mKNgeut1XwP2E,203.12,-5.137,140.9,4.0,2.0
1091,91,Roller Coaster,Luke Bryan,20,2014,5r00wpsojd4mBYaQFDvni7,259.08,-4.461,108.008,4.0,8.0
1092,92,Say Something,A Great Big World & Christina Aguilera,20,2014,6Vc5wAMmXdKIAM7WUoEb7N,229.4,-8.822,141.284,3.0,2.0
1093,93,She Looks So Perfect,5 Seconds Of Summer,20,2014,1gugDOSMREb34Xo0c1PlxM,202.49605,-4.237,160.025,4.0,9.0
1094,94,La La La,Naughty Boy Featuring Sam Smith,20,2014,36pLU2ywVeBKEF0rrKtmCB,222.20041,-5.202,125.083,4.0,6.0
1095,95,I Don't Dance,Lee Brice,20,2014,5aj0xPGiEUN3aI2oOYu14S,221.17332,-7.742,92.036,4.0,1.0
1096,96,Human,Christina Perri,20,2014,1x80xTzSL7pok3M5JC3oJz,250.70667,-6.286,143.808,4.0,8.0
1097,97,Day Drinking,Little Big Town,20,2014,1pxXqJZBrCREdC0s4Xs6Xz,178.84,-2.515,163.883,4.0,9.0
1098,98,We Dem Boyz,Wiz Khalifa,20,2014,1ULa3GfdMKs0MfRpm6xVlu,224.93333,-4.736,130.021,4.0,8.0
1099,99,Believe Me,Lil Wayne Featuring Drake,20,2014,6t2eIONH4Sax3R21QWiKNp,337.64,-8.801,91.935,4.0,10.0
1100,0,Radioactive,Imagine Dragons,52,2013,4G8gkOterJn0Ywt6uhqbhp,186.81332,-3.686,136.239,4.0,9.0
1101,1,Sail,AWOLNATION,47,2013,7ueP5u2qkdZbIPN2YA6LR0,259.09332,-9.583,119.051,4.0,1.0
1102,2,Cups (Pitch Perfect's When I'm Gone),Anna Kendrick,44,2013,6mH3qVIeOsnQIAho5eWwhH,128.01334,-8.843,129.954,4.0,0.0
1103,3,Mirrors,Justin Timberlake,42,2013,4rHZZAmHpZrA3iH5zx8frV,484.14667,-6.664,76.899,4.0,5.0
1104,4,Stay,Rihanna Featuring Mikky Ekko,41,2013,789CxjEOtO76BVD1A9yJQH,240.70667,-10.164,111.881,4.0,9.0
1105,5,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,39,2013,22skzmqfdWrjJylampe0kt,258.4318,-4.468,146.097,4.0,2.0
1106,6,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,38,2013,6CjtS2JZH9RkDz5UVInsa9,235.61337,-6.986,94.993,4.0,6.0
1107,7,Cruise,Florida Georgia Line Featuring Nelly,36,2013,0i5el041vd6nxrGEU8QRxy,208.96,-3.364,148.001,4.0,10.0
1108,8,Just Give Me A Reason,P!nk Featuring Nate Ruess,36,2013,1mKXFLRA179hdOWQBwUk9e,242.73334,-7.273,95.0,4.0,2.0
1109,9,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,35,2013,0n4bITAu0Y0nigrz3MFJMb,263.82666,-4.756,119.993,4.0,7.0
1110,10,Demons,Imagine Dragons,34,2013,3LlAyCYU26dvFZBDUIMb7a,175.2,-3.015,89.929,4.0,3.0
1111,11,Ho Hey,The Lumineers,34,2013,0DwClY2t9YAWHBROMIgrXb,163.13333,-9.074,79.936,4.0,0.0
1112,12,When I Was Your Man,Bruno Mars,34,2013,0nJW01T7XtvILxQgC5J7Wh,213.82668,-8.648,72.795,4.0,0.0
1113,13,Clarity,Zedd Featuring Foxes,33,2013,60wwxj6Dd9NJlirf84wr2c,271.42667,-3.48,128.0,4.0,8.0
1114,14,Safe And Sound,Capital Cities,33,2013,5JVbvCHX10U2pLa5DEqGav,192.78989,-4.852,117.956,5.0,0.0
1115,15,"Gone, Gone, Gone",Phillip Phillips,30,2013,56sxN1yKg1dgOZXBcAHkJG,209.69333,-5.961,118.006,4.0,6.0
1116,16,Same Love,Macklemore & Ryan Lewis Featuring Mary Lambert,30,2013,01uqI4H13Gsd8Lyl1EYd8H,318.52548,-9.059,84.958,4.0,8.0
1117,17,I Love It,Icona Pop Featuring Charli XCX,29,2013,6HZ9VeI5IRFCNQLXhpF4bq,157.15265,-2.671,125.916,4.0,8.0
1118,18,Get Lucky,Daft Punk Featuring Pharrell Williams,29,2013,69kOkLUCkxIZYexIgSG8rq,369.62668,-9.404,116.05,4.0,6.0
1119,19,Power Trip,J. Cole Featuring Miguel,29,2013,2uwnP6tZVVmTovzX5ELooy,241.16,-7.054,99.992,4.0,1.0
1120,20,Brave,Sara Bareilles,27,2013,6Uy6K3KdmUdAfelUp0SeXn,220.57333,-3.838,185.063,4.0,10.0
1121,21,I Knew You Were Trouble.,Taylor Swift,27,2013,6FB3v4YcR57y4tXFcdxI1E,219.72,-6.798,77.019,4.0,3.0
1122,22,HeadBand,B.o.B Featuring 2 Chainz,27,2013,2LvRR121MWFmmEGkuV2vQP,220.24,-7.14,97.465,4.0,1.0
1123,23,Sweater Weather,The Neighbourhood,27,2013,2QjOHCTQ1Jl3zawyYOpxh6,240.4,-2.81,124.053,4.0,10.0
1124,24,My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,26,2013,2E43WFS4rRc09za2r2GmZl,186.82668,-4.341,151.988,4.0,9.0
1125,25,The Way,Ariana Grande Featuring Mac Miller,26,2013,06EL94D0TA27Ik0Ke5usbj,227.02667,-3.208,82.324,4.0,5.0
1126,26,We Can't Stop,Miley Cyrus,26,2013,2y4lAQpi5VTNLu2ldeTdUH,231.24,-5.794,80.003,4.0,1.0
1127,27,Counting Stars,OneRepublic,26,2013,2tpWsVSb9UEmDRxAl1zhX1,257.26666,-4.972,122.013,4.0,1.0
1128,28,Bad,Wale Featuring Tiara Thomas Or Rihanna,26,2013,5yhKaacMZGRo4s6evJx9vk,238.82668,-6.594,114.038,4.0,6.0
1129,29,Suit & Tie,Justin Timberlake Featuring JAY Z,26,2013,6vt0I1cw1YmAIKDJvHVIM5,326.28,-3.799,101.985,4.0,11.0
1130,30,Wagon Wheel,Darius Rucker,26,2013,3xdjjKMcMOFgo1eQrfbogM,298.37332,-7.174,148.044,4.0,9.0
1131,31,Wake Me Up!,Avicii,25,2013,0nrRP2bk19rLc0orkWPQk2,247.42667,-5.697,124.08,4.0,2.0
1132,32,I Need Your Love,Calvin Harris Featuring Ellie Goulding,25,2013,05SBRd4fXgn8FX7bf8BCAE,234.50667,-5.066,124.989,4.0,8.0
1133,33,Locked Out Of Heaven,Bruno Mars,25,2013,3w3y8KPTfNeOKPiqUTakBh,233.47823,-4.165,143.994,4.0,5.0
1134,34,Royals,Lorde,24,2013,2dLLR6qlu5UJ5gk0dKz0h3,190.18526,-9.504,84.876,4.0,7.0
1135,35,Feel This Moment,Pitbull Featuring Christina Aguilera,24,2013,0Hf4aIJpsN4Os2f0y0VqWl,229.50667,-3.632,135.956,4.0,7.0
1136,36,Treasure,Bruno Mars,23,2013,55h7vJchibLdUkxdlX3fK7,178.56,-5.28,116.017,4.0,5.0
1137,37,Daylight,Maroon 5,23,2013,6TwfdLbaxTKzQi3AgsZNzx,225.30667,-5.511,120.007,4.0,2.0
1138,38,Summertime Sadness,Lana Del Rey & Cedric Gervais,23,2013,1Ist6PR2BZR3n2z2Y5R6S1,264.77332,-6.815,111.96,4.0,1.0
1139,39,Holy Grail,Jay Z Featuring Justin Timberlake,23,2013,37jTPJgwCCmIGMPB45jrPV,338.41333,-6.901,145.082,4.0,2.0
1140,40,It Goes Like This,Thomas Rhett,22,2013,6GsAD8PgHxmEuIPTG8GP3M,186.08,-6.448,168.056,4.0,11.0
1141,41,Love Me,Lil Wayne Featuring Drake & Future,22,2013,2XHzzp1j4IfTNp1FTn7YFg,255.05333,-6.471,124.926,4.0,11.0
1142,42,Come & Get It,Selena Gomez,22,2013,4P5KoWXOxwuobLmHXLMobV,218.92,-5.846,120.125,4.0,4.0
1143,43,Started From The Bottom,Drake,22,2013,5DI9jxTHrEiFAhStG7VA8E,174.13333,-7.827,86.325,4.0,8.0
1144,44,Sweet Nothing,Calvin Harris Featuring Florence Welch,21,2013,24LS4lQShWyixJ0ZrJXfJ5,212.56,-3.942,127.934,4.0,8.0
1145,45,Boys 'round Here,Blake Shelton Featuring Pistol Annies & Friends,21,2013,39FwE8edwuyiaa4PrGBkP7,288.76,-6.369,169.895,4.0,2.0
1146,46,"Bitch, Don't Kill My Vibe",Kendrick Lamar,21,2013,4Pwjz3DfvfQWV0rO2V8jyh,310.72,-8.948,133.954,4.0,1.0
1147,47,Crash My Party,Luke Bryan,21,2013,6GBUsjHfZuweYf5lQEz6mP,234.76,-4.009,144.032,4.0,7.0
1148,48,Gas Pedal,Sage The Gemini Featuring IamSu!,21,2013,1UMKquW1olreYO1LlLmTqi,208.16,-8.028,97.49,4.0,1.0
1149,49,Scream & Shout,will.i.am & Britney Spears,21,2013,2iJuuzV8P9Yz0VSurttIV5,283.4,-6.849,130.039,4.0,5.0
