rank,title,artist,count,year,id
69,Carnival,¥$: Kanye West & Ty Dolla $ign,19,2024,4OssqCixV2Xsxd43wMIQyS
70,Please Please Please,Sabrina Carpenter,19,2024,5N3hjp1WNayUPZrA8kJmJP
71,One Of The Girls,"The Weeknd, JENNIE & Lily Rose Depp",19,2024,7CyPwkp0oE8Ro9Dd5CUDjW
72,La Diabla,Xavi,19,2024,0R6NfOiLzLj4O5VbYSJAjf
73,Nights Like This,Future & Metro Boomin,18,2024,6c0rii1TOf2fvq3hhqqExW
74,Pink Pony Club,Chappell Roan,18,2024,1k2pQc5i348DCHwbn5KTdc
75,Everybody,Nicki Minaj Featuring Lil Uzi Vert,18,2024,5ZJGv7aGdIr9IGpxzSG18T
76,Fast Car,Luke Combs,18,2024,1Lo0QY9cvc8sUB2vnIOxDT
77,Illusion,Dua Lipa,18,2024,5q0EXnBYyeCdXD72FzJxH0
78,We Ride,Bryan Martin,18,2024,72kGuWpRiuA149Bn5lDkIO
79,Whiskey Whiskey,Moneybagg Yo Featuring Morgan Wallen,18,2024,7hRLuo4QnzCsjICXUOhTE6
80,Bandit,Don Toliver,18,2024,0PHrcmOtDE89ew4vVEaD7S
81,I Am Not Okay,Jelly Roll,18,2024,3SaS0Va6o6jYkWvadT86C6
82,FTCU,Nicki Minaj,18,2024,1a73gcEg6h6Re6hHXoVltJ
83,Si Antes Te Hubiera Conocido,Karol G,17,2024,6WatFBLVB0x077xWeoVc2k
84,TGIF,GloRilla,17,2024,2hKYtHbwYOSjvYQhVdUpdQ
85,Chevrolet,Dustin Lynch Featuring Jelly Roll,17,2024,7FKAVg9SA7QYLxdVRLnKjd
86,Paint The Town Red,Doja Cat,17,2024,2IGMVunIBsBLtEQyoI1Mu7
87,BAND4BAND,Central Cee & Lil Baby,17,2024,7iabz12vAuVQYyekFIWJxD
88,Kehlani,Jordan Adetunji,17,2024,2hrycoFU1mZw6YPvMcn8yC
89,Water,Tyla,17,2024,5aIVCx5tnk0ntmdiinnYvw
90,U My Everything,Sexyy Red & Drake,17,2024,1TgStpMGTflN84asKJ8VU3
91,You Look Like You Love Me,Ella Langley Featuring Riley Green,17,2024,0y5Ex8oQ8zCH5TQxHUy1Eo
92,Where The Wild Things Are,Luke Combs,17,2024,0eBFgRxyVSeuT4iyrbukdn
93,Pour Me A Drink,Post Malone Featuring Blake Shelton,17,2024,0mNzElhEofvgMWAJoOA4q9
94,Man Made A Bar,Morgan Wallen Featuring Eric Church,17,2024,73zawW1ttszLRgT9By826D
95,Euphoria,Kendrick Lamar,16,2024,77DRzu7ERs0TX3roZcre7Q
96,Snooze,SZA,16,2024,4iZ4pt7kvcaH6Yo8UoZ4s2
97,Burn It Down,Parker McCollum,16,2024,09hVlIVHtEE1nLUv6YGZiW
98,Casual,Chappell Roan,16,2024,3WSOUb3U7tqURbBSgZTrZX
99,Mamushi,Megan Thee Stallion Featuring Yuki Chiba,16,2024,5b3XJ1pjrHO5JtY2PcTjnI
0,Snooze,SZA,52,2023,4iZ4pt7kvcaH6Yo8UoZ4s2
1,Kill Bill,SZA,48,2023,1Qrg8KqiBpW07V7PNxwwwL
2,Last Night,Morgan Wallen,47,2023,7K3BhSpAxZBznislvUMVtn
3,Flowers,Miley Cyrus,45,2023,7DSAEUvxU8FajXtRloy8M0
4,Creepin',"Metro Boomin, The Weeknd & 21 Savage",44,2023,2dHHgzDwk4BJdRwy9uXhTO
5,Anti-Hero,Taylor Swift,44,2023,0V3wPSX9ygBnCm8psDIegu
6,Everything I Love,Morgan Wallen,42,2023,03fs6oV5JAlbytRYf3371S
7,Thinkin' Bout Me,Morgan Wallen,42,2023,0PAcdVzhPO4gq1Iym9ESnK
8,Calm Down,Rema & Selena Gomez,41,2023,0WtM2NBVQNNJLh6scP13H8
9,Fast Car,Luke Combs,39,2023,1Lo0QY9cvc8sUB2vnIOxDT
10,Need A Favor,Jelly Roll,37,2023,07on0OB2cdPt79IFsgdRUy
11,Daylight,David Kushner,34,2023,1odExI7RdWc4BT515LTAwj
12,Love You Anyway,Luke Combs,33,2023,2kYevr8cbIAH2ha8210Bnz
13,Thought You Should Know,Morgan Wallen,32,2023,3Qu3Zh4WTKhP9GEXo0aDnb
14,I'm Good (Blue),David Guetta & Bebe Rexha,31,2023,4uUG5RXrOk84mYEfFvj3cK
15,Next Thing You Know,Jordan Davis,31,2023,39OclE5hZematADrdfaWvE
16,Something In The Orange,Zach Bryan,31,2023,3WMj8moIAXJhHsyLaqIIHI
17,Cruel Summer,Taylor Swift,31,2023,1BxfuPKGuaTgP7aM0Bbdwr
18,Die For You,The Weeknd,31,2023,2LBqCSwhJGcFQeTHMVGwy3
19,You Proof,Morgan Wallen,30,2023,5W4kiM2cUYBJXKRudNyxjW
20,Thank God,Kane Brown With Katelyn Brown,30,2023,1brnLTvarI9D1hLP6z2Ar8
21,Sure Thing,Miguel,29,2023,0JXXNGljqupsJaZsgSbMZV
22,What It Is (Block Boy),Doechii Featuring Kodak Black,29,2023,73RbfOTJIjHzi2pcVHjeHM
23,Favorite Song,Toosii,27,2023,5Bvhk3wx42kkDEggSQIwqL
24,Truck Bed,HARDY,27,2023,6CThut6kPrjot0pTJOTEer
25,One Thing At A Time,Morgan Wallen,27,2023,1rXq0uoV4KTgRN64jXzIxo
26,Under The Influence,Chris Brown,26,2023,5IgjP7X4th6nMNDh4akUHb
27,Players,Coi Leray,26,2023,6UN73IYd0hZxLi8wFPMQij
28,Dance The Night,Dua Lipa,26,2023,1vYXt7VSjH9JIM5oRRo7vA
29,Fukumean,Gunna,26,2023,4rXLjWdF2ZZpXCVTfWcshS
30,Rock And A Hard Place,Bailey Zimmerman,26,2023,1TE8AAk9koG0UJco6ZAUfx
31,Religiously,Bailey Zimmerman,25,2023,0bILU0UiNDmA5Ff6whhb2R
32,Cupid,Fifty Fifty,25,2023,4gXHG9domIKO6FIViDISA4
33,Save Me,Jelly Roll With Lainey Wilson,25,2023,30LZU3ReFIndjHLfaahreM
34,Tennessee Orange,Megan Moroney,25,2023,6DLbBlGIOjjEj0dNN25zhZ
35,Karma,Taylor Swift,24,2023,7KokYm8cMIXCsGVmUvKtqf
36,All My Life,Lil Durk Featuring J. Cole,24,2023,6HgWWaMu31KdOpEG5l28BG
37,Vampire,Olivia Rodrigo,23,2023,1kuGVB7EU95pJObxwvfwKS
38,Dancin' In The Country,Tyler Hubbard,23,2023,2KtGiBi5CrX2ERPD2PAS34
39,What Was I Made For?,Billie Eilish,23,2023,6wf7Yu7cxBSPrRlWeSeK0Q
40,Dial Drunk,Noah Kahan,23,2023,22VHOlVYBqytsrAqV8yXBK
41,La Bebe,Yng Lvcas x Peso Pluma,23,2023,2UW7JaomAMuX9pZrjVpHAU
42,Ella Baila Sola,Eslabon Armado X Peso Pluma,23,2023,3dnP0JxCgygwQH9Gm7q7nb
