,Unnamed: 0,title,artist,count,year
119,19,You Proof,Morgan Wallen,30,2023
120,20,Thank God,Kane Brown With Katelyn Brown,30,2023
121,21,Sure Thing,Miguel,29,2023
122,22,What It Is (Block Boy),Doechii Featuring Kodak Black,29,2023
123,23,Favorite Song,Toosii,27,2023
124,24,Truck Bed,HARDY,27,2023
125,25,One Thing At A Time,Morgan Wallen,27,2023
126,26,Under The Influence,Chris Brown,26,2023
127,27,Players,Coi Leray,26,2023
128,28,Dance The Night,Dua Lipa,26,2023
129,29,Fukumean,Gunna,26,2023
130,30,Rock And A Hard Place,Bailey Zimmerman,26,2023
131,31,Religiously,Bailey Zimmerman,25,2023
132,32,Cupid,Fifty Fifty,25,2023
133,33,Save Me,Jelly Roll With Lainey Wilson,25,2023
134,34,Tennessee Orange,Megan Moroney,25,2023
135,35,Karma,Taylor Swift,24,2023
136,36,All My Life,Lil Durk Featuring J. Cole,24,2023
137,37,Vampire,Olivia Rodrigo,23,2023
138,38,Dancin' In The Country,Tyler Hubbard,23,2023
139,39,What Was I Made For?,Billie Eilish,23,2023
140,40,Dial Drunk,Noah Kahan,23,2023
141,41,La Bebe,Yng Lvcas x Peso Pluma,23,2023
142,42,Ella Baila Sola,Eslabon Armado X Peso Pluma,23,2023
143,43,As It Was,Harry Styles,23,2023
144,44,"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice,22,2023
145,45,Just Wanna Rock,Lil Uzi Vert,22,2023
146,46,White Horse,Chris Stapleton,22,2023
147,47,Unholy,Sam Smith & Kim Petras,22,2023
148,48,Spin Bout U,Drake & 21 Savage,22,2023
149,49,Rich Flex,Drake & 21 Savage,21,2023
150,50,Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown",21,2023
151,51,Barbie World,Nicki Minaj & Ice Spice With Aqua,21,2023
152,52,Que Vuelvas,Carin Leon X Grupo Frontera,20,2023
153,53,LaLa,Myke Towers,20,2023
154,54,Lady Gaga,"Peso Pluma, Gabito Ballesteros & Junior H",20,2023
155,55,Fight The Feeling,Rod Wave,20,2023
156,56,I Know ?,Travis Scott,20,2023
157,57,Lavender Haze,Taylor Swift,20,2023
158,58,Escapism,RAYE Featuring 070 Shake,20,2023
159,59,Memory Lane,Old Dominion,20,2023
160,60,Eyes Closed,Ed Sheeran,20,2023
161,61,Search & Rescue,Drake,20,2023
162,62,ICU,Coco Jones,20,2023
163,63,Dawns,Zach Bryan Featuring Maggie Rogers,20,2023
164,64,PRC,Peso Pluma X Natanael Cano,20,2023
165,65,Paint The Town Red,Doja Cat,20,2023
166,66,Cowgirls,Morgan Wallen Featuring ERNEST,20,2023
167,67,Por Las Noches,Peso Pluma,20,2023
168,68,Princess Diana,Ice Spice & Nicki Minaj,20,2023
169,69,Chemical,Post Malone,20,2023
170,70,Peaches & Eggplants,Young Nudy Featuring 21 Savage,20,2023
171,71,See You Again,"Tyler, The Creator Featuring Kali Uchis",20,2023
172,72,TQG,Karol G x Shakira,20,2023
173,73,Try That In A Small Town,Jason Aldean,20,2023
174,74,Un x100to,Grupo Frontera X Bad Bunny,20,2023
175,75,Handle On You,Parker McCollum,20,2023
176,76,AMG,"Gabito Ballesteros, Peso Pluma & Natanael Cano",20,2023
177,77,Where She Goes,Bad Bunny,20,2023
178,78,Ain't That Some,Morgan Wallen,20,2023
179,79,Watermelon Moonshine,Lainey Wilson,20,2023
180,80,Wild As Her,Corey Kent,20,2023
181,81,Bebe Dame,Fuerza Regida X Grupo Frontera,20,2023
182,82,Good Good,"Usher, Summer Walker & 21 Savage",19,2023
183,83,Nonsense,Sabrina Carpenter,19,2023
184,84,Bury Me In Georgia,Kane Brown,19,2023
185,85,I Wrote The Book,Morgan Wallen,19,2023
186,86,Qlona,Karol G & Peso Pluma,19,2023
187,87,Popular,"The Weeknd, Playboi Carti & Madonna",19,2023
188,88,Human,Cody Johnson,19,2023
189,89,Lose Control,Teddy Swims,19,2023
190,90,Meltdown,Travis Scott Featuring Drake,19,2023
191,91,Bloody Mary,Lady Gaga,18,2023
192,92,Wait In The Truck,HARDY Featuring Lainey Wilson,18,2023
193,93,Area Codes,Kali,18,2023
194,94,Heart Like A Truck,Lainey Wilson,17,2023
195,95,Trance,"Metro Boomin, Travis Scott & Young Thug",17,2023
196,96,Bad Idea Right?,Olivia Rodrigo,17,2023
197,97,Hey Driver,Zach Bryan Featuring The War And Treaty,17,2023
198,98,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,17,2023
199,99,Used To Be Young,Miley Cyrus,17,2023
200,0,Big Energy,Latto,43,2022
201,1,Heat Waves,Glass Animals,43,2022
202,2,Stay,The Kid LAROI & Justin Bieber,40,2022
203,3,Ghost,Justin Bieber,40,2022
204,4,Shivers,Ed Sheeran,38,2022
205,5,As It Was,Harry Styles,38,2022
206,6,Wasted On You,Morgan Wallen,37,2022
207,7,Cold Heart (PNAU Remix),Elton John & Dua Lipa,37,2022
208,8,Super Gremlin,Kodak Black,36,2022
209,9,Something In The Orange,Zach Bryan,35,2022
210,10,About Damn Time,Lizzo,33,2022
211,11,Fall In Love,Bailey Zimmerman,32,2022
212,12,Numb Little Bug,Em Beihold,32,2022
213,13,Enemy,Imagine Dragons X JID,32,2022
214,14,Wait For U,Future Featuring Drake & Tems,32,2022
215,15,Woman,Doja Cat,32,2022
216,16,You Proof,Morgan Wallen,32,2022
217,17,Thats What I Want,Lil Nas X,32,2022
218,18,Bad Habits,Ed Sheeran,31,2022
219,19,She Likes It,Russell Dickerson & Jake Scott,30,2022
220,20,Titi Me Pregunto,Bad Bunny,30,2022
221,21,Rock And A Hard Place,Bailey Zimmerman,28,2022
222,22,In A Minute,Lil Baby,28,2022
223,23,First Class,Jack Harlow,28,2022
224,24,She Had Me At Heads Carolina,Cole Swindell,27,2022
225,25,I Like You (A Happier Song),Post Malone Featuring Doja Cat,27,2022
226,26,Whiskey On You,Nate Smith,27,2022
227,27,Sunroof,Nicky Youre & dazy,27,2022
228,28,Flower Shops,ERNEST Featuring Morgan Wallen,26,2022
229,29,Me Porto Bonito,Bad Bunny & Chencho Corleone,26,2022
230,30,'Til You Can't,Cody Johnson,26,2022
231,31,Vegas,Doja Cat,26,2022
232,32,Son Of A Sinner,Jelly Roll,25,2022
233,33,Circles Around This Town,Maren Morris,25,2022
234,34,Until I Found You,Stephen Sanchez,25,2022
235,35,Bad Habit,Steve Lacy,25,2022
236,36,I Ain't Worried,OneRepublic,25,2022
237,37,Get Into It (Yuh),Doja Cat,24,2022
238,38,Late Night Talking,Harry Styles,24,2022
239,39,AA,Walker Hayes,24,2022
240,40,Boyfriend,Dove Cameron,24,2022
241,41,Jimmy Cooks,Drake Featuring 21 Savage,24,2022
242,42,The Kind Of Love We Make,Luke Combs,23,2022
243,43,Moscow Mule,Bad Bunny,23,2022
244,44,5 Foot 9,Tyler Hubbard,22,2022
