rank,title,artist,image,weeks at no.1,last week,peak position,weeks on chart,detail,date
1,Perfect,Ed Sheeran,https://charts-static.billboard.com/img/2017/03/ed-sheeran-3vg-53x53.jpg,4,1,1,18,same,2018-01-06
2,Rockstar,Post Malone Featuring 21 Savage,https://charts-static.billboard.com/img/2017/10/post-malone-tp6-53x53.jpg,,2,1,15,same,2018-01-06
3,Havana,Camila Cabello Featuring Young Thug,https://charts-static.billboard.com/img/2017/08/camila-cabello-4tx-53x53.jpg,,3,2,20,same,2018-01-06
4,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,https://charts-static.billboard.com/img/2017/09/g-eazy-4o5-53x53.jpg,,5,4,16,up,2018-01-06
5,Thunder,Imagine Dragons,https://charts-static.billboard.com/img/2017/05/imagine-dragons-hy6-53x53.jpg,,6,4,35,up,2018-01-06
6,Gucci Gang,Lil Pump,https://charts-static.billboard.com/img/2017/09/lil-pump-9tf-53x53.jpg,,4,3,16,down,2018-01-06
7,MotorSport,"Migos, Nicki Minaj & Cardi B",https://charts-static.billboard.com/img/2017/11/migos-apk-53x53.jpg,,7,6,9,same,2018-01-06
8,Too Good At Goodbyes,Sam Smith,https://charts-static.billboard.com/img/2017/09/sam-smith-9q2-53x53.jpg,,8,4,16,same,2018-01-06
9,Bad At Love,Halsey,https://charts-static.billboard.com/img/2017/07/halsey-7xl-53x53.jpg,,10,8,17,up,2018-01-06
10,Bodak Yellow (Money Moves),Cardi B,https://charts-static.billboard.com/img/2017/07/cardi-b-n38-53x53.jpg,,12,1,26,up,2018-01-06
11,Love.,Kendrick Lamar Featuring Zacari,https://charts-static.billboard.com/img/2017/04/kendrick-lamar-h1y-53x53.jpg,,22,11,27,up,2018-01-06
12,New Rules,Dua Lipa,https://charts-static.billboard.com/img/2017/07/dua-lipa-vxi-53x53.jpg,,13,12,22,up,2018-01-06
13,All I Want For Christmas Is You,Mariah Carey,https://charts-static.billboard.com/img/1994/12/mariah-carey-tgq-53x53.jpg,,9,9,24,down,2018-01-06
14,Bartier Cardi,Cardi B Featuring 21 Savage,https://charts-static.billboard.com/img/2018/01/cardi-b-n38-53x53.jpg,,,,,new,2018-01-06
15,Gummo,6ix9ine,https://charts-static.billboard.com/img/2017/12/6ix9ine-dc4-53x53.jpg,,14,12,7,down,2018-01-06
16,I Fall Apart,Post Malone,https://charts-static.billboard.com/img/2016/12/post-malone-tp6-53x53.jpg,,16,16,14,same,2018-01-06
17,Let You Down,NF,https://charts-static.billboard.com/img/2017/10/nf-rht-53x53.jpg,,18,16,11,up,2018-01-06
18,Young Dumb & Broke,Khalid,https://charts-static.billboard.com/img/2017/05/khalid-53x53.jpg,,33,18,24,up,2018-01-06
19,Shape Of You,Ed Sheeran,https://charts-static.billboard.com/img/2011/07/ed-sheeran-3vg-53x53.jpg,,24,1,51,up,2018-01-06
20,Sorry Not Sorry,Demi Lovato,https://charts-static.billboard.com/img/2017/07/demi-lovato-rh9-53x53.jpg,,21,6,25,up,2018-01-06
21,What Lovers Do,Maroon 5 Featuring SZA,https://charts-static.billboard.com/img/2017/09/maroon-5-9st-53x53.jpg,,17,9,18,down,2018-01-06
22,I Get The Bag,Gucci Mane Featuring Migos,https://charts-static.billboard.com/img/2017/09/gucci-mane-fyx-53x53.jpg,,19,11,19,down,2018-01-06
23,Feel It Still,Portugal. The Man,https://charts-static.billboard.com/img/2017/03/portugal-the-man-l5z-53x53.jpg,,20,4,28,down,2018-01-06
24,Him & I,G-Eazy & Halsey,https://charts-static.billboard.com/img/2017/12/g-eazy-4o5-53x53.jpg,,15,15,4,down,2018-01-06
25,Believer,Imagine Dragons,https://charts-static.billboard.com/img/2017/02/imagine-dragons-hy6-53x53.jpg,,40,4,47,up,2018-01-06
