rank,title,artist,image,weeks at no.1,last week,peak position,weeks on chart,detail,date
1,All I Want For Christmas Is You,Mariah Carey,Not supported yet,5,2,1,43,up,2021-01-02
2,Rockin' Around The Christmas Tree,Brenda Lee,Not supported yet,,3,2,38,up,2021-01-02
3,Jingle Bell Rock,Bobby Helms,Not supported yet,,4,3,35,up,2021-01-02
4,A Holly Jolly Christmas,Burl Ives,https://charts-static.billboard.com/img/1998/01/burl-ives-tv0.jpg,,6,4,19,up,2021-01-02
5,It's The Most Wonderful Time Of The Year,Andy Williams,https://charts-static.billboard.com/img/2001/12/andy-williams-lz2.jpg,,7,5,20,up,2021-01-02
6,Feliz Navidad,Jose Feliciano,https://charts-static.billboard.com/img/1998/01/jose-feliciano-b5h.jpg,,10,6,14,up,2021-01-02
7,Mood,24kGoldn Featuring iann dior,Not supported yet,,5,1,20,down,2021-01-02
8,"Let It Snow, Let It Snow, Let It Snow",Dean Martin,https://charts-static.billboard.com/img/2011/12/dean-martin-mm0.jpg,,11,8,13,up,2021-01-02
9,Last Christmas,Wham!,https://charts-static.billboard.com/img/1998/01/wham-usx.jpg,,14,9,19,up,2021-01-02
10,Run Rudolph Run,Chuck Berry,https://charts-static.billboard.com/img/1958/12/chuck-berry-qde.jpg,,29,10,8,up,2021-01-02
11,The Christmas Song (Merry Christmas To You),Nat King Cole,Not supported yet,,15,11,26,up,2021-01-02
12,Underneath The Tree,Kelly Clarkson,Not supported yet,,28,12,9,up,2021-01-02
13,Sleigh Ride,The Ronettes,https://charts-static.billboard.com/img/2001/12/the-ronettes-k1e-sleigh-ride-60v.jpg,,19,13,11,up,2021-01-02
14,Positions,Ariana Grande,Not supported yet,,8,1,9,down,2021-01-02
15,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,https://charts-static.billboard.com/img/2013/12/perry-como-srg.jpg,,12,12,8,down,2021-01-02
16,Rudolph The Red-Nosed Reindeer,Gene Autry,https://charts-static.billboard.com/img/1998/12/gene-autry-o4a.jpg,,31,16,12,up,2021-01-02
17,Santa Tell Me,Ariana Grande,Not supported yet,,32,17,8,up,2021-01-02
18,Happy Holiday / The Holiday Season,Andy Williams,https://charts-static.billboard.com/img/2001/12/andy-williams-epf.jpg,,26,18,8,up,2021-01-02
19,Christmas (Baby Please Come Home),Darlene Love,https://charts-static.billboard.com/img/2014/12/darlene-love-pok.jpg,,37,19,7,up,2021-01-02
20,White Christmas,Bing Crosby,https://charts-static.billboard.com/img/1958/12/bing-crosby-q6i.jpg,,38,12,20,up,2021-01-02
21,Holy,Justin Bieber Featuring Chance The Rapper,Not supported yet,,13,3,14,down,2021-01-02
22,(There's No Place Like) Home For The Holidays,Perry Como,https://charts-static.billboard.com/img/2014/12/perry-como-srg.jpg,,43,22,7,up,2021-01-02
23,It's Beginning To Look A Lot Like Christmas,Michael Buble,Not supported yet,,42,23,5,up,2021-01-02
24,Go Crazy,Chris Brown & Young Thug,https://charts-static.billboard.com/img/2005/07/chris-brown-abf.jpg,,16,9,33,down,2021-01-02
25,Laugh Now Cry Later,Drake Featuring Lil Durk,Not supported yet,,17,2,19,down,2021-01-02
26,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,https://charts-static.billboard.com/img/2003/12/gene-autry-o4a.jpg,,69,26,10,up,2021-01-02
27,Levitating,Dua Lipa Featuring DaBaby,Not supported yet,,27,20,12,same,2021-01-02
28,Wonderful Christmastime,Paul McCartney,https://charts-static.billboard.com/img/1996/01/paul-mccartney-ntf.jpg,,46,28,4,up,2021-01-02
29,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,https://charts-static.billboard.com/img/2019/08/pop-smoke-5gi.jpg,,25,6,25,down,2021-01-02
30,I Hope,Gabby Barrett Featuring Charlie Puth,https://charts-static.billboard.com/img/2019/03/gabby-barrett-l86-i-hope-mnv.jpg,,20,3,52,down,2021-01-02
31,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,Not supported yet,,24,6,19,down,2021-01-02
32,"You're A Mean One, Mr. Grinch",Thurl Ravenscroft,Not supported yet,,None,32,2,re-entry,2021-01-02
