rank,title,artist,image,weeks at no.1,last week,peak position,weeks on chart,detail,date
1,Firework,Katy Perry,https://charts-static.billboard.com/img/2010/09/katy-perry-l8p-53x53.jpg,3,1,1,9,same,2011-01-01
2,Grenade,Bruno Mars,https://charts-static.billboard.com/img/2010/10/bruno-mars-va7-53x53.jpg,,3,2,12,up,2011-01-01
3,What's My Name?,Rihanna Featuring Drake,https://charts-static.billboard.com/img/2010/10/rihanna-v3t-53x53.jpg,,2,1,9,down,2011-01-01
4,Raise Your Glass,P!nk,https://charts-static.billboard.com/img/2010/10/pnk-e1s-53x53.jpg,,4,1,11,same,2011-01-01
5,We R Who We R,Ke$ha,https://charts-static.billboard.com/img/1840/12/kesha-iom-53x53.jpg,,5,1,8,same,2011-01-01
6,Just The Way You Are,Bruno Mars,https://charts-static.billboard.com/img/2010/08/bruno-mars-va7-53x53.jpg,,7,1,22,up,2011-01-01
7,Only Girl (In The World),Rihanna,https://charts-static.billboard.com/img/2010/09/rihanna-v3t-53x53.jpg,,6,1,15,down,2011-01-01
8,The Time (Dirty Bit),The Black Eyed Peas,https://charts-static.billboard.com/img/2010/11/the-black-eyed-peas-b9u-53x53.jpg,,8,4,6,same,2011-01-01
9,6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz,https://charts-static.billboard.com/img/2011/01/lil-wayne-9q6-53x53.jpg,,,,,new,2011-01-01
10,Just A Dream,Nelly,https://charts-static.billboard.com/img/2010/08/nelly-fmf-53x53.jpg,,9,3,18,down,2011-01-01
11,Bottoms Up,Trey Songz Featuring Nicki Minaj,https://charts-static.billboard.com/img/2010/07/trey-songz-kc8-53x53.jpg,,10,6,19,down,2011-01-01
12,Black And Yellow,Wiz Khalifa,https://charts-static.billboard.com/img/2010/10/wiz-khalifa-b1e-53x53.jpg,,11,11,11,down,2011-01-01
13,Tonight (I'm Lovin' You),Enrique Iglesias Featuring Ludacris & DJ Frank E,https://charts-static.billboard.com/img/2010/11/enrique-iglesias-m5f-53x53.jpg,,15,13,4,up,2011-01-01
14,Like A G6,Far*East Movement Featuring Cataracs & Dev,https://charts-static.billboard.com/img/2010/07/fareast-movement-tai-53x53.jpg,,12,1,19,down,2011-01-01
15,DJ Got Us Fallin' In Love,Usher Featuring Pitbull,https://charts-static.billboard.com/img/2010/07/usher-oqp-53x53.jpg,,13,4,23,down,2011-01-01
16,Stereo Love,Edward Maya & Vika Jigulina,https://charts-static.billboard.com/img/2009/12/edward-maya-v0j-53x53.jpg,,19,16,11,up,2011-01-01
17,Dynamite,Taio Cruz,https://charts-static.billboard.com/img/2010/06/taio-cruz-vf6-53x53.jpg,,14,2,29,down,2011-01-01
18,No Hands,Waka Flocka Flame Featuring Roscoe Dash & Wale,https://charts-static.billboard.com/img/2010/08/waka-flocka-flame-efd-53x53.jpg,,16,16,15,down,2011-01-01
19,Coming Home,Diddy - Dirty Money Featuring Skylar Grey,https://charts-static.billboard.com/img/2010/12/diddy-dirty-money-l2h-53x53.jpg,,24,19,4,up,2011-01-01
20,Yeah 3X,Chris Brown,https://charts-static.billboard.com/img/2010/11/chris-brown-cte-53x53.jpg,,22,20,8,up,2011-01-01
21,Please Don't Go,Mike Posner,https://charts-static.billboard.com/img/2010/08/mike-posner-oiz-53x53.jpg,,17,16,13,down,2011-01-01
22,Teenage Dream,Katy Perry,https://charts-static.billboard.com/img/2010/08/katy-perry-l8p-53x53.jpg,,20,1,22,down,2011-01-01
23,Animal,Neon Trees,https://charts-static.billboard.com/img/2010/02/neon-trees-p7d-53x53.jpg,,21,13,29,down,2011-01-01
24,F**k You! (Forget You),Cee Lo Green,https://charts-static.billboard.com/img/2010/09/cee-lo-green-hk2-53x53.jpg,,23,9,17,down,2011-01-01
25,Secrets,OneRepublic,https://charts-static.billboard.com/img/2009/11/onerepublic-bjw-53x53.jpg,,25,21,26,same,2011-01-01
26,Back To December,Taylor Swift,https:https://charts-static.billboard.com/img/2016/12/taylor-swift-53x53.jpg,,34,6,8,up,2011-01-01
27,Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain,https://charts-static.billboard.com/img/2010/10/pitbull-odu-53x53.jpg,,32,27,12,up,2011-01-01
28,Right Above It,Lil Wayne Featuring Drake,https://charts-static.billboard.com/img/2010/08/lil-wayne-9q6-53x53.jpg,,29,6,18,up,2011-01-01
29,Right Thru Me,Nicki Minaj,https://charts-static.billboard.com/img/2010/10/nicki-minaj-thi-53x53.jpg,,26,26,12,down,2011-01-01
30,Aston Martin Music,Rick Ross Featuring Drake & Chrisette Michele,https://charts-static.billboard.com/img/2010/07/rick-ross-oua-53x53.jpg,,33,30,12,up,2011-01-01
31,That's All She Wrote,T.I. Featuring Eminem,https://charts-static.billboard.com/img/2010/12/ti-e27-53x53.jpg,,18,18,2,down,2011-01-01
32,Club Can't Handle Me,Flo Rida Featuring David Guetta,https://charts-static.billboard.com/img/2010/07/flo-rida-8v1-53x53.jpg,,30,9,25,down,2011-01-01
33,I Like It,Enrique Iglesias Featuring Pitbull,https://charts-static.billboard.com/img/2010/05/enrique-iglesias-m5f-53x53.jpg,,31,4,32,down,2011-01-01
34,If I Die Young,The Band Perry,https://charts-static.billboard.com/img/2010/05/the-band-perry-lzw-53x53.jpg,,28,19,24,down,2011-01-01
35,Whip My Hair,Willow,Not supported yet,,27,11,9,down,2011-01-01
36,Somewhere With You,Kenny Chesney,https://charts-static.billboard.com/img/2010/11/kenny-chesney-en6-53x53.jpg,,37,36,7,up,2011-01-01
37,No Love,Eminem Featuring Lil Wayne,https://charts-static.billboard.com/img/2010/06/eminem-1xq-53x53.jpg,,38,23,16,up,2011-01-01
38,Deuces,Chris Brown Featuring Tyga & Kevin McCall,https://charts-static.billboard.com/img/2010/07/chris-brown-cte-53x53.jpg,,36,14,25,down,2011-01-01
39,Hold My Hand,Michael Jackson Duet With Akon,https://charts-static.billboard.com/img/2010/11/michael-jackson-9to-53x53.jpg,,65,39,5,up,2011-01-01
40,Felt Good On My Lips,Tim McGraw,https://charts-static.billboard.com/img/2010/10/tim-mcgraw-j7r-53x53.jpg,,41,26,7,up,2011-01-01
41,Rocketeer,Far*East Movement Featuring Ryan Tedder,Not supported yet,,60,41,3,up,2011-01-01
42,Pretty Girl Rock,Keri Hilson,https://charts-static.billboard.com/img/2010/10/keri-hilson-1r3-53x53.jpg,,45,42,4,up,2011-01-01
43,My Kinda Party,Jason Aldean,https://charts-static.billboard.com/img/2010/08/jason-aldean-jfn-53x53.jpg,,39,39,17,down,2011-01-01
44,Love The Way You Lie,Eminem Featuring Rihanna,https://charts-static.billboard.com/img/2010/06/eminem-1xq-53x53.jpg,,40,1,26,down,2011-01-01
45,Kush,Dr. Dre Featuring Snoop Dogg & Akon,https:https://charts-static.billboard.com/img/2010/12/dr-dre-h9l-53x53.jpg,,52,34,5,up,2011-01-01
46,Jar Of Hearts,Christina Perri,https://charts-static.billboard.com/img/2010/07/christina-perri-vd0-53x53.jpg,,49,34,12,up,2011-01-01
47,Stuck Like Glue,Sugarland,https://charts-static.billboard.com/img/2010/08/sugarland-661-53x53.jpg,,43,17,21,down,2011-01-01
48,Love Like Woe,The Ready Set,https://charts-static.billboard.com/img/2010/07/the-ready-set-nfr-53x53.jpg,,42,27,19,down,2011-01-01
49,Can't Be Friends,Trey Songz,https://charts-static.billboard.com/img/2017/06/trey-songz-53x53.jpg,,44,43,14,down,2011-01-01
50,Memories,David Guetta Featuring Kid Cudi,https://charts-static.billboard.com/img/2010/01/david-guetta-z71-53x53.jpg,,46,46,11,down,2011-01-01
51,Who Are You When I'm Not Looking,Blake Shelton,https://charts-static.billboard.com/img/2010/09/blake-shelton-22w-53x53.jpg,,54,51,7,up,2011-01-01
52,Mine,Taylor Swift,https:https://charts-static.billboard.com/img/2016/12/taylor-swift-53x53.jpg,,50,3,20,down,2011-01-01
53,Down On Me,Jeremih Featuring 50 Cent,https://charts-static.billboard.com/img/2010/09/jeremih-684-53x53.jpg,,62,53,6,up,2011-01-01
54,As She's Walking Away,Zac Brown Band Featuring Alan Jackson,https://charts-static.billboard.com/img/2010/08/zac-brown-band-elb-53x53.jpg,,47,32,19,down,2011-01-01
55,Rhythm of Love,Plain White T's,https://charts-static.billboard.com/img/2010/08/plain-white-ts-8xj-53x53.jpg,,55,55,14,same,2011-01-01
