rank,title,artist,image,last week,peak position,weeks on chart,detail,date,weeks at no.1
1,Please Don't Go,KC And The Sunshine Band,https://charts-static.billboard.com/img/1979/08/kc-and-the-sunshine-band-h7q-53x53.jpg,2,1,20,up,1980-01-05,
2,Escape (The Pina Colada Song),Rupert Holmes,https://charts-static.billboard.com/img/1979/10/rupert-holmes-6iw-53x53.jpg,1,1,12,down,1980-01-05,
3,Rock With You,Michael Jackson,https://charts-static.billboard.com/img/1840/12/michael-jackson-9to-53x53.jpg,11,3,10,up,1980-01-05,
4,Send One Your Love,Stevie Wonder,https://charts-static.billboard.com/img/1979/11/stevie-wonder-12f-53x53.jpg,4,4,10,same,1980-01-05,
5,Do That To Me One More Time,Captain & Tennille,https://charts-static.billboard.com/img/1979/10/captain-tennille-ft5-53x53.jpg,6,5,12,up,1980-01-05,
6,Babe,Styx,https://charts-static.billboard.com/img/1979/10/styx-2ra-53x53.jpg,3,1,14,down,1980-01-05,
7,Still,Commodores,https://charts-static.billboard.com/img/1979/09/commodores-lju-53x53.jpg,5,1,15,down,1980-01-05,
8,Coward Of The County,Kenny Rogers,https://charts-static.billboard.com/img/1979/11/kenny-rogers-vja-53x53.jpg,22,8,8,up,1980-01-05,
9,Ladies Night,Kool & The Gang,https://charts-static.billboard.com/img/1979/09/kool-the-gang-bbp-53x53.jpg,9,9,14,same,1980-01-05,
10,We Don't Talk Anymore,Cliff Richard,https://charts-static.billboard.com/img/1979/10/cliff-richard-uyb-53x53.jpg,13,10,12,up,1980-01-05,
11,Cool Change,Little River Band,https://charts-static.billboard.com/img/1979/10/little-river-band-45x-53x53.jpg,12,11,12,up,1980-01-05,
12,Cruisin',Smokey Robinson,https://charts-static.billboard.com/img/1979/10/smokey-robinson-ktg-53x53.jpg,15,12,14,up,1980-01-05,
13,The Long Run,Eagles,https://charts-static.billboard.com/img/1979/12/eagles-520-53x53.jpg,17,13,5,up,1980-01-05,
14,Head Games,Foreigner,https://charts-static.billboard.com/img/1979/11/foreigner-kky-53x53.jpg,14,14,9,same,1980-01-05,
15,Better Love Next Time,Dr. Hook,https://charts-static.billboard.com/img/1979/10/dr-hook-oph-53x53.jpg,16,15,13,up,1980-01-05,
16,Jane,Jefferson Starship,https://charts-static.billboard.com/img/1979/11/starship-djg-53x53.jpg,18,16,10,up,1980-01-05,
17,I Wanna Be Your Lover,Prince,https://charts-static.billboard.com/img/1979/09/prince-vp8-53x53.jpg,23,17,7,up,1980-01-05,
18,This Is It,Kenny Loggins,https://charts-static.billboard.com/img/1979/10/kenny-loggins-dn7-53x53.jpg,21,18,12,up,1980-01-05,
