rank,title,artist,image,weeks at no.1,last week,peak position,weeks on chart,detail,date
1,The Monster,Eminem Featuring Rihanna,https://charts-static.billboard.com/img/2013/11/eminem-1xq-53x53.jpg,3,1,1,8,same,2014-01-04
2,Timber,Pitbull Featuring Ke$ha,https://charts-static.billboard.com/img/2013/10/pitbull-odu-53x53.jpg,,2,2,11,same,2014-01-04
3,Counting Stars,OneRepublic,https://charts-static.billboard.com/img/2017/08/onerepublic-53x53.jpg,,3,3,27,same,2014-01-04
4,Say Something,A Great Big World & Christina Aguilera,https://charts-static.billboard.com/img/2013/10/a-great-big-world-b0r-53x53.jpg,,4,4,7,same,2014-01-04
5,Royals,Lorde,https://charts-static.billboard.com/img/2017/07/lorde-53x53.jpg,,5,1,25,same,2014-01-04
6,Demons,Imagine Dragons,https://charts-static.billboard.com/img/2012/08/imagine-dragons-hy6-53x53.jpg,,6,6,35,same,2014-01-04
7,Let Her Go,Passenger,https://charts-static.billboard.com/img/2016/10/passenger-53x53.jpg,,9,7,21,up,2014-01-04
8,Wake Me Up!,Avicii,https://charts-static.billboard.com/img/2013/07/avicii-5vi-53x53.jpg,,7,4,26,down,2014-01-04
9,Wrecking Ball,Miley Cyrus,https://charts-static.billboard.com/img/2013/09/miley-cyrus-clj-53x53.jpg,,8,1,18,down,2014-01-04
10,Story Of My Life,One Direction,Not supported yet,,10,6,8,same,2014-01-04
11,Roar,Katy Perry,https://charts-static.billboard.com/img/2013/08/katy-perry-l8p-53x53.jpg,,12,1,20,up,2014-01-04
12,Drunk In Love,Beyonce Featuring Jay Z,https://charts-static.billboard.com/img/2013/12/beyonce-1sm-53x53.jpg,,,,,new,2014-01-04
13,"Hold On, We're Going Home",Drake Featuring Majid Jordan,https://charts-static.billboard.com/img/1840/12/drake-zwl-53x53.jpg,,11,4,20,down,2014-01-04
14,Dark Horse,Katy Perry Featuring Juicy J,https://charts-static.billboard.com/img/2013/10/katy-perry-l8p-53x53.jpg,,22,14,14,up,2014-01-04
15,Burn,Ellie Goulding,https://charts-static.billboard.com/img/2013/07/ellie-goulding-1mr-53x53.jpg,,13,13,16,down,2014-01-04
16,Do What U Want,Lady Gaga Featuring R. Kelly,https://charts-static.billboard.com/img/2013/11/lady-gaga-gyl-53x53.jpg,,16,13,9,same,2014-01-04
17,Sweater Weather,The Neighbourhood,https://charts-static.billboard.com/img/2012/12/the-neighbourhood-ro9-53x53.jpg,,14,14,28,down,2014-01-04
18,Team,Lorde,https://charts-static.billboard.com/img/2013/09/lorde-pxl-53x53.jpg,,23,18,13,up,2014-01-04
19,White Walls,Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis,https://charts-static.billboard.com/img/2012/10/macklemore-ryan-lewis-th1-53x53.jpg,,15,15,14,down,2014-01-04
20,23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",https://charts-static.billboard.com/img/2013/09/mike-will-made-it-roq-53x53.jpg,,18,11,14,down,2014-01-04
21,Pompeii,Bastille,https://charts-static.billboard.com/img/2013/03/bastille-p0b-53x53.jpg,,24,21,19,up,2014-01-04
22,Stay The Night,Zedd Featuring Hayley Williams,https://charts-static.billboard.com/img/2013/09/zedd-edd-53x53.jpg,,19,19,14,down,2014-01-04
23,Unconditionally,Katy Perry,https://charts-static.billboard.com/img/2013/11/katy-perry-l8p-53x53.jpg,,17,14,9,down,2014-01-04
24,My Hitta,YG Featuring Jeezy & Rich Homie Quan,https://charts-static.billboard.com/img/2013/10/yg-fg4-53x53.jpg,,21,19,12,down,2014-01-04
25,Applause,Lady Gaga,https://charts-static.billboard.com/img/2013/08/lady-gaga-gyl-53x53.jpg,,20,4,19,down,2014-01-04
26,All I Want For Christmas Is You,Mariah Carey,https://charts-static.billboard.com/img/1994/12/mariah-carey-tgq-53x53.jpg,,27,21,7,up,2014-01-04
27,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,https://charts-static.billboard.com/img/2013/04/robin-thicke-cu8-53x53.jpg,,25,1,36,down,2014-01-04
28,Holy Grail,Jay Z Featuring Justin Timberlake,https://charts-static.billboard.com/img/2013/07/jay-z-gbw-53x53.jpg,,28,4,24,same,2014-01-04
29,Show Me,Kid Ink Featuring Chris Brown,https://charts-static.billboard.com/img/2013/10/kid-ink-9ar-53x53.jpg,,39,29,7,up,2014-01-04
