rank,title,artist,image,weeks at no.1,last week,peak position,weeks on chart,detail,date
1,Faith,George Michael,https://charts-static.billboard.com/img/1987/10/george-michael-6b3-53x53.jpg,4,1,1,11,same,1988-01-02
2,So Emotional,Whitney Houston,https://charts-static.billboard.com/img/1987/10/whitney-houston-m52-53x53.jpg,,2,2,10,same,1988-01-02
3,Is This Love,Whitesnake,https://charts-static.billboard.com/img/1987/10/whitesnake-2s6-53x53.jpg,,3,2,11,same,1988-01-02
4,Got My Mind Set On You,George Harrison,https://charts-static.billboard.com/img/1987/10/george-harrison-rre-53x53.jpg,,4,4,11,same,1988-01-02
5,Shake Your Love,Debbie Gibson,https://charts-static.billboard.com/img/1987/10/debbie-gibson-jzw-53x53.jpg,,5,4,14,same,1988-01-02
6,Don't You Want Me,Jody Watley,https://charts-static.billboard.com/img/1987/08/jody-watley-2kq-53x53.jpg,,6,6,14,same,1988-01-02
7,The Way You Make Me Feel,Michael Jackson,https://charts-static.billboard.com/img/1987/11/michael-jackson-9to-53x53.jpg,,7,7,7,same,1988-01-02
8,"Catch Me (I'm Falling) (From The Film ""Hiding Out"")",Pretty Poison,https://charts-static.billboard.com/img/1987/09/pretty-poison-twk-53x53.jpg,,8,8,15,same,1988-01-02
9,Cherry Bomb,John Mellencamp,https://charts-static.billboard.com/img/1987/09/john-mellencamp-tnp-53x53.jpg,,9,9,11,same,1988-01-02
10,Need You Tonight,INXS,https://charts-static.billboard.com/img/1987/10/inxs-lxc-53x53.jpg,,10,10,11,same,1988-01-02
11,Valerie,Steve Winwood,https://charts-static.billboard.com/img/1982/11/steve-winwood-6hs-53x53.jpg,,11,9,17,same,1988-01-02
12,Tell It To My Heart(Dub),Taylor Dayne,https://charts-static.billboard.com/img/1987/09/taylor-dayne-qas-53x53.jpg,,12,12,13,same,1988-01-02
13,Candle In The Wind,Elton John,https://charts-static.billboard.com/img/1987/10/elton-john-qls-53x53.jpg,,13,13,9,same,1988-01-02
14,Dude (Looks Like A Lady),Aerosmith,https://charts-static.billboard.com/img/1987/08/aerosmith-fsf-53x53.jpg,,14,14,14,same,1988-01-02
15,Hazy Shade Of Winter,The Bangles,https://charts-static.billboard.com/img/1987/11/the-bangles-9kl-53x53.jpg,,15,15,8,same,1988-01-02
16,Could've Been,Tiffany,https://charts-static.billboard.com/img/1987/11/tiffany-qt6-53x53.jpg,,16,16,6,same,1988-01-02
17,Heaven Is A Place On Earth,Belinda Carlisle,https://charts-static.billboard.com/img/1987/11/belinda-carlisle-kje-53x53.jpg,,17,1,15,same,1988-01-02
18,There's The Girl,Heart,https://charts-static.billboard.com/img/1987/11/heart-2lh-53x53.jpg,,18,18,9,same,1988-01-02
19,Animal,Def Leppard,https://charts-static.billboard.com/img/1987/08/def-leppard-3qx-53x53.jpg,,19,19,13,same,1988-01-02
20,Seasons Change,Expose,Not supported yet,,20,20,6,same,1988-01-02
21,(I've Had) The Time Of My Life,Bill Medley & Jennifer Warnes,https://charts-static.billboard.com/img/1987/08/bill-medley-0xb-53x53.jpg,,21,1,15,same,1988-01-02
22,Crazy,Icehouse,https://charts-static.billboard.com/img/1987/09/icehouse-c8n-53x53.jpg,,22,22,12,same,1988-01-02
23,I Could Never Take The Place Of Your Man,Prince,https://charts-static.billboard.com/img/1987/11/prince-vp8-53x53.jpg,,23,23,8,same,1988-01-02
24,That's What Love Is All About,Michael Bolton,https://charts-static.billboard.com/img/1987/09/michael-bolton-hcc-53x53.jpg,,24,19,18,same,1988-01-02
25,"Hungry Eyes (From ""Dirty Dancing"")",Eric Carmen,https://charts-static.billboard.com/img/1987/11/eric-carmen-e4d-53x53.jpg,,25,25,9,same,1988-01-02
26,I Want To Be Your Man,Roger,https://charts-static.billboard.com/img/1987/10/roger-ith-53x53.jpg,,26,26,8,same,1988-01-02
27,Power Of Love,Laura Branigan,https://charts-static.billboard.com/img/1987/10/laura-branigan-cd4-53x53.jpg,,27,27,11,same,1988-01-02
28,We'll Be Together,Sting,https://charts-static.billboard.com/img/1987/10/sting-fr9-53x53.jpg,,28,7,13,same,1988-01-02
29,Should've Known Better,Richard Marx,https://charts-static.billboard.com/img/1987/09/richard-marx-xrr-53x53.jpg,,29,3,15,same,1988-01-02
30,Tunnel Of Love,Bruce Springsteen,https://charts-static.billboard.com/img/1987/10/bruce-springsteen-the-e-street-band-uup-53x53.jpg,,30,30,5,same,1988-01-02
31,I Live For Your Love,Natalie Cole,https://charts-static.billboard.com/img/1987/11/natalie-cole-fq7-53x53.jpg,,31,31,9,same,1988-01-02
32,True Faith,New Order,https://charts-static.billboard.com/img/1987/08/new-order-2u8-53x53.jpg,,32,32,11,same,1988-01-02
33,Say You Will,Foreigner,https://charts-static.billboard.com/img/1987/12/foreigner-kky-53x53.jpg,,33,33,5,same,1988-01-02
34,Don't Shed A Tear,Paul Carrack,https://charts-static.billboard.com/img/1987/11/paul-carrack-jmo-53x53.jpg,,34,34,8,same,1988-01-02
35,Pop Goes The World,Men Without Hats,https://charts-static.billboard.com/img/1987/10/men-without-hats-bpc-53x53.jpg,,35,35,10,same,1988-01-02
