rank,title,artist,image,weeks at no.1,last week,peak position,weeks on chart,detail,date
1,"Say You, Say Me",Lionel Richie,https://charts-static.billboard.com/img/1840/12/lionel-richie-srd-53x53.jpg,3,1,1,9,same,1986-01-04
2,Party All The Time,Eddie Murphy,https://charts-static.billboard.com/img/1985/09/eddie-murphy-45f-53x53.jpg,,2,2,14,same,1986-01-04
3,Alive & Kicking,Simple Minds,https://charts-static.billboard.com/img/1985/10/simple-minds-20s-53x53.jpg,,3,3,12,same,1986-01-04
4,That's What Friends Are For,Dionne & Friends,https://charts-static.billboard.com/img/1985/11/dionne-warwick-6mm-53x53.jpg,,4,4,9,same,1986-01-04
5,I Miss You,Klymaxx,https://charts-static.billboard.com/img/1985/09/klymaxx-b0a-53x53.jpg,,5,5,17,same,1986-01-04
6,Small Town,John Mellencamp,https://charts-static.billboard.com/img/1985/09/john-mellencamp-tnp-53x53.jpg,,6,6,10,same,1986-01-04
7,Broken Wings,Mr. Mister,https://charts-static.billboard.com/img/1985/08/mr-mister-ze5-53x53.jpg,,7,1,16,same,1986-01-04
8,Separate Lives,Phil Collins and Marilyn Martin,https://charts-static.billboard.com/img/1985/10/phil-collins-zdh-53x53.jpg,,8,1,14,same,1986-01-04
9,Tonight She Comes,The Cars,https://charts-static.billboard.com/img/1985/11/the-cars-ndj-53x53.jpg,,9,9,10,same,1986-01-04
10,Election Day,Arcadia,https://charts-static.billboard.com/img/1985/10/arcadia-7xm-53x53.jpg,,10,6,11,same,1986-01-04
11,Talk To Me,Stevie Nicks,https://charts-static.billboard.com/img/1985/11/stevie-nicks-dt0-53x53.jpg,,11,11,8,same,1986-01-04
12,Sleeping Bag,ZZ Top,https://charts-static.billboard.com/img/1985/10/zz-top-l8g-53x53.jpg,,12,8,12,same,1986-01-04
13,Walk Of Life,Dire Straits,https://charts-static.billboard.com/img/1985/06/dire-straits-w73-53x53.jpg,,13,13,10,same,1986-01-04
14,Perfect Way,Scritti Politti,https://charts-static.billboard.com/img/1985/09/scritti-politti-sme-53x53.jpg,,14,11,18,same,1986-01-04
15,Burning Heart,Survivor,https://charts-static.billboard.com/img/1985/11/survivor-yca-53x53.jpg,,15,15,10,same,1986-01-04
16,My Hometown,Bruce Springsteen,https://charts-static.billboard.com/img/1985/12/bruce-springsteen-the-e-street-band-uup-53x53.jpg,,16,16,5,same,1986-01-04
17,Love Is The Seventh Wave,Sting,https://charts-static.billboard.com/img/1985/11/sting-fr9-53x53.jpg,,17,17,9,same,1986-01-04
18,Emergency,Kool & The Gang,https://charts-static.billboard.com/img/1985/10/kool-the-gang-bbp-53x53.jpg,,18,18,11,same,1986-01-04
19,It's Only Love,Bryan Adams/Tina Turner,https://charts-static.billboard.com/img/1985/11/bryan-adams-xrt-53x53.jpg,,19,19,7,same,1986-01-04
20,I'm Your Man,Wham!,https://charts-static.billboard.com/img/1985/11/wham-usx-53x53.jpg,,20,20,6,same,1986-01-04
21,Conga,Miami Sound Machine,https://charts-static.billboard.com/img/1985/09/gloria-estefan-7bs-53x53.jpg,,21,21,12,same,1986-01-04
22,Go Home,Stevie Wonder,https://charts-static.billboard.com/img/1985/11/stevie-wonder-12f-53x53.jpg,,22,22,7,same,1986-01-04
23,You're A Friend Of Mine,Clarence Clemons & Jackson Browne,https://charts-static.billboard.com/img/1985/10/clarence-clemons-i7y-53x53.jpg,,23,23,11,same,1986-01-04
24,Spies Like Us,Paul McCartney,https://charts-static.billboard.com/img/1985/11/paul-mccartney-ntf-53x53.jpg,,24,24,7,same,1986-01-04
25,Never,Heart,https://charts-static.billboard.com/img/1986/12/heart-2lh-53x53.jpg,,25,4,17,same,1986-01-04
26,We Built This City,Starship,https://charts-static.billboard.com/img/1985/09/starship-djg-53x53.jpg,,26,1,18,same,1986-01-04
27,Goodbye,Night Ranger,https://charts-static.billboard.com/img/1985/11/night-ranger-srx-53x53.jpg,,27,27,9,same,1986-01-04
