rank,title,artist,image,weeks at no.1,last week,peak position,weeks on chart,detail,date
1,Independent Women Part I,Destiny's Child,https://charts-static.billboard.com/img/2000/09/destinys-child-31s-53x53.jpg,8,1,1,16,same,2001-01-06
2,He Loves U Not,Dream,Not supported yet,,2,2,15,same,2001-01-06
3,It Wasn't Me,"Shaggy Featuring Ricardo ""RikRok"" Ducent",https://charts-static.billboard.com/img/2000/09/shaggy-1l9-53x53.jpg,,3,2,10,same,2001-01-06
4,Case Of The Ex (Whatcha Gonna Do),Mya,https://charts-static.billboard.com/img/2000/07/mya-bk2-53x53.jpg,,4,2,21,same,2001-01-06
5,With Arms Wide Open,Creed,https://charts-static.billboard.com/img/2000/03/creed-r7u-53x53.jpg,,5,1,35,same,2001-01-06
6,Ms. Jackson,OutKast,https://charts-static.billboard.com/img/2000/10/outkast-294-53x53.jpg,,6,6,9,same,2001-01-06
7,The Way You Love Me,Faith Hill,https://charts-static.billboard.com/img/1999/11/faith-hill-go6-53x53.jpg,,7,7,36,same,2001-01-06
8,Dance With Me,Debelah Morgan,https://charts-static.billboard.com/img/2000/07/debelah-morgan-att-53x53.jpg,,10,8,24,up,2001-01-06
9,If You're Gone,matchbox twenty,https://charts-static.billboard.com/img/2000/10/matchbox-twenty-cm2-53x53.jpg,,8,8,12,down,2001-01-06
10,Liquid Dreams,O-Town,https://charts-static.billboard.com/img/2000/12/o-town-yux-53x53.jpg,,17,10,3,up,2001-01-06
11,This I Promise You,'N Sync,https://charts-static.billboard.com/img/2000/04/n-sync-yuh-53x53.jpg,,12,5,15,up,2001-01-06
12,I Just Wanna Love U (Give It 2 Me),JAY-Z,https://charts-static.billboard.com/img/2000/10/jay-z-gbw-53x53.jpg,,11,11,11,down,2001-01-06
13,Again,Lenny Kravitz,https://charts-static.billboard.com/img/2000/10/lenny-kravitz-jjg-53x53.jpg,,16,13,8,up,2001-01-06
14,Love Don't Cost A Thing,Jennifer Lopez,https://charts-static.billboard.com/img/2000/12/jennifer-lopez-eme-53x53.jpg,,20,14,5,up,2001-01-06
15,Kryptonite,3 Doors Down,https://charts-static.billboard.com/img/2000/01/3-doors-down-qu6-53x53.jpg,,9,3,40,down,2001-01-06
16,Most Girls,P!nk,https://charts-static.billboard.com/img/2000/06/pnk-e1s-53x53.jpg,,14,4,22,down,2001-01-06
17,Gotta Tell You,Samantha Mumba,https://charts-static.billboard.com/img/2000/08/samantha-mumba-d4s-53x53.jpg,,13,4,18,down,2001-01-06
18,I Wish,R. Kelly,https://charts-static.billboard.com/img/2000/09/r-kelly-ct9-53x53.jpg,,15,15,15,down,2001-01-06
19,E.I.,Nelly,https://charts-static.billboard.com/img/2000/08/nelly-fmf-53x53.jpg,,18,16,14,down,2001-01-06
20,Pinch Me,Barenaked Ladies,https://charts-static.billboard.com/img/2000/08/barenaked-ladies-otk-53x53.jpg,,22,15,18,up,2001-01-06
21,Crazy For This Girl,Evan And Jaron,Not supported yet,,23,21,10,up,2001-01-06
22,Stronger,Britney Spears,https://charts-static.billboard.com/img/2000/11/britney-spears-s89-53x53.jpg,,29,22,6,up,2001-01-06
23,Danger (Been So Long),Mystikal Featuring Nivea,https://charts-static.billboard.com/img/2000/10/mystikal-9f7-53x53.jpg,,32,23,4,up,2001-01-06
24,What's Your Fantasy,Ludacris Featuring Shawnna,https://charts-static.billboard.com/img/2000/06/ludacris-5cn-53x53.jpg,,24,21,15,same,2001-01-06
25,So In Love With Two,Mikaila,https://charts-static.billboard.com/img/2000/10/mikaila-gqw-53x53.jpg,,39,25,7,up,2001-01-06
26,Don't Tell Me,Madonna,https://charts-static.billboard.com/img/2000/11/madonna-rq3-53x53.jpg,,30,26,5,up,2001-01-06
27,Music,Madonna,https://charts-static.billboard.com/img/2000/08/madonna-rq3-53x53.jpg,,27,1,22,same,2001-01-06
28,Beautiful Day,U2,https://charts-static.billboard.com/img/2000/09/u2-uun-53x53.jpg,,25,25,14,down,2001-01-06
29,Shape Of My Heart,Backstreet Boys,https://charts-static.billboard.com/img/2000/10/backstreet-boys-fo7-53x53.jpg,,19,9,13,down,2001-01-06
30,Between Me And You,Ja Rule Featuring Christina Milian,https://charts-static.billboard.com/img/2000/07/ja-rule-p2l-53x53.jpg,,21,11,17,down,2001-01-06
31,My First Love,Avant Featuring KeKe Wyatt,https://charts-static.billboard.com/img/2000/09/avant-jma-53x53.jpg,,26,26,10,down,2001-01-06
32,Crazy,K-Ci & JoJo,https://charts-static.billboard.com/img/2000/10/k-ci-jojo-9uq-53x53.jpg,,38,32,5,up,2001-01-06
33,Bow Wow (That's My Name),Lil Bow Wow,https://charts-static.billboard.com/img/2000/11/bow-wow-ywr-53x53.jpg,,41,33,7,up,2001-01-06
34,Hemorrhage (In My Hands),Fuel,https://charts-static.billboard.com/img/2000/08/fuel-w2z-53x53.jpg,,35,34,11,up,2001-01-06
35,Just Friends (Sunny),Musiq,https://charts-static.billboard.com/img/2000/08/musiq-soulchild-x1e-53x53.jpg,,31,31,13,down,2001-01-06
36,Don't Think I'm Not,Kandi,https://charts-static.billboard.com/img/2000/06/kandi-c8y-53x53.jpg,,40,24,23,up,2001-01-06
37,South Side,Moby Featuring Gwen Stefani,https://charts-static.billboard.com/img/2000/11/moby-jp5-53x53.jpg,,59,37,6,up,2001-01-06
38,Bent,matchbox twenty,https://charts-static.billboard.com/img/2000/04/matchbox-twenty-cm2-53x53.jpg,,37,1,37,down,2001-01-06
39,Mamacita,Public Announcement,https://charts-static.billboard.com/img/2000/10/public-announcement-nx9-53x53.jpg,,52,39,3,up,2001-01-06
40,My Next Thirty Years,Tim McGraw,https://charts-static.billboard.com/img/2000/04/tim-mcgraw-j7r-53x53.jpg,,28,27,12,down,2001-01-06
41,No More (Baby I'ma Do Right),3LW,https://charts-static.billboard.com/img/2000/09/3lw-r7l-53x53.jpg,,48,41,10,up,2001-01-06
42,The Christmas Shoes,NewSong,https://charts-static.billboard.com/img/2000/12/newsong-tvl-53x53.jpg,,68,42,2,up,2001-01-06
43,My Everything,98 Degrees,Not supported yet,,44,43,5,up,2001-01-06
44,Without You,Dixie Chicks,https://charts-static.billboard.com/img/1999/09/dixie-chicks-1tn-53x53.jpg,,33,31,14,down,2001-01-06
45,I Lost It,Kenny Chesney,https://charts-static.billboard.com/img/2000/08/kenny-chesney-en6-53x53.jpg,,36,34,12,down,2001-01-06
46,Born To Fly,Sara Evans,https://charts-static.billboard.com/img/2000/07/sara-evans-fvv-53x53.jpg,,34,34,12,down,2001-01-06
47,Project Chick,Cash Money Millionaires,Not supported yet,,60,47,4,up,2001-01-06
48,You're A God,Vertical Horizon,https://charts-static.billboard.com/img/2000/07/vertical-horizon-dd0-53x53.jpg,,46,23,20,down,2001-01-06
49,Best Of Intentions,Travis Tritt,https://charts-static.billboard.com/img/2000/07/travis-tritt-apa-53x53.jpg,,45,27,21,down,2001-01-06
50,Promise,Jagged Edge,https://charts-static.billboard.com/img/2000/10/jagged-edge-o2z-53x53.jpg,,64,50,3,up,2001-01-06
51,One Woman Man,Dave Hollister,https://charts-static.billboard.com/img/2000/09/dave-hollister-c2h-53x53.jpg,,54,51,5,up,2001-01-06
52,Put It On Me,Ja Rule Featuring Lil' Mo & Vita,https://charts-static.billboard.com/img/2000/11/ja-rule-p2l-53x53.jpg,,85,52,3,up,2001-01-06
53,Emotional,Carl Thomas,https://charts-static.billboard.com/img/2000/05/carl-thomas-976-53x53.jpg,,47,47,7,down,2001-01-06
54,She Bangs,Ricky Martin,https://charts-static.billboard.com/img/2000/10/ricky-martin-dcj-53x53.jpg,,43,12,14,down,2001-01-06
55,We Danced,Brad Paisley,https://charts-static.billboard.com/img/2000/07/brad-paisley-ws4-53x53.jpg,,42,29,13,down,2001-01-06
56,Tell Her,Lonestar,https://charts-static.billboard.com/img/2000/09/lonestar-2an-53x53.jpg,,50,50,8,down,2001-01-06
57,Angel,Shaggy Featuring Rayvon,https://charts-static.billboard.com/img/2000/11/shaggy-1l9-53x53.jpg,,81,57,2,up,2001-01-06
58,The Itch,Vitamin C,https://charts-static.billboard.com/img/2000/11/vitamin-c-ou3-53x53.jpg,,57,45,6,down,2001-01-06
59,Loser,3 Doors Down,https://charts-static.billboard.com/img/2000/06/3-doors-down-qu6-53x53.jpg,,61,55,12,up,2001-01-06
60,It's Over Now,112,https://charts-static.billboard.com/img/2000/11/112-9qc-53x53.jpg,,65,60,5,up,2001-01-06
