rank,title,artist,image,weeks at no.1,last week,peak position,weeks on chart,detail,date
1,Like A Virgin,Madonna,https://charts-static.billboard.com/img/1984/11/madonna-rq3-53x53.jpg,3,1,1,8,same,1985-01-05
2,The Wild Boys,Duran Duran,https://charts-static.billboard.com/img/1984/11/duran-duran-xho-53x53.jpg,,2,2,10,same,1985-01-05
3,Sea Of Love,The Honeydrippers,Not supported yet,,4,3,13,up,1985-01-05
4,Cool It Now,New Edition,https://charts-static.billboard.com/img/1984/09/new-edition-669-53x53.jpg,,5,4,16,up,1985-01-05
5,We Belong,Pat Benatar,https://charts-static.billboard.com/img/1984/10/pat-benatar-lo1-53x53.jpg,,6,5,11,up,1985-01-05
6,All I Need,Jack Wagner,https://charts-static.billboard.com/img/1984/10/jack-wagner-ooi-53x53.jpg,,9,6,12,up,1985-01-05
7,Out Of Touch,Daryl Hall John Oates,Not supported yet,,3,1,15,down,1985-01-05
8,Run To You,Bryan Adams,https://charts-static.billboard.com/img/1984/11/bryan-adams-xrt-53x53.jpg,,12,8,10,up,1985-01-05
9,You're The Inspiration,Chicago,https://charts-static.billboard.com/img/1984/11/chicago-46u-53x53.jpg,,15,9,8,up,1985-01-05
10,Valotte,Julian Lennon,https://charts-static.billboard.com/img/1984/10/julian-lennon-zfu-53x53.jpg,,10,10,12,same,1985-01-05
11,Born In The USA,Bruce Springsteen,https:https://charts-static.billboard.com/img/1984/06/bruce-springsteen-the-e-street-band-uup-born-in-the-usa-xyi-87x87.jpg,,14,11,9,up,1985-01-05
12,I Feel For You,Chaka Khan,https://charts-static.billboard.com/img/1984/09/chaka-khan-h18-53x53.jpg,,7,3,18,down,1985-01-05
13,Do What You Do,Jermaine Jackson,https://charts-static.billboard.com/img/1984/10/jermaine-jackson-z2t-53x53.jpg,,17,13,11,up,1985-01-05
14,I Want To Know What Love Is,Foreigner,https://charts-static.billboard.com/img/1984/12/foreigner-kky-53x53.jpg,,21,14,5,up,1985-01-05
15,No More Lonely Nights,Paul McCartney,https://charts-static.billboard.com/img/1984/10/paul-mccartney-ntf-53x53.jpg,,8,6,13,down,1985-01-05
16,Easy Lover,Philip Bailey With Phil Collins,https://charts-static.billboard.com/img/1984/11/philip-bailey-2v1-53x53.jpg,,22,16,7,up,1985-01-05
17,Understanding,Bob Seger,https://charts-static.billboard.com/img/1984/10/bob-seger-moj-53x53.jpg,,19,17,9,up,1985-01-05
18,Jamie,Ray Parker Jr.,Not supported yet,,25,18,8,up,1985-01-05
19,The Boys Of Summer,Don Henley,https://charts-static.billboard.com/img/1984/11/don-henley-4ps-53x53.jpg,,27,19,9,up,1985-01-05
20,Do They Know It's Christmas?,Band-Aid,Not supported yet,,65,20,3,up,1985-01-05
21,All Through The Night,Cyndi Lauper,https://charts-static.billboard.com/img/1984/10/cyndi-lauper-wjs-53x53.jpg,,13,5,14,down,1985-01-05
22,I Can't Hold Back,Survivor,https://charts-static.billboard.com/img/1984/09/survivor-yca-53x53.jpg,,16,13,17,down,1985-01-05
23,Careless Whisper,Wham! Featuring George Michael,https://charts-static.billboard.com/img/1984/12/wham-usx-53x53.jpg,,37,23,3,up,1985-01-05
