rank,title,artist,image,weeks at no.1,last week,peak position,weeks on chart,detail,date
1,Another Day In Paradise,Phil Collins,https://charts-static.billboard.com/img/1989/11/phil-collins-zdh-53x53.jpg,3,1,1,10,same,1990-01-06
2,Rhythm Nation,Janet Jackson,https://charts-static.billboard.com/img/1989/11/janet-jackson-9z4-53x53.jpg,,4,2,9,up,1990-01-06
3,Don't Know Much,Linda Ronstadt (Featuring Aaron Neville),https://charts-static.billboard.com/img/1989/09/aaron-neville-u0k-53x53.jpg,,2,2,15,down,1990-01-06
4,Pump Up The Jam,Technotronic Featuring Felly,https://charts-static.billboard.com/img/1989/09/technotronic-95d-53x53.jpg,,7,4,13,up,1990-01-06
5,With Every Beat Of My Heart,Taylor Dayne,https://charts-static.billboard.com/img/1989/10/taylor-dayne-qas-53x53.jpg,,5,5,12,same,1990-01-06
6,How Am I Supposed To Live Without You,Michael Bolton,https://charts-static.billboard.com/img/1990/12/michael-bolton-hcc-53x53.jpg,,11,6,11,up,1990-01-06
7,This One's For The Children,New Kids On The Block,https://charts-static.billboard.com/img/1989/11/new-kids-on-the-block-8hy-53x53.jpg,,9,7,9,up,1990-01-06
8,Just Like Jesse James,Cher,https://charts-static.billboard.com/img/1989/10/cher-n7y-53x53.jpg,,8,8,12,same,1990-01-06
9,We Didn't Start The Fire,Billy Joel,https://charts-static.billboard.com/img/1989/10/billy-joel-9l9-53x53.jpg,,3,1,13,down,1990-01-06
10,Everything,Jody Watley,https://charts-static.billboard.com/img/1989/10/jody-watley-2kq-53x53.jpg,,12,10,13,up,1990-01-06
11,Back To Life,Soul II Soul,https://charts-static.billboard.com/img/1989/09/soul-ii-soul-dxt-53x53.jpg,,6,4,16,down,1990-01-06
12,Swing The Mood,Jive Bunny & The Mastermixers,Not supported yet,,14,12,11,up,1990-01-06
13,Just Between You And Me,Lou Gramm,https://charts-static.billboard.com/img/1989/10/lou-gramm-nnp-53x53.jpg,,15,13,11,up,1990-01-06
14,Free Fallin',Tom Petty,https://charts-static.billboard.com/img/1989/05/tom-petty-and-the-heartbreakers-eog-53x53.jpg,,17,14,10,up,1990-01-06
15,Love Song,Tesla,https://charts-static.billboard.com/img/1989/09/tesla-trh-53x53.jpg,,16,15,15,up,1990-01-06
16,Downtown Train,Rod Stewart,https://charts-static.billboard.com/img/1840/12/rod-stewart-ao5-53x53.jpg,,19,16,7,up,1990-01-06
17,When The Night Comes,Joe Cocker,https://charts-static.billboard.com/img/1989/10/joe-cocker-3wq-53x53.jpg,,18,17,11,up,1990-01-06
18,Two To Make It Right,Seduction,https://charts-static.billboard.com/img/1989/11/seduction-9vv-53x53.jpg,,20,18,9,up,1990-01-06
19,Living In Sin,Bon Jovi,https://charts-static.billboard.com/img/1989/10/bon-jovi-g8x-53x53.jpg,,10,9,14,down,1990-01-06
20,Oh Father,Madonna,https://charts-static.billboard.com/img/1989/11/madonna-rq3-53x53.jpg,,21,20,9,up,1990-01-06
21,Blame It On The Rain,Milli Vanilli,https://charts-static.billboard.com/img/1989/10/milli-vanilli-uay-53x53.jpg,,13,1,14,down,1990-01-06
22,I Remember You,Skid Row,https://charts-static.billboard.com/img/1989/10/skid-row-5mk-53x53.jpg,,26,22,8,up,1990-01-06
23,Rock And A Hard Place,The Rolling Stones,https://charts-static.billboard.com/img/1989/11/the-rolling-stones-3a7-53x53.jpg,,23,23,10,same,1990-01-06
24,Janie's Got A Gun,Aerosmith,https://charts-static.billboard.com/img/1989/09/aerosmith-fsf-53x53.jpg,,29,24,7,up,1990-01-06
25,I'll Be Good To You,Quincy Jones Featuring Ray Charles & Chaka Khan,https://charts-static.billboard.com/img/1840/12/quincy-jones-3md-53x53.jpg,,30,25,8,up,1990-01-06
26,Tender Lover,Babyface,https://charts-static.billboard.com/img/1840/12/babyface-qq8-53x53.jpg,,32,26,8,up,1990-01-06
27,Peace In Our Time,Eddie Money,https://charts-static.billboard.com/img/1989/12/eddie-money-6yi-53x53.jpg,,34,27,6,up,1990-01-06
28,Love Shack,The B-52s,https://charts-static.billboard.com/img/2017/04/the-b52s-53x53.jpg,,22,3,19,down,1990-01-06
29,What Kind Of Man Would I Be?,Chicago,https://charts-static.billboard.com/img/1989/12/chicago-46u-53x53.jpg,,38,29,6,up,1990-01-06
30,Don't Close Your Eyes,KIX,https://charts-static.billboard.com/img/1989/09/kix-rrn-53x53.jpg,,24,11,18,down,1990-01-06
31,Tell Me Why,Expose,Not supported yet,,40,31,5,up,1990-01-06
32,Opposites Attract,Paula Abdul (Duet With The Wild Pair),https://charts-static.billboard.com/img/1989/12/paula-abdul-3yb-53x53.jpg,,47,32,4,up,1990-01-06
33,(It's Just) The Way That You Love Me,Paula Abdul,https://charts-static.billboard.com/img/1988/09/paula-abdul-3yb-53x53.jpg,,25,3,21,down,1990-01-06
34,Was It Nothing At All,Michael Damian,https://charts-static.billboard.com/img/1989/10/michael-damian-326-53x53.jpg,,39,34,11,up,1990-01-06
35,Principal's Office,Young M.C.,Not supported yet,,43,35,7,up,1990-01-06
36,Bust A Move,Young M.C.,Not supported yet,,33,7,24,down,1990-01-06
37,Kickstart My Heart,Motley Crue,https://charts-static.billboard.com/img/1989/11/motley-crue-qt0-53x53.jpg,,49,37,7,up,1990-01-06
38,When I See You Smile,Bad English,https://charts-static.billboard.com/img/1989/09/bad-english-jjh-53x53.jpg,,27,1,17,down,1990-01-06
39,Steamy Windows,Tina Turner,https://charts-static.billboard.com/img/1989/11/tina-turner-kd3-53x53.jpg,,48,39,7,up,1990-01-06
40,Dangerous,Roxette,https://charts-static.billboard.com/img/1989/12/roxette-qd2-53x53.jpg,,50,40,4,up,1990-01-06
41,I Want You,Shana,Not supported yet,,41,41,14,same,1990-01-06
42,Don't Make Me Over,Sybil,https://charts-static.billboard.com/img/1989/09/sybil-r8s-53x53.jpg,,35,20,16,down,1990-01-06
43,Nothin' To Hide,Poco,https://charts-static.billboard.com/img/1989/12/poco-eyh-53x53.jpg,,54,43,6,up,1990-01-06
44,Here We Are,Gloria Estefan,https://charts-static.billboard.com/img/1989/12/gloria-estefan-7bs-53x53.jpg,,55,44,4,up,1990-01-06
45,We Can't Go Wrong,The Cover Girls,https://charts-static.billboard.com/img/1989/12/the-cover-girls-j9q-53x53.jpg,,56,45,5,up,1990-01-06
46,Fool For Your Loving,Whitesnake,https://charts-static.billboard.com/img/1980/08/whitesnake-2s6-53x53.jpg,,37,37,18,down,1990-01-06
47,The Last Worthless Evening,Don Henley,https://charts-static.billboard.com/img/1989/09/don-henley-4ps-53x53.jpg,,31,21,14,down,1990-01-06
48,No More Lies,Michel'le,https://charts-static.billboard.com/img/1989/11/michelle-t9z-53x53.jpg,,52,48,8,up,1990-01-06
49,Angelia,Richard Marx,https://charts-static.billboard.com/img/1989/10/richard-marx-xrr-53x53.jpg,,28,4,14,down,1990-01-06
50,Me So Horny,The 2 Live Crew,https://charts-static.billboard.com/img/1989/08/the-2-live-crew-qp8-53x53.jpg,,42,26,18,down,1990-01-06
51,All Or Nothing,Milli Vanilli,Not supported yet,,,,,new,1990-01-06
