rank,title,artist,image,weeks at no.1,last week,peak position,weeks on chart,detail,date
46,Understanding,Xscape,https://charts-static.billboard.com/img/1993/11/xscape-xav-53x53.jpg,,42,42,2,down,1994-01-01
47,Slow And Easy,Zapp & Roger,Not supported yet,,44,44,10,down,1994-01-01
48,If,Janet Jackson,https://charts-static.billboard.com/img/1993/05/janet-jackson-9z4-53x53.jpg,,43,4,24,down,1994-01-01
49,No Rain,Blind Melon,https://charts-static.billboard.com/img/1993/07/blind-melon-9q8-53x53.jpg,,41,20,20,down,1994-01-01
50,Both Sides Of The Story,Phil Collins,https://charts-static.billboard.com/img/1993/10/phil-collins-zdh-53x53.jpg,,37,25,10,down,1994-01-01
51,Cantaloop (Flip Fantasia),US3,https://charts-static.billboard.com/img/1993/11/us3-ghj-53x53.jpg,,54,51,6,up,1994-01-01
52,"Two Steps Behind (From ""Last Action Hero"")",Def Leppard,https://charts-static.billboard.com/img/1993/07/def-leppard-3qx-53x53.jpg,,50,12,17,down,1994-01-01
53,Award Tour,A Tribe Called Quest,https://charts-static.billboard.com/img/1993/10/a-tribe-called-quest-o81-53x53.jpg,,55,53,9,up,1994-01-01
54,Miss You In A Heartbeat,Def Leppard,https://charts-static.billboard.com/img/1993/12/def-leppard-3qx-53x53.jpg,,59,54,4,up,1994-01-01
55,Goody Goody,Lisette Melendez,https://charts-static.billboard.com/img/1993/11/lisette-melendez-q82-53x53.jpg,,58,55,4,up,1994-01-01
56,True Love,Elton John & Kiki Dee,https://charts-static.billboard.com/img/1993/11/kiki-dee-000-53x53.jpg,,56,56,6,same,1994-01-01
57,God Blessed Texas,Little Texas,https://charts-static.billboard.com/img/1993/10/little-texas-bxw-53x53.jpg,,65,57,8,up,1994-01-01
58,I'll Be Loving You,Collage,Not supported yet,,60,57,6,up,1994-01-01
59,Come Inside,Intro,https://charts-static.billboard.com/img/1993/08/intro-m29-53x53.jpg,,57,33,18,down,1994-01-01
60,"Soul To Squeeze (From ""Coneheads"")",Red Hot Chili Peppers,https://charts-static.billboard.com/img/1993/08/red-hot-chili-peppers-c0t-53x53.jpg,,61,22,19,up,1994-01-01
61,"Stay (Faraway, So Close!)",U2,https://charts-static.billboard.com/img/1993/07/u2-uun-53x53.jpg,,66,61,3,up,1994-01-01
62,Life (Everybody Needs Somebody To Love),Haddaway,https://charts-static.billboard.com/img/1993/12/haddaway-1id-53x53.jpg,,83,62,2,up,1994-01-01
63,Yours,Shai,https://charts-static.billboard.com/img/1993/11/shai-n1f-53x53.jpg,,70,63,4,up,1994-01-01
64,Freakit,Das EFX,https://charts-static.billboard.com/img/1993/11/das-efx-fwm-53x53.jpg,,63,43,8,down,1994-01-01
65,Hopelessly,Rick Astley,https://charts-static.billboard.com/img/1993/08/rick-astley-opu-53x53.jpg,,62,28,18,down,1994-01-01
66,So Much In Love,All-4-One,https://charts-static.billboard.com/img/1993/12/all-4-one-4rn-53x53.jpg,,,,,new,1994-01-01
67,Everybody Hurts,R.E.M.,https://charts-static.billboard.com/img/1993/08/rem-w4l-53x53.jpg,,64,29,17,down,1994-01-01
68,The Sign,Ace Of Base,https://charts-static.billboard.com/img/1840/12/ace-of-base-uz5-53x53.jpg,,,,,new,1994-01-01
69,Cannonball,The Breeders,https://charts-static.billboard.com/img/1993/09/the-breeders-xx0-53x53.jpg,,69,69,5,same,1994-01-01
70,Fast As You,Dwight Yoakam,https://charts-static.billboard.com/img/1993/11/dwight-yoakam-rbc-53x53.jpg,,80,70,4,up,1994-01-01
71,Into Your Arms,The Lemonheads,https://charts-static.billboard.com/img/1993/10/the-lemonheads-5ha-53x53.jpg,,67,67,8,down,1994-01-01
72,Let Me Ride,Dr. Dre,https:https://charts-static.billboard.com/img/1993/09/dr-dre-h9l-53x53.jpg,,78,34,15,up,1994-01-01
73,Will You Be There (In The Morning),Heart,https://charts-static.billboard.com/img/1993/12/heart-2lh-53x53.jpg,,87,73,2,up,1994-01-01
74,Sentimental,Kenny G,https://charts-static.billboard.com/img/1993/11/kenny-g-r4k-53x53.jpg,,72,72,4,down,1994-01-01
75,Looking For Mr. Do Right,Jade,https://charts-static.billboard.com/img/1993/10/jade-x05-53x53.jpg,,76,69,9,up,1994-01-01
76,As Long As I Can Dream,Expose,Not supported yet,,68,55,12,down,1994-01-01
77,Give It Up,The Goodmen,Not supported yet,,71,71,6,down,1994-01-01
78,Method Man,Wu-Tang Clan,https://charts-static.billboard.com/img/1993/07/wu-tang-clan-egk-53x53.jpg,,75,69,13,down,1994-01-01
79,Mary Jane's Last Dance,Tom Petty And The Heartbreakers,https://charts-static.billboard.com/img/1993/11/tom-petty-and-the-heartbreakers-eog-53x53.jpg,,86,79,2,up,1994-01-01
80,Really Doe,Ice Cube,https://charts-static.billboard.com/img/1993/12/ice-cube-bw5-53x53.jpg,,74,54,4,down,1994-01-01
81,I'm In The Mood,CeCe Peniston,Not supported yet,,,,,new,1994-01-01
82,The Song Remembers When,Trisha Yearwood,https://charts-static.billboard.com/img/1993/11/trisha-yearwood-56y-53x53.jpg,,85,82,6,up,1994-01-01
83,John Deere Green,Joe Diffie,https://charts-static.billboard.com/img/1993/12/joe-diffie-icf-53x53.jpg,,91,83,2,up,1994-01-01
84,Addams Family (Whoomp!),Tag Team,https://charts-static.billboard.com/img/1993/12/tag-team-4ga-53x53.jpg,,,,,new,1994-01-01
85,93 'til Infinity,Souls Of Mischief,https://charts-static.billboard.com/img/1993/09/souls-of-mischief-xfn-53x53.jpg,,81,72,8,down,1994-01-01
86,"Indo Smoke (From ""Poetic Justice"")",Mista Grimm,Not supported yet,,73,56,15,down,1994-01-01
87,I Never Knew Love,Doug Stone,https://charts-static.billboard.com/img/1993/12/doug-stone-8o2-53x53.jpg,,,,,new,1994-01-01
88,Send Me A Lover,Taylor Dayne,https://charts-static.billboard.com/img/1993/09/taylor-dayne-qas-53x53.jpg,,77,50,14,down,1994-01-01
89,"I Love Music (From ""Carlito's Way"")",Rozalla,https://charts-static.billboard.com/img/1993/11/rozalla-fx5-53x53.jpg,,89,89,2,same,1994-01-01
90,Better Than You,Lisa Keith,https://charts-static.billboard.com/img/1993/08/lisa-keith-8k9-53x53.jpg,,79,36,20,down,1994-01-01
91,Having A Party,Rod Stewart,https://charts-static.billboard.com/img/1994/01/rod-stewart-icm-53x53.jpg,,,,,new,1994-01-01
92,What's It To You,Clay Walker,https://charts-static.billboard.com/img/1993/09/clay-walker-ea6-53x53.jpg,,97,73,13,up,1994-01-01
93,I'm Looking For The One (To Be With Me),Jazzy Jeff & The Fresh Prince,Not supported yet,,82,79,5,down,1994-01-01
94,Betcha'll Never Find,Chantay Savage,https://charts-static.billboard.com/img/1993/10/chantay-savage-caj-53x53.jpg,,84,84,3,down,1994-01-01
95,You Don't Have To Worry,Mary J. Blige,https://charts-static.billboard.com/img/1993/06/mary-j-blige-hn0-53x53.jpg,,,,,new,1994-01-01
96,Push The Feeling On,Nightcrawlers,Not supported yet,,96,80,14,same,1994-01-01
97,Funk Dat/Why Is It?,Sagat,Not supported yet,,,,,new,1994-01-01
98,Here Come The Lords,Lords Of The Underground,https://charts-static.billboard.com/img/1993/11/lords-of-the-underground-rb7-53x53.jpg,,98,93,3,same,1994-01-01
99,Rubberband Girl,Kate Bush,https://charts-static.billboard.com/img/1993/11/kate-bush-4vv-53x53.jpg,,88,88,2,down,1994-01-01
100,Yolanda,Reality,Not supported yet,,93,72,10,down,1994-01-01
1,Hero,Mariah Carey,https://charts-static.billboard.com/img/1993/09/mariah-carey-tgq-53x53.jpg,3,1,1,12,same,1994-01-08
2,All For Love,Bryan Adams/Rod Stewart/Sting,https://charts-static.billboard.com/img/1993/11/bryan-adams-xrt-53x53.jpg,,4,2,7,up,1994-01-08
3,All That She Wants,Ace Of Base,https://charts-static.billboard.com/img/1993/09/ace-of-base-pa7-53x53.jpg,,3,2,17,same,1994-01-08
4,Again,Janet Jackson,https://charts-static.billboard.com/img/1993/06/janet-jackson-9z4-53x53.jpg,,2,1,12,down,1994-01-08
5,Gangsta Lean,DRS,Not supported yet,,7,4,13,up,1994-01-08
6,Breathe Again,Toni Braxton,https://charts-static.billboard.com/img/1993/08/toni-braxton-asw-53x53.jpg,,6,6,13,same,1994-01-08
