rank,title,artist,image,weeks at no.1,last week,peak position,weeks on chart,detail,date
1,(Just Like) Starting Over,John Lennon,https://charts-static.billboard.com/img/1840/12/john-lennon-fh1-53x53.jpg,2,1,1,10,same,1981-01-03
2,More Than I Can Say,Leo Sayer,https://charts-static.billboard.com/img/1980/09/leo-sayer-xdz-53x53.jpg,,2,2,15,same,1981-01-03
3,Love On The Rocks,Neil Diamond,https://charts-static.billboard.com/img/1980/11/neil-diamond-4va-53x53.jpg,,3,3,10,same,1981-01-03
4,Lady,Kenny Rogers,https://charts-static.billboard.com/img/1840/12/kenny-rogers-ym6-53x53.jpg,,4,1,14,same,1981-01-03
5,Hungry Heart,Bruce Springsteen,https://charts-static.billboard.com/img/1980/11/bruce-springsteen-the-e-street-band-uup-53x53.jpg,,5,5,9,same,1981-01-03
6,Every Woman In The World,Air Supply,https://charts-static.billboard.com/img/1980/10/air-supply-6x5-53x53.jpg,,6,6,11,same,1981-01-03
7,Guilty,Barbra Streisand & Barry Gibb,https://charts-static.billboard.com/img/1980/11/barbra-streisand-2i4-53x53.jpg,,7,7,10,same,1981-01-03
8,The Tide Is High,Blondie,https://charts-static.billboard.com/img/1980/11/blondie-9wz-53x53.jpg,,8,8,8,same,1981-01-03
9,Hit Me With Your Best Shot,Pat Benatar,https://charts-static.billboard.com/img/1980/10/pat-benatar-lo1-53x53.jpg,,9,9,14,same,1981-01-03
10,Tell It Like It Is,Heart,https://charts-static.billboard.com/img/1980/11/heart-2lh-53x53.jpg,,10,10,7,same,1981-01-03
11,Passion,Rod Stewart,https://charts-static.billboard.com/img/1980/11/rod-stewart-icm-53x53.jpg,,11,11,7,same,1981-01-03
12,"De Do Do Do, De Da Da Da",The Police,https://charts-static.billboard.com/img/1980/10/the-police-yho-53x53.jpg,,12,12,11,same,1981-01-03
13,Master Blaster (Jammin'),Stevie Wonder,https://charts-static.billboard.com/img/1980/09/stevie-wonder-12f-53x53.jpg,,13,5,16,same,1981-01-03
14,Another One Bites The Dust,Queen,https://charts-static.billboard.com/img/1980/08/queen-m21-53x53.jpg,,14,1,21,same,1981-01-03
15,It's My Turn,Diana Ross,https://charts-static.billboard.com/img/1980/10/diana-ross-1zl-53x53.jpg,,15,15,11,same,1981-01-03
16,I Made It Through The Rain,Barry Manilow,https://charts-static.billboard.com/img/1980/11/barry-manilow-0ni-53x53.jpg,,16,16,7,same,1981-01-03
17,Celebration,Kool & The Gang,https://charts-static.billboard.com/img/2017/07/kool-and-the-gang-53x53.jpg,,17,17,11,same,1981-01-03
18,Everybody's Got To Learn Sometime,The Korgis,Not supported yet,,18,18,13,same,1981-01-03
19,I Love A Rainy Night,Eddie Rabbitt,https://charts-static.billboard.com/img/1980/11/eddie-rabbitt-sm6-53x53.jpg,,19,19,9,same,1981-01-03
20,Hey Nineteen,Steely Dan,https://charts-static.billboard.com/img/1980/11/steely-dan-lbm-53x53.jpg,,20,20,6,same,1981-01-03
21,Time Is Time,Andy Gibb,https://charts-static.billboard.com/img/1980/11/andy-gibb-ske-53x53.jpg,,21,21,7,same,1981-01-03
22,Woman In Love,Barbra Streisand,https://charts-static.billboard.com/img/1980/09/barbra-streisand-2i4-53x53.jpg,,22,1,18,same,1981-01-03
23,Suddenly,Olivia Newton-John & Cliff Richard,https://charts-static.billboard.com/img/1980/10/olivia-newton-john-hxh-53x53.jpg,,23,23,11,same,1981-01-03
24,I Believe In You,Don Williams,https://charts-static.billboard.com/img/1980/09/don-williams-t8z-53x53.jpg,,24,24,15,same,1981-01-03
25,You've Lost That Lovin' Feeling,Daryl Hall John Oates,Not supported yet,,25,12,15,same,1981-01-03
26,One Step Closer,The Doobie Brothers,https://charts-static.billboard.com/img/1980/11/the-doobie-brothers-ru4-53x53.jpg,,26,26,7,same,1981-01-03
27,Whip It,Devo,https://charts-static.billboard.com/img/1980/08/devo-jww-53x53.jpg,,27,14,19,same,1981-01-03
28,Giving It Up For Your Love,Delbert McClinton,https://charts-static.billboard.com/img/1980/12/delbert-mcclinton-81i-53x53.jpg,,28,28,5,same,1981-01-03
29,Together,Tierra,https://charts-static.billboard.com/img/1980/11/tierra-pfv-53x53.jpg,,29,29,9,same,1981-01-03
30,Miss Sun,Boz Scaggs,https://charts-static.billboard.com/img/1980/11/boz-scaggs-una-53x53.jpg,,30,30,6,same,1981-01-03
31,Never Be The Same,Christopher Cross,https://charts-static.billboard.com/img/1980/10/christopher-cross-r4j-53x53.jpg,,31,15,13,same,1981-01-03
32,Theme From The Dukes Of Hazzard (Good Ol' Boys),Waylon,https://charts-static.billboard.com/img/1980/08/waylon-jennings-azz-53x53.jpg,,32,21,17,same,1981-01-03
33,9 To 5,Dolly Parton,https://charts-static.billboard.com/img/1980/11/dolly-parton-k5e-53x53.jpg,,33,33,6,same,1981-01-03
34,I'm Coming Out,Diana Ross,https://charts-static.billboard.com/img/1980/09/diana-ross-1zl-53x53.jpg,,34,5,18,same,1981-01-03
35,Girls Can Get It,Dr. Hook,https://charts-static.billboard.com/img/1980/11/dr-hook-oph-53x53.jpg,,35,34,10,same,1981-01-03
36,The Winner Takes It All,ABBA,https://charts-static.billboard.com/img/1980/11/abba-wwl-53x53.jpg,,36,36,7,same,1981-01-03
37,Same Old Lang Syne,Dan Fogelberg,https://charts-static.billboard.com/img/1980/12/dan-fogelberg-4ox-53x53.jpg,,37,37,4,same,1981-01-03
38,Sequel,Harry Chapin,Not supported yet,,38,23,10,same,1981-01-03
39,Keep On Loving You,REO Speedwagon,https://charts-static.billboard.com/img/1980/11/reo-speedwagon-uqz-53x53.jpg,,39,39,6,same,1981-01-03
40,Killin' Time,Fred Knoblock & Susan Anton,Not supported yet,,40,40,7,same,1981-01-03
41,Cold Love,Donna Summer,https://charts-static.billboard.com/img/1980/11/donna-summer-617-53x53.jpg,,41,41,6,same,1981-01-03
42,Turn And Walk Away,The Babys,https://charts-static.billboard.com/img/1980/11/the-babys-qdc-53x53.jpg,,42,42,8,same,1981-01-03
43,He Can't Love You,Michael Stanley Band,Not supported yet,,43,43,7,same,1981-01-03
44,Need Your Loving Tonight,Queen,https://charts-static.billboard.com/img/1980/11/queen-m21-53x53.jpg,,44,44,6,same,1981-01-03
45,My Mother's Eyes,Bette Midler,https://charts-static.billboard.com/img/1980/11/bette-midler-7sa-53x53.jpg,,45,45,7,same,1981-01-03
46,Shine On,L.T.D.,https://charts-static.billboard.com/img/1980/11/ltd-1-u0l-53x53.jpg,,46,46,8,same,1981-01-03
47,Gotta Have More Love,Climax Blues Band,https://charts-static.billboard.com/img/1980/11/climax-blues-band-m5e-53x53.jpg,,47,47,8,same,1981-01-03
48,You,"Earth, Wind & Fire",https://charts-static.billboard.com/img/1980/11/earth-wind-fire-tue-53x53.jpg,,48,48,7,same,1981-01-03
49,I Need Your Lovin',Teena Marie,https://charts-static.billboard.com/img/1980/08/teena-marie-qeq-53x53.jpg,,49,49,7,same,1981-01-03
50,Smoky Mountain Rain,Ronnie Milsap,https://charts-static.billboard.com/img/1980/10/ronnie-milsap-qvq-53x53.jpg,,50,50,6,same,1981-01-03
51,Heartbreak Hotel,The Jacksons,https://charts-static.billboard.com/img/1980/12/the-jacksons-34u-53x53.jpg,,51,51,5,same,1981-01-03
52,Love T.K.O.,Teddy Pendergrass,https://charts-static.billboard.com/img/1980/10/teddy-pendergrass-p0b-53x53.jpg,,52,52,6,same,1981-01-03
53,Teacher Teacher,Rockpile,https://charts-static.billboard.com/img/1980/11/rockpile-lar-53x53.jpg,,53,53,7,same,1981-01-03
54,Games People Play,The Alan Parsons Project,https://charts-static.billboard.com/img/1980/12/the-alan-parsons-project-yu1-53x53.jpg,,54,54,5,same,1981-01-03
55,Seven Bridges Road,Eagles,https://charts-static.billboard.com/img/1980/12/eagles-520-53x53.jpg,,55,55,3,same,1981-01-03
56,I Ain't Gonna Stand For It,Stevie Wonder,https://charts-static.billboard.com/img/1980/12/stevie-wonder-12f-53x53.jpg,,56,56,4,same,1981-01-03
57,This Time,John Cougar,https://charts-static.billboard.com/img/1980/09/john-mellencamp-tnp-53x53.jpg,,57,27,15,same,1981-01-03
58,Dreaming,Cliff Richard,https://charts-static.billboard.com/img/1980/09/cliff-richard-uyb-53x53.jpg,,58,10,17,same,1981-01-03
59,Deep Inside My Heart,Randy Meisner,https://charts-static.billboard.com/img/1980/10/randy-meisner-jyy-53x53.jpg,,59,22,12,same,1981-01-03
60,The Wanderer,Donna Summer,https://charts-static.billboard.com/img/1980/09/donna-summer-617-53x53.jpg,,60,3,16,same,1981-01-03
61,Fool That I Am,Rita Coolidge,https://charts-static.billboard.com/img/1980/12/rita-coolidge-j0p-53x53.jpg,,61,61,4,same,1981-01-03
62,Breakfast In America,Supertramp,https://charts-static.billboard.com/img/1980/12/supertramp-b14-53x53.jpg,,62,62,4,same,1981-01-03
63,He's So Shy,The Pointer Sisters,https://charts-static.billboard.com/img/1980/07/the-pointer-sisters-aql-53x53.jpg,,63,3,24,same,1981-01-03
64,Who's Making Love,Blues Brothers,Not supported yet,,64,64,3,same,1981-01-03
65,A Little In Love,Cliff Richard,https://charts-static.billboard.com/img/1980/12/cliff-richard-uyb-53x53.jpg,,65,65,4,same,1981-01-03
66,Never Knew Love Like This Before,Stephanie Mills,https://charts-static.billboard.com/img/1980/08/stephanie-mills-gzg-53x53.jpg,,66,6,22,same,1981-01-03
67,The Horizontal Bop,Bob Seger,https://charts-static.billboard.com/img/1980/11/bob-seger-moj-53x53.jpg,,67,42,9,same,1981-01-03
68,Could I Be Dreaming,The Pointer Sisters,https://charts-static.billboard.com/img/1980/11/the-pointer-sisters-aql-53x53.jpg,,68,52,9,same,1981-01-03
69,What Can You Get A Wookiee For Christmas (When He Already Owns A Comb?),The Star Wars Intergalactic Droid Choir & Chorale,Not supported yet,,69,69,4,same,1981-01-03
70,Ah! Leah!,Donnie Iris,https://charts-static.billboard.com/img/1980/12/donnie-iris-kmh-53x53.jpg,,70,70,4,same,1981-01-03
71,Back In Black,AC/DC,https://charts-static.billboard.com/img/1980/12/ac-dc-3eb-53x53.jpg,,71,71,3,same,1981-01-03
72,Fashion,David Bowie,https://charts-static.billboard.com/img/1980/12/david-bowie-c36-53x53.jpg,,72,72,5,same,1981-01-03
73,Set The Night On Fire,Oak,Not supported yet,,73,73,4,same,1981-01-03
74,Easy Love,Dionne Warwick,https://charts-static.billboard.com/img/1980/11/dionne-warwick-6mm-53x53.jpg,,74,62,7,same,1981-01-03
75,Turning Japanese,The Vapors,https://charts-static.billboard.com/img/1980/07/the-vapors-mz0-53x53.jpg,,75,36,15,same,1981-01-03
76,Without Your Love,Roger Daltrey,https://charts-static.billboard.com/img/1980/09/roger-daltrey-8u0-53x53.jpg,,76,20,17,same,1981-01-03
77,Upside Down,Diana Ross,https://charts-static.billboard.com/img/1840/12/diana-ross-k7w-53x53.jpg,,77,1,26,same,1981-01-03
78,Lovely One,The Jacksons,https://charts-static.billboard.com/img/1980/09/the-jacksons-34u-53x53.jpg,,78,12,15,same,1981-01-03
79,Full Of Fire,Shalamar,https://charts-static.billboard.com/img/1980/12/shalamar-zos-53x53.jpg,,79,79,3,same,1981-01-03
80,Skateaway,Dire Straits,https://charts-static.billboard.com/img/1980/12/dire-straits-w73-53x53.jpg,,80,80,3,same,1981-01-03
81,United Together,Aretha Franklin,https://charts-static.billboard.com/img/1980/12/aretha-franklin-z73-53x53.jpg,,81,81,2,same,1981-01-03
82,Merry Christmas In The NFL,"Willis ""The Guard"" & Vigorish",Not supported yet,,82,82,2,same,1981-01-03
83,(Ghost) Riders In The Sky,Outlaws,Not supported yet,,83,83,2,same,1981-01-03
84,Switchin' To Glide/This Beat Goes On,The Kings,Not supported yet,,84,43,20,same,1981-01-03
85,Let Me Be Your Angel,Stacy Lattisaw,https://charts-static.billboard.com/img/1980/08/stacy-lattisaw-jqv-53x53.jpg,,85,21,22,same,1981-01-03
86,Stop This Game,Cheap Trick,https://charts-static.billboard.com/img/1980/11/cheap-trick-jcq-53x53.jpg,,86,48,9,same,1981-01-03
87,On The Road Again,Willie Nelson,https://charts-static.billboard.com/img/1980/09/willie-nelson-o7c-53x53.jpg,,87,20,18,same,1981-01-03
88,Don't Want No-Body,J.D. Drews,Not supported yet,,88,88,2,same,1981-01-03
89,Gypsy Spirit,Pendulum,https://charts-static.billboard.com/img/1980/11/pendulum-pkz-53x53.jpg,,89,89,6,same,1981-01-03
90,Got To Rock On,Kansas,https://charts-static.billboard.com/img/1980/12/kansas-t3y-53x53.jpg,,90,90,2,same,1981-01-03
91,Spend The Night In Love,The 4 Seasons,https://charts-static.billboard.com/img/1980/12/the-4-seasons-vgt-53x53.jpg,,91,91,4,same,1981-01-03
92,Trickle Trickle,The Manhattan Transfer,https://charts-static.billboard.com/img/1980/11/the-manhattan-transfer-5zc-53x53.jpg,,92,73,6,same,1981-01-03
93,One-Trick Pony,Paul Simon,https://charts-static.billboard.com/img/1980/10/paul-simon-3qi-53x53.jpg,,93,40,11,same,1981-01-03
94,Remote Control,The Reddings,https://charts-static.billboard.com/img/1980/11/the-reddings-g28-53x53.jpg,,94,89,8,same,1981-01-03
95,I Can't Stop The Feelin',Pure Prairie League,https://charts-static.billboard.com/img/1980/12/pure-prairie-league-zue-53x53.jpg,,95,77,5,same,1981-01-03
96,Once A Night,Jackie English,Not supported yet,,96,96,3,same,1981-01-03
97,Help Me!,Marcy Levy & Robin Gibb,https://charts-static.billboard.com/img/1980/11/marcy-levy-ycu-53x53.jpg,,97,50,9,same,1981-01-03
98,I'm Happy That Love Has Found You,Jimmy Hall,https://charts-static.billboard.com/img/1980/09/jimmy-hall-kgh-53x53.jpg,,98,27,15,same,1981-01-03
99,Out Here On My Own,Irene Cara,https://charts-static.billboard.com/img/1980/08/irene-cara-md3-53x53.jpg,,99,19,21,same,1981-01-03
100,Jesse,Carly Simon,https://charts-static.billboard.com/img/1980/08/carly-simon-6uf-53x53.jpg,,100,11,23,same,1981-01-03
1,(Just Like) Starting Over,John Lennon,https://charts-static.billboard.com/img/1840/12/john-lennon-fh1-53x53.jpg,3,1,1,11,same,1981-01-10
2,Love On The Rocks,Neil Diamond,https://charts-static.billboard.com/img/1980/11/neil-diamond-4va-53x53.jpg,,3,2,11,up,1981-01-10
3,Guilty,Barbra Streisand & Barry Gibb,https://charts-static.billboard.com/img/1980/11/barbra-streisand-2i4-53x53.jpg,,7,3,11,up,1981-01-10
4,The Tide Is High,Blondie,https://charts-static.billboard.com/img/1980/11/blondie-9wz-53x53.jpg,,8,4,9,up,1981-01-10
5,Hungry Heart,Bruce Springsteen,https://charts-static.billboard.com/img/1980/11/bruce-springsteen-the-e-street-band-uup-53x53.jpg,,5,5,10,same,1981-01-10
6,Every Woman In The World,Air Supply,https://charts-static.billboard.com/img/1980/10/air-supply-6x5-53x53.jpg,,6,6,12,same,1981-01-10
7,Passion,Rod Stewart,https://charts-static.billboard.com/img/1980/11/rod-stewart-icm-53x53.jpg,,11,7,8,up,1981-01-10
8,Tell It Like It Is,Heart,https://charts-static.billboard.com/img/1980/11/heart-2lh-53x53.jpg,,10,8,8,up,1981-01-10
9,Lady,Kenny Rogers,https://charts-static.billboard.com/img/1840/12/kenny-rogers-ym6-53x53.jpg,,4,1,15,down,1981-01-10
10,More Than I Can Say,Leo Sayer,https://charts-static.billboard.com/img/1980/09/leo-sayer-xdz-53x53.jpg,,2,2,16,down,1981-01-10
11,"De Do Do Do, De Da Da Da",The Police,https://charts-static.billboard.com/img/1980/10/the-police-yho-53x53.jpg,,12,11,12,up,1981-01-10
12,Hit Me With Your Best Shot,Pat Benatar,https://charts-static.billboard.com/img/1980/10/pat-benatar-lo1-53x53.jpg,,9,9,15,down,1981-01-10
13,It's My Turn,Diana Ross,https://charts-static.billboard.com/img/1980/10/diana-ross-1zl-53x53.jpg,,15,13,12,up,1981-01-10
14,I Made It Through The Rain,Barry Manilow,https://charts-static.billboard.com/img/1980/11/barry-manilow-0ni-53x53.jpg,,16,14,8,up,1981-01-10
15,I Love A Rainy Night,Eddie Rabbitt,https://charts-static.billboard.com/img/1980/11/eddie-rabbitt-sm6-53x53.jpg,,19,15,10,up,1981-01-10
16,Celebration,Kool & The Gang,https://charts-static.billboard.com/img/2017/07/kool-and-the-gang-53x53.jpg,,17,16,12,up,1981-01-10
17,Hey Nineteen,Steely Dan,https://charts-static.billboard.com/img/1980/11/steely-dan-lbm-53x53.jpg,,20,17,7,up,1981-01-10
18,Master Blaster (Jammin'),Stevie Wonder,https://charts-static.billboard.com/img/1980/09/stevie-wonder-12f-53x53.jpg,,13,5,17,down,1981-01-10
19,Time Is Time,Andy Gibb,https://charts-static.billboard.com/img/1980/11/andy-gibb-ske-53x53.jpg,,21,19,8,up,1981-01-10
20,Another One Bites The Dust,Queen,https://charts-static.billboard.com/img/1980/08/queen-m21-53x53.jpg,,14,1,22,down,1981-01-10
21,Suddenly,Olivia Newton-John & Cliff Richard,https://charts-static.billboard.com/img/1980/10/olivia-newton-john-hxh-53x53.jpg,,23,21,12,up,1981-01-10
22,Giving It Up For Your Love,Delbert McClinton,https://charts-static.billboard.com/img/1980/12/delbert-mcclinton-81i-53x53.jpg,,28,22,6,up,1981-01-10
23,Everybody's Got To Learn Sometime,The Korgis,Not supported yet,,18,18,14,down,1981-01-10
24,One Step Closer,The Doobie Brothers,https://charts-static.billboard.com/img/1980/11/the-doobie-brothers-ru4-53x53.jpg,,26,24,8,up,1981-01-10
25,Miss Sun,Boz Scaggs,https://charts-static.billboard.com/img/1980/11/boz-scaggs-una-53x53.jpg,,30,25,7,up,1981-01-10
26,9 To 5,Dolly Parton,https://charts-static.billboard.com/img/1980/11/dolly-parton-k5e-53x53.jpg,,33,26,7,up,1981-01-10
27,Together,Tierra,https://charts-static.billboard.com/img/1980/11/tierra-pfv-53x53.jpg,,29,27,10,up,1981-01-10
28,Woman In Love,Barbra Streisand,https://charts-static.billboard.com/img/1980/09/barbra-streisand-2i4-53x53.jpg,,22,1,19,down,1981-01-10
29,You've Lost That Lovin' Feeling,Daryl Hall John Oates,Not supported yet,,25,12,16,down,1981-01-10
