rank,title,artist,image,weeks at no.1,last week,peak position,weeks on chart,detail,date
1,"Thank U, Next",Ariana Grande,https://charts-static.billboard.com/img/2018/11/ariana-grande-ypy-53x53.jpg,7,1,1,8,same,2019-01-05
2,Without Me,Halsey,https://charts-static.billboard.com/img/2018/10/halsey-7xl-53x53.jpg,,2,2,12,same,2019-01-05
3,All I Want For Christmas Is You,Mariah Carey,https://charts-static.billboard.com/img/1994/12/mariah-carey-tgq-53x53.jpg,,7,3,30,up,2019-01-05
4,Sicko Mode,Travis Scott,https://charts-static.billboard.com/img/2018/08/travis-scott-jll-53x53.jpg,,3,1,21,down,2019-01-05
5,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,https://charts-static.billboard.com/img/2018/10/post-malone-tp6-53x53.jpg,,4,4,10,down,2019-01-05
6,High Hopes,Panic! At The Disco,https://charts-static.billboard.com/img/2018/06/panic-at-the-disco-yl6-53x53.jpg,,6,5,21,same,2019-01-05
7,Happier,Marshmello & Bastille,https://charts-static.billboard.com/img/2018/08/marshmello-9ph-53x53.jpg,,5,3,19,down,2019-01-05
8,Jingle Bell Rock,Bobby Helms,https://charts-static.billboard.com/img/1958/12/bobby-helms-8s1-53x53.jpg,,13,8,25,up,2019-01-05
9,Rockin' Around The Christmas Tree,Brenda Lee,https://charts-static.billboard.com/img/1960/12/brenda-lee-liu-53x53.jpg,,11,9,27,up,2019-01-05
10,A Holly Jolly Christmas,Burl Ives,https://charts-static.billboard.com/img/1998/01/burl-ives-tv0-53x53.jpg,,12,10,10,up,2019-01-05
11,The Christmas Song (Merry Christmas To You),Nat King Cole,https://charts-static.billboard.com/img/1960/12/nat-king-cole-wkp-53x53.jpg,,17,11,17,up,2019-01-05
12,Drip Too Hard,Lil Baby & Gunna,https://charts-static.billboard.com/img/2018/09/lil-baby-nwx-53x53.jpg,,9,4,15,down,2019-01-05
13,It's The Most Wonderful Time Of The Year,Andy Williams,https://charts-static.billboard.com/img/2001/12/andy-williams-epf-53x53.jpg,,10,10,10,down,2019-01-05
14,Girls Like You,Maroon 5 Featuring Cardi B,https://charts-static.billboard.com/img/2018/06/maroon-5-9st-girls-like-you-32b-53x53.jpg,,15,1,31,up,2019-01-05
15,ZEZE,Kodak Black Featuring Travis Scott & Offset,https://charts-static.billboard.com/img/2018/10/kodak-black-fap-53x53.jpg,,8,2,11,down,2019-01-05
16,Rudolph The Red-Nosed Reindeer,Gene Autry,https://charts-static.billboard.com/img/1998/12/gene-autry-o4a-53x53.jpg,,28,16,4,up,2019-01-05
17,Mo Bamba,Sheck Wes,https://charts-static.billboard.com/img/2018/09/sheck-wes-fiq-53x53.jpg,,16,6,18,down,2019-01-05
18,Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,https://charts-static.billboard.com/img/2018/09/gucci-mane-fyx-53x53.jpg,,14,11,15,down,2019-01-05
19,Money,Cardi B,https://charts-static.billboard.com/img/2018/11/cardi-b-n38-53x53.jpg,,30,13,10,up,2019-01-05
20,"Let It Snow, Let It Snow, Let It Snow",Dean Martin,https://charts-static.billboard.com/img/2011/12/dean-martin-mm0-53x53.jpg,,32,20,4,up,2019-01-05
21,Eastside,"benny blanco, Halsey & Khalid",https://charts-static.billboard.com/img/2018/07/benny-blanco-000-eastside-70k-53x53.jpg,,18,16,24,down,2019-01-05
22,Breathin,Ariana Grande,https://charts-static.billboard.com/img/2018/09/ariana-grande-ypy-53x53.jpg,,19,12,19,down,2019-01-05
23,Better Now,Post Malone,https://charts-static.billboard.com/img/2018/05/post-malone-tp6-53x53.jpg,,21,3,35,down,2019-01-05
24,Youngblood,5 Seconds Of Summer,https://charts-static.billboard.com/img/2018/04/5-seconds-of-summer-deq-53x53.jpg,,20,7,30,down,2019-01-05
25,Last Christmas,Wham!,https://charts-static.billboard.com/img/1998/01/wham-usx-53x53.jpg,,27,25,9,up,2019-01-05
26,Sleigh Ride,The Ronettes,https://charts-static.billboard.com/img/2001/12/the-ronettes-k1e-sleigh-ride-60v-53x53.jpg,,33,26,3,up,2019-01-05
