rank,title,artist,image,last week,peak position,weeks on chart,detail,date,weeks at no.1
1,Justify My Love,Madonna,https://charts-static.billboard.com/img/1990/11/madonna-rq3-53x53.jpg,2,1,8,up,1991-01-05,
2,Because I Love You (The Postman Song),Stevie B,https://charts-static.billboard.com/img/1990/10/stevie-b-ir7-53x53.jpg,1,1,14,down,1991-01-05,
3,From A Distance,Bette Midler,https://charts-static.billboard.com/img/2000/01/bette-midler-7sa-53x53.jpg,3,2,14,same,1991-01-05,
4,High Enough,Damn Yankees,https://charts-static.billboard.com/img/1990/09/damn-yankees-fey-53x53.jpg,6,4,16,up,1991-01-05,
5,Tom's Diner,DNA Featuring Suzanne Vega,https://charts-static.billboard.com/img/1990/09/dna-as0-53x53.jpg,5,5,14,same,1991-01-05,
6,Impulsive,Wilson Phillips,https://charts-static.billboard.com/img/1990/10/wilson-phillips-uks-53x53.jpg,4,4,13,down,1991-01-05,
7,Love Will Never Do (Without You),Janet Jackson,https://charts-static.billboard.com/img/1990/11/janet-jackson-9z4-53x53.jpg,11,7,8,up,1991-01-05,
8,Sensitivity,Ralph Tresvant,https://charts-static.billboard.com/img/1990/10/ralph-tresvant-dhx-53x53.jpg,10,8,10,up,1991-01-05,
9,The First Time,Surface,https://charts-static.billboard.com/img/1990/11/surface-nbv-53x53.jpg,16,9,10,up,1991-01-05,
10,I'm Your Baby Tonight,Whitney Houston,https://charts-static.billboard.com/img/1990/10/whitney-houston-m52-53x53.jpg,7,1,12,down,1991-01-05,
11,Gonna Make You Sweat (Everybody Dance Now),C+C Music Factory,Not supported yet,21,11,8,up,1991-01-05,
12,Freedom,George Michael,https://charts-static.billboard.com/img/1990/10/george-michael-6b3-53x53.jpg,8,8,11,down,1991-01-05,
13,Miles Away,Winger,https://charts-static.billboard.com/img/1990/10/winger-7l9-53x53.jpg,17,13,13,up,1991-01-05,
14,Play That Funky Music,Vanilla Ice,https://charts-static.billboard.com/img/1990/12/vanilla-ice-yb6-53x53.jpg,23,14,5,up,1991-01-05,
15,The Way You Do The Things You Do,UB40,https://charts-static.billboard.com/img/1990/09/ub40-8p0-53x53.jpg,9,6,17,down,1991-01-05,
16,After The Rain,Nelson,https://charts-static.billboard.com/img/1990/11/nelson-jbe-53x53.jpg,20,16,10,up,1991-01-05,
17,Something To Believe In,Poison,https://charts-static.billboard.com/img/1990/10/poison-r52-53x53.jpg,13,4,14,down,1991-01-05,
18,"Miracle (From ""Young Guns II"")",Jon Bon Jovi,https://charts-static.billboard.com/img/1990/10/jon-bon-jovi-wuy-53x53.jpg,12,12,11,down,1991-01-05,
19,Love Takes Time,Mariah Carey,https://charts-static.billboard.com/img/1990/09/mariah-carey-tgq-53x53.jpg,14,1,17,down,1991-01-05,
20,I'm Not In Love,Will To Power,https://charts-static.billboard.com/img/1990/11/will-to-power-uz5-53x53.jpg,25,20,8,up,1991-01-05,
21,Just Another Dream,Cathy Dennis,https://charts-static.billboard.com/img/1990/10/cathy-dennis-jqj-53x53.jpg,24,21,11,up,1991-01-05,
22,One And Only Man,Steve Winwood,https://charts-static.billboard.com/img/1990/11/steve-winwood-6hs-53x53.jpg,18,18,10,down,1991-01-05,
23,Groove Is In The Heart,Deee-Lite,https://charts-static.billboard.com/img/1990/09/deee-lite-smb-53x53.jpg,15,4,17,down,1991-01-05,
24,For You,The Outfield,https://charts-static.billboard.com/img/1990/11/the-outfield-3ce-53x53.jpg,26,24,10,up,1991-01-05,
25,Hang In Long Enough,Phil Collins,https://charts-static.billboard.com/img/1990/11/phil-collins-zdh-53x53.jpg,27,25,9,up,1991-01-05,
26,Wiggle It,2 In A Room,Not supported yet,19,15,14,down,1991-01-05,
27,On The Way Up,Elisa Fiorillo,https://charts-static.billboard.com/img/1990/09/elisa-fiorillo-ub2-53x53.jpg,29,27,15,up,1991-01-05,
28,Anything Is Possible,Debbie Gibson,https://charts-static.billboard.com/img/1990/11/debbie-gibson-jzw-53x53.jpg,32,28,8,up,1991-01-05,
29,I'll Give All My Love To You,Keith Sweat,https://charts-static.billboard.com/img/1990/12/keith-sweat-9fm-53x53.jpg,36,29,6,up,1991-01-05,
30,You're Amazing,Robert Palmer,https://charts-static.billboard.com/img/1990/11/robert-palmer-i8q-53x53.jpg,33,30,8,up,1991-01-05,
31,Gentle,Dino,Not supported yet,34,31,9,up,1991-01-05,
32,Disappear,INXS,https://charts-static.billboard.com/img/1990/11/inxs-lxc-53x53.jpg,39,32,7,up,1991-01-05,
33,Feels Good,Tony Toni Tone,Not supported yet,22,9,19,down,1991-01-05,
34,More Than Words Can Say,Alias,https://charts-static.billboard.com/img/1990/09/alias-nwj-53x53.jpg,28,2,18,down,1991-01-05,
35,Stranded,Heart,https://charts-static.billboard.com/img/1990/09/heart-2lh-53x53.jpg,30,13,16,down,1991-01-05,
