rank,title,artist,image,weeks at no.1,last week,peak position,weeks on chart,detail,date
1,Rockin' Around The Christmas Tree,Brenda Lee,https://charts-static.billboard.com/img/1960/12/brenda-lee-liu-rockin-around-the-christmas-tree-lnw-180x180.jpg,1,2,1,58,up,2024-01-06
2,All I Want For Christmas Is You,Mariah Carey,https://charts-static.billboard.com/img/1994/12/mariah-carey-vb1-alliwantforchristmasisyou-7ve-180x180.jpg,,1,1,65,down,2024-01-06
3,Jingle Bell Rock,Bobby Helms,https://charts-static.billboard.com/img/1958/12/bobby-helms-xys-jinglebellrock-dkg-180x180.jpg,,3,3,56,same,2024-01-06
4,Last Christmas,Wham!,https://charts-static.billboard.com/img/1998/01/wham-xp8-last-christmas-xhm-180x180.jpg,,4,4,38,same,2024-01-06
5,A Holly Jolly Christmas,Burl Ives,https://charts-static.billboard.com/img/1998/01/burl-ives-pc9-a-holly-jolly-christmas-iae-180x180.jpg,,5,4,39,same,2024-01-06
6,It's The Most Wonderful Time Of The Year,Andy Williams,https://charts-static.billboard.com/img/2001/12/andy-williams-nyc-itsthemostwonderfultimeoftheyear-8ww-180x180.jpg,,7,5,39,up,2024-01-06
7,"Let It Snow, Let It Snow, Let It Snow!",Dean Martin,https://charts-static.billboard.com/img/2011/12/dean-martin-tc6-letitsnowletitsnowletitsnow-ipd-180x180.jpg,,8,7,31,up,2024-01-06
8,Feliz Navidad,Jose Feliciano,https://charts-static.billboard.com/img/1998/01/jose-feliciano-cf5-feliznavidad-7vj-180x180.jpg,,9,6,32,up,2024-01-06
9,Lovin On Me,Jack Harlow,https://charts-static.billboard.com/img/2023/11/jackharlow-i43-lovinonme-y0w-180x180.jpg,,6,1,7,down,2024-01-06
10,Sleigh Ride,The Ronettes,https://charts-static.billboard.com/img/2001/12/the-ronettes-k1e-sleigh-ride-60v-180x180.jpg,,10,8,28,same,2024-01-06
11,Santa Tell Me,Ariana Grande,https://charts-static.billboard.com/img/2014/12/ariana-grande-da0-santa-tell-me-st8-180x180.jpg,,12,11,24,up,2024-01-06
12,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",https://charts-static.billboard.com/img/1960/12/nat-king-cole-xik-thechristmassongmerrychristmastoyou-ucy-180x180.jpg,,11,9,44,down,2024-01-06
13,Underneath The Tree,Kelly Clarkson,https://charts-static.billboard.com/img/2013/11/kelly-clarkson-w89-underneath-the-tree-hcd-180x180.jpg,,13,11,27,same,2024-01-06
14,White Christmas,Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,https://charts-static.billboard.com/img/1958/12/bing-crosby-7ej-whitechristmas-imr-180x180.jpg,,15,12,35,up,2024-01-06
15,Christmas (Baby Please Come Home),Darlene Love,https://charts-static.billboard.com/img/2014/12/darlene-love-lrq-christmasbabypleasecomehome-3bj-180x180.jpg,,17,15,22,up,2024-01-06
16,Jingle Bells,Frank Sinatra With The Orchestra & Chorus Of Gordon Jenkins,https://charts-static.billboard.com/img/2012/12/frank-sinatra-r5c-jinglebells-vgd-180x180.jpg,,16,16,14,same,2024-01-06
17,Deck The Halls,Nat King Cole,https://charts-static.billboard.com/img/2018/01/nat-king-cole-wkp-180x180.jpg,,23,16,13,up,2024-01-06
18,Blue Christmas,Elvis Presley,https://charts-static.billboard.com/img/1998/01/elvis-presley-yoq-bluechristmas-sbf-180x180.jpg,,25,18,13,up,2024-01-06
19,Cruel Summer,Taylor Swift,https://charts-static.billboard.com/img/2019/08/taylor-swift-9sy-cruelsummer-i1p-180x180.jpg,,18,1,34,down,2024-01-06
20,Santa Baby,Eartha Kitt With Henri Rene And His Orchestra,https://charts-static.billboard.com/img/2004/12/eartha-kitt-000-santa-baby-6tx-180x180.jpg,,30,20,9,up,2024-01-06
21,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,https://charts-static.billboard.com/img/2003/12/gene-autry-bp4-herecomessantaclausrightdownsantaclauslane-5sh-180x180.jpg,,22,21,20,up,2024-01-06
22,Run Rudolph Run,Chuck Berry,https://charts-static.billboard.com/img/1958/12/chuck-berry-u0i-runrudolphrun-bp6-180x180.jpg,,27,10,22,up,2024-01-06
23,It's Beginning To Look A Lot Like Christmas,Michael Buble,https://charts-static.billboard.com/img/2003/03/michael-buble-auc-180x180.jpg,,24,19,20,up,2024-01-06
