rank,title,artist,image,last week,peak position,weeks on chart,detail,date,weeks at no.1
1,Sexy And I Know It,LMFAO,https://charts-static.billboard.com/img/2011/07/lmfao-8l3-53x53.jpg,2,1,17,up,2012-01-07,
2,We Found Love,Rihanna Featuring Calvin Harris,https://charts-static.billboard.com/img/2011/10/rihanna-v3t-53x53.jpg,1,1,14,down,2012-01-07,
3,The One That Got Away,Katy Perry,https://charts-static.billboard.com/img/2011/10/katy-perry-l8p-53x53.jpg,5,3,11,up,2012-01-07,
4,It Will Rain,Bruno Mars,https://charts-static.billboard.com/img/2011/10/bruno-mars-va7-53x53.jpg,3,3,13,down,2012-01-07,
5,Ni**as in Paris,Jay Z Kanye West,https://charts-static.billboard.com/img/2011/08/jay-z-gbw-53x53.jpg,6,5,20,up,2012-01-07,
6,Good Feeling,Flo Rida,https://charts-static.billboard.com/img/2011/09/flo-rida-8v1-53x53.jpg,4,4,13,down,2012-01-07,
7,Set Fire To The Rain,Adele,https://charts-static.billboard.com/img/2011/03/adele-hdy-53x53.jpg,13,7,17,up,2012-01-07,
8,Someone Like You,Adele,https://charts-static.billboard.com/img/2011/03/adele-hdy-53x53.jpg,7,1,25,down,2012-01-07,
9,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,https://charts-static.billboard.com/img/1840/12/lmfao-1qb-53x53.jpg,15,1,40,up,2012-01-07,
10,Dance (A$$),Big Sean Featuring Nicki Minaj,https://charts-static.billboard.com/img/2011/08/big-sean-820-53x53.jpg,12,10,12,up,2012-01-07,
11,Stereo Hearts,Gym Class Heroes Featuring Adam Levine,https://charts-static.billboard.com/img/2011/07/gym-class-heroes-w0q-53x53.jpg,11,4,28,same,2012-01-07,
12,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,https://charts-static.billboard.com/img/1840/12/maroon-5-9st-53x53.jpg,9,1,27,down,2012-01-07,
13,5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen,https://charts-static.billboard.com/img/2011/10/t-pain-kj8-53x53.jpg,10,10,13,down,2012-01-07,
14,Without You,David Guetta Featuring Usher,https://charts-static.billboard.com/img/2011/09/david-guetta-z71-53x53.jpg,8,4,17,down,2012-01-07,
15,Headlines,Drake,https://charts-static.billboard.com/img/1840/12/drake-zwl-53x53.jpg,16,13,20,up,2012-01-07,
16,"Young, Wild & Free",Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,https://charts-static.billboard.com/img/2011/10/snoop-dogg-7vk-53x53.jpg,18,10,11,up,2012-01-07,
17,Work Out,J. Cole,https://charts-static.billboard.com/img/2011/07/j-cole-s1s-53x53.jpg,14,14,17,down,2012-01-07,
18,Red Solo Cup,Toby Keith,https://charts-static.billboard.com/img/2011/10/toby-keith-5au-53x53.jpg,17,17,9,down,2012-01-07,
19,Mistletoe,Justin Bieber,https://charts-static.billboard.com/img/2011/11/justin-bieber-3jm-53x53.jpg,32,11,9,up,2012-01-07,
20,Pumped Up Kicks,Foster The People,https://charts-static.billboard.com/img/2011/01/foster-the-people-prl-53x53.jpg,19,3,35,down,2012-01-07,
21,The Motto,Drake Featuring Lil Wayne,https://charts-static.billboard.com/img/1840/12/drake-zwl-53x53.jpg,29,18,6,up,2012-01-07,
22,You Da One,Rihanna,https://charts-static.billboard.com/img/2011/11/rihanna-v3t-53x53.jpg,25,14,7,up,2012-01-07,
23,Not Over You,Gavin DeGraw,https://charts-static.billboard.com/img/2011/06/gavin-degraw-n1q-53x53.jpg,22,22,20,down,2012-01-07,
24,Make Me Proud,Drake Featuring Nicki Minaj,https://charts-static.billboard.com/img/2011/10/drake-zwl-53x53.jpg,24,9,11,same,2012-01-07,
25,Domino,Jessie J,https://charts-static.billboard.com/img/2011/09/jessie-j-zrp-53x53.jpg,28,25,11,up,2012-01-07,
26,I Don't Want This Night To End,Luke Bryan,https://charts-static.billboard.com/img/2011/08/luke-bryan-kl4-53x53.jpg,23,22,13,down,2012-01-07,
27,Love You Like A Love Song,Selena Gomez & The Scene,https://charts-static.billboard.com/img/2011/07/selena-gomez-scg-53x53.jpg,26,26,27,down,2012-01-07,
28,Super Bass,Nicki Minaj,https://charts-static.billboard.com/img/2011/02/nicki-minaj-thi-53x53.jpg,34,3,35,up,2012-01-07,
29,I Like It Like That,Hot Chelle Rae Featuring New Boyz,https://charts-static.billboard.com/img/2011/10/hot-chelle-rae-p7k-53x53.jpg,44,29,12,up,2012-01-07,
30,Safe & Sound,Taylor Swift Featuring The Civil Wars,https:https://charts-static.billboard.com/img/2016/12/taylor-swift-53x53.jpg,,,,new,2012-01-07,
31,You Make Me Feel...,Cobra Starship Featuring Sabi,https://charts-static.billboard.com/img/2011/05/cobra-starship-g9t-53x53.jpg,20,7,24,down,2012-01-07,
32,Mr. Know It All,Kelly Clarkson,https://charts-static.billboard.com/img/2011/09/kelly-clarkson-091-53x53.jpg,21,10,16,down,2012-01-07,
33,International Love,Pitbull Featuring Chris Brown,https://charts-static.billboard.com/img/2011/06/pitbull-odu-53x53.jpg,30,30,8,down,2012-01-07,
34,It Girl,Jason Derulo,https://charts-static.billboard.com/img/2011/08/jason-derulo-3xq-53x53.jpg,54,17,20,up,2012-01-07,
35,Rolling In The Deep,Adele,https://charts-static.billboard.com/img/2010/12/adele-hdy-53x53.jpg,41,1,51,up,2012-01-07,
36,She Will,Lil Wayne Featuring Drake,https://charts-static.billboard.com/img/2011/08/lil-wayne-9q6-53x53.jpg,35,3,19,down,2012-01-07,
37,Just A Kiss,Lady Antebellum,https://charts-static.billboard.com/img/2011/05/lady-antebellum-g3u-53x53.jpg,31,7,34,down,2012-01-07,
38,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",https://charts-static.billboard.com/img/2011/04/pitbull-odu-53x53.jpg,27,1,39,down,2012-01-07,
39,Marry The Night,Lady Gaga,https://charts-static.billboard.com/img/2011/06/lady-gaga-gyl-53x53.jpg,33,29,7,down,2012-01-07,
40,Tattoos On This Town,Jason Aldean,https://charts-static.billboard.com/img/2010/11/jason-aldean-jfn-53x53.jpg,42,38,14,up,2012-01-07,
41,Strange Clouds,B.o.B Featuring Lil Wayne,https://charts-static.billboard.com/img/2011/10/bob-1-t7h-53x53.jpg,55,7,13,up,2012-01-07,
42,Fly,Nicki Minaj Featuring Rihanna,https://charts-static.billboard.com/img/2010/12/nicki-minaj-thi-53x53.jpg,46,19,18,up,2012-01-07,
43,Paradise,Coldplay,https://charts-static.billboard.com/img/2011/10/coldplay-j2u-53x53.jpg,39,15,15,down,2012-01-07,
44,Rack City,Tyga,https://charts-static.billboard.com/img/2011/10/tyga-ofy-53x53.jpg,56,44,5,up,2012-01-07,
45,Ours,Taylor Swift,https:https://charts-static.billboard.com/img/2016/12/taylor-swift-53x53.jpg,47,13,7,up,2012-01-07,
46,God Gave Me You,Blake Shelton,https://charts-static.billboard.com/img/2017/02/blake-shelton-53x53.jpg,48,22,24,up,2012-01-07,
47,Blackout,Breathe Carolina,https://charts-static.billboard.com/img/2011/07/breathe-carolina-7mk-53x53.jpg,49,47,8,up,2012-01-07,
48,Lotus Flower Bomb,Wale Featuring Miguel,https://charts-static.billboard.com/img/2011/10/wale-p1n-53x53.jpg,38,38,9,down,2012-01-07,
49,Take Care,Drake Featuring Rihanna,https://charts-static.billboard.com/img/1840/12/drake-zwl-53x53.jpg,58,9,6,up,2012-01-07,
50,Easy,Rascal Flatts Featuring Natasha Bedingfield,https://charts-static.billboard.com/img/2010/12/rascal-flatts-o8u-53x53.jpg,43,43,22,down,2012-01-07,
51,Drink In My Hand,Eric Church,https://charts-static.billboard.com/img/2011/08/eric-church-3cj-53x53.jpg,45,40,14,down,2012-01-07,
52,A Thousand Years,Christina Perri,https://charts-static.billboard.com/img/2011/11/christina-perri-vd0-53x53.jpg,60,43,10,up,2012-01-07,
