rank,title,artist,image,weeks at no.1,last week,peak position,weeks on chart,detail,date
1,Hello,Adele,https://charts-static.billboard.com/img/2015/11/adele-hdy-53x53.jpg,8,1,1,8,same,2016-01-02
2,Sorry,Justin Bieber,https://charts-static.billboard.com/img/2015/11/justin-bieber-3jm-53x53.jpg,,2,2,8,same,2016-01-02
3,Hotline Bling,Drake,https://charts-static.billboard.com/img/1840/12/drake-zwl-53x53.jpg,,3,2,20,same,2016-01-02
4,Love Yourself,Justin Bieber,https://charts-static.billboard.com/img/2015/11/justin-bieber-3jm-53x53.jpg,,5,4,5,up,2016-01-02
5,What Do You Mean?,Justin Bieber,https://charts-static.billboard.com/img/2015/08/justin-bieber-3jm-53x53.jpg,,4,1,16,down,2016-01-02
6,Same Old Love,Selena Gomez,https://charts-static.billboard.com/img/2015/09/selena-gomez-scg-53x53.jpg,,9,6,14,up,2016-01-02
7,The Hills,The Weeknd,https://charts-static.billboard.com/img/2015/06/the-weeknd-gvx-53x53.jpg,,6,1,30,down,2016-01-02
8,Here,Alessia Cara,https://charts-static.billboard.com/img/2015/06/alessia-cara-9x8-53x53.jpg,,8,8,20,same,2016-01-02
9,Stitches,Shawn Mendes,https://charts-static.billboard.com/img/2015/04/shawn-mendes-drf-53x53.jpg,,7,4,30,down,2016-01-02
10,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,https://charts-static.billboard.com/img/2015/01/meghan-trainor-vgn-53x53.jpg,,10,8,24,same,2016-01-02
11,679,Fetty Wap Featuring Remy Boyz,https://charts-static.billboard.com/img/2015/07/fetty-wap-vik-53x53.jpg,,11,4,25,same,2016-01-02
12,In The Night,The Weeknd,https://charts-static.billboard.com/img/2015/09/the-weeknd-gvx-53x53.jpg,,19,12,6,up,2016-01-02
13,Jumpman,Drake & Future,https://charts-static.billboard.com/img/1840/12/drake-zwl-53x53.jpg,,14,12,13,up,2016-01-02
14,On My Mind,Ellie Goulding,https://charts-static.billboard.com/img/2015/10/ellie-goulding-1mr-53x53.jpg,,13,13,13,down,2016-01-02
15,Can't Feel My Face,The Weeknd,https://charts-static.billboard.com/img/2015/06/the-weeknd-gvx-53x53.jpg,,15,1,28,same,2016-01-02
16,Antidote,Travis Scott,https://charts-static.billboard.com/img/2015/07/travis-scott-jll-53x53.jpg,,16,16,15,same,2016-01-02
17,Ex's & Oh's,Elle King,https://charts-static.billboard.com/img/2014/11/elle-king-7fl-53x53.jpg,,12,10,24,down,2016-01-02
18,All I Want For Christmas Is You,Mariah Carey,https://charts-static.billboard.com/img/1994/12/mariah-carey-tgq-53x53.jpg,,22,18,13,up,2016-01-02
19,Stressed Out,twenty one pilots,https://charts-static.billboard.com/img/2015/05/twenty-one-pilots-840-53x53.jpg,,28,19,13,up,2016-01-02
20,Don't,Bryson Tiller,https://charts-static.billboard.com/img/2015/01/bryson-tiller-ufm-53x53.jpg,,20,20,12,same,2016-01-02
