rank,title,artist,image,weeks at no.1,last week,peak position,weeks on chart,detail,date
1,One Sweet Day,Mariah Carey & Boyz II Men,https://charts-static.billboard.com/img/1995/10/mariah-carey-tgq-53x53.jpg,6,1,1,6,same,1996-01-06
2,"Exhale (Shoop Shoop) (From ""Waiting To Exhale"")",Whitney Houston,https://charts-static.billboard.com/img/1995/11/whitney-houston-m52-53x53.jpg,,2,1,7,same,1996-01-06
3,Hey Lover,LL Cool J,https://charts-static.billboard.com/img/1995/10/ll-cool-j-vs1-53x53.jpg,,3,3,8,same,1996-01-06
4,"Gangsta's Paradise (From ""Dangerous Minds"")",Coolio Featuring L.V.,https://charts-static.billboard.com/img/1995/08/coolio-7gh-53x53.jpg,,4,1,21,same,1996-01-06
5,Diggin' On You,TLC,https://charts-static.billboard.com/img/1995/10/tlc-ll0-53x53.jpg,,5,5,8,same,1996-01-06
6,Free As A Bird,The Beatles,https://charts-static.billboard.com/img/1995/12/the-beatles-ism-53x53.jpg,,10,6,2,up,1996-01-06
7,Breakfast At Tiffany's,Deep Blue Something,Not supported yet,,8,7,21,up,1996-01-06
8,Fantasy,Mariah Carey,https://charts-static.billboard.com/img/1995/09/mariah-carey-tgq-53x53.jpg,,6,1,15,down,1996-01-06
9,Before You Walk Out Of My Life/Like This And Like That,Monica,https://charts-static.billboard.com/img/1995/09/monica-utr-53x53.jpg,,7,7,12,down,1996-01-06
10,Name,Goo Goo Dolls,https://charts-static.billboard.com/img/1995/08/goo-goo-dolls-d57-53x53.jpg,,9,8,13,down,1996-01-06
11,Missing,Everything But The Girl,https://charts-static.billboard.com/img/1995/06/everything-but-the-girl-xab-53x53.jpg,,12,11,22,up,1996-01-06
12,You'll See,Madonna,https://charts-static.billboard.com/img/1995/10/madonna-rq3-53x53.jpg,,11,6,5,down,1996-01-06
13,One Of Us,Joan Osborne,https://charts-static.billboard.com/img/1995/09/joan-osborne-1ik-53x53.jpg,,15,13,5,up,1996-01-06
14,I Got Id/Long Road,Pearl Jam,https://charts-static.billboard.com/img/1995/12/pearl-jam-1pn-53x53.jpg,,13,7,3,down,1996-01-06
15,You Remind Me Of Something,R. Kelly,https://charts-static.billboard.com/img/1995/10/r-kelly-ct9-53x53.jpg,,16,4,8,up,1996-01-06
16,Runaway,Janet Jackson,https://charts-static.billboard.com/img/1995/08/janet-jackson-9z4-53x53.jpg,,14,3,17,down,1996-01-06
17,Beautiful Life,Ace Of Base,https://charts-static.billboard.com/img/1995/11/ace-of-base-pa7-53x53.jpg,,17,15,9,same,1996-01-06
18,Tell Me,Groove Theory,https://charts-static.billboard.com/img/1995/07/groove-theory-r7z-53x53.jpg,,18,5,20,same,1996-01-06
19,Tonite's Tha Night,Kris Kross,https://charts-static.billboard.com/img/1995/11/kris-kross-zfb-53x53.jpg,,21,19,5,up,1996-01-06
20,Anything,3T,https://charts-static.billboard.com/img/1995/10/3t-fcl-53x53.jpg,,24,20,14,up,1996-01-06
21,Soon As I Get Home,Faith Evans,https://charts-static.billboard.com/img/1995/10/faith-evans-2g0-53x53.jpg,,22,21,5,up,1996-01-06
22,Bullet With Butterfly Wings,The Smashing Pumpkins,https://charts-static.billboard.com/img/1995/10/the-smashing-pumpkins-5n1-53x53.jpg,,26,22,9,up,1996-01-06
23,Back For Good,Take That,https://charts-static.billboard.com/img/1995/03/take-that-48h-53x53.jpg,,19,7,22,down,1996-01-06
