rank,title,artist,image,weeks at no.1,last week,peak position,weeks on chart,detail,date
1,On Bended Knee,Boyz II Men,https://charts-static.billboard.com/img/1994/09/boyz-ii-men-iur-53x53.jpg,4,1,1,8,same,1995-01-07
2,Creep,TLC,https://charts-static.billboard.com/img/2017/07/tlc-53x53.jpg,,4,2,9,up,1995-01-07
3,"Here Comes The Hotstepper (From ""Ready To Wear"")",Ini Kamoze,https://charts-static.billboard.com/img/1994/09/ini-kamoze-l35-53x53.jpg,,2,1,17,down,1995-01-07
4,Another Night,Real McCoy,https://charts-static.billboard.com/img/1994/08/real-mccoy-t2v-53x53.jpg,,3,3,20,down,1995-01-07
5,Always,Bon Jovi,https://charts-static.billboard.com/img/1994/10/bon-jovi-g8x-53x53.jpg,,5,4,15,same,1995-01-07
6,I Wanna Be Down,Brandy,https://charts-static.billboard.com/img/1840/12/brandy-mbv-53x53.jpg,,6,6,15,same,1995-01-07
7,Before I Let You Go,BLACKstreet,https://charts-static.billboard.com/img/1994/09/blackstreet-t45-53x53.jpg,,8,7,12,up,1995-01-07
8,Tootsee Roll,69 Boyz,Not supported yet,,9,8,27,up,1995-01-07
9,I'll Make Love To You,Boyz II Men,https://charts-static.billboard.com/img/1994/08/boyz-ii-men-iur-53x53.jpg,,7,1,22,down,1995-01-07
10,You Want This/70's Love Groove,Janet Jackson,https://charts-static.billboard.com/img/1993/05/janet-jackson-9z4-53x53.jpg,,11,8,12,up,1995-01-07
11,I'm The Only One,Melissa Etheridge,https://charts-static.billboard.com/img/1993/09/melissa-etheridge-sqm-53x53.jpg,,10,10,23,down,1995-01-07
12,Take A Bow,Madonna,https://charts-static.billboard.com/img/1994/12/madonna-rq3-53x53.jpg,,14,12,4,up,1995-01-07
13,Sukiyaki,4PM,Not supported yet,,13,13,17,same,1995-01-07
14,Short Dick Man,20 Fingers Featuring Gillette,https://charts-static.billboard.com/img/1994/08/gillette-kdq-53x53.jpg,,15,14,18,up,1995-01-07
15,Secret,Madonna,https://charts-static.billboard.com/img/1994/10/madonna-rq3-53x53.jpg,,12,3,14,down,1995-01-07
16,You Gotta Be,Des'ree,https://charts-static.billboard.com/img/1994/08/desree-tf9-53x53.jpg,,16,16,19,same,1995-01-07
