rank,title,artist,image,weeks at no.1,last week,peak position,weeks on chart,detail,date
1,Smooth,Santana Featuring Rob Thomas,https://charts-static.billboard.com/img/2017/05/santana-53x53.jpg,11,1,1,23,same,2000-01-01
2,Back At One,Brian McKnight,https://charts-static.billboard.com/img/1999/08/brian-mcknight-sam-53x53.jpg,,2,2,19,same,2000-01-01
3,I Wanna Love You Forever,Jessica Simpson,https://charts-static.billboard.com/img/1999/10/jessica-simpson-sz9-53x53.jpg,,3,3,12,same,2000-01-01
4,My Love Is Your Love,Whitney Houston,https://charts-static.billboard.com/img/1999/07/whitney-houston-m52-53x53.jpg,,5,4,18,up,2000-01-01
5,I Knew I Loved You,Savage Garden,https://charts-static.billboard.com/img/1999/10/savage-garden-l4s-53x53.jpg,,4,4,11,down,2000-01-01
6,I Need To Know,Marc Anthony,https://charts-static.billboard.com/img/1999/08/marc-anthony-2xf-53x53.jpg,,6,3,17,same,2000-01-01
7,Hot Boyz,"Missy ""Misdemeanor"" Elliott Featuring NAS, EVE & Q-Tip",https://charts-static.billboard.com/img/1999/10/missy-elliott-zjj-53x53.jpg,,7,7,6,same,2000-01-01
8,U Know What's Up,Donell Jones,https:https://charts-static.billboard.com/img/1999/08/donell-jones-oeo-53x53.jpg,,8,7,15,same,2000-01-01
9,Bring It All To Me,Blaque,https://charts-static.billboard.com/img/1999/08/blaque-83b-53x53.jpg,,9,9,11,same,2000-01-01
10,Girl On TV,LFO,https://charts-static.billboard.com/img/1999/11/lfo-psp-53x53.jpg,,11,10,7,up,2000-01-01
11,What A Girl Wants,Christina Aguilera,https://charts-static.billboard.com/img/1999/11/christina-aguilera-9ag-53x53.jpg,,13,11,6,up,2000-01-01
12,24/7,Kevon Edmonds,https://charts-static.billboard.com/img/1999/09/kevon-edmonds-ikr-53x53.jpg,,10,10,9,down,2000-01-01
13,Blue (Da Ba Dee),Eiffel 65,https://charts-static.billboard.com/img/1999/12/eiffel-65-2et-53x53.jpg,,16,13,4,up,2000-01-01
14,Then The Morning Comes,Smash Mouth,https://charts-static.billboard.com/img/1999/10/smash-mouth-sb0-53x53.jpg,,14,14,10,same,2000-01-01
15,He Can't Love U,Jagged Edge,https://charts-static.billboard.com/img/1999/05/jagged-edge-o2z-53x53.jpg,,17,15,4,up,2000-01-01
16,Waiting For Tonight,Jennifer Lopez,https://charts-static.billboard.com/img/1999/09/jennifer-lopez-eme-53x53.jpg,,12,8,12,down,2000-01-01
17,That's The Way It Is,Celine Dion,https://charts-static.billboard.com/img/1999/10/celine-dion-0hi-53x53.jpg,,30,17,8,up,2000-01-01
18,The Christmas Song (Chestnuts Roasting On An Open Fire),Christina Aguilera,https://charts-static.billboard.com/img/1999/12/christina-aguilera-9ag-53x53.jpg,,47,18,3,up,2000-01-01
19,Dancin',Guy,https://charts-static.billboard.com/img/1999/10/guy-2kl-53x53.jpg,,29,19,3,up,2000-01-01
20,Steal My Sunshine,Len,https://charts-static.billboard.com/img/1999/05/len-gsw-53x53.jpg,,15,9,21,down,2000-01-01
21,Get It On Tonite,Montell Jordan,https://charts-static.billboard.com/img/1999/10/montell-jordan-27n-53x53.jpg,,24,21,11,up,2000-01-01
22,Learn To Fly,Foo Fighters,https://charts-static.billboard.com/img/1999/10/foo-fighters-vm6-53x53.jpg,,22,22,12,same,2000-01-01
23,Big Deal,LeAnn Rimes,https://charts-static.billboard.com/img/1999/09/leann-rimes-4xc-53x53.jpg,,26,23,12,up,2000-01-01
24,Meet Virginia,Train,https://charts-static.billboard.com/img/1999/04/train-z35-53x53.jpg,,21,21,13,down,2000-01-01
