rank,title,artist,image,weeks at no.1,last week,peak position,weeks on chart,detail,date
1,Maneater,Daryl Hall John Oates,Not supported yet,3,1,1,12,same,1983-01-01
2,Mickey,Toni Basil,https://charts-static.billboard.com/img/1982/09/toni-basil-dz8-53x53.jpg,,2,1,18,same,1983-01-01
3,The Girl Is Mine,Michael Jackson And Paul McCartney,https://charts-static.billboard.com/img/1982/11/michael-jackson-9to-53x53.jpg,,3,3,9,same,1983-01-01
4,Dirty Laundry,Don Henley,https://charts-static.billboard.com/img/1982/09/don-henley-4ps-53x53.jpg,,4,4,10,same,1983-01-01
5,Gloria,Laura Branigan,https://charts-static.billboard.com/img/1982/05/laura-branigan-cd4-53x53.jpg,,5,2,26,same,1983-01-01
6,Steppin' Out,Joe Jackson,https://charts-static.billboard.com/img/1982/08/joe-jackson-u0c-53x53.jpg,,6,6,20,same,1983-01-01
7,Sexual Healing,Marvin Gaye,https://charts-static.billboard.com/img/1840/12/marvin-gaye-f1o-53x53.jpg,,7,7,10,same,1983-01-01
8,Down Under,Men At Work,https://charts-static.billboard.com/img/1982/10/men-at-work-tiq-53x53.jpg,,8,8,9,same,1983-01-01
9,Rock This Town,Stray Cats,https://charts-static.billboard.com/img/1982/09/stray-cats-7bw-53x53.jpg,,9,9,16,same,1983-01-01
10,Truly,Lionel Richie,https://charts-static.billboard.com/img/1982/10/lionel-richie-4o4-53x53.jpg,,10,1,13,same,1983-01-01
11,It's Raining Again,Supertramp Featuring Roger Hodgson,https://charts-static.billboard.com/img/1982/10/supertramp-b14-53x53.jpg,,11,11,10,same,1983-01-01
12,Heartbreaker,Dionne Warwick,https://charts-static.billboard.com/img/1982/10/dionne-warwick-6mm-53x53.jpg,,12,12,13,same,1983-01-01
13,Shadows Of The Night,Pat Benatar,https://charts-static.billboard.com/img/1982/10/pat-benatar-lo1-53x53.jpg,,13,13,12,same,1983-01-01
14,Africa,Toto,https://charts-static.billboard.com/img/1982/10/toto-ful-53x53.jpg,,14,14,10,same,1983-01-01
15,Rock The Casbah,The Clash,https://charts-static.billboard.com/img/1982/07/the-clash-2ha-53x53.jpg,,15,15,14,same,1983-01-01
16,You And I,Eddie Rabbitt With Crystal Gayle,https://charts-static.billboard.com/img/2016/11/eddie-rabbitt-53x53.jpg,,16,16,13,same,1983-01-01
17,"Baby, Come To Me",Patti Austin A Duet With James Ingram,https://charts-static.billboard.com/img/1982/03/patti-austin-ewm-53x53.jpg,,17,17,16,same,1983-01-01
18,The Other Guy,Little River Band,https://charts-static.billboard.com/img/1982/11/little-river-band-45x-53x53.jpg,,18,18,7,same,1983-01-01
19,The Look Of Love (Part One),ABC,Not supported yet,,19,19,17,same,1983-01-01
20,You Can't Hurry Love,Phil Collins,https://charts-static.billboard.com/img/1982/11/phil-collins-zdh-53x53.jpg,,20,20,9,same,1983-01-01
21,Up Where We Belong,Joe Cocker And Jennifer Warnes,https://charts-static.billboard.com/img/1982/08/joe-cocker-3wq-53x53.jpg,,21,1,20,same,1983-01-01
22,Heart To Heart,Kenny Loggins,https://charts-static.billboard.com/img/1982/11/kenny-loggins-dn7-53x53.jpg,,22,22,6,same,1983-01-01
23,Missing You,Dan Fogelberg,https://charts-static.billboard.com/img/1982/10/dan-fogelberg-4ox-53x53.jpg,,23,23,13,same,1983-01-01
24,Hand To Hold On To,John Cougar,https://charts-static.billboard.com/img/1982/11/john-mellencamp-tnp-53x53.jpg,,24,24,9,same,1983-01-01
25,Goody Two Shoes,Adam Ant,https://charts-static.billboard.com/img/1982/11/adam-ant-m4m-53x53.jpg,,25,25,8,same,1983-01-01
26,I Do,The J. Geils Band,https://charts-static.billboard.com/img/1982/11/the-j-geils-band-etm-53x53.jpg,,26,26,7,same,1983-01-01
27,Love In Store,Fleetwood Mac,https://charts-static.billboard.com/img/1982/11/fleetwood-mac-m6k-53x53.jpg,,27,27,6,same,1983-01-01
28,You Got Lucky,Tom Petty And The Heartbreakers,https://charts-static.billboard.com/img/1982/11/tom-petty-and-the-heartbreakers-eog-53x53.jpg,,28,28,8,same,1983-01-01
29,On The Wings Of Love,Jeffrey Osborne,https://charts-static.billboard.com/img/1982/09/jeffrey-osborne-d8r-53x53.jpg,,29,29,15,same,1983-01-01
30,Shame On The Moon,Bob Seger & The Silver Bullet Band,https://charts-static.billboard.com/img/1982/12/bob-seger-moj-53x53.jpg,,30,30,3,same,1983-01-01
31,"Let's Go Dancin' (ooh La, La, La)",Kool & The Gang,https://charts-static.billboard.com/img/1982/10/kool-the-gang-bbp-53x53.jpg,,31,31,10,same,1983-01-01
32,Everybody Wants You,Billy Squier,https://charts-static.billboard.com/img/1982/08/billy-squier-nam-53x53.jpg,,32,32,14,same,1983-01-01
33,A Penny For Your Thoughts,Tavares,https://charts-static.billboard.com/img/1982/09/tavares-q28-53x53.jpg,,33,33,16,same,1983-01-01
34,What About Me,Moving Pictures,Not supported yet,,34,34,16,same,1983-01-01
35,Shock The Monkey,Peter Gabriel,https://charts-static.billboard.com/img/1982/10/peter-gabriel-gau-53x53.jpg,,35,35,11,same,1983-01-01
