rank,title,artist,image,weeks at no.1,last week,peak position,weeks on chart,detail,date
1,Un-Break My Heart,Toni Braxton,https://charts-static.billboard.com/img/1840/12/toni-braxton-asw-53x53.jpg,5,1,1,11,same,1997-01-04
2,"I Believe I Can Fly (From ""Space Jam"")",R. Kelly,https://charts-static.billboard.com/img/1996/10/r-kelly-ct9-53x53.jpg,,2,2,4,same,1997-01-04
3,Don't Let Go (Love),En Vogue,https://charts-static.billboard.com/img/1996/10/en-vogue-osy-53x53.jpg,,3,3,9,same,1997-01-04
4,No Diggity,BLACKstreet (Featuring Dr. Dre),https://charts-static.billboard.com/img/1996/08/blackstreet-t45-53x53.jpg,,4,1,13,same,1997-01-04
5,Nobody,Keith Sweat Featuring Athena Cage,https://charts-static.billboard.com/img/1996/08/athena-cage-be0-53x53.jpg,,5,3,14,same,1997-01-04
6,"I Believe In You And Me (From ""The Preacher's Wife"")",Whitney Houston,https://charts-static.billboard.com/img/1996/12/whitney-houston-m52-53x53.jpg,,7,6,2,up,1997-01-04
7,Mouth,Merril Bainbridge,https://charts-static.billboard.com/img/1996/08/merril-bainbridge-b9r-53x53.jpg,,6,4,18,down,1997-01-04
8,I'm Still In Love With You,New Edition,https://charts-static.billboard.com/img/1996/09/new-edition-669-53x53.jpg,,9,8,9,up,1997-01-04
9,"I Finally Found Someone (From ""The Mirror Has Two Faces"")",Barbra Streisand & Bryan Adams,https://charts-static.billboard.com/img/1996/11/barbra-streisand-2i4-53x53.jpg,,10,8,7,up,1997-01-04
10,Macarena (Bayside Boys Mix),Los Del Rio,https://charts-static.billboard.com/img/1995/08/los-del-rio-90v-53x53.jpg,,12,1,55,up,1997-01-04
11,It's All Coming Back To Me Now,Celine Dion,https://charts-static.billboard.com/img/1996/08/celine-dion-0hi-53x53.jpg,,8,2,21,down,1997-01-04
12,Pony,Ginuwine,https://charts-static.billboard.com/img/1996/07/ginuwine-1th-53x53.jpg,,11,6,18,down,1997-01-04
13,"Fly Like An Eagle (From ""Space Jam"")",Seal,https://charts-static.billboard.com/img/1996/11/seal-m0t-53x53.jpg,,17,13,3,up,1997-01-04
14,"Last Night (From ""The Nutty Professor"")",Az Yet,https://charts-static.billboard.com/img/1996/08/az-yet-14n-53x53.jpg,,16,9,20,up,1997-01-04
15,When You Love A Woman,Journey,https://charts-static.billboard.com/img/1996/10/journey-9r5-53x53.jpg,,15,12,11,same,1997-01-04
16,If It Makes You Happy,Sheryl Crow,https://charts-static.billboard.com/img/1996/08/sheryl-crow-pfk-53x53.jpg,,14,11,16,down,1997-01-04
