rank,title,artist,image,weeks at no.1,last week,peak position,weeks on chart,detail,date
1,Every Rose Has Its Thorn,Poison,https://charts-static.billboard.com/img/1988/10/poison-r52-53x53.jpg,3,1,1,11,same,1989-01-07
2,My Prerogative,Bobby Brown,https://charts-static.billboard.com/img/1988/08/bobby-brown-s9w-53x53.jpg,,2,2,12,same,1989-01-07
3,Two Hearts,Phil Collins,https://charts-static.billboard.com/img/1988/11/phil-collins-zdh-53x53.jpg,,6,3,8,up,1989-01-07
4,Giving You The Best That I Got,Anita Baker,https://charts-static.billboard.com/img/1988/09/anita-baker-9zu-53x53.jpg,,4,3,16,same,1989-01-07
5,In Your Room,The Bangles,https://charts-static.billboard.com/img/1988/10/the-bangles-9kl-53x53.jpg,,8,5,13,up,1989-01-07
6,Don't Rush Me,Taylor Dayne,https://charts-static.billboard.com/img/1988/11/taylor-dayne-qas-53x53.jpg,,10,6,10,up,1989-01-07
7,Waiting For A Star To Fall,Boy Meets Girl,https://charts-static.billboard.com/img/1988/09/boy-meets-girl-9bf-53x53.jpg,,5,5,18,down,1989-01-07
8,Look Away,Chicago,https://charts-static.billboard.com/img/1988/09/chicago-46u-53x53.jpg,,3,1,16,down,1989-01-07
9,Armageddon It,Def Leppard,https://charts-static.billboard.com/img/1988/11/def-leppard-3qx-53x53.jpg,,12,9,8,up,1989-01-07
10,Smooth Criminal,Michael Jackson,https://charts-static.billboard.com/img/1988/11/michael-jackson-9to-53x53.jpg,,13,10,9,up,1989-01-07
11,I Remember Holding You,Boys Club,https://charts-static.billboard.com/img/1988/10/boys-club-gb1-53x53.jpg,,14,11,12,up,1989-01-07
12,Put A Little Love In Your Heart,Annie Lennox & Al Green,https://charts-static.billboard.com/img/1988/11/al-green-svh-53x53.jpg,,19,12,10,up,1989-01-07
13,Silhouette,Kenny G,https://charts-static.billboard.com/img/1988/10/kenny-g-r4k-53x53.jpg,,16,13,11,up,1989-01-07
14,Welcome To The Jungle,Guns N' Roses,https://charts-static.billboard.com/img/1988/10/guns-n-roses-i8r-53x53.jpg,,7,7,12,down,1989-01-07
15,The Way You Love Me,Karyn White,https://charts-static.billboard.com/img/1988/08/karyn-white-7np-53x53.jpg,,22,15,13,up,1989-01-07
16,When I'm With You,Sheriff,Not supported yet,,27,16,14,up,1989-01-07
17,Born To Be My Baby,Bon Jovi,https://charts-static.billboard.com/img/1988/10/bon-jovi-g8x-53x53.jpg,,26,17,7,up,1989-01-07
18,All This Time,Tiffany,https://charts-static.billboard.com/img/1988/11/tiffany-qt6-53x53.jpg,,24,18,10,up,1989-01-07
19,When The Children Cry,White Lion,https://charts-static.billboard.com/img/1988/11/white-lion-q4v-53x53.jpg,,25,19,10,up,1989-01-07
20,Walk On Water,Eddie Money,https://charts-static.billboard.com/img/1988/10/eddie-money-6yi-53x53.jpg,,9,9,15,down,1989-01-07
21,"Baby, I Love Your Way/Freebird Medley",Will To Power,https://charts-static.billboard.com/img/1988/09/will-to-power-uz5-53x53.jpg,,11,1,18,down,1989-01-07
22,Little Liar,Joan Jett & the Blackhearts,https://charts-static.billboard.com/img/1988/10/joan-jett-the-blackhearts-0n7-53x53.jpg,,28,22,11,up,1989-01-07
23,Holding On,Steve Winwood,https://charts-static.billboard.com/img/1988/11/steve-winwood-6hs-53x53.jpg,,29,23,7,up,1989-01-07
24,How Can I Fall?,Breathe,Not supported yet,,17,3,18,down,1989-01-07
25,Wild World,Maxi Priest,https://charts-static.billboard.com/img/1988/10/maxi-priest-k3c-53x53.jpg,,30,25,11,up,1989-01-07
26,I Wanna Have Some Fun,Samantha Fox,https://charts-static.billboard.com/img/1988/11/samantha-fox-h5c-53x53.jpg,,31,26,9,up,1989-01-07
27,I Don't Want Your Love,Duran Duran,https://charts-static.billboard.com/img/1988/10/duran-duran-xho-53x53.jpg,,15,4,13,down,1989-01-07
28,Straight Up,Paula Abdul,https://charts-static.billboard.com/img/1988/12/paula-abdul-3yb-53x53.jpg,,35,28,6,up,1989-01-07
29,The Promise,When In Rome,https://charts-static.billboard.com/img/1988/04/when-in-rome-mug-53x53.jpg,,18,11,19,down,1989-01-07
30,The Lover In Me,Sheena Easton,https://charts-static.billboard.com/img/1988/10/sheena-easton-wvg-53x53.jpg,,34,30,10,up,1989-01-07
31,Wild Thing,Tone-Loc,https://charts-static.billboard.com/img/1988/11/tone-loc-kaa-53x53.jpg,,37,31,6,up,1989-01-07
32,Finish What Ya Started,Van Halen,https://charts-static.billboard.com/img/1988/10/van-halen-oet-53x53.jpg,,20,13,15,down,1989-01-07
33,Ghost Town,Cheap Trick,https://charts-static.billboard.com/img/1988/11/cheap-trick-jcq-53x53.jpg,,33,33,10,same,1989-01-07
34,Walking Away,Information Society,https://charts-static.billboard.com/img/1988/11/information-society-mr0-53x53.jpg,,41,34,7,up,1989-01-07
35,Thanks For My Child,Cheryl Pepsii Riley,https://charts-static.billboard.com/img/1988/09/cheryl-pepsii-riley-3v9-53x53.jpg,,32,32,11,down,1989-01-07
36,Early In The Morning,Robert Palmer,https://charts-static.billboard.com/img/1988/10/robert-palmer-i8q-53x53.jpg,,23,19,12,down,1989-01-07
37,Spy In The House Of Love,Was (Not Was),https://charts-static.billboard.com/img/1988/10/was-not-was-acg-53x53.jpg,,21,16,15,down,1989-01-07
38,Kiss,The Art Of Noise Featuring Tom Jones,https://charts-static.billboard.com/img/1988/12/the-art-of-noise-xnz-53x53.jpg,,40,38,6,up,1989-01-07
39,Back On Holiday,Robbie Nevil,https://charts-static.billboard.com/img/1988/11/robbie-nevil-3vi-53x53.jpg,,42,39,9,up,1989-01-07
40,She Wants To Dance With Me,Rick Astley,https://charts-static.billboard.com/img/1988/12/rick-astley-opu-53x53.jpg,,44,40,4,up,1989-01-07
41,What I Am,Edie Brickell & New Bohemians,https://charts-static.billboard.com/img/1988/10/edie-brickell-new-bohemians-5ga-53x53.jpg,,45,41,7,up,1989-01-07
42,Angel Of Harlem,U2,https://charts-static.billboard.com/img/1988/10/u2-uun-53x53.jpg,,51,42,4,up,1989-01-07
43,Dial My Heart,The Boys,https://charts-static.billboard.com/img/1988/09/the-boys-r0r-53x53.jpg,,46,43,5,up,1989-01-07
