rank,title,artist,image,last week,peak position,weeks on chart,detail,date,weeks at no.1
1,TiK ToK,Ke$ha,https://charts-static.billboard.com/img/1840/12/kesha-iom-53x53.jpg,2,1,11,up,2010-01-02,
2,Empire State Of Mind,Jay-Z + Alicia Keys,https://charts-static.billboard.com/img/2009/09/jay-z-gbw-53x53.jpg,1,1,15,down,2010-01-02,
3,Bad Romance,Lady Gaga,https://charts-static.billboard.com/img/2009/11/lady-gaga-gyl-53x53.jpg,3,2,8,same,2010-01-02,
4,Replay,Iyaz,https://charts-static.billboard.com/img/2009/08/iyaz-a7g-53x53.jpg,4,4,18,same,2010-01-02,
5,Fireflies,Owl City,https://charts-static.billboard.com/img/2009/08/owl-city-1t0-53x53.jpg,5,1,18,same,2010-01-02,
6,Sexy Chick,David Guetta Featuring Akon,https://charts-static.billboard.com/img/2009/08/david-guetta-z71-53x53.jpg,6,6,20,same,2010-01-02,
7,Whatcha Say,Jason Derulo,https://charts-static.billboard.com/img/2009/07/jason-derulo-3xq-53x53.jpg,7,1,19,same,2010-01-02,
8,Down,Jay Sean Featuring Lil Wayne,https://charts-static.billboard.com/img/2009/07/jay-sean-fk9-53x53.jpg,10,1,25,up,2010-01-02,
9,Meet Me Halfway,The Black Eyed Peas,https://charts-static.billboard.com/img/2009/06/the-black-eyed-peas-b9u-53x53.jpg,8,7,14,down,2010-01-02,
10,3,Britney Spears,https://charts-static.billboard.com/img/2009/10/britney-spears-s89-53x53.jpg,9,1,11,down,2010-01-02,
11,Hard,Rihanna Featuring Jeezy,https://charts-static.billboard.com/img/2009/11/rihanna-v3t-53x53.jpg,21,11,5,up,2010-01-02,
12,BedRock,Young Money Featuring Lloyd,https://charts-static.billboard.com/img/2009/10/young-money-7wj-53x53.jpg,20,12,4,up,2010-01-02,
13,How Low,Ludacris,https://charts-static.billboard.com/img/2009/11/ludacris-5cn-53x53.jpg,13,13,2,same,2010-01-02,
14,Do You Remember,Jay Sean Featuring Sean Paul & Lil Jon,https://charts-static.billboard.com/img/2009/11/jay-sean-fk9-53x53.jpg,16,14,7,up,2010-01-02,
