rank,title,artist,image,weeks at no.1,last week,peak position,weeks on chart,detail,date
1,All I Want For Christmas Is You,Mariah Carey,https://charts-static.billboard.com/img/1994/12/mariah-carey-99g-all-i-want-for-christmas-is-you-3w0-180x180.jpg,4,1,1,58,same,2023-01-07
2,Rockin' Around The Christmas Tree,Brenda Lee,https://charts-static.billboard.com/img/1960/12/brenda-lee-liu-rockin-around-the-christmas-tree-lnw-180x180.jpg,,2,2,52,same,2023-01-07
3,Jingle Bell Rock,Bobby Helms,https://charts-static.billboard.com/img/1958/12/bobby-helms-8s1-jingle-bell-rock-12o-180x180.jpg,,3,3,49,same,2023-01-07
4,Last Christmas,Wham!,https://charts-static.billboard.com/img/1998/01/wham-xp8-last-christmas-xhm-180x180.jpg,,5,4,31,up,2023-01-07
5,A Holly Jolly Christmas,Burl Ives,https://charts-static.billboard.com/img/1998/01/burl-ives-pc9-a-holly-jolly-christmas-iae-180x180.jpg,,4,4,32,down,2023-01-07
6,It's The Most Wonderful Time Of The Year,Andy Williams,https://charts-static.billboard.com/img/2001/12/andy-williams-lz2-180x180.jpg,,6,5,33,same,2023-01-07
7,Feliz Navidad,Jose Feliciano,https://charts-static.billboard.com/img/1998/01/jose-feliciano-b5h-180x180.jpg,,8,6,26,up,2023-01-07
8,Anti-Hero,Taylor Swift,https://charts-static.billboard.com/img/2022/10/taylor-swift-824-antihero-fgo-180x180.jpg,,9,1,10,up,2023-01-07
9,The Christmas Song (Merry Christmas To You),Nat King Cole,https://charts-static.billboard.com/img/1960/12/nat-king-cole-wkp-the-christmas-song-merry-christmas-to-you-gfr-180x180.jpg,,11,9,38,up,2023-01-07
10,Unholy,Sam Smith & Kim Petras,https://charts-static.billboard.com/img/2022/10/sam-smith-jw8-unholy-7a7-180x180.jpg,,10,1,14,same,2023-01-07
11,Kill Bill,SZA,https://charts-static.billboard.com/img/2014/04/sza-8os-180x180.jpg,,7,3,3,down,2023-01-07
12,Santa Tell Me,Ariana Grande,https://charts-static.billboard.com/img/2014/12/ariana-grande-da0-santa-tell-me-st8-180x180.jpg,,12,12,18,same,2023-01-07
13,Sleigh Ride,The Ronettes,https://charts-static.billboard.com/img/2001/12/the-ronettes-k1e-sleigh-ride-60v-180x180.jpg,,13,10,22,same,2023-01-07
14,Underneath The Tree,Kelly Clarkson,https://charts-static.billboard.com/img/2013/11/kelly-clarkson-w89-underneath-the-tree-hcd-180x180.jpg,,14,12,21,same,2023-01-07
15,Christmas (Baby Please Come Home),Darlene Love,https://charts-static.billboard.com/img/2014/12/darlene-love-pok-180x180.jpg,,15,15,17,same,2023-01-07
16,White Christmas,Bing Crosby,https://charts-static.billboard.com/img/1958/12/bing-crosby-q6i-180x180.jpg,,18,12,30,up,2023-01-07
17,Deck The Halls,Nat King Cole,https://charts-static.billboard.com/img/2018/01/nat-king-cole-wkp-180x180.jpg,,16,16,8,down,2023-01-07
18,"Let It Snow, Let It Snow, Let It Snow",Dean Martin,https://charts-static.billboard.com/img/2011/12/dean-martin-mm0-180x180.jpg,,17,8,25,down,2023-01-07
19,I'm Good (Blue),David Guetta & Bebe Rexha,https://charts-static.billboard.com/img/2022/09/david-guetta-ruw-imgoodblue-d17-180x180.jpg,,23,7,18,up,2023-01-07
20,Jingle Bells,Frank Sinatra,https://charts-static.billboard.com/img/2012/12/frank-sinatra-ytu-180x180.jpg,,22,20,9,up,2023-01-07
21,Rich Flex,Drake & 21 Savage,https://charts-static.billboard.com/img/2009/04/drake-04g-180x180.jpg,,20,2,8,down,2023-01-07
22,Creepin',"Metro Boomin, The Weeknd & 21 Savage",https://charts-static.billboard.com/img/2013/08/metro-boomin-nxb-180x180.jpg,,19,5,4,down,2023-01-07
23,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,https://charts-static.billboard.com/img/2013/12/perry-como-srg-180x180.jpg,,24,12,18,up,2023-01-07
24,Blue Christmas,Elvis Presley,https://charts-static.billboard.com/img/1998/01/elvis-presley-nq7-180x180.jpg,,27,24,8,up,2023-01-07
25,It's Beginning To Look A Lot Like Christmas,Michael Buble,https://charts-static.billboard.com/img/2003/03/michael-buble-auc-180x180.jpg,,21,20,15,down,2023-01-07
26,Die For You,The Weeknd,https://charts-static.billboard.com/img/2016/12/the-weeknd-xmx-dieforyou-eei-180x180.jpg,,26,12,22,same,2023-01-07
27,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,https://charts-static.billboard.com/img/2003/12/gene-autry-o4a-180x180.jpg,,25,25,15,down,2023-01-07
28,Rudolph The Red-Nosed Reindeer,Gene Autry,https://charts-static.billboard.com/img/1998/12/gene-autry-o4a-180x180.jpg,,28,16,22,same,2023-01-07
29,Little Saint Nick,The Beach Boys,https://charts-static.billboard.com/img/2001/12/the-beach-boys-nds-180x180.jpg,,30,29,4,up,2023-01-07
30,Bad Habit,Steve Lacy,https://charts-static.billboard.com/img/2022/07/steve-lacy-d2o-badhabit-l6b-180x180.jpg,,29,1,26,down,2023-01-07
31,As It Was,Harry Styles,https://charts-static.billboard.com/img/2022/04/harry-styles-6jk-asitwas-po3-180x180.jpg,,35,1,39,up,2023-01-07
32,Run Rudolph Run,Chuck Berry,https://charts-static.billboard.com/img/1958/12/chuck-berry-qde-180x180.jpg,,34,10,17,up,2023-01-07
33,Wonderful Christmastime,Paul McCartney,https://charts-static.billboard.com/img/1970/05/paul-mccartney-grq-180x180.jpg,,32,28,8,down,2023-01-07
34,Santa Claus Is Comin' To Town,Jackson 5,https://charts-static.billboard.com/img/2002/01/the-jacksons-34u-155x155.jpg,,33,33,6,down,2023-01-07
35,"You're A Mean One, Mr. Grinch",Thurl Ravenscroft,Not supported yet,,31,31,7,down,2023-01-07
36,Santa Baby,Eartha Kitt With Henri Rene And His Orchestra,https://charts-static.billboard.com/img/2004/12/eartha-kitt-000-santa-baby-6tx-180x180.jpg,,45,35,5,up,2023-01-07
37,This Christmas,Donny Hathaway,https://charts-static.billboard.com/img/1997/01/donny-hathaway-a6m-this-christmas-2cc-180x180.jpg,,47,37,3,up,2023-01-07
38,Cuff It,Beyonce,https://charts-static.billboard.com/img/2002/06/beyonce-0na-180x180.jpg,,39,13,20,up,2023-01-07
39,Under The Influence,Chris Brown,https://charts-static.billboard.com/img/2022/08/chris-brown-94g-undertheinfluence-oac-180x180.jpg,,37,14,16,down,2023-01-07
40,Happy Holiday / The Holiday Season,Andy Williams,https://charts-static.billboard.com/img/2001/12/andy-williams-epf-180x180.jpg,,40,18,15,same,2023-01-07
41,(There's No Place Like) Home For The Holidays (1959),Perry Como With Mitchell Ayers And His Orchestra,https://charts-static.billboard.com/img/2014/12/perry-como-srg-180x180.jpg,,None,22,13,re-entry,2023-01-07
42,Something In The Orange,Zach Bryan,https://charts-static.billboard.com/img/2022/05/zach-bryan-cfd-something-in-the-orange-ynj-180x180.jpg,,50,12,36,up,2023-01-07
43,Please Come Home For Christmas,Eagles,https://charts-static.billboard.com/img/1978/12/eagles-520-106x106.jpg,,44,18,12,up,2023-01-07
44,Merry Christmas,Ed Sheeran & Elton John,https://charts-static.billboard.com/img/2021/12/ed-sheeran-w3r-merry-christmas-pjm-180x180.jpg,,42,42,6,down,2023-01-07
45,Made You Look,Meghan Trainor,https://charts-static.billboard.com/img/2014/07/meghan-trainor-3k0-180x180.jpg,,51,24,10,up,2023-01-07
46,You Proof,Morgan Wallen,https://charts-static.billboard.com/img/2022/05/morgan-wallen-nlu-you-proof-uu4-180x180.jpg,,46,5,33,same,2023-01-07
47,Happy Xmas (War Is Over),John & Yoko/The Plastic Ono Band With The Harlem Community Choir,https://charts-static.billboard.com/img/1996/01/john-lennon-0fr-180x180.jpg,,38,38,4,down,2023-01-07
48,Have Yourself A Merry Little Christmas,Michael Buble,https://charts-static.billboard.com/img/2003/03/michael-buble-auc-180x180.jpg,,None,47,3,re-entry,2023-01-07
49,Golden Hour,JVKE,https://charts-static.billboard.com/img/2022/09/jvke-4lr-goldenhour-ig9-180x180.jpg,,54,35,18,up,2023-01-07
50,Christmastime Is Here,Vince Guaraldi Trio,https://charts-static.billboard.com/img/2006/12/vince-guaraldi-trio-y7p-174x174.jpg,,None,41,3,re-entry,2023-01-07
51,Super Freaky Girl,Nicki Minaj,https://charts-static.billboard.com/img/2022/08/nicki-minaj-721-superfreakygirl-wpa-180x180.jpg,,53,1,20,up,2023-01-07
52,Shirt,SZA,https://charts-static.billboard.com/img/2022/11/sza-mhq-shirt-e9d-180x180.jpg,,36,11,9,down,2023-01-07
53,Just Wanna Rock,Lil Uzi Vert,https://charts-static.billboard.com/img/2022/10/lil-uzi-vert-g7z-justwannarock-uyx-180x180.jpg,,55,21,11,up,2023-01-07
54,Tomorrow 2,GloRilla & Cardi B,https://charts-static.billboard.com/img/2022/08/glorilla-000-tomorrow2-5ob-180x180.jpg,,56,9,14,up,2023-01-07
55,Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown",https://charts-static.billboard.com/img/2013/08/metro-boomin-nxb-180x180.jpg,,41,8,4,down,2023-01-07
56,Thank God,Kane Brown With Katelyn Brown,https://charts-static.billboard.com/img/2022/09/kane-brown-dqa-thankgod-qyu-180x180.jpg,,60,22,16,up,2023-01-07
57,Lift Me Up,Rihanna,https://charts-static.billboard.com/img/2022/11/rihanna-k0p-liftmeup-5gp-180x180.jpg,,57,2,9,same,2023-01-07
58,Until I Found You,Stephen Sanchez,https://charts-static.billboard.com/img/2022/03/stephensanchez-s9k-untilifoundyou-6xd-180x180.jpg,,62,38,26,up,2023-01-07
59,Nobody Gets Me,SZA,https://charts-static.billboard.com/img/2014/04/sza-8os-180x180.jpg,,43,10,3,down,2023-01-07
60,Someday At Christmas,Lizzo,https://charts-static.billboard.com/img/2022/11/lizzo-o9x-somedayatchristmas-8ah-180x180.jpg,,59,59,5,down,2023-01-07
61,Rock And A Hard Place,Bailey Zimmerman,https://charts-static.billboard.com/img/2022/06/baileyzimmerman-qt3-rockandahardplace-vms-180x180.jpg,,64,24,29,up,2023-01-07
62,Gato de Noche,Nengo Flow & Bad Bunny,https://charts-static.billboard.com/img/2023/01/nengo-flow-000-gatodenoche-asz-180x180.jpg,,None,62,1,new,2023-01-07
63,Victoria's Secret,Jax,https://charts-static.billboard.com/img/2022/07/jax-6vn-victoriassecret-745-180x180.jpg,,66,35,22,up,2023-01-07
64,Lavender Haze,Taylor Swift,https://charts-static.billboard.com/img/2006/07/taylor-swift-824-180x180.jpg,,67,2,10,up,2023-01-07
