rank,title,artist,image,weeks at no.1,last week,peak position,weeks on chart,detail,date
1,Say Say Say,Paul McCartney And Michael Jackson,https://charts-static.billboard.com/img/1983/10/paul-mccartney-ntf-53x53.jpg,5,1,1,13,same,1984-01-07
2,Say It Isn't So,Daryl Hall John Oates,Not supported yet,,2,2,11,same,1984-01-07
3,Union Of The Snake,Duran Duran,https://charts-static.billboard.com/img/1983/11/duran-duran-xho-53x53.jpg,,3,3,10,same,1984-01-07
4,Owner Of A Lonely Heart,Yes,https://charts-static.billboard.com/img/1983/11/yes-pm5-53x53.jpg,,4,4,10,same,1984-01-07
5,Twist Of Fate,Olivia Newton-John,https://charts-static.billboard.com/img/1983/11/olivia-newton-john-hxh-53x53.jpg,,8,5,10,up,1984-01-07
6,Talking In Your Sleep,The Romantics,https://charts-static.billboard.com/img/1983/10/the-romantics-bg6-53x53.jpg,,12,6,14,up,1984-01-07
7,Break My Stride,Matthew Wilder,Not supported yet,,10,7,17,up,1984-01-07
8,I Guess That's Why They Call It The Blues,Elton John,https://charts-static.billboard.com/img/1983/10/elton-john-qls-53x53.jpg,,11,8,11,up,1984-01-07
9,Undercover Of The Night,The Rolling Stones,https://charts-static.billboard.com/img/1983/11/the-rolling-stones-3a7-53x53.jpg,,9,9,9,same,1984-01-07
10,All Night Long (All Night),Lionel Richie,https://charts-static.billboard.com/img/1840/12/lionel-richie-srd-53x53.jpg,,5,1,17,down,1984-01-07
11,Uptown Girl,Billy Joel,https://charts-static.billboard.com/img/1983/09/billy-joel-9l9-53x53.jpg,,6,3,16,down,1984-01-07
12,Love Is A Battlefield,Pat Benatar,https://charts-static.billboard.com/img/1983/09/pat-benatar-lo1-53x53.jpg,,7,5,16,down,1984-01-07
13,Karma Chameleon,Culture Club,https://charts-static.billboard.com/img/1983/12/culture-club-50u-53x53.jpg,,17,13,6,up,1984-01-07
14,Major Tom (Coming Home),Peter Schilling,https://charts-static.billboard.com/img/1983/09/peter-schilling-tbm-53x53.jpg,,14,14,16,same,1984-01-07
