,title,artist,count,year
0,Jessie's Girl,Rick Springfield,32,1981
1,A Woman Needs Love (Just Like You Do),Ray Parker Jr. & Raydio,27,1981
2,I Love You,Climax Blues Band,27,1981
3,Queen Of Hearts,Juice Newton,27,1981
4,Bette Davis Eyes,Kim Carnes,26,1981
5,"Theme From ""Greatest American Hero"" (Believe It or Not)",Joey Scarbury,26,1981
6,Being With You,Smokey Robinson,25,1981
7,I Don't Need You,Rupert Holmes,25,1981
8,Endless Love,Diana Ross & Lionel Richie,25,1981
9,Sukiyaki,A Taste Of Honey,24,1981
10,Just The Two Of Us,"Grover Washington, Jr. (With Bill Withers)",24,1981
11,Slow Hand,The Pointer Sisters,24,1981
12,Kiss On My List,Daryl Hall John Oates,23,1981
13,Urgent,Foreigner,23,1981
14,The Breakup Song (They Don't Write 'Em),Greg Kihn Band,23,1981
15,Keep On Loving You,REO Speedwagon,23,1981
16,How 'bout Us,Champaign,23,1981
17,Time,The Alan Parsons Project,23,1981
18,For Your Eyes Only,Sheena Easton,23,1981
19,Angel Of The Morning,Juice Newton,22,1981
20,We're In This Love Together,Al Jarreau,22,1981
21,Step By Step,Eddie Rabbitt,22,1981
22,Elvira,The Oak Ridge Boys,22,1981
23,Lady (You Bring Me Up),Commodores,22,1981
24,Somebody's Knockin',Terri Gibbs,22,1981
25,Feels So Right,Alabama,22,1981
26,Hearts,Marty Balin,21,1981
27,You Make My Dreams,Daryl Hall John Oates,21,1981
28,Morning Train (Nine To Five),Sheena Easton,21,1981
29,Ain't Even Done With The Night,John Cougar,21,1981
30,Stop Draggin' My Heart Around,Stevie Nicks With Tom Petty And The Heartbreakers,21,1981
31,Super Freak (Part I),Rick James,21,1981
32,9 To 5,Dolly Parton,21,1981
33,Medley,Stars On 45,21,1981
34,Who's Crying Now,Journey,21,1981
35,Boy From New York City,The Manhattan Transfer,21,1981
36,I Love A Rainy Night,Eddie Rabbitt,20,1981
37,Rapture,Blondie,20,1981
38,Seven Year Ache,Rosanne Cash,20,1981
39,Fly Away,Peter Allen,20,1981
40,The Winner Takes It All,ABBA,20,1981
41,Celebration,Kool & The Gang,20,1981
42,Take It On The Run,REO Speedwagon,20,1981
43,Some Days Are Diamonds (Some Days Are Stone),John Denver,20,1981
44,Sweet Baby,Stanley Clarke/George Duke,20,1981
45,The Stroke,Billy Squier,20,1981
46,Just Once,Quincy Jones Featuring James Ingram,20,1981
47,What Are We Doin' In Love,Dottie West with Kenny Rogers,20,1981
48,Woman,John Lennon,20,1981
49,(There's) No Gettin' Over Me,Ronnie Milsap,20,1981
50,When She Was My Girl,Four Tops,20,1981
51,Living Inside Myself,Gino Vannelli,20,1981
52,Arthur's Theme (Best That You Can Do),Christopher Cross,20,1981
53,A Little In Love,Cliff Richard,19,1981
54,The One That You Love,Air Supply,19,1981
55,"She's A Bad Mama Jama (She's Built, She's Stacked)",Carl Carlton,19,1981
56,The Theme From Hill Street Blues,Mike Post featuring Larry Carlton,19,1981
57,Sweetheart,Franke & The Knockouts,19,1981
58,The Tide Is High,Blondie,19,1981
59,The Best Of Times,Styx,19,1981
60,It's Now Or Never,John Schneider,19,1981
61,Games People Play,The Alan Parsons Project,19,1981
62,Too Much Time On My Hands,Styx,19,1981
63,Double Dutch Bus,Frankie Smith,19,1981
64,Hold On Tight,Electric Light Orchestra,19,1981
65,I've Done Everything For You,Rick Springfield,19,1981
66,Start Me Up,The Rolling Stones,19,1981
67,The Night Owls,Little River Band,19,1981
68,Crying,Don McLean,18,1981
69,While You See A Chance,Steve Winwood,18,1981
70,Don't Stand So Close To Me,The Police,18,1981
71,Winning,Santana,18,1981
72,Our Lips Are Sealed,Go-Go's,18,1981
73,The Beach Boys Medley,The Beach Boys,18,1981
74,Private Eyes,Daryl Hall John Oates,18,1981
75,Hard To Say,Dan Fogelberg,18,1981
76,Treat Me Right,Pat Benatar,18,1981
77,I Could Never Miss You (More Than I Do),Lulu,18,1981
78,Modern Girl,Sheena Easton,18,1981
79,This Little Girl,Gary U.S. Bonds,18,1981
80,Cool Love,Pablo Cruise,17,1981
81,Breaking Away,Balance,17,1981
82,Heavy Metal (Takin' A Ride),Don Felder,17,1981
83,In The Air Tonight,Phil Collins,17,1981
84,Hold On Loosely,38 Special,17,1981
85,Turn Me Loose,Loverboy,17,1981
86,Love On A Two Way Street,Stacy Lattisaw,17,1981
87,Watching The Wheels,John Lennon,17,1981
88,America,Neil Diamond,17,1981
89,Really Wanna Know You,Gary Wright,17,1981
90,Wasn't That A Party,The Rovers,17,1981
91,The Voice,The Moody Blues,17,1981
92,I Can't Stand It,Eric Clapton And His Band,17,1981
93,Is It You,Lee Ritenour,16,1981
94,Rock And Roll Dreams Come Through,Jim Steinman,16,1981
95,Fool In Love With You,Jim Photoglo,16,1981
96,Just Between You And Me,April Wine,16,1981
97,Steal The Night,Stevie Woods,16,1981
98,General Hospi-tale,The Afternoon Delights,16,1981
99,Smoky Mountain Rain,Ronnie Milsap,16,1981
