,title,artist,count,year
0,Hold On,Wilson Phillips,50,1990
1,Unchained Melody,The Righteous Brothers,32,1990
2,Heart Of Stone,Cher,30,1990
3,Sending All My Love,Linear,27,1990
4,Close To You,Maxi Priest,27,1990
5,(Can't Live Without Your) Love And Affection,Nelson,26,1990
6,Poison,Alice Cooper,26,1990
7,"It Must Have Been Love (From ""Pretty Woman"")",Roxette,25,1990
8,Tic-Tac-Toe,Kyper,25,1990
9,Here And Now,Luther Vandross,25,1990
10,Mentirosa,Mellow Man Ace,24,1990
11,Vogue,Madonna,24,1990
12,Enjoy The Silence,Depeche Mode,24,1990
13,"King Of Wishful Thinking (From ""Pretty Woman"")",Go West,24,1990
14,"Cradle Of Love (From ""Ford Fairlane"")",Billy Idol,24,1990
15,Black Velvet,Alannah Myles,24,1990
16,Rub You The Right Way,Johnny Gill,23,1990
17,The Humpty Dance,Digital Underground,23,1990
18,I Wanna Be Rich,Calloway,23,1990
19,Oh Girl,Paul Young,23,1990
20,Can't Stop,After 7,23,1990
21,I Don't Have The Heart,James Ingram,22,1990
22,Release Me,Wilson Phillips,22,1990
23,No More Lies,Michel'le,22,1990
24,Just A Friend,Biz Markie,22,1990
25,Do Me!,Bell Biv DeVoe,22,1990
26,The Power,Snap!,22,1990
27,Something Happened On The Way To Heaven,Phil Collins,22,1990
28,All Around The World,Lisa Stansfield,22,1990
29,Vision Of Love,Mariah Carey,22,1990
30,The Ballad Of Jayne,L.A. Guns,22,1990
31,If U Were Mine,The U-Krew,22,1990
32,"Blaze Of Glory (From ""Young Guns II"")",Jon Bon Jovi,21,1990
33,Girls Nite Out,Tyler Collins,21,1990
34,The Heart Of The Matter,Don Henley,21,1990
35,Epic,Faith No More,21,1990
36,Make You Sweat,Keith Sweat,21,1990
37,Expression,Salt-N-Pepa,21,1990
38,House Of Pain,Faster Pussycat,21,1990
39,Ready Or Not,After 7,21,1990
40,Nothing Compares 2 U,Sinead O'Connor,21,1990
41,Don't Wanna Fall In Love,Jane Child,21,1990
42,Love Will Lead You Back,Taylor Dayne,20,1990
43,Opposites Attract,Paula Abdul (Duet With The Wild Pair),20,1990
44,I'll See You In My Dreams,Giant,20,1990
45,All I Wanna Do Is Make Love To You,Heart,20,1990
46,Have You Seen Her,M.C. Hammer,20,1990
47,Giving You The Benefit,Pebbles,20,1990
48,"Whole Wide World (From ""True Love"")",A'me Lorain,20,1990
49,Get Up! (Before The Night Is Over),Technotronic,20,1990
50,If Wishes Came True,Sweet Sensation,20,1990
51,Joey,Concrete Blonde,20,1990
52,Do You Remember?,Phil Collins,19,1990
53,Everybody Everybody,Black Box,19,1990
54,Unskinny Bop,Poison,19,1990
55,Dirty Cash (Money Talks),The Adventures Of Stevie V,19,1990
56,When I'm Back On My Feet Again,Michael Bolton,19,1990
57,I'll Be Your Everything,Tommy Page,18,1990
58,Feels Good,Tony Toni Tone,18,1990
59,How Can We Be Lovers,Michael Bolton,18,1990
60,La Raza,Kid Frost,18,1990
61,Fly To the Angels,Slaughter,18,1990
62,Dangerous,Roxette,18,1990
63,Here We Are,Gloria Estefan,18,1990
64,I'll Be Your Shelter,Taylor Dayne,18,1990
65,Knockin' Boots,Candyman,18,1990
66,Could This Be Love,Seduction,18,1990
67,Romeo,Dino,18,1990
68,Whip Appeal,Babyface,18,1990
69,She Ain't Worth It,Glenn Medeiros Featuring Bobby Brown,18,1990
70,Roam,The B-52s,18,1990
71,C'mon And Get My Love,D-Mob Introducing Cathy Dennis,18,1990
72,"Baby, It's Tonight",Jude Cole,18,1990
73,Possession,Bad English,17,1990
74,Sometimes She Cries,Warrant,17,1990
75,Ice Ice Baby,Vanilla Ice,17,1990
76,Escapade,Janet Jackson,17,1990
77,Bad Of The Heart,George LaMond,17,1990
78,Come Back To Me,Janet Jackson,17,1990
79,I Wish It Would Rain Down,Phil Collins,17,1990
80,Sacrifice,Elton John,17,1990
81,Time After Time,Timmy T.,17,1990
82,Cherry Pie,Warrant,17,1990
83,Hippychick,Soho,17,1990
84,U Can't Touch This,M.C. Hammer,17,1990
85,Without You,Motley Crue,17,1990
86,Forever,KISS,17,1990
87,More Than Words Can Say,Alias,17,1990
88,Price Of Love,Bad English,17,1990
89,What It Takes,Aerosmith,17,1990
90,Across The River,Bruce Hornsby & The Range,16,1990
91,A Girl Like You,The Smithereens,16,1990
92,Turtle Power,Partners In Kryme,16,1990
93,I Go To Extremes,Billy Joel,16,1990
94,Groove Is In The Heart,Deee-Lite,16,1990
95,This Old Heart Of Mine,Rod Stewart With Ronald Isley,16,1990
96,The Way You Do The Things You Do,UB40,16,1990
97,We're All In the Same Gang,The West Coast Rap All-Stars,16,1990
98,Heartbeat,Seduction,16,1990
99,Alright,Janet Jackson,16,1990
