,title,artist,count,year
0,Love Song,The Cure,31,1989
1,"Wind Beneath My Wings (From ""Beaches"")",Bette Midler,28,1989
2,One,Metallica,28,1989
3,Once Bitten Twice Shy,Great White,26,1989
4,I Like It,Dino,25,1989
5,Girl You Know It's True,Milli Vanilli,25,1989
6,Buffalo Stance,Neneh Cherry,24,1989
7,Close My Eyes Forever,Lita Ford (Duet With Ozzy Osbourne),24,1989
8,Thinking Of You,SaFire,23,1989
9,Where Are You Now?,Jimmy Harnen With Synch,23,1989
10,If I Could Turn Back Time,Cher,23,1989
11,Bust A Move,Young M.C.,23,1989
12,If You Don't Know Me By Now,Simply Red,22,1989
13,Girl I'm Gonna Miss You,Milli Vanilli,22,1989
14,Angel Eyes,The Jeff Healey Band,22,1989
15,She Drives Me Crazy,Fine Young Cannibals,22,1989
16,Cold Hearted,Paula Abdul,21,1989
17,Secret Rendezvous,Karyn White,21,1989
18,I'll Be There For You,Bon Jovi,21,1989
19,Forever Your Girl,Paula Abdul,21,1989
20,"Rock On (From ""Dream A Little Dream"")",Michael Damian,21,1989
21,Every Little Step,Bobby Brown,21,1989
22,I'll Be Loving You (Forever),New Kids On The Block,21,1989
23,(You're My One And Only) True Love,Seduction,21,1989
24,Right Here Waiting,Richard Marx,21,1989
25,Baby Don't Forget My Number,Milli Vanilli,21,1989
26,My Heart Can't Tell You No,Rod Stewart,20,1989
27,Second Chance,Thirty Eight Special,20,1989
28,Keep On Movin',Soul II Soul (Featuring Caron Wheeler),20,1989
29,Toy Soldiers,Martika,20,1989
30,So Alive,Love And Rockets,20,1989
31,Don't Shut Me Out,Kevin Paige,20,1989
32,When I Looked At Him,Expose,20,1989
33,18 And Life,Skid Row,20,1989
34,"On Our Own (From ""Ghostbusters II"")",Bobby Brown,20,1989
35,Miss You Like Crazy,Natalie Cole,19,1989
36,The Living Years,Mike + The Mechanics,19,1989
37,Heaven,Warrant,19,1989
38,Dreamin',Vanessa Williams,19,1989
39,Listen To Your Heart,Roxette,19,1989
40,Everlasting Love,Howard Jones,19,1989
41,Shower Me With Your Love,Surface,19,1989
42,I Wanna Be The One,Stevie B,19,1989
43,Rock Wit'cha,Bobby Brown,19,1989
44,Wild Thing,Tone-Loc,19,1989
45,Straight Up,Paula Abdul,19,1989
46,Who Do You Give Your Love To?,Michael Morales,19,1989
47,A Shoulder To Cry On,Tommy Page,19,1989
48,"After All (Love Theme From ""Chances Are"")",Cher & Peter Cetera,19,1989
49,Lost In Your Eyes,Debbie Gibson,18,1989
50,Soldier Of Love,Donny Osmond,18,1989
51,Real Love,Jody Watley,18,1989
52,You Got It (The Right Stuff),New Kids On The Block,18,1989
53,The End Of The Innocence,Don Henley,18,1989
54,Hey Baby,Henry Lee Summer,18,1989
55,Don't Wanna Lose You,Gloria Estefan,18,1989
56,Miss You Much,Janet Jackson,18,1989
57,Dressed For Success,Roxette,18,1989
58,Stand,R.E.M.,18,1989
59,It's No Crime,Babyface,18,1989
60,Eternal Flame,The Bangles,18,1989
61,The Look,Roxette,18,1989
62,Friends,Jody Watley With Eric B. & Rakim,18,1989
63,Love Shack,The B-52s,18,1989
64,Patience,Guns N' Roses,18,1989
65,Headed For A Heartbreak,Winger,18,1989
66,Talk It Over,Grayson Hugh,18,1989
67,"Batdance (From ""Batman"")",Prince,18,1989
68,Room To Move,Animotion,17,1989
69,Into The Night,Benny Mardones,17,1989
70,What About Me,Moving Pictures,17,1989
71,"Iko Iko (From ""Rain Man"")",The Belle Stars,17,1989
72,Funky Cold Medina,Tone-Loc,17,1989
73,Crazy About Her,Rod Stewart,17,1989
74,This Time I Know It's For Real,Donna Summer,17,1989
75,You Got It,Roy Orbison,17,1989
76,Talk To Myself,Christopher Williams,17,1989
77,Soul Provider,Michael Bolton,17,1989
78,The Love In Your Eyes,Eddie Money,17,1989
79,Sincerely Yours,Sweet Sensation (With Romeo J.D.),17,1989
80,Don't Close Your Eyes,KIX,17,1989
81,Superwoman,Karyn White,17,1989
82,Me Myself And I,De La Soul,17,1989
83,Good Thing,Fine Young Cannibals,17,1989
84,Cry,Waterfront,17,1989
85,Me So Horny,The 2 Live Crew,17,1989
86,Hangin' Tough,New Kids On The Block,17,1989
87,More Than You Know,Martika,17,1989
88,In My Eyes,Stevie B,17,1989
89,Coming Home,Cinderella,17,1989
90,Sacred Emotion,Donny Osmond,16,1989
91,Cover Girl,New Kids On The Block,16,1989
92,Love In An Elevator,Aerosmith,16,1989
93,Paradise City,Guns N' Roses,16,1989
94,I'm That Type Of Guy,LL Cool J,16,1989
95,Express Yourself,Madonna,16,1989
96,Lay Your Hands On Me,Bon Jovi,16,1989
97,When I See You Smile,Bad English,16,1989
98,Call It Love,Poco,16,1989
99,Orinoco Flow (Sail Away),Enya,16,1989
