,title,artist,count,year
0,Snooze,SZA,52,2023
1,Kill Bill,SZA,48,2023
2,Last Night,Morgan Wallen,47,2023
3,Flowers,Miley Cyrus,45,2023
4,Creepin',"Metro Boomin, The Weeknd & 21 Savage",44,2023
5,Anti-Hero,Taylor Swift,44,2023
6,Everything I Love,Morgan Wallen,42,2023
7,Thinkin' Bout Me,Morgan Wallen,42,2023
8,Calm Down,Rema & Selena Gomez,41,2023
9,Fast Car,Luke Combs,39,2023
10,Need A Favor,Jelly Roll,37,2023
11,Daylight,David Kushner,34,2023
12,Love You Anyway,Luke Combs,33,2023
13,Thought You Should Know,Morgan Wallen,32,2023
14,I'm Good (Blue),David Guetta & Bebe Rexha,31,2023
15,Next Thing You Know,Jordan Davis,31,2023
16,Something In The Orange,Zach Bryan,31,2023
17,Cruel Summer,Taylor Swift,31,2023
18,Die For You,The Weeknd,31,2023
19,You Proof,Morgan Wallen,30,2023
20,Thank God,Kane Brown With Katelyn Brown,30,2023
21,Sure Thing,Miguel,29,2023
22,What It Is (Block Boy),Doechii Featuring Kodak Black,29,2023
23,Favorite Song,Toosii,27,2023
24,Truck Bed,HARDY,27,2023
25,One Thing At A Time,Morgan Wallen,27,2023
26,Under The Influence,Chris Brown,26,2023
27,Players,Coi Leray,26,2023
28,Dance The Night,Dua Lipa,26,2023
29,Fukumean,Gunna,26,2023
30,Rock And A Hard Place,Bailey Zimmerman,26,2023
31,Religiously,Bailey Zimmerman,25,2023
32,Cupid,Fifty Fifty,25,2023
33,Save Me,Jelly Roll With Lainey Wilson,25,2023
34,Tennessee Orange,Megan Moroney,25,2023
35,Karma,Taylor Swift,24,2023
36,All My Life,Lil Durk Featuring J. Cole,24,2023
37,Vampire,Olivia Rodrigo,23,2023
38,Dancin' In The Country,Tyler Hubbard,23,2023
39,What Was I Made For?,Billie Eilish,23,2023
40,Dial Drunk,Noah Kahan,23,2023
41,La Bebe,Yng Lvcas x Peso Pluma,23,2023
42,Ella Baila Sola,Eslabon Armado X Peso Pluma,23,2023
43,As It Was,Harry Styles,23,2023
44,"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice,22,2023
45,Just Wanna Rock,Lil Uzi Vert,22,2023
46,White Horse,Chris Stapleton,22,2023
47,Unholy,Sam Smith & Kim Petras,22,2023
48,Spin Bout U,Drake & 21 Savage,22,2023
49,Rich Flex,Drake & 21 Savage,21,2023
50,Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown",21,2023
51,Barbie World,Nicki Minaj & Ice Spice With Aqua,21,2023
52,Que Vuelvas,Carin Leon X Grupo Frontera,20,2023
53,LaLa,Myke Towers,20,2023
54,Lady Gaga,"Peso Pluma, Gabito Ballesteros & Junior H",20,2023
55,Fight The Feeling,Rod Wave,20,2023
56,I Know ?,Travis Scott,20,2023
57,Lavender Haze,Taylor Swift,20,2023
58,Escapism,RAYE Featuring 070 Shake,20,2023
59,Memory Lane,Old Dominion,20,2023
60,Eyes Closed,Ed Sheeran,20,2023
61,Search & Rescue,Drake,20,2023
62,ICU,Coco Jones,20,2023
63,Dawns,Zach Bryan Featuring Maggie Rogers,20,2023
64,PRC,Peso Pluma X Natanael Cano,20,2023
65,Paint The Town Red,Doja Cat,20,2023
66,Cowgirls,Morgan Wallen Featuring ERNEST,20,2023
67,Por Las Noches,Peso Pluma,20,2023
68,Princess Diana,Ice Spice & Nicki Minaj,20,2023
69,Chemical,Post Malone,20,2023
70,Peaches & Eggplants,Young Nudy Featuring 21 Savage,20,2023
71,See You Again,"Tyler, The Creator Featuring Kali Uchis",20,2023
72,TQG,Karol G x Shakira,20,2023
73,Try That In A Small Town,Jason Aldean,20,2023
74,Un x100to,Grupo Frontera X Bad Bunny,20,2023
75,Handle On You,Parker McCollum,20,2023
76,AMG,"Gabito Ballesteros, Peso Pluma & Natanael Cano",20,2023
77,Where She Goes,Bad Bunny,20,2023
78,Ain't That Some,Morgan Wallen,20,2023
79,Watermelon Moonshine,Lainey Wilson,20,2023
80,Wild As Her,Corey Kent,20,2023
81,Bebe Dame,Fuerza Regida X Grupo Frontera,20,2023
82,Good Good,"Usher, Summer Walker & 21 Savage",19,2023
83,Nonsense,Sabrina Carpenter,19,2023
84,Bury Me In Georgia,Kane Brown,19,2023
85,I Wrote The Book,Morgan Wallen,19,2023
86,Qlona,Karol G & Peso Pluma,19,2023
87,Popular,"The Weeknd, Playboi Carti & Madonna",19,2023
88,Human,Cody Johnson,19,2023
89,Lose Control,Teddy Swims,19,2023
90,Meltdown,Travis Scott Featuring Drake,19,2023
91,Bloody Mary,Lady Gaga,18,2023
92,Wait In The Truck,HARDY Featuring Lainey Wilson,18,2023
93,Area Codes,Kali,18,2023
94,Heart Like A Truck,Lainey Wilson,17,2023
95,Trance,"Metro Boomin, Travis Scott & Young Thug",17,2023
96,Bad Idea Right?,Olivia Rodrigo,17,2023
97,Hey Driver,Zach Bryan Featuring The War And Treaty,17,2023
98,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,17,2023
99,Used To Be Young,Miley Cyrus,17,2023
