,title,artist,count,year
0,Please Don't Go,Boyz II Men,46,1992
1,Stay,Jodeci,38,1992
2,Just Another Day,Jon Secada,37,1992
3,Right Now,Van Halen,31,1992
4,My Lovin' (You're Never Gonna Get It),En Vogue,30,1992
5,Baby-Baby-Baby,TLC,30,1992
6,Come & Talk To Me,Jodeci,28,1992
7,Baby Got Back,Sir Mix-A-Lot,28,1992
8,Jump Around,House Of Pain,27,1992
9,Save The Best For Last,Vanessa Williams,27,1992
10,Real Love,Slaughter,26,1992
11,Under The Bridge,Red Hot Chili Peppers,26,1992
12,Tears In Heaven,Eric Clapton,26,1992
13,Life Is A Highway,Tom Cochrane,26,1992
14,Back To The Hotel,N2Deep,25,1992
15,All I Want,Toad The Wet Sprocket,25,1992
16,Achy Breaky Heart,Billy Ray Cyrus,25,1992
17,Breakin' My Heart (Pretty Brown Eyes),Mint Condition,24,1992
18,"End Of The Road (From ""Boomerang"")",Boyz II Men,24,1992
19,Everything's Gonna Be Alright,Naughty By Nature,24,1992
20,Giving Him Something He Can Feel,En Vogue,24,1992
21,Move This,Technotronic Featuring Ya Kid K,23,1992
22,Ain't 2 Proud 2 Beg,TLC,22,1992
23,Tennessee,Arrested Development,22,1992
24,The One,Elton John,22,1992
25,If You Asked Me To,Celine Dion,22,1992
26,To Be With You,Mr. Big,22,1992
27,Keep On Walkin',CeCe Peniston,21,1992
28,Live And Learn,Joe Public,21,1992
29,Damn I Wish I Was Your Lover,Sophie B. Hawkins,21,1992
30,"I Wanna Love You (From ""Class Act"")",Jade,21,1992
31,Jump,Kris Kross,21,1992
32,Hold On My Heart,Genesis,20,1992
33,When I Look Into Your Eyes,Firehouse,20,1992
34,Rhythm Is A Dancer,Snap!,20,1992
35,Twilight Zone,2 Unlimited,20,1992
36,Jesus He Knows Me,Genesis,20,1992
37,People Everyday,Arrested Development,20,1992
38,Where Does That Leave Love,George LaMond,20,1992
39,Warm It Up,Kris Kross,20,1992
40,Thought I'd Died And Gone To Heaven,Bryan Adams,20,1992
41,Humpin' Around,Bobby Brown,20,1992
42,I Can't Dance,Genesis,20,1992
43,Do It To Me,Lionel Richie,20,1992
44,Do I Have To Say The Words?,Bryan Adams,20,1992
45,Nothing Broken But My Heart,Celine Dion,20,1992
46,I Love Your Smile,Shanice,20,1992
47,Restless Heart,Peter Cetera,20,1992
48,Remember The Time,Michael Jackson,20,1992
49,Friday I'm In Love,The Cure,20,1992
50,Good For Me,Amy Grant,20,1992
51,Just Take My Heart,Mr. Big,20,1992
52,Crossover,EPMD,20,1992
53,I Will Remember You,Amy Grant,20,1992
54,One,U2,20,1992
55,We Got A Love Thang,CeCe Peniston,20,1992
56,James Brown Is Dead,L.A. Style,20,1992
57,Everything Changes,Kathy Troccoli,20,1992
58,Jump!,The Movement,20,1992
59,November Rain,Guns N' Roses,20,1992
60,Everybody's Free (To Feel Good),Rozalla,20,1992
61,Take This Heart,Richard Marx,20,1992
62,I'll Be There,Mariah Carey,20,1992
63,What Goes Around Comes Around,Giggles,20,1992
64,Hazard,Richard Marx,20,1992
65,Everything About You,Ugly Kid Joe,20,1992
66,Too Funky,George Michael,20,1992
67,Sometimes Love Just Ain't Enough,Patty Smyth,20,1992
68,The Hitman,AB Logic,20,1992
69,In The Closet,Michael Jackson,20,1992
70,Beauty And The Beast,Celine Dion And Peabo Bryson,20,1992
71,Wishing On A Star,The Cover Girls,20,1992
72,Make It Happen,Mariah Carey,20,1992
73,Slow Motion,Color Me Badd,20,1992
74,The Best Things In Life Are Free,Luther Vandross And Janet Jackson With BBD And Ralph Tresvant,20,1992
75,Masterpiece,Atlantic Starr,20,1992
76,She's Playing Hard To Get,Hi-Five,20,1992
77,All 4 Love,Color Me Badd,20,1992
78,Thinkin' Back,Color Me Badd,20,1992
79,Missing You Now,Michael Bolton,20,1992
80,They Want EFX,Das EFX,20,1992
81,"You Remind Me (From ""Strictly Business"")",Mary J. Blige,20,1992
82,You Showed Me,Salt-N-Pepa,20,1992
83,You Think You Know Her,Cause And Effect,20,1992
84,Boom! I Got Your Boyfriend,MC Luscious,20,1992
85,Baby Hold On To Me,Gerald Levert (Duet With Eddie Levert),20,1992
86,Nu Nu,Lidell Townsell,20,1992
87,Why,Annie Lennox,20,1992
88,This Used To Be My Playground,Madonna,20,1992
89,Take Me In Your Arms,Lil Suzy,19,1992
90,I'm Too Sexy,Right Said Fred,19,1992
91,"Mr. Loverman (From ""Deep Cover"")",Shabba Ranks,19,1992
92,Have You Ever Needed Someone So Bad,Def Leppard,19,1992
93,Constant Craving,k.d. lang,19,1992
94,Finally,CeCe Peniston,19,1992
95,Honey Love,R. Kelly & Public Announcement,19,1992
96,Slow Dance (Hey Mr. DJ),R. Kelly & Public Announcement,19,1992
97,The Choice Is Yours,Black Sheep,19,1992
98,Would I Lie To You?,Charles & Eddie,19,1992
99,Just For Tonight,Vanessa Williams,19,1992
