,title,artist,count,year
0,Run-Around,Blues Traveler,41,1995
1,I Know,Dionne Farris,38,1995
2,Let Her Cry,Hootie & The Blowfish,35,1995
3,December,Collective Soul,34,1995
4,In The House Of Stone And Light,Martin Page,32,1995
5,As I Lay Me Down,Sophie B. Hawkins,31,1995
6,Hold My Hand,Hootie & The Blowfish,31,1995
7,I Believe,Blessid Union Of Souls,31,1995
8,Freak Like Me,Adina Howard,30,1995
9,Waterfalls,TLC,30,1995
10,Someone To Love,Jon B. Featuring Babyface,30,1995
11,Don't Take It Personal (Just One Of Dem Days),Monica,29,1995
12,Boombastic/In The Summertime,Shaggy,29,1995
13,This Is How We Do It,Montell Jordan,29,1995
14,"Shy Guy (From ""Bad Boys"")",Diana King,29,1995
15,I Can Love You Like That,All-4-One,29,1995
16,Kiss From A Rose,Seal,28,1995
17,Water Runs Dry,Boyz II Men,28,1995
18,Take A Bow,Madonna,27,1995
19,Total Eclipse Of The Heart,Nicki French,27,1995
20,Hold On,Jamie Walters,27,1995
21,I Wish,Skee-Lo,27,1995
22,Runaway,Janet Jackson,27,1995
23,Every Little Thing I Do,Soul For Real,26,1995
24,You Gotta Be,Des'ree,26,1995
25,Another Night,Real McCoy,26,1995
26,Roll To Me,Del Amitri,26,1995
27,I Got 5 On It,Luniz,25,1995
28,Candy Rain,Soul For Real,25,1995
29,Strong Enough,Sheryl Crow,25,1995
30,Have You Ever Really Loved A Woman?,Bryan Adams,24,1995
31,Creep,TLC,24,1995
32,Big Poppa/Warning,The Notorious B.I.G.,24,1995
33,Dream About You/Funky Melody,Stevie B,23,1995
34,"Colors Of The Wind (From ""Pocahontas"")",Vanessa Williams,23,1995
35,He's Mine,MoKenStef,23,1995
36,If You Love Me,Brownstone,23,1995
37,'Til You Do Me Right,After 7,22,1995
38,Carnival,Natalie Merchant,22,1995
39,Red Light Special,TLC,22,1995
40,Only Wanna Be With You,Hootie & The Blowfish,22,1995
41,Back For Good,Take That,21,1995
42,Missing,Everything But The Girl,21,1995
43,"No More ""I Love You's""",Annie Lennox,21,1995
44,Player's Anthem,Junior M.A.F.I.A.,20,1995
45,I'll Be There For You/You're All I Need To Get By,Method Man Featuring Mary J. Blige,20,1995
46,Connection,Elastica,20,1995
47,Let Me Be The One,Blessid Union Of Souls,20,1995
48,Cotton Eye Joe,Rednex,20,1995
49,"Crazy Love (From ""Jason's Lyric"")",Brian McKnight,20,1995
50,"Keep Their Heads Ringin' (From ""Friday"")",Dr. Dre,20,1995
51,Run Away,Real McCoy,20,1995
52,Heaven,Solo,20,1995
53,Thank You,Boyz II Men,20,1995
54,Dear Mama/Old School,2Pac,20,1995
55,Move It Like This,K7,20,1995
56,"Gangsta's Paradise (From ""Dangerous Minds"")",Coolio Featuring L.V.,20,1995
57,"Summertime In The LBC (From ""The Show"")",The Dove Shack,20,1995
58,I'd Rather Be Alone,IV Xample,20,1995
59,Freek'n You,Jodeci,20,1995
60,Sugar Hill,AZ,20,1995
61,I Wanna B With U,Fun Factory,20,1995
62,I Live My Life For You,Firehouse,20,1995
63,Come And Get Your Love,Real McCoy,20,1995
64,Everlasting Love,Gloria Estefan,20,1995
65,I Like,Kut Klose,20,1995
66,Somebody's Crying,Chris Isaak,20,1995
67,Like The Way I Do/If I Wanted To,Melissa Etheridge,20,1995
68,On Bended Knee,Boyz II Men,20,1995
69,Fat Boy,Max-A-Million,20,1995
70,Feel Me Flow,Naughty By Nature,20,1995
71,One More Chance/Stay With Me,The Notorious B.I.G.,20,1995
72,Good,Better Than Ezra,20,1995
73,Sick Of Myself,Matthew Sweet,20,1995
74,You Used To Love Me,Faith Evans,20,1995
75,This Lil' Game We Play,Subway (Featuring 702),20,1995
76,Can't Stop Lovin' You,Van Halen,20,1995
77,Baby,Brandy,20,1995
78,"Ask Of You (From ""Higher Learning"")",Raphael Saadiq,20,1995
79,"Can't You See (From ""New Jersey Drive"")",Total Featuring The Notorious B.I.G.,20,1995
80,Brown Sugar,D'Angelo,20,1995
81,Breakfast At Tiffany's,Deep Blue Something,20,1995
82,Believe,Elton John,20,1995
83,Close To You,Fun Factory,20,1995
84,Best Friend,Brandy,20,1995
85,This Ain't A Love Song,Bon Jovi,20,1995
86,(She's Got) Skillz,All-4-One,20,1995
87,Tell Me,Groove Theory,19,1995
88,Wonderful,Adam Ant,19,1995
89,1st Of Tha Month,Bone Thugs-N-Harmony,19,1995
90,Get Down,Craig Mack,19,1995
91,Think Of You,Usher,19,1995
92,"I Like It, I Love It",Tim McGraw,19,1995
93,The Rhythm Of The Night,Corona,19,1995
94,Any Man Of Mine/Whose Bed Have Your Boots Been Under?,Shania Twain,19,1995
95,I Love You/You Bring Me Joy,Mary J. Blige,19,1995
96,Always,Bon Jovi,18,1995
97,Mr. Personality,Gillette,18,1995
98,Comedown,Bush,18,1995
99,Get Ready For This,2 Unlimited,18,1995
