,title,artist,count,year
0,I Swear,John Michael Montgomery,50,1994
1,Come To My Window,Melissa Etheridge,44,1994
2,The Sign,Ace Of Base,41,1994
3,Always,Erasure,37,1994
4,Dreams,Gabrielle,36,1994
5,Wild Night,John Mellencamp With Me'Shell Ndegeocello,32,1994
6,100% Pure Love,Crystal Waters,32,1994
7,If You Go,Jon Secada,31,1994
8,Don't Turn Around,Ace Of Base,31,1994
9,You Mean The World To Me,Toni Braxton,31,1994
10,"Stay (I Missed You) (From ""Reality Bites"")",Lisa Loeb & Nine Stories,30,1994
11,When Can I See You,Babyface,29,1994
12,Shine,Collective Soul,29,1994
13,Whatta Man,Salt-N-Pepa Featuring En Vogue,29,1994
14,I Miss You,Aaron Hall,28,1994
15,Found Out About You,Gin Blossoms,28,1994
16,"Baby I Love Your Way (From ""Reality Bites"")",Big Mountain,28,1994
17,The Power Of Love,Celine Dion,28,1994
18,Now And Forever,Richard Marx,27,1994
19,"Can You Feel The Love Tonight (From ""The Lion King"")",Elton John,26,1994
20,"I'll Remember (From ""With Honors"")",Madonna,26,1994
21,Return To Innocence,Enigma,26,1994
22,The Most Beautiful Girl In The World,Prince,26,1994
23,Tootsee Roll,69 Boyz,26,1994
24,You,Candlebox,25,1994
25,Fantastic Voyage,Coolio,25,1994
26,Bump N' Grind,R. Kelly,25,1994
27,Breathe Again,Toni Braxton,24,1994
28,Back & Forth,Aaliyah,24,1994
29,Mmm Mmm Mmm Mmm,Crash Test Dummies,24,1994
30,Loser,Beck,24,1994
31,Without You/Never Forget You,Mariah Carey,23,1994
32,Crazy,Aerosmith,23,1994
33,Never Lie,Immature,23,1994
34,Give It Up,The Goodmen,23,1994
35,None Of Your Business,Salt-N-Pepa,22,1994
36,So Much In Love,All-4-One,22,1994
37,I'm The Only One,Melissa Etheridge,22,1994
38,Cantaloop (Flip Fantasia),US3,22,1994
39,I'm Ready,Tevin Campbell,22,1994
40,Closer,Nine Inch Nails,22,1994
41,All I Wanna Do,Sheryl Crow,22,1994
42,"December 1963 (Oh, What A Night)",The 4 Seasons,21,1994
43,Anytime You Need A Friend,Mariah Carey,21,1994
44,Stroke You Up,Changing Faces,21,1994
45,Beautiful In My Eyes,Joshua Kadison,21,1994
46,Flava In Ya Ear,Craig Mack,21,1994
47,Because The Night,"10,000 Maniacs",21,1994
48,Dunkie Butt (Please Please Please),12 Gauge,21,1994
49,All That She Wants,Ace Of Base,21,1994
50,I'll Stand By You,Pretenders,21,1994
51,I'll Make Love To You,Boyz II Men,21,1994
52,How Do You Like It?,Keith Sweat,20,1994
53,Take It Easy,Mad Lion,20,1994
54,Don't Take The Girl,Tim McGraw,20,1994
55,Everyday,Phil Collins,20,1994
56,"Streets Of Philadelphia (From ""Philadelphia"")",Bruce Springsteen,20,1994
57,Having A Party,Rod Stewart,20,1994
58,This D.J.,Warren G,20,1994
59,I'd Give Anything,Gerald Levert,20,1994
60,Nuttin' But Love,Heavy D & The Boyz,20,1994
61,Stay,Eternal,20,1994
62,Groove Thang,Zhane,20,1994
63,Feenin',Jodeci,20,1994
64,Action,Terror Fabulous Featuring Nadine Sutherland,20,1994
65,Hero,Mariah Carey,20,1994
66,Always In My Heart,Tevin Campbell,20,1994
67,Rock And Roll Dreams Come Through,Meat Loaf,20,1994
68,Prayer For The Dying,Seal,20,1994
69,Lucky One,Amy Grant,20,1994
70,Love Sneakin' Up On You,Bonnie Raitt,20,1994
71,You Know How We Do It,Ice Cube,20,1994
72,Born To Roll,Masta Ace Incorporated,20,1994
73,"Regulate (From ""Above The Rim"")",Warren G & Nate Dogg,20,1994
74,Indian Outlaw,Tim McGraw,20,1994
75,Your Body's Callin',R. Kelly,20,1994
76,Love Is All Around,Wet Wet Wet,20,1994
77,Pumps And A Bump,M.C. Hammer,20,1994
78,Got Me Waiting,Heavy D & The Boyz,20,1994
79,Gin And Juice,Snoop Doggy Dogg,20,1994
80,And Our Feelings,Babyface,20,1994
81,What's Up,DJ Miko,20,1994
82,Because Of Love,Janet Jackson,20,1994
83,Bop Gun (One Nation),Ice Cube Featuring George Clinton,20,1994
84,Booti Call,BLACKstreet,20,1994
85,Player's Ball,OutKast,20,1994
86,"I'll Take You There (From ""Threesome"")",General Public,20,1994
87,I'm In The Mood,CeCe Peniston,20,1994
88,Funkdafied,Da Brat,20,1994
89,Do You Wanna Get Funky,C+C Music Factory,20,1994
90,Backwater,Meat Puppets,20,1994
91,Back In The Day,Ahmad,20,1994
92,Sending My Love,Zhane,20,1994
93,Willing To Forgive,Aretha Franklin,20,1994
94,"Anything (From ""Above The Rim"")",SWV,20,1994
95,"Any Time, Any Place/And On And On",Janet Jackson,20,1994
96,Possession,Sarah McLachlan,19,1994
97,Far Behind,Candlebox,19,1994
98,Selling The Drama,Live,19,1994
99,Juicy/Unbelievable,The Notorious B.I.G.,19,1994
