,title,artist,count,year
0,"Tonight, I Celebrate My Love",Peabo Bryson/Roberta Flack,26,1983
1,Sweet Dreams (Are Made Of This),Eurythmics,26,1983
2,Beat It,Michael Jackson,25,1983
3,Flashdance...What A Feeling,Irene Cara,25,1983
4,Total Eclipse Of The Heart,Bonnie Tyler,25,1983
5,Billie Jean,Michael Jackson,24,1983
6,The Safety Dance,Men Without Hats,24,1983
7,Never Gonna Let You Go,Sergio Mendes,23,1983
8,Come On Eileen,Dexy's Midnight Runners,23,1983
9,Making Love Out Of Nothing At All,Air Supply,23,1983
10,She Blinded Me With Science,Thomas Dolby,22,1983
11,Maniac,Michael Sembello,22,1983
12,Little Red Corvette,Prince,22,1983
13,Always Something There To Remind Me,Naked Eyes,22,1983
14,Jeopardy,Greg Kihn Band,22,1983
15,Hungry Like The Wolf,Duran Duran,22,1983
16,Twilight Zone,Golden Earring,22,1983
17,Every Breath You Take,The Police,22,1983
18,Electric Avenue,Eddy Grant,22,1983
19,I Know There's Something Going On,Frida,21,1983
20,Der Kommissar,After The Fire,21,1983
21,Only You,Yaz,21,1983
22,Back On The Chain Gang,Pretenders,21,1983
23,Puttin' On The Ritz,Taco,21,1983
24,She Works Hard For The Money,Donna Summer,21,1983
25,Do You Really Want To Hurt Me,Culture Club,21,1983
26,(Keep Feeling) Fascination,The Human League,20,1983
27,Dead Giveaway,Shalamar,20,1983
28,Why Me?,Planet P,20,1983
29,She's A Beauty,The Tubes,20,1983
30,How Am I Supposed To Live Without You,Laura Branigan,20,1983
31,Try Again,Champaign,20,1983
32,It Might Be You,Stephen Bishop,20,1983
33,Burning Down The House,Talking Heads,20,1983
34,Let's Dance,David Bowie,20,1983
35,"Promises, Promises",Naked Eyes,20,1983
36,Telefone (long Distance Love Affair),Sheena Easton,20,1983
37,Our House,Madness,19,1983
38,Islands In The Stream,Kenny Rogers Duet With Dolly Parton,19,1983
39,Too Shy,Kajagoogoo,19,1983
40,One Thing Leads To Another,The Fixx,19,1983
41,All This Love,Debarge,19,1983
42,Stand Back,Stevie Nicks,19,1983
43,Shame On The Moon,Bob Seger & The Silver Bullet Band,19,1983
44,Straight From The Heart,Bryan Adams,19,1983
45,True,Spandau Ballet,18,1983
46,Tell Her About It,Billy Joel,18,1983
47,China Girl,David Bowie,18,1983
48,Delirious,Prince,18,1983
49,1999,Prince,18,1983
50,Stray Cat Strut,Stray Cats,18,1983
51,Affair Of The Heart,Rick Springfield,18,1983
52,Time (Clock Of The Heart),Culture Club,18,1983
53,Suddenly Last Summer,The Motels,18,1983
54,Mr. Roboto,Styx,18,1983
55,We've Got Tonight,Kenny Rogers And Sheena Easton,18,1983
56,You Are,Lionel Richie,18,1983
57,One On One,Daryl Hall John Oates,18,1983
58,Come Dancing,The Kinks,17,1983
59,Allentown,Billy Joel,17,1983
60,I Like It,Debarge,17,1983
61,How Do You Keep The Music Playing,James Ingram And Patti Austin,17,1983
62,Photograph,Def Leppard,17,1983
63,Solitaire,Laura Branigan,17,1983
64,I Won't Hold You Back,Toto,17,1983
65,Is There Something I Should Know,Duran Duran,17,1983
66,Separate Ways (Worlds Apart),Journey,17,1983
67,"Baby, Come To Me",Patti Austin A Duet With James Ingram,17,1983
68,You And I,Eddie Rabbitt With Crystal Gayle,17,1983
69,Down Under,Men At Work,17,1983
70,Heart And Soul,Huey Lewis & The News,17,1983
71,Far From Over,Frank Stallone,16,1983
72,Hold Me 'til The Mornin' Comes,Paul Anka,16,1983
73,Family Man,Daryl Hall John Oates,16,1983
74,Fall In Love With Me,"Earth, Wind & Fire",16,1983
75,Faithfully,Journey,16,1983
76,Gloria,Laura Branigan,16,1983
77,Overkill,Men At Work,16,1983
78,Hot Girls In Love,Loverboy,16,1983
79,Stranger In My House,Ronnie Milsap,16,1983
80,I'll Tumble 4 Ya,Culture Club,16,1983
81,I'm Still Standing,Elton John,16,1983
82,I've Got A Rock N' Roll Heart,Eric Clapton,16,1983
83,Some Kind Of Friend,Barry Manilow,16,1983
84,Saved By Zero,The Fixx,16,1983
85,Lies,Thompson Twins,16,1983
86,Make Love Stay,Dan Fogelberg,16,1983
87,Miracles,Stacy Lattisaw,16,1983
88,My Love,Lionel Richie,16,1983
89,Take Me To Heart,Quarterflash,16,1983
90,Don't Let It End,Styx,16,1983
91,King Of Pain,The Police,16,1983
92,Your Love Is Driving Me Crazy,Sammy Hagar,16,1983
93,Big Log,Robert Plant,16,1983
94,Cum On Feel The Noize,Quiet Riot,16,1983
95,Break My Stride,Matthew Wilder,16,1983
96,Breaking Us In Two,Joe Jackson,16,1983
97,All Night Long (All Night),Lionel Richie,16,1983
98,All Right,Christopher Cross,16,1983
99,Mornin',Jarreau,15,1983
