,title,artist,count,year
0,"Hey, Soul Sister",Train,44,2010
1,Need You Now,Lady Antebellum,42,2010
2,Breakeven,The Script,41,2010
3,Haven't Met You Yet,Michael Buble,33,2010
4,In My Head,Jason Derulo,33,2010
5,I Like It,Enrique Iglesias Featuring Pitbull,31,2010
6,Telephone,Lady Gaga Featuring Beyonce,31,2010
7,OMG,Usher Featuring will.i.am,30,2010
8,Airplanes,B.o.B Featuring Hayley Williams,30,2010
9,Whataya Want From Me,Adam Lambert,30,2010
10,I Gotta Feeling,The Black Eyed Peas,29,2010
11,Bad Romance,Lady Gaga,29,2010
12,Cooler Than Me,Mike Posner,29,2010
13,Break Your Heart,Taio Cruz Featuring Ludacris,29,2010
14,Animal,Neon Trees,28,2010
15,TiK ToK,Ke$ha,28,2010
16,Ridin' Solo,Jason Derulo,28,2010
17,Billionaire,Travie McCoy Featuring Bruno Mars,28,2010
18,Your Love Is My Drug,Ke$ha,28,2010
19,Nothin' On You,B.o.B Featuring Bruno Mars,28,2010
20,Dynamite,Taio Cruz,28,2010
21,Bulletproof,La Roux,27,2010
22,California Gurls,Katy Perry Featuring Snoop Dogg,27,2010
23,Not Afraid,Eminem,25,2010
24,There Goes My Baby,Usher,25,2010
25,Secrets,OneRepublic,25,2010
26,Love The Way You Lie,Eminem Featuring Rihanna,25,2010
27,Imma Be,The Black Eyed Peas,25,2010
28,Club Can't Handle Me,Flo Rida Featuring David Guetta,24,2010
29,Deuces,Chris Brown Featuring Tyga & Kevin McCall,24,2010
30,Say Aah,Trey Songz Featuring Fabolous,24,2010
31,Carry Out,Timbaland Featuring Justin Timberlake,24,2010
32,All I Do Is Win,"DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross",24,2010
33,Teenage Dream,Katy Perry,24,2010
34,All The Right Moves,OneRepublic,24,2010
35,If I Die Young,The Band Perry,23,2010
36,Alejandro,Lady Gaga,23,2010
37,Just The Way You Are,Bruno Mars,22,2010
38,Live Like We're Dying,Kris Allen,22,2010
39,BedRock,Young Money Featuring Lloyd,22,2010
40,King Of Anything,Sara Bareilles,22,2010
41,Rude Boy,Rihanna,22,2010
42,DJ Got Us Fallin' In Love,Usher Featuring Pitbull,22,2010
43,Farmer's Daughter,Rodney Atkins,21,2010
44,Sexy Chick,David Guetta Featuring Akon,21,2010
45,Find Your Love,Drake,21,2010
46,Hey Daddy (Daddy's Home),Usher Featuring Plies,21,2010
47,Naturally,Selena Gomez & The Scene,21,2010
48,The Only Exception,Paramore,21,2010
49,I Never Told You,Colbie Caillat,20,2010
50,I Made It (Cash Money Heroes),"Kevin Rudolf Featuring Birdman, Jay Sean, & Lil Wayne",20,2010
51,Neighbors Know My Name,Trey Songz,20,2010
52,Gettin' Over You,David Guetta & Chris Willis Featuring Fergie & LMFAO,20,2010
53,Gimmie That Girl,Joe Nichols,20,2010
54,Got Your Back,T.I. Featuring Keri Hilson,20,2010
55,My Chick Bad,Ludacris Featuring Nicki Minaj,20,2010
56,Hello Good Morning,Diddy - Dirty Money Featuring T.I.,20,2010
57,How Low,Ludacris,20,2010
58,Miss Me,Drake Featuring Lil Wayne,20,2010
59,Come Back Song,Darius Rucker,20,2010
60,Misery,Maroon 5,20,2010
61,Little White Church,Little Big Town,20,2010
62,Hillbilly Bone,Blake Shelton Featuring Trace Adkins,20,2010
63,Highway 20 Ride,Zac Brown Band,20,2010
64,If I Had You,Adam Lambert,20,2010
65,Magic,B.o.B Featuring Rivers Cuomo,20,2010
66,"Lover, Lover",Jerrod Niemann,20,2010
67,If It's Love,Train,20,2010
68,Impossible,Shontelle,20,2010
69,Love Like Crazy,Lee Brice,20,2010
70,Drop The World,Lil Wayne Featuring Eminem,20,2010
71,Fancy,Drake Featuring T.I. & Swizz Beatz,20,2010
72,Our Kind Of Love,Lady Antebellum,20,2010
73,Say Something,Timbaland Featuring Drake,20,2010
74,Your Love,Nicki Minaj,20,2010
75,Young Forever,Jay-Z + Mr. Hudson,20,2010
76,Un-Thinkable (I'm Ready),Alicia Keys,20,2010
77,A Little More Country Than That,Easton Corbin,20,2010
78,This Afternoon,Nickelback,20,2010
79,The Man I Want To Be,Chris Young,20,2010
80,The House That Built Me,Miranda Lambert,20,2010
81,American Honey,Lady Antebellum,20,2010
82,Over,Drake,20,2010
83,Take It Off,Ke$ha,20,2010
84,Stuck Like Glue,Sugarland,20,2010
85,Steady Mobbin',Young Money Featuring Gucci Mane,20,2010
86,Baby,Justin Bieber Featuring Ludacris,20,2010
87,Teach Me How To Dougie,Cali Swag District,20,2010
88,Rain Is A Good Thing,Luke Bryan,20,2010
89,Pray For You,Jaron And The Long Road To Love,20,2010
90,Pretty Good At Drinkin' Beer,Billy Currington,20,2010
91,Ride,Ciara Featuring Ludacris,20,2010
92,Blah Blah Blah,Ke$ha Featuring 3OH!3,20,2010
93,Mine,Taylor Swift,19,2010
94,Undo It,Carrie Underwood,19,2010
95,Temporary Home,Carrie Underwood,19,2010
96,All About Tonight,Blake Shelton,19,2010
97,I Am,Mary J. Blige,19,2010
98,According To You,Orianthi,19,2010
99,Letting Go (Dutty Love),Sean Kingston Featuring Nicki Minaj,19,2010
