,title,artist,count,year
0,Where My Girls At?,702,35,1999
1,Kiss Me,Sixpence None The Richer,32,1999
2,What It's Like,Everlast,31,1999
3,Slide,Goo Goo Dolls,31,1999
4,Every Morning,Sugar Ray,31,1999
5,I Want It That Way,Backstreet Boys,31,1999
6,All Star,Smash Mouth,30,1999
7,Believe,Cher,29,1999
8,Scar Tissue,Red Hot Chili Peppers,29,1999
9,Man! I Feel Like A Woman!,Shania Twain,28,1999
10,That Don't Impress Me Much,Shania Twain,28,1999
11,She's So High,Tal Bachman,28,1999
12,Fly Away,Lenny Kravitz,28,1999
13,No Scrubs,TLC,28,1999
14,Unpretty,TLC,27,1999
15,Back 2 Good,matchbox 20,27,1999
16,Heartbreak Hotel,Whitney Houston Feat. Faith Evans & Kelly Price,27,1999
17,Angel Of Mine,Monica,26,1999
18,Someday,Sugar Ray,26,1999
19,...Baby One More Time,Britney Spears,26,1999
20,Back That Thang Up,Juvenile Featuring Mannie Fresh & Lil' Wayne,25,1999
21,Anywhere,112 Featuring Lil'z,25,1999
22,Black Balloon,Goo Goo Dolls,25,1999
23,Genie In A Bottle,Christina Aguilera,25,1999
24,Fortunate,Maxwell,25,1999
25,If You Had My Love,Jennifer Lopez,25,1999
26,Sweet Lady,Tyrese,25,1999
27,The Hardest Thing,98 Degrees,24,1999
28,Angel,Sarah McLachlan,24,1999
29,Save Tonight,Eagle-Eye Cherry,24,1999
30,Can I Get A...,Jay-Z Featuring Amil (Of Major Coinz) & Ja,24,1999
31,Lately,Divine,24,1999
32,Ex-Factor,Lauryn Hill,22,1999
33,Smooth,Santana Featuring Rob Thomas,22,1999
34,Spend My Life With You,Eric Benet Featuring Tamia,22,1999
35,American Woman,Lenny Kravitz,21,1999
36,Amazed,Lonestar,21,1999
37,Last Kiss,Pearl Jam,21,1999
38,All I Have To Give,Backstreet Boys,21,1999
39,How Forever Feels,Kenny Chesney,21,1999
40,I Don't Want To Miss A Thing,Mark Chesnutt,21,1999
41,I Will Remember You (Live),Sarah McLachlan,20,1999
42,So Anxious,Ginuwine,20,1999
43,Livin' La Vida Loca,Ricky Martin,20,1999
44,I'll Think Of A Reason Later,Lee Ann Womack,20,1999
45,Something Like That,Tim McGraw,20,1999
46,Hey Leonardo (She Likes Me For Me),Blessid Union Of Souls,20,1999
47,Little Good-Byes,SHeDAISY,20,1999
48,Sometimes,Britney Spears,20,1999
49,If You (Lovin' Me),Silk,20,1999
50,Lesson In Leavin',Jo Dee Messina,20,1999
51,Steal My Sunshine,Len,20,1999
52,Jigga My N****,JAY-Z,20,1999
53,Tell Me It's Real,K-Ci & JoJo,20,1999
54,I Still Believe,Mariah Carey,20,1999
55,Single White Female,Chely Wright,20,1999
56,Give It To You,Jordan Knight,20,1999
57,One,Creed,20,1999
58,God Must Have Spent A Little More Time On You,Alabama Featuring 'N Sync,20,1999
59,I Do (Cherish You),98 Degrees,20,1999
60,I Could Not Ask For More,Edwin McCain,20,1999
61,She's All I Ever Had,Ricky Martin,20,1999
62,Sexual (Li Da Di),Amber,20,1999
63,My Own Worst Enemy,Lit,20,1999
64,Happily Ever After,Case,20,1999
65,Praise You,Fatboy Slim,20,1999
66,Please Remember Me,Tim McGraw,20,1999
67,Nann,Trick Daddy Featuring Trina,20,1999
68,Out Of My Head,Fastball,20,1999
69,Never Gonna Let You Go,Faith Evans,20,1999
70,Holla Holla,Ja Rule,20,1999
71,Heavy,Collective Soul,20,1999
72,It's Not Right But It's Okay,Whitney Houston,20,1999
73,Who Dat,JT Money Featuring Sole,20,1999
74,Almost Doesn't Count,Brandy,20,1999
75,What Ya Want,EVE & Nokio,20,1999
76,Better Days (And The Bottom Drops Out),Citizen King,20,1999
77,Blue Monday,Orgy,20,1999
78,What's It Gonna Be?!,Busta Rhymes Featuring Janet,20,1999
79,Vivrant Thing,Q-Tip,20,1999
80,What's My Age Again?,Blink-182,20,1999
81,Bailamos,Enrique Iglesias,20,1999
82,Two Teardrops,Steve Wariner,20,1999
83,Whatever You Say,Martina McBride,20,1999
84,Anyone Else,Collin Raye,20,1999
85,"Bills, Bills, Bills",Destiny's Child,20,1999
86,Wish You Were Here,Mark Wills,20,1999
87,We Like To Party!,Vengaboys,20,1999
88,A Night To Remember,Joe Diffie,20,1999
89,You Were Mine,Dixie Chicks,20,1999
90,808,Blaque,20,1999
91,You,Jesse Powell,20,1999
92,You Won't Ever Be Lonely,Andy Griggs,20,1999
93,You Had Me From Hello,Kenny Chesney,20,1999
94,You'll Be In My Heart,Phil Collins,20,1999
95,Write This Down,George Strait,20,1999
96,When A Woman's Fed Up,R. Kelly,19,1999
97,Lonely And Gone,Montgomery Gentry,19,1999
98,All Night Long,Faith Evans Featuring Puff Daddy,19,1999
99,What's So Different,Ginuwine,19,1999
