,title,artist,count,year
0,Hero,Enrique Iglesias,42,2002
1,A Thousand Miles,Vanessa Carlton,41,2002
2,Wherever You Will Go,The Calling,37,2002
3,Blurry,Puddle Of Mudd,36,2002
4,Gimme The Light,Sean Paul,35,2002
5,Wasting My Time,Default,35,2002
6,The Middle,Jimmy Eat World,33,2002
7,Foolish,Ashanti,32,2002
8,How You Remind Me,Nickelback,32,2002
9,Complicated,Avril Lavigne,31,2002
10,One Last Breath,Creed,30,2002
11,Soak Up The Sun,Sheryl Crow,29,2002
12,In The End,Linkin Park,29,2002
13,What's Luv?,Fat Joe Featuring Ashanti,28,2002
14,All You Wanted,Michelle Branch,28,2002
15,Heaven,DJ Sammy & Yanou Featuring Do,27,2002
16,I Need A Girl (Part Two),"P. Diddy & Ginuwine Featuring Loon, Mario Winans & Tammy Ruggeri",26,2002
17,U Don't Have To Call,Usher,26,2002
18,Ain't It Funny,Jennifer Lopez Featuring Ja Rule,26,2002
19,If I Could Go!,Angie Martinez Featuring Lil' Mo & Sacario,26,2002
20,Hot In Herre,Nelly,26,2002
21,halfcrazy,Musiq,25,2002
22,Dilemma,Nelly Featuring Kelly Rowland,25,2002
23,More Than A Woman,Aaliyah,24,2002
24,No Such Thing,John Mayer,24,2002
25,Nothin',N.O.R.E.,24,2002
26,Still Fly,Big Tymers,24,2002
27,Move B***h,Ludacris Featuring Mystikal & Infamous 2.0,23,2002
28,Happy,Ashanti,23,2002
29,I'm Gonna Be Alright,Jennifer Lopez Featuring Nas,23,2002
30,Po' Folks,Nappy Roots Featuring Anthony Hamilton,23,2002
31,I Need A Girl (Part One),P. Diddy Featuring Usher & Loon,23,2002
32,Gangsta Lovin',Eve Featuring Alicia Keys,22,2002
33,Baby,Ashanti,22,2002
34,Uh Huh,B2K,22,2002
35,Just A Friend 2002,Mario,21,2002
36,Oh Boy,Cam'Ron Featuring Juelz Santana,21,2002
37,The Impossible,Joe Nichols,21,2002
38,Don't Mess With My Man,Nivea Featuring Brian & Brandon Casey,21,2002
39,Don't Let Me Get Me,P!nk,21,2002
40,Gotta Get Thru This,Daniel Bedingfield,21,2002
41,I Love You,Faith Evans,21,2002
42,Too Bad,Nickelback,20,2002
43,Two Wrongs,Wyclef Jean Featuring Claudette Ortiz,20,2002
44,Escape,Enrique Iglesias,20,2002
45,Feels Good (Don't Worry Bout A Thing),Naughty By Nature Featuring 3LW,20,2002
46,Girlfriend,'N Sync Featuring Nelly,20,2002
47,Unbroken,Tim McGraw,20,2002
48,Give It To Her,Tanto Metro & Devonte,20,2002
49,Full Moon,Brandy,20,2002
50,The One,Gary Allan,20,2002
51,The Good Stuff,Kenny Chesney,20,2002
52,Drive (For Daddy Gene),Alan Jackson,20,2002
53,Good Times,Styles,20,2002
54,For You,Staind,20,2002
55,"I Breathe In, I Breathe Out",Chris Cagle,20,2002
56,Grindin',Clipse,20,2002
57,The Cowboy In Me,Tim McGraw,20,2002
58,Oops (Oh My),Tweet,20,2002
59,Nothing In This World,KeKe Wyatt Featuring Avant,20,2002
60,Rainy Dayz,Mary J. Blige Featuring Ja Rule,20,2002
61,My List,Toby Keith,20,2002
62,Makin' Good Love,Avant,20,2002
63,Running Away,Hoobastank,20,2002
64,Long Time Gone,Dixie Chicks,20,2002
65,Living And Living Well,George Strait,20,2002
66,Saturday (Oooh! Ooooh!),Ludacris Featuring Sleepy Brown,20,2002
67,Just Like A Pill,P!nk,20,2002
68,Somebody Like You,Keith Urban,20,2002
69,I'm Gonna Miss Her (The Fishin' Song),Brad Paisley,20,2002
70,Someone To Love You,Ruff Endz,20,2002
71,I Should Be Sleeping,Emerson Drive,20,2002
72,Stingy,Ginuwine,20,2002
73,I Miss My Friend,Darryl Worley,20,2002
74,I Don't Have To Be Me ('til Monday),Steve Azar,20,2002
75,Down 4 U,"Irv Gotti Presents The Inc. Featuring Ja Rule, Ashanti, Charli Baltimore & Vita",20,2002
76,Here Is Gone,Goo Goo Dolls,20,2002
77,Ten Rounds With Jose Cuervo,Tracy Byrd,20,2002
78,Hella Good,No Doubt,20,2002
79,That's When I Love You,Phil Vassar,20,2002
80,Hands Clean,Alanis Morissette,20,2002
81,Drift & Die,Puddle Of Mudd,20,2002
82,Pass The Courvoisier Part II,Busta Rhymes Featuring P. Diddy & Pharrell,20,2002
83,Blessed,Martina McBride,20,2002
84,You Know That I Love You,Donell Jones,20,2002
85,Aerials,System Of A Down,20,2002
86,Young,Kenny Chesney,20,2002
87,Beautiful Mess,Diamond Rio,20,2002
88,"Courtesy Of The Red, White And Blue (The Angry American)",Toby Keith,20,2002
89,What If She's An Angel,Tommy Shane Steiner,20,2002
90,Without Me,Eminem,20,2002
91,Cleanin' Out My Closet,Eminem,20,2002
92,Days Go By,Dirty Vegas,20,2002
93,Chop Suey,System Of A Down,20,2002
94,Can't Get You Out Of My Head,Kylie Minogue,20,2002
95,By The Way,Red Hot Chili Peppers,20,2002
96,Always On Time,Ja Rule Featuring Ashanti,20,2002
97,Where Are You Going,Dave Matthews Band,20,2002
98,Anything,Jaheim Featuring Next,20,2002
99,Addictive,Truth Hurts Featuring Rakim,20,2002
