,title,artist,count,year
0,Use Somebody,Kings Of Leon,45,2009
1,I'm Yours,Jason Mraz,41,2009
2,Poker Face,Lady Gaga,40,2009
3,Second Chance,Shinedown,38,2009
4,Don't Trust Me,3OH!3,36,2009
5,You Found Me,The Fray,35,2009
6,I Know You Want Me (Calle Ocho),Pitbull,35,2009
7,Love Story,Taylor Swift,35,2009
8,You Belong With Me,Taylor Swift,33,2009
9,Boom Boom Pow,The Black Eyed Peas,33,2009
10,Knock You Down,Keri Hilson Featuring Kanye West & Ne-Yo,31,2009
11,Gives You Hell,The All-American Rejects,31,2009
12,Halo,Beyonce,31,2009
13,Just Dance,Lady Gaga Featuring Colby O'Donis,30,2009
14,Heartless,Kanye West,28,2009
15,The Climb,Miley Cyrus,28,2009
16,Already Gone,Sugarland,27,2009
17,Blame It,Jamie Foxx Featuring T-Pain,27,2009
18,I Gotta Feeling,The Black Eyed Peas,27,2009
19,Kiss Me Thru The Phone,Soulja Boy Tell 'em Featuring Sammie,27,2009
20,Day 'N' Nite,Kid Cudi,27,2009
21,Dead And Gone,T.I. Featuring Justin Timberlake,27,2009
22,Right Round,Flo Rida,26,2009
23,Please Don't Leave Me,P!nk,26,2009
24,Beautiful,Akon Featuring Colby O'Donis & Kardinal Offishall,26,2009
25,That's Not My Name,The Ting Tings,25,2009
26,Good Girls Go Bad,Cobra Starship Featuring Leighton Meester,25,2009
27,My Life Would Suck Without You,Kelly Clarkson,25,2009
28,Fallin' For You,Colbie Caillat,24,2009
29,Down,Jay Sean Featuring Lil Wayne,24,2009
30,Best I Ever Had,Drake,24,2009
31,No Surprise,Daughtry,24,2009
32,Throw It In The Bag,Fabolous Featuring The-Dream,23,2009
33,Hotel Room Service,Pitbull,23,2009
34,Pretty Wings,Maxwell,23,2009
35,Break Up,Mario Featuring Gucci Mane & Sean Garrett,23,2009
36,Waking Up In Vegas,Katy Perry,23,2009
37,Mad,Ne-Yo,22,2009
38,Turnin Me On,Keri Hilson Featuring Lil Wayne,22,2009
39,LoveGame,Lady Gaga,22,2009
40,Battlefield,Jordin Sparks,22,2009
41,Sober,P!nk,22,2009
42,I Run To You,Lady Antebellum,21,2009
43,Fire Burning,Sean Kingston,21,2009
44,Not Meant To Be,Theory Of A Deadman,21,2009
45,One Time,Justin Bieber,21,2009
46,Obsessed,Mariah Carey,21,2009
47,Sweet Dreams,Beyonce,21,2009
48,"1, 2, 3, 4",Plain White T's,20,2009
49,Circus,Britney Spears,20,2009
50,Say Hey (I Love You),Michael Franti & Spearhead Featuring Cherine Anderson,20,2009
51,Run This Town,"Jay-Z, Rihanna & Kanye West",20,2009
52,Rockin' That Thang,The-Dream,20,2009
53,It's America,Rodney Atkins,20,2009
54,Love Drunk,Boys Like Girls,20,2009
55,Imma Star (Everywhere We Are),Jeremih,20,2009
56,How Do You Sleep?,Jesse McCartney Featuring Ludacris,20,2009
57,Her Diamonds,Rob Thomas,20,2009
58,She Wolf,Shakira,20,2009
59,New Divide,Linkin Park,20,2009
60,People Are Crazy,Billy Currington,20,2009
61,Diva,Beyonce,20,2009
62,I'm In Miami Trick,LMFAO,20,2009
63,Out Last Night,Kenny Chesney,20,2009
64,God In Me,"Mary Mary Featuring Kierra ""KiKi"" Sheard",20,2009
65,I'm On A Boat,The Lonely Island Featuring T-Pain,20,2009
66,If Today Was Your Last Day,Nickelback,20,2009
67,Ice Cream Paint Job,Dorrough,20,2009
68,It Happens,Sugarland,20,2009
69,Never Say Never,The Fray,20,2009
70,Every Girl,Young Money,20,2009
71,It Won't Be Like This For Long,Darius Rucker,20,2009
72,Kiss A Girl,Keith Urban,20,2009
73,Big Green Tractor,Jason Aldean,20,2009
74,Birthday Sex,Jeremih,20,2009
75,Best Days Of Your Life,Kellie Pickler,20,2009
76,Turn My Swag On,Soulja Boy Tell'em,20,2009
77,21 Guns,Green Day,20,2009
78,Then,Brad Paisley,20,2009
79,Alright,Darius Rucker,20,2009
80,All The Above,Maino Featuring T-Pain,20,2009
81,Toes,Zac Brown Band,20,2009
82,Small Town USA,Justin Moore,20,2009
83,Whatever It Is,Zac Brown Band,20,2009
84,You're A Jerk,New Boyz,20,2009
85,Sideways,Dierks Bentley,20,2009
86,Hot N Cold,Katy Perry,19,2009
87,If U Seek Amy,Britney Spears,19,2009
88,She Got Her Own,Ne-Yo Featuring Jamie Foxx & Fabolous,19,2009
89,Boots On,Randy Houser,19,2009
90,Sexy Chick,David Guetta Featuring Akon,19,2009
91,Smile,Uncle Kracker,19,2009
92,Only You Can Love Me This Way,Keith Urban,19,2009
93,Come Back To Me,David Cook,19,2009
94,Let It Rock,Kevin Rudolf Featuring Lil Wayne,19,2009
95,Viva La Vida,Coldplay,19,2009
96,Lucky,Jason Mraz & Colbie Caillat,19,2009
97,Ain't I,Yung L.A. Featuring Young Dro & T.I.,19,2009
98,She's Country,Jason Aldean,19,2009
99,Successful,Drake Featuring Trey Songz & Lil Wayne,18,2009
