,title,artist,count,year
0,All Of Me,John Legend,49,2014
1,Let It Go,Idina Menzel,47,2014
2,Happy,Pharrell Williams,47,2014
3,Dark Horse,Katy Perry Featuring Juicy J,44,2014
4,Counting Stars,OneRepublic,42,2014
5,Fancy,Iggy Azalea Featuring Charli XCX,39,2014
6,Animals,Martin Garrix,38,2014
7,Turn Down For What,DJ Snake & Lil Jon,37,2014
8,Stay With Me,Sam Smith,37,2014
9,Loyal,Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga,36,2014
10,Pompeii,Bastille,35,2014
11,Rude,MAGIC!,34,2014
12,Latch,Disclosure Featuring Sam Smith,33,2014
13,Talk Dirty,Jason Derulo Featuring 2 Chainz,33,2014
14,Chandelier,Sia,32,2014
15,Am I Wrong,Nico & Vinz,31,2014
16,Best Day Of My Life,American Authors,31,2014
17,Bailando,Enrique Iglesias Featuring Descemer Bueno & Gente de Zona,30,2014
18,Timber,Pitbull Featuring Ke$ha,29,2014
19,Habits (Stay High),Tove Lo,29,2014
20,Trumpets,Jason Derulo,29,2014
21,Na Na,Trey Songz,28,2014
22,Wake Me Up!,Avicii,28,2014
23,This Is How We Roll,Florida Georgia Line Featuring Luke Bryan,27,2014
24,Demons,Imagine Dragons,27,2014
25,Rather Be,Clean Bandit Featuring Jess Glynne,27,2014
26,Don't,Ed Sheeran,27,2014
27,Classic,MKTO,27,2014
28,Summer,Calvin Harris,26,2014
29,A Sky Full Of Stars,Coldplay,26,2014
30,Team,Lorde,26,2014
31,Bottoms Up,Brantley Gilbert,25,2014
32,Boom Clap,Charli XCX,25,2014
33,Problem,Ariana Grande Featuring Iggy Azalea,25,2014
34,Riptide,Vance Joy,25,2014
35,Show Me,Kid Ink Featuring Chris Brown,25,2014
36,Don't Tell 'Em,Jeremih Featuring YG,25,2014
37,Story Of My Life,One Direction,25,2014
38,2 On,Tinashe Featuring ScHoolboy Q,24,2014
39,Black Widow,Iggy Azalea Featuring Rita Ora,24,2014
40,Ain't It Fun,Paramore,24,2014
41,Let Her Go,Passenger,23,2014
42,Cool Kids,Echosmith,23,2014
43,All About That Bass,Meghan Trainor,23,2014
44,Lifestyle,Rich Gang Featuring Young Thug & Rich Homie Quan,22,2014
45,Break Free,Ariana Grande Featuring Zedd,22,2014
46,Maps,Maroon 5,22,2014
47,New Flame,Chris Brown Featuring Usher & Rick Ross,22,2014
48,Not A Bad Thing,Justin Timberlake,22,2014
49,The Monster,Eminem Featuring Rihanna,22,2014
50,Wiggle,Jason Derulo Featuring Snoop Dogg,21,2014
51,Partition,Beyonce,21,2014
52,Burn,Ellie Goulding,21,2014
53,Leave The Night On,Sam Hunt,21,2014
54,Royals,Lorde,21,2014
55,Stolen Dance,Milky Chance,21,2014
56,Come With Me Now,KONGOS,21,2014
57,Hey Brother,Avicii,21,2014
58,Drink To That All Night,Jerrod Niemann,20,2014
59,Studio,ScHoolboy Q Featuring BJ The Chicago Kid,20,2014
60,Sing,Ed Sheeran,20,2014
61,Small Town Throwdown,Brantley Gilbert Featuring Justin Moore & Thomas Rhett,20,2014
62,"Where It's At (Yep, Yep)",Dustin Lynch,20,2014
63,Give Me Back My Hometown,Eric Church,20,2014
64,Girls Chase Boys,Ingrid Michaelson,20,2014
65,Somethin' Bad,Miranda Lambert Duet With Carrie Underwood,20,2014
66,The Worst,Jhene Aiko,20,2014
67,Dirt,Florida Georgia Line,20,2014
68,Get Me Some Of That,Thomas Rhett,20,2014
69,Trophies,Young Money Featuring Drake,20,2014
70,Who Do You Love?,YG Featuring Drake,20,2014
71,Sunshine & Whiskey,Frankie Ballard,20,2014
72,Shower,Becky G,20,2014
73,Drunk On A Plane,Dierks Bentley,20,2014
74,Drunk In Love,Beyonce Featuring Jay Z,20,2014
75,No Flex Zone,Rae Sremmurd,20,2014
76,Hot Boy,Bobby Shmurda,20,2014
77,Hope You Get Lonely Tonight,Cole Swindell,20,2014
78,Love Never Felt So Good,Michael Jackson & Justin Timberlake,20,2014
79,Neon Lights,Demi Lovato,20,2014
80,On Top Of The World,Imagine Dragons,20,2014
81,Or Nah,Ty Dolla $ign Featuring Wiz Khalifa & DJ Mustard,20,2014
82,Me And My Broken Heart,Rixton,20,2014
83,Paranoid,Ty Dolla $ign Featuring B.o.B,20,2014
84,Main Chick,Kid Ink Featuring Chris Brown,20,2014
85,Love Runs Out,OneRepublic,20,2014
86,Play It Again,Luke Bryan,20,2014
87,Ready Set Roll,Chase Rice,20,2014
88,No Mediocre,T.I. Featuring Iggy Azalea,20,2014
89,Rewind,Rascal Flatts,20,2014
90,Lettin' The Night Roll,Justin Moore,20,2014
91,Roller Coaster,Luke Bryan,20,2014
92,Say Something,A Great Big World & Christina Aguilera,20,2014
93,She Looks So Perfect,5 Seconds Of Summer,20,2014
94,La La La,Naughty Boy Featuring Sam Smith,20,2014
95,I Don't Dance,Lee Brice,20,2014
96,Human,Christina Perri,20,2014
97,Day Drinking,Little Big Town,20,2014
98,We Dem Boyz,Wiz Khalifa,20,2014
99,Believe Me,Lil Wayne Featuring Drake,20,2014
