,title,artist,count,year
0,Breathe,Faith Hill,45,2000
1,I Wanna Know,Joe,44,2000
2,Higher,Creed,41,2000
3,Everything You Want,Vertical Horizon,41,2000
4,Kryptonite,3 Doors Down,39,2000
5,Back At One,Brian McKnight,39,2000
6,He Wasn't Man Enough,Toni Braxton,37,2000
7,Smooth,Santana Featuring Rob Thomas,36,2000
8,Bent,matchbox twenty,36,2000
9,The Way You Love Me,Faith Hill,35,2000
10,I Wish,Carl Thomas,34,2000
11,Amazed,Lonestar,34,2000
12,(Hot S**t) Country Grammar,Nelly,34,2000
13,With Arms Wide Open,Creed,34,2000
14,There You Go,P!nk,32,2000
15,You Sang To Me,Marc Anthony,32,2000
16,Try Again,Aaliyah,32,2000
17,"Jumpin', Jumpin'",Destiny's Child,32,2000
18,Back Here,BBMak,31,2000
19,Say My Name,Destiny's Child,31,2000
20,Thong Song,Sisqo,28,2000
21,I Try,Macy Gray,27,2000
22,Absolutely (Story Of A Girl),Nine Days,27,2000
23,Maria Maria,Santana Featuring The Product G&B,26,2000
24,Incomplete,Sisqo,26,2000
25,Desert Rose,Sting Featuring Cheb Mami,26,2000
26,Purest Of Pain (A Puro Dolor),Son By Four,26,2000
27,No More,Ruff Endz,26,2000
28,It's Gonna Be Me,'N Sync,25,2000
29,I Need You,LeAnn Rimes,25,2000
30,Where I Wanna Be,Donell Jones,25,2000
31,Faded,SoulDecision Featuring Thrust,24,2000
32,Let's Get Married,Jagged Edge,24,2000
33,I Need To Know,Marc Anthony,24,2000
34,Show Me The Meaning Of Being Lonely,Backstreet Boys,24,2000
35,It Feels So Good,Sonique,24,2000
36,Doesn't Really Matter,Janet,24,2000
37,Bye Bye Bye,'N Sync,23,2000
38,Dance With Me,Debelah Morgan,23,2000
39,I Knew I Loved You,Savage Garden,23,2000
40,Never Let You Go,Third Eye Blind,22,2000
41,Don't Think I'm Not,Kandi,22,2000
42,Get It On Tonite,Montell Jordan,22,2000
43,Otherside,Red Hot Chili Peppers,22,2000
44,I Turn To You,Christina Aguilera,22,2000
45,Wifey,Next,21,2000
46,Most Girls,P!nk,21,2000
47,Music,Madonna,21,2000
48,Party Up (Up In Here),DMX,21,2000
49,That's The Way It Is,Celine Dion,21,2000
50,Come On Over Baby (All I Want Is You),Christina Aguilera,21,2000
51,Wonderful,Everclear,21,2000
52,Love's The Only House,Martina McBride,20,2000
53,Only God Knows Why,Kid Rock,20,2000
54,Couldn't Last A Moment,Collin Raye,20,2000
55,I Will...But,SHeDAISY,20,2000
56,Prayin' For Daylight,Rascal Flatts,20,2000
57,Crash And Burn,Savage Garden,20,2000
58,I'll Be,Reba McEntire,20,2000
59,It Must Be Love,Alan Jackson,20,2000
60,It's My Life,Bon Jovi,20,2000
61,Oops!...I Did It Again,Britney Spears,20,2000
62,I Disappear,Metallica,20,2000
63,I Like It,Sammie,20,2000
64,Just Be A Man About It,Toni Braxton,20,2000
65,How Do You Like Me Now?!,Toby Keith,20,2000
66,Give Me Just One Night (Una Noche),98 Degrees,20,2000
67,Last Resort,Papa Roach,20,2000
68,Lessons Learned,Tracy Lawrence,20,2000
69,Forgot About Dre,Dr. Dre Featuring Eminem,20,2000
70,Don't Call Me Baby,Madison Avenue,20,2000
71,Flowers On The Wall,Eric Heatherly,20,2000
72,Falls Apart,Sugar Ray,20,2000
73,From The Bottom Of My Broken Heart,Britney Spears,20,2000
74,I Don't Wanna,Aaliyah,20,2000
75,I Hope You Dance,Lee Ann Womack,20,2000
76,Separated,Avant,20,2000
77,Better Off Alone,Alice Deejay,20,2000
78,Best Of Intentions,Travis Tritt,20,2000
79,The Chain Of Love,Clay Walker,20,2000
80,The Best Day,George Strait,20,2000
81,The Next Episode,Dr. Dre Featuring Snoop Dogg,20,2000
82,Been There,Clint Black With Steve Wariner,20,2000
83,That's The Way,Jo Dee Messina,20,2000
84,Be With You,Enrique Iglesias,20,2000
85,Broadway,Goo Goo Dolls,20,2000
86,Bag Lady,Erykah Badu,20,2000
87,Taking You Home,Don Henley,20,2000
88,Unconditional,Clay Davidson,20,2000
89,Swear It Again,Westlife,20,2000
90,Buy Me A Rose,Kenny Rogers With Alison Krauss & Billy Dean,20,2000
91,Big Pimpin',Jay-Z Featuring UGK,20,2000
92,Case Of The Ex (Whatcha Gonna Do),Mya,20,2000
93,What You Want,DMX Featuring Sisqo,20,2000
94,What'Chu Like,Da Brat Featuring Tyrese,20,2000
95,Shackles (Praise You),Mary Mary,20,2000
96,Who Let The Dogs Out,Baha Men,20,2000
97,Change Your Mind,Sister Hazel,20,2000
98,She's More,Andy Griggs,20,2000
99,Yes!,Chad Brock,20,2000
