,title,artist,count,year
0,Save Your Tears,The Weeknd,50,2021
1,Levitating,Dua Lipa Featuring DaBaby,49,2021
2,Heat Waves,Glass Animals,48,2021
3,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),38,2021
4,Forever After All,Luke Combs,37,2021
5,Kiss Me More,Doja Cat Featuring SZA,36,2021
6,Without You,The Kid LAROI,36,2021
7,Blinding Lights,The Weeknd,35,2021
8,Montero (Call Me By Your Name),Lil Nas X,34,2021
9,My Ex's Best Friend,Machine Gun Kelly X blackbear,34,2021
10,Mood,24kGoldn Featuring iann dior,33,2021
11,Good 4 U,Olivia Rodrigo,31,2021
12,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,30,2021
13,Best Friend,Saweetie Featuring Doja Cat,30,2021
14,One Too Many,Keith Urban Duet With P!nk,30,2021
15,Deja Vu,Olivia Rodrigo,29,2021
16,Glad You Exist,Dan + Shay,29,2021
17,Heartbreak Anniversary,Giveon,29,2021
18,Chasing After You,Ryan Hurd With Maren Morris,29,2021
19,Wockesha,Moneybagg Yo,28,2021
20,Drivers License,Olivia Rodrigo,28,2021
21,Astronaut In The Ocean,Masked Wolf,28,2021
22,Need To Know,Doja Cat,27,2021
23,What You Know Bout Love,Pop Smoke,27,2021
24,Fancy Like,Walker Hayes,26,2021
25,You Right,Doja Cat & The Weeknd,25,2021
26,Traitor,Olivia Rodrigo,25,2021
27,Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion,25,2021
28,Telepatia,Kali Uchis,25,2021
29,Bad Habits,Ed Sheeran,25,2021
30,Essence,Wizkid Featuring Tems,24,2021
31,Beggin',Maneskin,24,2021
32,Arcade,Duncan Laurence,24,2021
33,You Should Probably Leave,Chris Stapleton,24,2021
34,Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert,24,2021
35,On Me,Lil Baby,24,2021
36,The Good Ones,Gabby Barrett,23,2021
37,Stay,The Kid LAROI & Justin Bieber,23,2021
38,Almost Maybes,Jordan Davis,23,2021
39,Beat Box,SpotemGottem,23,2021
40,Back In Blood,Pooh Shiesty Featuring Lil Durk,23,2021
41,Lil Bit,Nelly & Florida Georgia Line,23,2021
42,Calling My Phone,Lil Tjay Featuring 6LACK,22,2021
43,Leave Before You Love Me,Marshmello X Jonas Brothers,22,2021
44,Sand In My Boots,Morgan Wallen,22,2021
45,Famous Friends,Chris Young + Kane Brown,22,2021
46,Tombstone,Rod Wave,22,2021
47,Hell Of A View,Eric Church,21,2021
48,Industry Baby,Lil Nas X & Jack Harlow,21,2021
49,You Broke Me First.,Tate McRae,21,2021
50,Therefore I Am,Billie Eilish,21,2021
51,You're Mines Still,Yung Bleu Featuring Drake,21,2021
52,Wants And Needs,Drake Featuring Lil Baby,21,2021
53,Dakiti,Bad Bunny & Jhay Cortez,21,2021
54,Positions,Ariana Grande,21,2021
55,34+35,Ariana Grande,21,2021
56,Things A Man Oughta Know,Lainey Wilson,20,2021
57,Gone,Dierks Bentley,20,2021
58,Late At Night,Roddy Ricch,20,2021
59,Up,Cardi B,20,2021
60,Every Chance I Get,DJ Khaled Featuring Lil Baby & Lil Durk,20,2021
61,Track Star,Mooski,20,2021
62,Drinkin' Beer. Talkin' God. Amen.,Chase Rice Featuring Florida Georgia Line,20,2021
63,Down To One,Luke Bryan,20,2021
64,Go Crazy,Chris Brown & Young Thug,20,2021
65,Todo de Ti,Rauw Alejandro,20,2021
66,Breaking Up Was Easy In The 90's,Sam Hunt,20,2021
67,Thot Shit,Megan Thee Stallion,20,2021
68,Just The Way,Parmalee x Blanco Brown,20,2021
69,What's Your Country Song,Thomas Rhett,20,2021
70,Good Days,SZA,20,2021
71,Butter,BTS,20,2021
72,Goosebumps,Travis Scott & HVME,20,2021
73,Time Today,Moneybagg Yo,20,2021
74,If I Didn't Love You,Jason Aldean & Carrie Underwood,20,2021
75,Wild Side,Normani Featuring Cardi B,20,2021
76,Country Again,Thomas Rhett,20,2021
77,Woman,Doja Cat,20,2021
78,Happier Than Ever,Billie Eilish,20,2021
79,Yonaguni,Bad Bunny,20,2021
80,Settling Down,Miranda Lambert,20,2021
81,Rapstar,Polo G,20,2021
82,Pepas,Farruko,20,2021
83,Quicksand,Morray,20,2021
84,Made For You,Jake Owen,20,2021
85,Single Saturday Night,Cole Swindell,20,2021
86,Pick Up Your Feelings,Jazmine Sullivan,20,2021
87,Streets,Doja Cat,20,2021
88,No More Parties,Coi Leray,20,2021
89,Buy Dirt,Jordan Davis Featuring Luke Bryan,19,2021
90,Willow,Taylor Swift,19,2021
91,A-O-K,Tai Verdes,19,2021
92,I Was On A Boat That Day,Old Dominion,19,2021
93,My Boy,Elvie Shane,19,2021
94,Gyalis,Capella Grey,19,2021
95,Cold As You,Luke Combs,19,2021
96,Wasted On You,Morgan Wallen,19,2021
97,Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs,19,2021
98,Lady,Brett Young,19,2021
99,Memory I Don't Mess With,Lee Brice,19,2021
