,title,artist,count,year
0,Hanging By A Moment,Lifehouse,47,2001
1,Angel,Shaggy Featuring Rayvon,45,2001
2,Drops Of Jupiter (Tell Me),Train,42,2001
3,Drive,Incubus,39,2001
4,Thank You,Dido,39,2001
5,It's Been Awhile,Staind,38,2001
6,Hit 'Em Up Style (Oops!),Blu Cantrell,34,2001
7,Let Me Blow Ya Mind,Eve Featuring Gwen Stefani,33,2001
8,Follow Me,Uncle Kracker,33,2001
9,I Do!!,Toya,31,2001
10,If You're Gone,matchbox twenty,31,2001
11,Peaches & Cream,112,29,2001
12,Where The Party At,Jagged Edge With Nelly,29,2001
13,Fallin',Alicia Keys,29,2001
14,Ride Wit Me,Nelly Featuring City Spud,29,2001
15,What Would You Do?,City High,28,2001
16,I Hope You Dance,Lee Ann Womack,28,2001
17,South Side,Moby Featuring Gwen Stefani,27,2001
18,Fill Me In,Craig David,27,2001
19,Stutter,Joe Featuring Mystikal,26,2001
20,I'm Real,Jennifer Lopez Featuring Ja Rule,26,2001
21,Only Time,Enya,25,2001
22,Put It On Me,Ja Rule Featuring Lil' Mo & Vita,25,2001
23,Again,Lenny Kravitz,25,2001
24,U Remind Me,Usher,24,2001
25,I'm Like A Bird,Nelly Furtado,24,2001
26,Get Ur Freak On,"Missy ""Misdemeanor"" Elliott",24,2001
27,Butterfly,Crazy Town,23,2001
28,The Space Between,Dave Matthews Band,23,2001
29,Music,Madonna,23,2001
30,Differences,Ginuwine,23,2001
31,Family Affair,Mary J. Blige,23,2001
32,When It's Over,Sugar Ray,22,2001
33,Missing You,Case,22,2001
34,Dance With Me,Debelah Morgan,22,2001
35,Superwoman Pt. II,Lil' Mo Featuring Fabolous,22,2001
36,All For You,Janet,22,2001
37,Raise Up,Petey Pablo,21,2001
38,Crazy,K-Ci & JoJo,21,2001
39,Fiesta,R. Kelly Featuring Jay-Z,21,2001
40,The Way You Love Me,Faith Hill,21,2001
41,One Minute Man,"Missy ""Misdemeanor"" Elliott",21,2001
42,She Couldn't Change Me,Montgomery Gentry,21,2001
43,Be Like That,3 Doors Down,21,2001
44,Love,Musiq Soulchild,21,2001
45,Stranger In My House,Tamia,21,2001
46,I Could Not Ask For More,Sara Evans,20,2001
47,Izzo (H.O.V.A.),JAY-Z,20,2001
48,Mad Season,matchbox twenty,20,2001
49,Flavor Of The Weak,American Hi-Fi,20,2001
50,Irresistible,Jessica Simpson,20,2001
51,It's A Great Day To Be Alive,Travis Tritt,20,2001
52,On A Night Like This,Trick Pony,20,2001
53,Jaded,Aerosmith,20,2001
54,Nobody Wants To Be Lonely,Ricky Martin Duet With Christina Aguilera,20,2001
55,What I Really Meant To Say,Cyndi Thomson,20,2001
56,Just In Case,Jaheim,20,2001
57,La Bomba,Azul Azul,20,2001
58,Only In America,Brooks & Dunn,20,2001
59,Lady Marmalade,"Christina Aguilera, Lil' Kim, Mya & P!nk",20,2001
60,Look At Us,Sarina Paris,20,2001
61,I'm Just Talkin' About Tonight,Toby Keith,20,2001
62,I'm Already There,Lonestar,20,2001
63,More Than That,Backstreet Boys,20,2001
64,Where The Blacktop Ends,Keith Urban,20,2001
65,Oochie Wally,QB Finest Featuring Nas & Bravehearts,20,2001
66,This Is Me,Dream,20,2001
67,Here's To The Night,Eve 6,20,2001
68,Heard It All Before,Sunshine Anderson,20,2001
69,Turn Off The Light,Nelly Furtado,20,2001
70,Grown Men Don't Cry,Tim McGraw,20,2001
71,I Wanna Be Bad,Willa Ford,20,2001
72,I Would've Loved You Anyway,Trisha Yearwood,20,2001
73,Take It To Da House,Trick Daddy Featuring The SNS Express,20,2001
74,I'm A Believer,Smash Mouth,20,2001
75,When I Think About Angels,Jamie O'Neal,20,2001
76,Maybe I Deserve,Tank,20,2001
77,Never Had A Dream Come True,S Club 7,20,2001
78,I'm A Thug,Trick Daddy,20,2001
79,There You'll Be,Faith Hill,20,2001
80,Survivor,Destiny's Child,20,2001
81,One More Day,Diamond Rio,20,2001
82,Who I Am,Jessica Andrews,20,2001
83,Can't Deny It,Fabolous Featuring Nate Dogg,20,2001
84,Ain't Nothing 'Bout You,Brooks & Dunn,20,2001
85,All Or Nothing,O-Town,20,2001
86,Play,Jennifer Lopez,20,2001
87,Angry All The Time,Tim McGraw,20,2001
88,Southern Hospitality,Ludacris,20,2001
89,Austin,Blake Shelton,20,2001
90,Bad Day,Fuel,20,2001
91,After Party,Koffee Brown,20,2001
92,Can't Believe,Faith Evans Featuring Carl Thomas,20,2001
93,Yellow,Coldplay,20,2001
94,Someone To Call My Lover,Janet,20,2001
95,"So Fresh, So Clean",OutKast,20,2001
96,Right Where I Need To Be,Gary Allan,20,2001
97,Breathless,The Corrs,20,2001
98,Crawling,Linkin Park,20,2001
99,Schism,Tool,20,2001
