,title,artist,count,year
0,Somebody That I Used To Know,Gotye Featuring Kimbra,52,2012
1,Lights,Ellie Goulding,51,2012
2,I Won't Give Up,Jason Mraz,44,2012
3,Call Me Maybe,Carly Rae Jepsen,43,2012
4,Some Nights,fun.,43,2012
5,We Are Young,Glee Cast,41,2012
6,Home,Dierks Bentley,39,2012
7,Everybody Talks,Neon Trees,39,2012
8,Too Close,Alex Clare,39,2012
9,Glad You Came,The Wanted,38,2012
10,Wild Ones,Flo Rida Featuring Sia,36,2012
11,Drive By,Train,36,2012
12,Stronger (What Doesn't Kill You),Kelly Clarkson,35,2012
13,Wanted,Hunter Hayes,34,2012
14,What Makes You Beautiful,One Direction,34,2012
15,Mercy,"Kanye West, Big Sean, Pusha T, 2 Chainz",33,2012
16,The One That Got Away,Katy Perry,33,2012
17,Titanium,David Guetta Featuring Sia,32,2012
18,Give Your Heart A Break,Demi Lovato,32,2012
19,Payphone,Maroon 5 Featuring Wiz Khalifa,31,2012
20,Starships,Nicki Minaj,31,2012
21,The Motto,Drake Featuring Lil Wayne,30,2012
22,Little Talks,Of Monsters And Men,30,2012
23,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,29,2012
24,It's Time,Imagine Dragons,29,2012
25,We Found Love,Rihanna Featuring Calvin Harris,29,2012
26,Whistle,Flo Rida,29,2012
27,Take Care,Drake Featuring Rihanna,29,2012
28,Ho Hey,The Lumineers,28,2012
29,Sexy And I Know It,LMFAO,27,2012
30,Set Fire To The Rain,Adele,27,2012
31,No Lie,2 Chainz Featuring Drake,26,2012
32,As Long As You Love Me,Justin Bieber Featuring Big Sean,26,2012
33,Heart Attack,Trey Songz,26,2012
34,One More Night,Maroon 5,26,2012
35,Feel So Close,Calvin Harris,26,2012
36,Wide Awake,Katy Perry,26,2012
37,Time Is Love,Josh Turner,25,2012
38,Good Feeling,Flo Rida,25,2012
39,Where Have You Been,Rihanna,25,2012
40,Don't Wake Me Up,Chris Brown,25,2012
41,Blow Me (One Last Kiss),P!nk,24,2012
42,Good Time,Owl City & Carly Rae Jepsen,24,2012
43,Turn Me On,David Guetta Featuring Nicki Minaj,24,2012
44,The A Team,Ed Sheeran,23,2012
45,Drunk On You,Luke Bryan,23,2012
46,Hard To Love,Lee Brice,23,2012
47,Burn It Down,Linkin Park,23,2012
48,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,23,2012
49,Thinkin Bout You,Frank Ocean,23,2012
50,You Don't Know Her Like I Do,Brantley Gilbert,23,2012
51,Part Of Me,Katy Perry,22,2012
52,"Young, Wild & Free",Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,22,2012
53,Why Ya Wanna,Jana Kramer,22,2012
54,Springsteen,Eric Church,22,2012
55,Pop That,"French Montana Featuring Rick Ross, Drake, Lil Wayne",22,2012
56,Amen,Edens Edge,22,2012
57,We Run The Night,Havana Brown Featuring Pitbull,22,2012
58,Ass Back Home,Gym Class Heroes Featuring Neon Hitch,22,2012
59,Faded,Tyga Featuring Lil Wayne,22,2012
60,Drank In My Cup,Kirko Bangz,22,2012
61,Cowboys And Angels,Dustin Lynch,22,2012
62,Blown Away,Carrie Underwood,22,2012
63,Brokenhearted,Karmin,22,2012
64,Scream,Usher,21,2012
65,Rumour Has It,Adele,21,2012
66,Rack City,Tyga,21,2012
67,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,20,2012
68,Even If It Breaks Your Heart,Eli Young Band,20,2012
69,Crew Love,Drake Featuring The Weeknd,20,2012
70,Good Girl,Carrie Underwood,20,2012
71,Midnight City,M83.,20,2012
72,One Thing,One Direction,20,2012
73,Let's Go,Calvin Harris Featuring Ne-Yo,20,2012
74,Over You,Miranda Lambert,20,2012
75,Pontoon,Little Big Town,20,2012
76,Leave You Alone,Young Jeezy Featuring Ne-Yo,20,2012
77,Lovin' You Is Fun,Easton Corbin,20,2012
78,Fly Over States,Jason Aldean,20,2012
79,2 Reasons,Trey Songz Featuring T.I.,20,2012
80,Lemme See,Usher Featuring Rick Ross,20,2012
81,(Kissed You) Good Night,Gloriana,20,2012
82,Back In Time,Pitbull,20,2012
83,Somethin' 'Bout A Truck,Kip Moore,20,2012
84,Boyfriend,Justin Bieber,20,2012
85,Beez In The Trap,Nicki Minaj Featuring 2 Chainz,20,2012
86,Take It To The Head,"DJ Khaled Featuring Chris Brown, Rick Ross, Nicki Minaj & Lil Wayne",20,2012
87,Bangarang,Skrillex Featuring Sirah,20,2012
88,Take A Little Ride,Jason Aldean,20,2012
89,Cashin' Out,Ca$h Out,20,2012
90,Turn Up The Music,Chris Brown,20,2012
91,UP!,LoveRance Featuring IamSu & Skipper or 50 Cent,20,2012
92,Climax,Usher,20,2012
93,Want U Back,Cher Lloyd,20,2012
94,Birthday Cake,Rihanna Featuring Chris Brown,20,2012
95,Angel Eyes,Love And Theft,20,2012
96,Adorn,Miguel,20,2012
97,Come Over,Kenny Chesney,20,2012
98,5-1-5-0,Dierks Bentley,20,2012
99,Come Wake Me Up,Rascal Flatts,20,2012
