,title,artist,count,year
0,Uptown Funk!,Mark Ronson Featuring Bruno Mars,50,2015
1,Shut Up And Dance,WALK THE MOON,48,2015
2,Thinking Out Loud,Ed Sheeran,48,2015
3,Trap Queen,Fetty Wap,47,2015
4,Earned It (Fifty Shades Of Grey),The Weeknd,43,2015
5,Sugar,Maroon 5,42,2015
6,Watch Me,Silento,42,2015
7,Where Are U Now,Skrillex & Diplo With Justin Bieber,41,2015
8,See You Again,Wiz Khalifa Featuring Charlie Puth,40,2015
9,Post To Be,Omarion Featuring Chris Brown & Jhene Aiko,37,2015
10,Worth It,Fifth Harmony Featuring Kid Ink,36,2015
11,Lean On,Major Lazer & DJ Snake Featuring MO,36,2015
12,Renegades,X Ambassadors,35,2015
13,Want To Want Me,Jason Derulo,35,2015
14,Love Me Like You Do,Ellie Goulding,34,2015
15,Cheerleader,OMI,34,2015
16,Shake It Off,Taylor Swift,33,2015
17,Take Your Time,Sam Hunt,32,2015
18,Fight Song,Rachel Platten,31,2015
19,"Honey, I'm Good.",Andy Grammer,31,2015
20,Talking Body,Tove Lo,30,2015
21,Style,Taylor Swift,30,2015
22,Blank Space,Taylor Swift,30,2015
23,G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas,30,2015
24,Photograph,Ed Sheeran,30,2015
25,El Perdon (Forgiveness),Nicky Jam & Enrique Iglesias,30,2015
26,Elastic Heart,Sia,30,2015
27,Stitches,Shawn Mendes,29,2015
28,The Hills,The Weeknd,29,2015
29,Flex (Ooh Ooh Ooh),Rich Homie Quan,27,2015
30,Uma Thurman,Fall Out Boy,27,2015
31,Can't Feel My Face,The Weeknd,27,2015
32,Slow Motion,Trey Songz,26,2015
33,Time Of Our Lives,Pitbull & Ne-Yo,26,2015
34,Somebody,Natalie La Rose Featuring Jeremih,26,2015
35,Good For You,Selena Gomez Featuring A$AP Rocky,25,2015
36,All About That Bass,Meghan Trainor,24,2015
37,Girl Crush,Little Big Town,24,2015
38,679,Fetty Wap Featuring Remy Boyz,24,2015
39,Bad Blood,Taylor Swift Featuring Kendrick Lamar,24,2015
40,Hey Mama,"David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack",24,2015
41,Ex's & Oh's,Elle King,23,2015
42,B**** Better Have My Money,Rihanna,23,2015
43,Budapest,George Ezra,23,2015
44,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,23,2015
45,I'm Comin' Over,Chris Young,23,2015
46,Take Me To Church,Hozier,23,2015
47,My Way,Fetty Wap Featuring Monty,22,2015
48,Burning House,Cam,22,2015
49,I'm Not The Only One,Sam Smith,22,2015
50,Like A Wrecking Ball,Eric Church,22,2015
51,Where Ya At,Future Featuring Drake,21,2015
52,You Know You Like It,DJ Snake & AlunaGeorge,21,2015
53,Classic Man,Jidenna Featuring Roman GianArthur,21,2015
54,Lips Are Movin,Meghan Trainor,21,2015
55,Locked Away,R. City Featuring Adam Levine,21,2015
56,Nasty Freestyle,T-Wayne,20,2015
57,Bright,Echosmith,20,2015
58,Break Up With Him,Old Dominion,20,2015
59,Homegrown,Zac Brown Band,20,2015
60,Buy Me A Boat,Chris Janson,20,2015
61,Crash And Burn,Thomas Rhett,20,2015
62,Cool For The Summer,Demi Lovato,20,2015
63,Chains,Nick Jonas,20,2015
64,FourFiveSeconds,Rihanna & Kanye West & Paul McCartney,20,2015
65,Commas,Future,20,2015
66,Geronimo,Sheppard,20,2015
67,Sangria,Blake Shelton,20,2015
68,Planez,Jeremih Featuring J. Cole,20,2015
69,Centuries,Fall Out Boy,20,2015
70,Lay Me Down,Sam Smith,20,2015
71,Blessings,Big Sean Featuring Drake,20,2015
72,One Last Time,Ariana Grande,20,2015
73,Truffle Butter,Nicki Minaj Featuring Drake & Lil Wayne,20,2015
74,Throw Sum Mo,Rae Sremmurd Featuring Nicki Minaj & Young Thug,20,2015
75,This Could Be Us,Rae Sremmurd,20,2015
76,Heartbeat Song,Kelly Clarkson,20,2015
77,Lose My Mind,Brett Eldredge,20,2015
78,Energy,Drake,20,2015
79,Ayo,Chris Brown & Tyga,20,2015
80,How Deep Is Your Love,Calvin Harris & Disciples,20,2015
81,I Really Like You,Carly Rae Jepsen,20,2015
82,Marvin Gaye,Charlie Puth Featuring Meghan Trainor,20,2015
83,A Guy Walks Into A Bar,Tyler Farr,20,2015
84,All Eyes On You,Meek Mill Featuring Chris Brown & Nicki Minaj,20,2015
85,Don't It,Billy Currington,20,2015
86,House Party,Sam Hunt,20,2015
87,Don't,Ed Sheeran,20,2015
88,Be Real,Kid Ink Featuring DeJ Loaf,20,2015
89,Love You Like That,Canaan Smith,20,2015
90,Feeling Myself,Nicki Minaj Featuring Beyonce,20,2015
91,"John Cougar, John Deere, John 3:16",Keith Urban,20,2015
92,Kick The Dust Up,Luke Bryan,20,2015
93,Smoke,A Thousand Horses,20,2015
94,Know Yourself,Drake,20,2015
95,Hotline Bling,Drake,19,2015
96,Wet Dreamz,J. Cole,19,2015
97,Ain't Worth The Whiskey,Cole Swindell,19,2015
98,Dear Future Husband,Meghan Trainor,19,2015
99,Sippin' On Fire,Florida Georgia Line,19,2015
