,title,artist,count,year
0,Big Energy,Latto,43,2022
1,Heat Waves,Glass Animals,43,2022
2,Stay,The Kid LAROI & Justin Bieber,40,2022
3,Ghost,Justin Bieber,40,2022
4,Shivers,Ed Sheeran,38,2022
5,As It Was,Harry Styles,38,2022
6,Wasted On You,Morgan Wallen,37,2022
7,Cold Heart (PNAU Remix),Elton John & Dua Lipa,37,2022
8,Super Gremlin,Kodak Black,36,2022
9,Something In The Orange,Zach Bryan,35,2022
10,About Damn Time,Lizzo,33,2022
11,Fall In Love,Bailey Zimmerman,32,2022
12,Numb Little Bug,Em Beihold,32,2022
13,Enemy,Imagine Dragons X JID,32,2022
14,Wait For U,Future Featuring Drake & Tems,32,2022
15,Woman,Doja Cat,32,2022
16,You Proof,Morgan Wallen,32,2022
17,Thats What I Want,Lil Nas X,32,2022
18,Bad Habits,Ed Sheeran,31,2022
19,She Likes It,Russell Dickerson & Jake Scott,30,2022
20,Titi Me Pregunto,Bad Bunny,30,2022
21,Rock And A Hard Place,Bailey Zimmerman,28,2022
22,In A Minute,Lil Baby,28,2022
23,First Class,Jack Harlow,28,2022
24,She Had Me At Heads Carolina,Cole Swindell,27,2022
25,I Like You (A Happier Song),Post Malone Featuring Doja Cat,27,2022
26,Whiskey On You,Nate Smith,27,2022
27,Sunroof,Nicky Youre & dazy,27,2022
28,Flower Shops,ERNEST Featuring Morgan Wallen,26,2022
29,Me Porto Bonito,Bad Bunny & Chencho Corleone,26,2022
30,'Til You Can't,Cody Johnson,26,2022
31,Vegas,Doja Cat,26,2022
32,Son Of A Sinner,Jelly Roll,25,2022
33,Circles Around This Town,Maren Morris,25,2022
34,Until I Found You,Stephen Sanchez,25,2022
35,Bad Habit,Steve Lacy,25,2022
36,I Ain't Worried,OneRepublic,25,2022
37,Get Into It (Yuh),Doja Cat,24,2022
38,Late Night Talking,Harry Styles,24,2022
39,AA,Walker Hayes,24,2022
40,Boyfriend,Dove Cameron,24,2022
41,Jimmy Cooks,Drake Featuring 21 Savage,24,2022
42,The Kind Of Love We Make,Luke Combs,23,2022
43,Moscow Mule,Bad Bunny,23,2022
44,5 Foot 9,Tyler Hubbard,22,2022
45,Efecto,Bad Bunny,22,2022
46,Free Mind,Tems,21,2022
47,Provenza,Karol G,21,2022
48,Party,Bad Bunny & Rauw Alejandro,21,2022
49,Sweetest Pie,Megan Thee Stallion & Dua Lipa,21,2022
50,Easy On Me,Adele,21,2022
51,Doin' This,Luke Combs,21,2022
52,Die For You,The Weeknd,21,2022
53,One Right Now,Post Malone & The Weeknd,21,2022
54,Need To Know,Doja Cat,21,2022
55,Industry Baby,Lil Nas X & Jack Harlow,21,2022
56,abcdefu,GAYLE,21,2022
57,Glimpse Of Us,Joji,20,2022
58,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",20,2022
59,Hrs And Hrs,Muni Long,20,2022
60,Hotel Lobby (Unc And Phew),Quavo & Takeoff,20,2022
61,Bones,Imagine Dragons,20,2022
62,Bam Bam,Camila Cabello Featuring Ed Sheeran,20,2022
63,To The Moon!,JNR CHOI & Sam Tompkins,20,2022
64,Like I Love Country Music,Kane Brown,20,2022
65,All Mine,Brent Faiyaz,20,2022
66,23,Sam Hunt,20,2022
67,MAMIII,Becky G X Karol G,20,2022
68,What Happened To Virgil,Lil Durk Featuring Gunna,20,2022
69,Broadway Girls,Lil Durk Featuring Morgan Wallen,20,2022
70,Thought You Should Know,Morgan Wallen,20,2022
71,She's All I Wanna Be,Tate McRae,20,2022
72,Wishful Drinking,Ingrid Andress With Sam Hunt,20,2022
73,F.N.F. (Let's Go),Hitkidd & Glorilla,20,2022
74,Sleazy Flow,SleazyWorld Go Featuring Lil Baby,20,2022
75,Tarot,Bad Bunny & Jhay Cortez,20,2022
76,Good 4 U,Olivia Rodrigo,20,2022
77,Running Up That Hill (A Deal With God),Kate Bush,20,2022
78,Never Wanted To Be That Girl,Carly Pearce & Ashley McBryde,20,2022
79,Trouble With A Heartbreak,Jason Aldean,20,2022
80,If I Was A Cowboy,Miranda Lambert,20,2022
81,Beers On Me,"Dierks Bentley, Breland & HARDY",20,2022
82,Despues de La Playa,Bad Bunny,20,2022
83,Pushin P,Gunna & Future Featuring Young Thug,20,2022
84,Never Say Never,Cole Swindell / Lainey Wilson,20,2022
85,Ojitos Lindos,Bad Bunny & Bomba Estereo,20,2022
86,Damn Strait,Scotty McCreery,20,2022
87,Ghost Story,Carrie Underwood,20,2022
88,Unstoppable,Sia,20,2022
89,Last Night Lonely,Jon Pardi,20,2022
90,Take My Name,Parmalee,20,2022
91,Sand In My Boots,Morgan Wallen,19,2022
92,Puffin On Zootiez,Future,19,2022
93,Cuff It,Beyonce,19,2022
94,Last Last,Burna Boy,19,2022
95,I Hate U,SZA,19,2022
96,What My World Spins Around,Jordan Davis,19,2022
97,Super Freaky Girl,Nicki Minaj,19,2022
98,Me Or Sum,"Nardo Wick, Lil Baby & Future",19,2022
99,Surface Pressure,Jessica Darrow,19,2022
