,title,artist,count,year
0,Foolish Games/You Were Meant For Me,Jewel,52,1997
1,Barely Breathing,Duncan Sheik,50,1997
2,The Freshmen,The Verve Pipe,42,1997
3,Return Of The Mack,Mark Morrison,40,1997
4,Da' Dip,Freak Nasty,37,1997
5,Hard To Say I'm Sorry,Az Yet Featuring Peter Cetera,34,1997
6,I Want You,Savage Garden,33,1997
7,Un-Break My Heart,Toni Braxton,32,1997
8,"For You I Will (From ""Space Jam"")",Monica,32,1997
9,"I Believe I Can Fly (From ""Space Jam"")",R. Kelly,31,1997
10,Bitch,Meredith Brooks,30,1997
11,I'll Be Missing You,Puff Daddy & Faith Evans Featuring 112,29,1997
12,Do You Know (What It Takes),Robyn,28,1997
13,Cupid,112,28,1997
14,How Do I Live,LeAnn Rimes,28,1997
15,Can't Nobody Hold Me Down,Puff Daddy (Featuring Mase),28,1997
16,Quit Playing Games (With My Heart),Backstreet Boys,27,1997
17,Don't Let Go (Love),En Vogue,27,1997
18,Every Time I Close My Eyes,Babyface,26,1997
19,I Belong To You (Every Time I See Your Face),Rome,26,1997
20,Semi-Charmed Life,Third Eye Blind,26,1997
21,Call Me,Le Click,25,1997
22,In My Bed,Dru Hill,25,1997
23,ESPN Presents The Jock Jam,Various Artists,25,1997
24,Invisible Man,98 Degrees,25,1997
25,G.H.E.T.T.O.U.T.,Changing Faces,25,1997
26,Ooh Aah... Just A Little Bit,Gina G,25,1997
27,Sunny Came Home,Shawn Colvin,25,1997
28,All For You,Sister Hazel,25,1997
29,Naked Eye,Luscious Jackson,24,1997
30,Wannabe,Spice Girls,23,1997
31,Nobody,Keith Sweat Featuring Athena Cage,22,1997
32,MMMBop,Hanson,22,1997
33,Mo Money Mo Problems,The Notorious B.I.G. Featuring Puff Daddy & Mase,22,1997
34,6 Underground,Sneaker Pimps,22,1997
35,Not Tonight,"Lil' Kim Feat. Da Brat, Left Eye, Missy Elliott & Angie Mar",21,1997
36,Say You'll Be There,Spice Girls,21,1997
37,Where Have All The Cowboys Gone?,Paula Cole,21,1997
38,That's Right,DJ Taz Featuring Raheem The Dream,20,1997
39,Do You Like This,Rome,20,1997
40,Just Another Day,John Mellencamp,20,1997
41,It's No Good,Depeche Mode,20,1997
42,It's Your Love,Tim McGraw With Faith Hill,20,1997
43,"It's Alright, It's Ok",Leah Andreone,20,1997
44,"Don't Wanna Be A Player (From ""Booty Call"")",Joe,20,1997
45,Don't Stop Movin',Livin' Joy,20,1997
46,2 Become 1,Spice Girls,20,1997
47,What's On Tonight,Montell Jordan,20,1997
48,Up Jumps Da Boogie,Magoo And Timbaland,20,1997
49,Hypnotize,The Notorious B.I.G.,20,1997
50,To The Moon And Back,Savage Garden,20,1997
51,Here's Your Sign (Get The Picture),Bill Engvall With Special Guest Travis Tritt,20,1997
52,Gotham City,R. Kelly,20,1997
53,"Go The Distance (From ""Hercules"")",Michael Bolton,20,1997
54,I Love Me Some Him/I Don't Want To,Toni Braxton,20,1997
55,Until I Find You Again,Richard Marx,20,1997
56,Get It Together,702,20,1997
57,Everyday Is A Winding Road,Sheryl Crow,20,1997
58,Gangstas Make The World Go Round,Westside Connection,20,1997
59,I Say A Little Prayer,Diana King,20,1997
60,For You,Kenny Lattimore,20,1997
61,I Wanna Be There,Blessid Union Of Souls,20,1997
62,"Let It Go (From ""Set It Off"")",Ray J,20,1997
63,Thinking Of You,Tony Toni Tone,20,1997
64,I'll Be,Foxy Brown Featuring Jay-Z,20,1997
65,Firestarter,The Prodigy,20,1997
66,When I Die,No Mercy,20,1997
67,Let Me Clear My Throat,DJ Kool,20,1997
68,Can U Feel It,3rd Party,20,1997
69,Your Woman,White Town,20,1997
70,A Little Bit Of Ecstasy,Jocelyn Enriquez,20,1997
71,All By Myself,Celine Dion,20,1997
72,One More Time,Real McCoy,20,1997
73,Alone,Bee Gees,20,1997
74,Silent All These Years,Tori Amos,20,1997
75,Someone,SWV (Featuring Puff Daddy),20,1997
76,You Bring Me Up,K-Ci & JoJo,20,1997
77,"C U When U Get There (From ""Nothing To Lose"")",Coolio Featuring 40 Thevz,20,1997
78,Never Make A Promise,Dru Hill,20,1997
79,Sweet Sexy Thing,Nu Flavor Featuring Roger,20,1997
80,"Look Into My Eyes (From ""Batman & Robin"")",Bone Thugs-N-Harmony,20,1997
81,Coco Jamboo,Mr. President,20,1997
82,You Make Me Wanna...,Usher,19,1997
83,My Baby Daddy,B-Rock & The Bizz,19,1997
84,Havana,Kenny G,19,1997
85,Come On,Billy Lawrence Featuring MC Lyte,19,1997
86,On & On,Erykah Badu,19,1997
87,Smile,Scarface Featuring 2Pac & Johnny P,19,1997
88,Free,Ultra Nate,19,1997
89,I Shot The Sheriff,Warren G,19,1997
90,Have A Little Mercy,4.0,19,1997
91,No Diggity,BLACKstreet (Featuring Dr. Dre),19,1997
92,Big Daddy,Hev-D,19,1997
93,"I Believe In You And Me (From ""The Preacher's Wife"")",Whitney Houston,19,1997
94,I Can Love You,Mary J. Blige,19,1997
95,Insomnia,Faithless,19,1997
96,Change The World,Eric Clapton,19,1997
97,Desperately Wanting,Better Than Ezra,18,1997
98,Full Of Smoke,Christion,18,1997
99,Around The World,Daft Punk,18,1997
