Unnamed: 0.1,Unnamed: 0,title,artist,count,year,id
0,0,Lose Control,Teddy Swims,43,2024,15cGdiAHmezm0P04jVAjMo
1,1,Stick Season,Noah Kahan,40,2024,0mflMxspEfB0VbI1kyLiAv
2,2,Beautiful Things,Benson Boone,39,2024,3xkHsmpQCBMytMJNiDf3Ii
3,3,Houdini,Dua Lipa,37,2024,6D8y7Bck8h11byRY88Pt2z
4,4,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,35,2024,3cBsEDNhFI9E82vPj3kvi3
5,5,Saturn,SZA,34,2024,1bjeWoagtHmUKputLVyDxQ
6,6,Feather,Sabrina Carpenter,34,2024,2Zo1PcszsT9WQ0ANntJbID
7,7,Austin,Dasha,32,2024,5u8bqfaYSh0qVTsgslPknf
8,8,Lovin On Me,Jack Harlow,32,2024,4xhsWYTOGcal8zt0J161CU
9,9,Too Sweet,Hozier,30,2024,76JKIsdKrAfWUMjaA0u7v5
10,10,Like That,"Future, Metro Boomin & Kendrick Lamar",30,2024,6uFn47ACjqYkc0jADwEdj1
11,11,Wind Up Missin' You,Tucker Wetmore,29,2024,3EO58D1YpHnTvBy68gK8HE
12,12,Slow It Down,Benson Boone,29,2024,51eSHglvG1RJXtL3qI5trr
13,13,"Good Luck, Babe!",Chappell Roan,28,2024,0WbMK4wrZ1wFSty9F7FCgu
14,14,Greedy,Tate McRae,28,2024,3rUGC1vUpkDG9CZFHMur1t
15,15,A Bar Song (Tipsy),Shaboozey,27,2024,2FQrifJ1N335Ljm3TjTVVf
16,16,Espresso,Sabrina Carpenter,27,2024,2qSkIjg1o9h3YT9RAgYN75
17,17,Gata Only,FloyyMenor X Cris Mj,26,2024,6XjDF6nds4DE2BBbagZol6
18,18,Agora Hills,Doja Cat,26,2024,5PyDJG7SQRgWXefgexqIge
19,19,I Can Do It With A Broken Heart,Taylor Swift,26,2024,4q5YezDOIPcoLr8R81x9qy
20,20,Wild Ones,Jessie Murph & Jelly Roll,26,2024,6Ymvlzom4TQeoKqAWsZRD8
21,21,Yeah Glo!,GloRilla,25,2024,5A8xI7PN4WDe9e61xEdt94
22,22,Million Dollar Baby,Tommy Richman,25,2024,5AJ9hqTS2wcFQCELCFRO7A
23,23,Wanna Be,GloRilla & Megan Thee Stallion,24,2024,7mOC6phfrfz3jfigg1aGsE
24,24,Miles On It,Marshmello & Kane Brown,24,2024,4pkb8SbRGeHAvdb87v9rpf
25,25,We Can't Be Friends (Wait For Your Love),Ariana Grande,24,2024,51ZQ1vr10ffzbwIjDCwqm4
26,26,Not Like Us,Kendrick Lamar,24,2024,6AI3ezQ4o3HUoP6Dhudph3
27,27,Cowgirls,Morgan Wallen Featuring ERNEST,24,2024,3AjyOYxBv8bByfBtG5o9dP
28,28,I Had Some Help,Post Malone Featuring Morgan Wallen,23,2024,5IZXB5IKAD2qlvTPJYDCFB
29,29,FE!N,Travis Scott Featuring Playboi Carti,23,2024,42VsgItocQwOQC3XWZ8JNA
30,30,Belong Together,Mark Ambor,23,2024,5uQ7de4EWjb3rkcFxyEOpu
31,31,Stargazing,Myles Smith,23,2024,3Vr3zh0r7ALn8VLqCiRR10
32,32,Scared To Start,Michael Marcagi,23,2024,3Pbp7cUCx4d3OAkZSCoNvn
33,33,Think I'm In Love With You,Chris Stapleton,22,2024,3Gn1zuHNLtGuGEOXwq0k7e
34,34,Made For Me,Muni Long,22,2024,0WIv5qV41y6YjjB9V1biuC
35,35,Ain't No Love In Oklahoma,Luke Combs,22,2024,6GG4yyk3UATdBfTHVgI8PB
36,36,Wildflower,Billie Eilish,22,2024,3QaPy1KgI7nu9FJEQUgn6h
37,37,Where It Ends,Bailey Zimmerman,22,2024,0wXThIDxO3YRJCpPgnmbkw
38,38,Birds Of A Feather,Billie Eilish,22,2024,6dOtVTDdiauQNBQEDOtlAB
39,39,Pink Skies,Zach Bryan,21,2024,4ZJ4vzLQekI0WntDbanNC7
40,40,Cruel Summer,Taylor Swift,21,2024,1QaJWSCk3UMKLotnPCIHh1
41,41,End Of Beginning,Djo,21,2024,3qhlB30KknSejmIvZZLjOD
42,42,Get It Sexyy,Sexyy Red,20,2024,2MjXWroB9wlTG2kqv3avfS
43,43,Hot To Go!,Chappell Roan,20,2024,4xdBrk0nFZaP54vvZj0yx7
44,44,Bulletproof,Nate Smith,20,2024,1qrpoAMXodY6895hGKoUpA
45,45,Wine Into Whiskey,Tucker Wetmore,20,2024,4FgvZaxSi4fwCLEc5tFV00
46,46,Si No Quieres No,Luis R Conriquez x Neton Vega,20,2024,1C84d9abZVKWHT2YYpoean
47,47,Whatever She Wants,Bryson Tiller,20,2024,57wp7VFnV8X0pSVnYArGeJ
48,48,Fortnight,Taylor Swift Featuring Post Malone,20,2024,2OzhQlSqBEmt7hmkYxfT6m
49,49,Type Shit,"Future, Metro Boomin, Travis Scott & Playboi Carti",20,2024,28drn6tQo95MRvO0jQEo5C
50,50,Chihiro,Billie Eilish,20,2024,7BRD7x5pt8Lqa1eGYC4dzj
51,51,One Of Wun,Gunna,20,2024,4Na2HfNSr58chvfX69fy36
52,52,Never Lose Me,Flo Milli,20,2024,2x2olWuWXpqjoeE4bO1NFS
53,53,Lunch,Billie Eilish,20,2024,629DixmZGHc7ILtEntuiWE
54,54,Dirt Cheap,Cody Johnson,20,2024,48X5k2vce5rXckgDAnXMsa
55,55,The Boy Is Mine,Ariana Grande,20,2024,3mGwufkovVPrzsJaXWg8PU
56,56,23,Chayce Beckham,20,2024,6F7UOC6fPWOkPqybOWBHSv
57,57,The Door,Teddy Swims,20,2024,3dj4wgM3cPeuLwMNHDuBon
58,58,Act II: Date @ 8,4Batz,20,2024,3QS9ZCtoSCJhmaJ7QNXSAS
59,59,Texas Hold 'Em,Beyonce,20,2024,7wLShogStyDeZvL0a6daN5
60,60,Spin You Around (1/24),Morgan Wallen,20,2024,47Xj8eIAp7hYOOqArmkqZE
61,61,I Like The Way You Kiss Me,Artemas,20,2024,2GxrNKugF82CnoRFbQfzPf
62,62,Get In With Me,BossMan Dlow,20,2024,6bryx7HyB4lVDc0KQXuoJ0
63,63,Redrum,21 Savage,20,2024,52eIcoLUM25zbQupAZYoFh
64,64,Red Wine Supernova,Chappell Roan,20,2024,7FOgcfdz9Nx5V9lCNXdBYv
65,65,Beautiful As You,Thomas Rhett,19,2024,2ObBVRY8a2lnAkNG62u9eC
66,66,360,Charli XCX,19,2024,4w2GLmK2wnioVnb5CPQeex
67,67,High Road,Koe Wetzel & Jessie Murph,19,2024,73KAidtqbDftZjy8AD0H04
68,68,Mmhmm,BigXthaPlug,19,2024,4QTlxavdQGUVitxAvQqqkU
69,69,Carnival,¥$: Kanye West & Ty Dolla $ign,19,2024,3rGuoVKM5CwEo7eHyeXYIB
70,70,Please Please Please,Sabrina Carpenter,19,2024,5N3hjp1WNayUPZrA8kJmJP
71,71,One Of The Girls,"The Weeknd, JENNIE & Lily Rose Depp",19,2024,7CyPwkp0oE8Ro9Dd5CUDjW
72,72,La Diabla,Xavi,19,2024,0R6NfOiLzLj4O5VbYSJAjf
73,73,Nights Like This,Future & Metro Boomin,18,2024,6c0rii1TOf2fvq3hhqqExW
74,74,Pink Pony Club,Chappell Roan,18,2024,1k2pQc5i348DCHwbn5KTdc
75,75,Everybody,Nicki Minaj Featuring Lil Uzi Vert,18,2024,5ZJGv7aGdIr9IGpxzSG18T
76,76,Fast Car,Luke Combs,18,2024,65Wspymr1UkFIT0WRyVJnI
77,77,Illusion,Dua Lipa,18,2024,5q0EXnBYyeCdXD72FzJxH0
78,78,We Ride,Bryan Martin,18,2024,72kGuWpRiuA149Bn5lDkIO
79,79,Whiskey Whiskey,Moneybagg Yo Featuring Morgan Wallen,18,2024,7hRLuo4QnzCsjICXUOhTE6
80,80,Bandit,Don Toliver,18,2024,0PHrcmOtDE89ew4vVEaD7S
81,81,I Am Not Okay,Jelly Roll,18,2024,3SaS0Va6o6jYkWvadT86C6
82,82,FTCU,Nicki Minaj,18,2024,1a73gcEg6h6Re6hHXoVltJ
83,83,Si Antes Te Hubiera Conocido,Karol G,17,2024,6WatFBLVB0x077xWeoVc2k
84,84,TGIF,GloRilla,17,2024,2hKYtHbwYOSjvYQhVdUpdQ
85,85,Chevrolet,Dustin Lynch Featuring Jelly Roll,17,2024,7FKAVg9SA7QYLxdVRLnKjd
86,86,Paint The Town Red,Doja Cat,17,2024,4iJyoBOLtHqaGxP12qzhQI
87,87,BAND4BAND,Central Cee & Lil Baby,17,2024,7iabz12vAuVQYyekFIWJxD
88,88,Kehlani,Jordan Adetunji,17,2024,2hrycoFU1mZw6YPvMcn8yC
89,89,Water,Tyla,17,2024,5aIVCx5tnk0ntmdiinnYvw
90,90,U My Everything,Sexyy Red & Drake,17,2024,1TgStpMGTflN84asKJ8VU3
91,91,You Look Like You Love Me,Ella Langley Featuring Riley Green,17,2024,0y5Ex8oQ8zCH5TQxHUy1Eo
92,92,Where The Wild Things Are,Luke Combs,17,2024,0eBFgRxyVSeuT4iyrbukdn
93,93,Pour Me A Drink,Post Malone Featuring Blake Shelton,17,2024,0mNzElhEofvgMWAJoOA4q9
94,94,Man Made A Bar,Morgan Wallen Featuring Eric Church,17,2024,73zawW1ttszLRgT9By826D
95,95,Euphoria,Kendrick Lamar,16,2024,77DRzu7ERs0TX3roZcre7Q
96,96,Snooze,SZA,16,2024,1Qrg8KqiBpW07V7PNxwwwL
97,97,Burn It Down,Parker McCollum,16,2024,3hsmbFKT5Cujb5GQjqEU39
98,98,Casual,Chappell Roan,16,2024,3WSOUb3U7tqURbBSgZTrZX
99,99,Mamushi,Megan Thee Stallion Featuring Yuki Chiba,16,2024,5b3XJ1pjrHO5JtY2PcTjnI
100,0,Snooze,SZA,52,2023,1Qrg8KqiBpW07V7PNxwwwL
101,1,Kill Bill,SZA,48,2023,2mj1Z5bqu0UfW4o4a7UxpW
102,2,Last Night,Morgan Wallen,47,2023,0Ti2dlF2xLjXblvdU5fCxM
103,3,Flowers,Miley Cyrus,45,2023,2dHHgzDwk4BJdRwy9uXhTO
104,4,Creepin',"Metro Boomin, The Weeknd & 21 Savage",44,2023,0V3wPSX9ygBnCm8psDIegu
105,5,Anti-Hero,Taylor Swift,44,2023,03fs6oV5JAlbytRYf3371S
106,6,Everything I Love,Morgan Wallen,42,2023,0PAcdVzhPO4gq1Iym9ESnK
107,7,Thinkin' Bout Me,Morgan Wallen,42,2023,0WtM2NBVQNNJLh6scP13H8
108,8,Calm Down,Rema & Selena Gomez,41,2023,07on0OB2cdPt79IFsgdRUy
109,9,Fast Car,Luke Combs,39,2023,65Wspymr1UkFIT0WRyVJnI
110,10,Need A Favor,Jelly Roll,37,2023,2kYevr8cbIAH2ha8210Bnz
111,11,Daylight,David Kushner,34,2023,6t6oULCRS6hnI7rm0h5gwl
112,12,Love You Anyway,Luke Combs,33,2023,4uUG5RXrOk84mYEfFvj3cK
113,13,Thought You Should Know,Morgan Wallen,32,2023,57uX2vR9j9DNiANDYfXw1i
114,14,I'm Good (Blue),David Guetta & Bebe Rexha,31,2023,3WMj8moIAXJhHsyLaqIIHI
115,15,Next Thing You Know,Jordan Davis,31,2023,2LBqCSwhJGcFQeTHMVGwy3
116,16,Something In The Orange,Zach Bryan,31,2023,4uJDDG8vXJ6fZHtTfrPfMX
117,17,Cruel Summer,Taylor Swift,31,2023,1QaJWSCk3UMKLotnPCIHh1
118,18,Die For You,The Weeknd,31,2023,5C9jQ8ikTOieveuORd8wlf
119,19,You Proof,Morgan Wallen,30,2023,5YqEzk3C5c3UZ1D5fJUlXA
120,20,Thank God,Kane Brown With Katelyn Brown,30,2023,5Bvhk3wx42kkDEggSQIwqL
121,21,Sure Thing,Miguel,29,2023,6KOEK6SeCEZOQkLj5M1PxH
122,22,What It Is (Block Boy),Doechii Featuring Kodak Black,29,2023,1rXq0uoV4KTgRN64jXzIxo
123,23,Favorite Song,Toosii,27,2023,5IgjP7X4th6nMNDh4akUHb
124,24,Truck Bed,HARDY,27,2023,6UN73IYd0hZxLi8wFPMQij
125,25,One Thing At A Time,Morgan Wallen,27,2023,1vYXt7VSjH9JIM5oRRo7vA
126,26,Under The Influence,Chris Brown,26,2023,4rXLjWdF2ZZpXCVTfWcshS
127,27,Players,Coi Leray,26,2023,1TE8AAk9koG0UJco6ZAUfx
128,28,Dance The Night,Dua Lipa,26,2023,0bILU0UiNDmA5Ff6whhb2R
129,29,Fukumean,Gunna,26,2023,3kVIFDE3G89I2RPVkiRaRj
130,30,Rock And A Hard Place,Bailey Zimmerman,26,2023,6ngGiVX91DRmGDH4G5EgeO
131,31,Religiously,Bailey Zimmerman,25,2023,6DLbBlGIOjjEj0dNN25zhZ
132,32,Cupid,Fifty Fifty,25,2023,4j1Bk0BEIGCF9hR7cSwl9d
133,33,Save Me,Jelly Roll With Lainey Wilson,25,2023,5GorFaKkP2mLREQvhSblIg
134,34,Tennessee Orange,Megan Moroney,25,2023,1kuGVB7EU95pJObxwvfwKS
135,35,Karma,Taylor Swift,24,2023,1GwVi2ceNb8dMFA3DZGnnY
136,36,All My Life,Lil Durk Featuring J. Cole,24,2023,2aBxt229cbLDOvtL7Xbb9x
137,37,Vampire,Olivia Rodrigo,23,2023,22VHOlVYBqytsrAqV8yXBK
138,38,Dancin' In The Country,Tyler Hubbard,23,2023,2UW7JaomAMuX9pZrjVpHAU
139,39,What Was I Made For?,Billie Eilish,23,2023,3dnP0JxCgygwQH9Gm7q7nb
140,40,Dial Drunk,Noah Kahan,23,2023,4Dvkj6JhhA12EX05fT7y2e
141,41,La Bebe,Yng Lvcas x Peso Pluma,23,2023,6AQbmUe0Qwf5PZnt4HmTXv
142,42,Ella Baila Sola,Eslabon Armado X Peso Pluma,23,2023,4Ls53fBNVfaXTROBi6X8Hw
143,43,As It Was,Harry Styles,23,2023,59nOXPmaKlBfGMDeOVGrIK
144,44,"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice,22,2023,3nqQXoyQOWXiESFLlDF1hG
145,45,Just Wanna Rock,Lil Uzi Vert,22,2023,2ZL7WZcjuYKi1KUDtp4kCC
146,46,White Horse,Chris Stapleton,22,2023,2ifpWVChV5iLsHozrX6IHQ
147,47,Unholy,Sam Smith & Kim Petras,22,2023,0vjeOZ3Ft5jvAi9SBFJm1j
148,48,Spin Bout U,Drake & 21 Savage,22,2023,741UUVE2kuITl0c6zuqqbO
149,49,Rich Flex,Drake & 21 Savage,21,2023,5HR7yfhSCeoOHRQN05XnZQ
150,50,Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown",21,2023,7ABLbnD53cQK00mhcaOUVG
151,51,Barbie World,Nicki Minaj & Ice Spice With Aqua,21,2023,7mXuWTczZNxG5EDcjFEuJR
152,52,Que Vuelvas,Carin Leon X Grupo Frontera,20,2023,4aA7Lrm6rLGHx5kRMVb7NU
153,53,LaLa,Myke Towers,20,2023,6wsqVwoiVH2kde4k4KKAFU
154,54,Lady Gaga,"Peso Pluma, Gabito Ballesteros & Junior H",20,2023,5jQI2r1RdgtuT8S3iG8zFC
155,55,Fight The Feeling,Rod Wave,20,2023,5mHdCZtVyb4DcJw8799hZp
156,56,I Know ?,Travis Scott,20,2023,1nrgBXtczBXNSlqIezjwbR
157,57,Lavender Haze,Taylor Swift,20,2023,3p7XQpdt8Dr6oMXSvRZ9bg
158,58,Escapism,RAYE Featuring 070 Shake,20,2023,7aRCf5cLOFN1U7kvtChY1G
159,59,Memory Lane,Old Dominion,20,2023,3tpI98Yae25hSvhh6mitA9
160,60,Eyes Closed,Ed Sheeran,20,2023,42TtHTxWk782ZBiqyOi2d1
161,61,Search & Rescue,Drake,20,2023,2mpoNBkngUEwnaKoBhZ0vl
162,62,ICU,Coco Jones,20,2023,6YWME4xCa5Lm6X1exVMQIC
163,63,Dawns,Zach Bryan Featuring Maggie Rogers,20,2023,0ZxhtATQ0a6EvQNZ0z6NKV
164,64,PRC,Peso Pluma X Natanael Cano,20,2023,5w40ZYhbBMAlHYNDaVJIUu
165,65,Paint The Town Red,Doja Cat,20,2023,4iJyoBOLtHqaGxP12qzhQI
166,66,Cowgirls,Morgan Wallen Featuring ERNEST,20,2023,3AjyOYxBv8bByfBtG5o9dP
167,67,Por Las Noches,Peso Pluma,20,2023,0DWdj2oZMBFSzRsi2Cvfzf
168,68,Princess Diana,Ice Spice & Nicki Minaj,20,2023,5BqI4ugJL5WaPRQ6MlC8Ho
169,69,Chemical,Post Malone,20,2023,2yzshFeBIwH8tWIqHEFLeD
170,70,Peaches & Eggplants,Young Nudy Featuring 21 Savage,20,2023,4reXo2zg1uhEIpUAacDb9C
171,71,See You Again,"Tyler, The Creator Featuring Kali Uchis",20,2023,1RGIjMFMgJxkZHMDXVYzOJ
172,72,TQG,Karol G x Shakira,20,2023,7ro0hRteUMfnOioTFI5TG1
173,73,Try That In A Small Town,Jason Aldean,20,2023,2YVlDlk2zRceefo6XlC6DX
174,74,Un x100to,Grupo Frontera X Bad Bunny,20,2023,3sYBFUXTv0STUoUINx9Qe8
175,75,Handle On You,Parker McCollum,20,2023,3kXH9BQq0TyNliiP1MIE6N
176,76,AMG,"Gabito Ballesteros, Peso Pluma & Natanael Cano",20,2023,0IKeDy5bT9G0bA7ZixRT4A
177,77,Where She Goes,Bad Bunny,20,2023,0J1YRLYhTG1MBosjidD7OI
178,78,Ain't That Some,Morgan Wallen,20,2023,6dgUya35uo964z7GZXM07g
179,79,Watermelon Moonshine,Lainey Wilson,20,2023,4EKH0ajMHXTkq4ztWuztVH
180,80,Wild As Her,Corey Kent,20,2023,7phmBo7bB9I9YifAXqnlqV
181,81,Bebe Dame,Fuerza Regida X Grupo Frontera,20,2023,5RqSsdzTNPX1uzkmlHCFvK
182,82,Good Good,"Usher, Summer Walker & 21 Savage",19,2023,6WzRpISELf3YglGAh7TXcG
183,83,Nonsense,Sabrina Carpenter,19,2023,1JQnfjrA01XFf6MVNMkQu2
184,84,Bury Me In Georgia,Kane Brown,19,2023,67nepsnrcZkowTxMWigSbb
185,85,I Wrote The Book,Morgan Wallen,19,2023,11BKm0j4eYoCPPpCONAVwA
186,86,Qlona,Karol G & Peso Pluma,19,2023,6fDlK6P4s3BVMls9EmfCWI
187,87,Popular,"The Weeknd, Playboi Carti & Madonna",19,2023,7sliFe6W30tPBPh6dvZsIH
188,88,Human,Cody Johnson,19,2023,4SlCb8n5Jw52astU7GWPyV
189,89,Lose Control,Teddy Swims,19,2023,15cGdiAHmezm0P04jVAjMo
190,90,Meltdown,Travis Scott Featuring Drake,19,2023,3IX0yuEVvDbnqUwMBB3ouC
191,91,Bloody Mary,Lady Gaga,18,2023,4pCbJC43j3gSqG6Fen6upD
192,92,Wait In The Truck,HARDY Featuring Lainey Wilson,18,2023,41WQUSINanQHfhfKpFDsms
193,93,Area Codes,Kali,18,2023,6Zu3aw7FfjAF9WA0fA81Oq
194,94,Heart Like A Truck,Lainey Wilson,17,2023,3USxtqRwSYz57Ewm6wWRMp
195,95,Trance,"Metro Boomin, Travis Scott & Young Thug",17,2023,00U1MDChdOTxWwtKoOoBXE
196,96,Bad Idea Right?,Olivia Rodrigo,17,2023,6I3mqTwhRpn34SLVafSH7G
