rank,title,artist,image,weeks at no.1,last week,peak position,weeks on chart,detail
1,A Bar Song (Tipsy),Shaboozey,https://charts-static.billboard.com/img/2024/04/shaboozey-acf-abarsongtipsy-bat-180x180.jpg,11,1,1,24,same
2,I Had Some Help,Post Malone Featuring Morgan Wallen,https://charts-static.billboard.com/img/2024/05/post-malone-uhe-ihadsomehelp-4uo-180x180.jpg,,2,1,20,same
3,Espresso,Sabrina Carpenter,https://charts-static.billboard.com/img/2024/04/sabrina-carpenter-3b3-espresso-c1a-180x180.jpg,,3,3,24,same
4,"Good Luck, Babe!",Chappell Roan,https://charts-static.billboard.com/img/2024/04/chappellroan-bhw-goodluckbabe-yrt-180x180.jpg,,4,4,25,same
5,Die With A Smile,Lady Gaga & Bruno Mars,https://charts-static.billboard.com/img/2024/08/lady-gaga-b8x-diewithasmile-6og-180x180.jpg,,5,3,6,same
6,Birds Of A Feather,Billie Eilish,https://charts-static.billboard.com/img/2017/02/billie-eilish-lrt-180x180.jpg,,6,5,19,same
7,Lose Control,Teddy Swims,https://charts-static.billboard.com/img/2023/07/teddyswims-vot-losecontrol-4kx-180x180.jpg,,7,1,59,same
8,Please Please Please,Sabrina Carpenter,https://charts-static.billboard.com/img/2024/06/sabrina-carpenter-3b3-pleasepleaseplease-i9t-180x180.jpg,,9,1,16,up
9,Taste,Sabrina Carpenter,https://charts-static.billboard.com/img/2014/06/sabrina-carpenter-3b3-180x180.jpg,,8,2,5,down
10,Not Like Us,Kendrick Lamar,https://charts-static.billboard.com/img/2024/05/kendrick-lamar-atc-notlikeus-fyp-180x180.jpg,,10,1,21,same
11,Beautiful Things,Benson Boone,https://charts-static.billboard.com/img/2024/02/bensonboone-a8a-beautifulthings-vvt-180x180.jpg,,11,2,36,same
12,Too Sweet,Hozier,https://charts-static.billboard.com/img/2013/10/hozier-7va-180x180.jpg,,13,1,27,up
13,Million Dollar Baby,Tommy Richman,https://charts-static.billboard.com/img/2024/05/tommyrichman-vhu-milliondollarbaby-kpl-180x180.jpg,,12,2,22,down
14,Ain't No Love In Oklahoma,Luke Combs,https://charts-static.billboard.com/img/2024/05/luke-combs-735-aintnoloveinoklahoma-c6a-180x180.jpg,,16,13,19,up
15,Hot To Go!,Chappell Roan,https://charts-static.billboard.com/img/2024/05/chappellroan-bhw-hottogo-8dx-180x180.jpg,,17,15,17,up
16,Lies Lies Lies,Morgan Wallen,https://charts-static.billboard.com/img/2024/07/morgan-wallen-dqx-lieslieslies-otk-180x180.jpg,,19,7,12,up
