rank,title,artist,image,weeks at no.1,last week,peak position,weeks on chart,detail
23,Pink Skies,Zach Bryan,https://charts-static.billboard.com/img/2024/06/zachbryan-de1-pinkskies-qx3-180x180.jpg,,23,6,20,same
24,The Door,Teddy Swims,https://charts-static.billboard.com/img/2023/11/teddyswims-vot-thedoor-ud5-180x180.jpg,,24,24,19,same
25,Who,Jimin,https://charts-static.billboard.com/img/2024/07/ji-min-7g4-who-w0p-180x180.jpg,,26,12,12,up
26,Kehlani,Jordan Adetunji,https://charts-static.billboard.com/img/2024/06/jordanadetunji-vl3-kehlani-oq4-180x180.jpg,,25,24,16,down
27,Stargazing,Myles Smith,https://charts-static.billboard.com/img/2024/05/mylessmith-000-stargazing-35e-180x180.jpg,,34,27,22,up
28,Wildflower,Billie Eilish,https://charts-static.billboard.com/img/2017/02/billie-eilish-lrt-180x180.jpg,,35,17,21,up
29,Pour Me A Drink,Post Malone Featuring Blake Shelton,https://charts-static.billboard.com/img/2024/07/post-malone-uhe-pourmeadrink-cdz-180x180.jpg,,29,12,16,same
30,You Look Like You Love Me,Ella Langley Featuring Riley Green,https://charts-static.billboard.com/img/2024/06/ellalangley-000-youlooklikeyouloveme-vtu-180x180.jpg,,33,30,16,up
31,"I Love You, I'm Sorry",Gracie Abrams,https://charts-static.billboard.com/img/2020/10/gracie-abrams-wqa-180x180.jpg,,53,31,10,up
32,TGIF,GloRilla,https://charts-static.billboard.com/img/2024/07/glorilla-bn2-tgif-0z9-180x180.jpg,,28,28,16,down
33,Sailor Song,Gigi Perez,https://charts-static.billboard.com/img/2024/08/gigiperez-iqu-sailorsong-x36-180x180.jpg,,45,33,8,up
34,I Can Do It With A Broken Heart,Taylor Swift,https://charts-static.billboard.com/img/2024/04/taylor-swift-9sy-icandoitwithabrokenheart-o50-180x180.jpg,,27,3,25,down
35,Saturn,SZA,https://charts-static.billboard.com/img/2024/03/sza-xyh-saturn-9z7-180x180.jpg,,32,6,33,down
36,It's Ok I'm Ok,Tate McRae,https://charts-static.billboard.com/img/2024/09/tatemcrae-rxu-itsokimok-dr7-180x180.jpg,,30,20,4,down
37,Pink Pony Club,Chappell Roan,https://charts-static.billboard.com/img/2024/06/chappellroan-bhw-pinkponyclub-14t-180x180.jpg,,31,26,17,down
38,Like That,"Future, Metro Boomin & Kendrick Lamar",https://charts-static.billboard.com/img/1988/03/future-zn2-180x180.jpg,,36,1,29,down
39,Si Antes Te Hubiera Conocido,Karol G,https://charts-static.billboard.com/img/2024/06/karol-g-7vn-siantestehubieraconocido-0ut-180x180.jpg,,38,32,16,down
40,High Road,Koe Wetzel & Jessie Murph,https://charts-static.billboard.com/img/2024/06/koe-wetzel-n6g-highroad-769-180x180.jpg,,43,22,18,up
41,Dancing In The Flames,The Weeknd,https://charts-static.billboard.com/img/2024/09/the-weeknd-jlk-dancingintheflames-nx1-180x180.jpg,,37,14,4,down
42,28,Zach Bryan,https://charts-static.billboard.com/img/2019/09/zachbryan-de1-180x180.jpg,,40,14,14,down
43,Wind Up Missin' You,Tucker Wetmore,https://charts-static.billboard.com/img/2024/04/tuckerwetmore-cvz-windupmissinyou-2rn-180x180.jpg,,64,43,28,up
44,Good Graces,Sabrina Carpenter,https://charts-static.billboard.com/img/2014/06/sabrina-carpenter-3b3-180x180.jpg,,41,15,7,down
45,Juno,Sabrina Carpenter,https://charts-static.billboard.com/img/2014/06/sabrina-carpenter-3b3-180x180.jpg,,47,22,7,up
46,Slow It Down,Benson Boone,https://charts-static.billboard.com/img/2024/04/bensonboone-a8a-slowitdown-zc9-180x180.jpg,,46,32,29,same
47,La Patrulla,Peso Pluma & Neton Vega,https://charts-static.billboard.com/img/2022/04/pesopluma-2yo-180x180.jpg,,48,47,12,up
48,Mamushi,Megan Thee Stallion Featuring Yuki Chiba,https://charts-static.billboard.com/img/2019/01/megan-thee-stallion-dkc-180x180.jpg,,54,36,15,up
49,"Love You, Miss You, Mean It",Luke Bryan,https://charts-static.billboard.com/img/2024/04/luke-bryan-zck-loveyoumissyoumeanit-edi-180x180.jpg,,39,39,10,down
50,360,Charli xcx,https://charts-static.billboard.com/img/2024/05/charli-xcx-3qe-360-37u-180x180.jpg,,51,41,18,up
51,Dos Dias,Tito Double P & Peso Pluma,https://charts-static.billboard.com/img/2022/04/pesopluma-2yo-180x180.jpg,,61,51,5,up
52,Or What?,NLE Choppa & 41,https://charts-static.billboard.com/img/2024/09/nlechoppa-afk-orwhatX-3o4-180x180.jpg,,91,52,2,up
53,Help Me,Real Boston Richey,https://charts-static.billboard.com/img/2024/07/realbostonrichey-4gx-helpme-cv6-180x180.jpg,,56,53,12,up
54,Diet Pepsi,Addison Rae,https://charts-static.billboard.com/img/2024/09/addisonrae-xms-dietpepsi-yc0-180x180.jpg,,70,54,5,up
55,Big Dawgs,Hanumankind X Kalmi,https://charts-static.billboard.com/img/2024/08/hanumankind-000-bigdawgs-iuv-180x180.jpg,,50,23,11,down
56,Beautiful As You,Thomas Rhett,https://charts-static.billboard.com/img/2024/05/thomas-rhett-d1j-beautifulasyou-e0m-180x180.jpg,,52,52,18,down
57,Whiskey Whiskey,Moneybagg Yo Featuring Morgan Wallen,https://charts-static.billboard.com/img/2017/03/moneybagg-yo-1uf-180x180.jpg,,57,21,17,same
58,Houdini,Eminem,https://charts-static.billboard.com/img/2024/06/eminem-6zg-houdini-8j5-180x180.jpg,,59,2,19,up
59,Guess,Charli xcx Featuring Billie Eilish,https://charts-static.billboard.com/img/2024/06/charli-xcx-3qe-guess-uv3-180x180.jpg,,60,12,10,up
60,Lonely Road,mgk & Jelly Roll,https://charts-static.billboard.com/img/2024/08/mgk-ohm-lonelyroad-4g6-180x180.jpg,,67,33,11,up
61,Guy For That,Post Malone Featuring Luke Combs,https://charts-static.billboard.com/img/2024/08/post-malone-uhe-guyforthat-dky-180x180.jpg,,44,17,11,down
62,Nights Like This,The Kid LAROI,https://charts-static.billboard.com/img/2020/02/the-kid-laroi-qev-180x180.jpg,,63,47,16,up
63,Am I Okay?,Megan Moroney,https://charts-static.billboard.com/img/2024/07/meganmoroney-bnc-amiokayX-wr9-180x180.jpg,,77,63,9,up
64,Lil Demon,Future,https://charts-static.billboard.com/img/1988/03/future-zn2-180x180.jpg,,49,25,3,down
65,I'm Gonna Love You,Cody Johnson & Carrie Underwood,https://charts-static.billboard.com/img/2024/10/cody-johnson-dkq-imgonnaloveyou-5gl-180x180.jpg,,42,42,2,down
66,Shake Dat Ass (Twerk Song),BossMan Dlow,https://charts-static.billboard.com/img/2024/06/bossmandlow-000-shakedatasstwerksong-ocj-180x180.jpg,,75,66,5,up
67,Red Wine Supernova,Chappell Roan,https://charts-static.billboard.com/img/2024/04/chappellroan-bhw-redwinesupernova-9dp-180x180.jpg,,66,41,19,down
68,I Never Lie,Zach Top,https://charts-static.billboard.com/img/2024/01/zachtop-znv-180x180.jpg,,78,68,3,up
69,Think I'm In Love With You,Chris Stapleton,https://charts-static.billboard.com/img/2023/09/chris-stapleton-gzh-ithinkiminlovewithyou-99q-180x180.jpg,,71,49,23,up
70,Burning Down,Alex Warren,https://charts-static.billboard.com/img/2024/10/alexwarren-1ap-burningdown-j93-180x180.jpg,,69,69,3,down
71,Prove It,21 Savage & Summer Walker,https://charts-static.billboard.com/img/2016/08/21-savage-iy5-180x180.jpg,,81,43,14,up
72,Nel,Fuerza Regida,https://charts-static.billboard.com/img/2018/06/fuerzaregida-o2t-180x180.jpg,,76,70,11,up
73,The Emptiness Machine,Linkin Park,https://charts-static.billboard.com/img/2000/09/linkin-park-wbk-180x180.jpg,,58,21,5,down
74,Too Fast,Future,https://charts-static.billboard.com/img/1988/03/future-zn2-180x180.jpg,,65,23,3,down
75,Residuals,Chris Brown,https://charts-static.billboard.com/img/2005/07/chris-brown-94g-180x180.jpg,,85,75,6,up
76,Casual,Chappell Roan,https://charts-static.billboard.com/img/2024/06/chappellroan-bhw-casual-xmi-180x180.jpg,,74,59,16,down
77,El Lokeron,Tito Double P,Not supported yet,,92,77,2,up
78,Belong Together,Mark Ambor,https://charts-static.billboard.com/img/2024/04/markambor-3re-belongtogether-qu4-180x180.jpg,,86,74,23,up
79,Plutoski,Future,https://charts-static.billboard.com/img/1988/03/future-zn2-180x180.jpg,,62,29,3,down
80,Chihiro,Billie Eilish,https://charts-static.billboard.com/img/2017/02/billie-eilish-lrt-180x180.jpg,,80,12,20,same
81,No One Noticed,The Marias,https://charts-static.billboard.com/img/2018/09/the-marias-mjs-180x180.jpg,,90,81,2,up
82,Teflon Don,Future,https://charts-static.billboard.com/img/1988/03/future-zn2-180x180.jpg,,55,21,3,down
83,Apple,Charli xcx,https://charts-static.billboard.com/img/2012/06/charli-xcx-3qe-180x180.jpg,,84,51,12,up
84,Thick Of It,KSI Featuring Trippie Redd,https://charts-static.billboard.com/img/2024/10/ksi-z67-thickofit-743-180x180.jpg,,None,84,1,new
85,Hollon,GloRilla,https://charts-static.billboard.com/img/2022/05/glorilla-bn2-180x180.jpg,,95,85,3,up
86,Liar,Jelly Roll,https://charts-static.billboard.com/img/2024/08/jelly-roll-z4p-liar-cer-180x180.jpg,,93,86,3,up
87,We Pray,"Coldplay Featuring Little Simz, Burna Boy, Elyanna & TINI",https://charts-static.billboard.com/img/2024/09/coldplay-bm3-wepray-utn-180x180.jpg,,None,87,1,new
88,Fix What You Didn't Break,Nate Smith,https://charts-static.billboard.com/img/2021/12/natesmith-tuf-180x180.jpg,,None,88,1,new
89,Coincidence,Sabrina Carpenter,https://charts-static.billboard.com/img/2014/06/sabrina-carpenter-3b3-180x180.jpg,,83,26,7,down
90,Close To You,Gracie Abrams,https://charts-static.billboard.com/img/2020/10/gracie-abrams-wqa-180x180.jpg,,99,49,10,up
91,Sharpest Tool,Sabrina Carpenter,https://charts-static.billboard.com/img/2014/06/sabrina-carpenter-3b3-180x180.jpg,,87,21,7,down
92,Chevrolet,Dustin Lynch Featuring Jelly Roll,https://charts-static.billboard.com/img/2023/12/dustin-lynch-xmu-chevrolet-z02-180x180.jpg,,94,50,17,up
93,Worst Way,Riley Green,https://charts-static.billboard.com/img/2017/09/riley-green-btc-180x180.jpg,,None,93,2,re-entry
94,Ski,Future,https://charts-static.billboard.com/img/1988/03/future-zn2-180x180.jpg,,73,26,3,down
95,New Drop,Don Toliver,https://charts-static.billboard.com/img/2019/12/dontoliver-eav-180x180.jpg,,None,95,1,new
96,This Is My Dirt,Justin Moore,https://charts-static.billboard.com/img/2023/11/justin-moore-zy0-thisismydirt-dz4-180x180.jpg,,98,96,2,up
97,Fall Fast In Love,Rod Wave,https://charts-static.billboard.com/img/2024/10/rodwave-qt2-fallfastinlove-3we-180x180.jpg,,68,68,2,down
98,Holy Smokes,Bailey Zimmerman,https://charts-static.billboard.com/img/2024/03/baileyzimmerman-qt3-holysmokes-q2c-180x180.jpg,,None,54,6,re-entry
99,All Red,Playboi Carti,https://charts-static.billboard.com/img/2024/09/playboi-carti-ca2-allred-ccl-180x180.jpg,,72,15,4,down
100,Passport Junkie,Rod Wave,https://charts-static.billboard.com/img/2024/09/rodwave-qt2-passportjunkie-vf1-180x180.jpg,,97,61,4,down
