rank,title,artist,image,weeks at no.1,last week,peak position,weeks on chart,detail
1,A Bar Song (Tipsy),Shaboozey,https://charts-static.billboard.com/img/2024/04/shaboozey-acf-abarsongtipsy-bat-180x180.jpg,13,1,1,26,same
2,Birds Of A Feather,Billie Eilish,https://charts-static.billboard.com/img/2017/02/billie-eilish-lrt-180x180.jpg,,2,2,21,same
3,I Had Some Help,Post Malone Featuring Morgan Wallen,https://charts-static.billboard.com/img/2024/05/post-malone-uhe-ihadsomehelp-4uo-180x180.jpg,,4,1,22,up
4,Espresso,Sabrina Carpenter,https://charts-static.billboard.com/img/2024/04/sabrina-carpenter-3b3-espresso-c1a-180x180.jpg,,5,3,26,up
5,Die With A Smile,Lady Gaga & Bruno Mars,https://charts-static.billboard.com/img/2024/08/lady-gaga-b8x-diewithasmile-6og-180x180.jpg,,6,3,8,up
6,"Good Luck, Babe!",Chappell Roan,https://charts-static.billboard.com/img/2024/04/chappellroan-bhw-goodluckbabe-yrt-180x180.jpg,,7,4,27,up
7,Taste,Sabrina Carpenter,https://charts-static.billboard.com/img/2014/06/sabrina-carpenter-3b3-180x180.jpg,,9,2,7,up
8,Lose Control,Teddy Swims,https://charts-static.billboard.com/img/2023/07/teddyswims-vot-losecontrol-4kx-180x180.jpg,,8,1,61,same
9,Please Please Please,Sabrina Carpenter,https://charts-static.billboard.com/img/2024/06/sabrina-carpenter-3b3-pleasepleaseplease-i9t-180x180.jpg,,10,1,18,up
10,Beautiful Things,Benson Boone,https://charts-static.billboard.com/img/2024/02/bensonboone-a8a-beautifulthings-vvt-180x180.jpg,,12,2,38,up
11,Not Like Us,Kendrick Lamar,https://charts-static.billboard.com/img/2024/05/kendrick-lamar-atc-notlikeus-fyp-180x180.jpg,,11,1,23,same
12,Timeless,The Weeknd & Playboi Carti,https://charts-static.billboard.com/img/2024/10/the-weeknd-jlk-timeless-ait-180x180.jpg,,3,3,2,down
13,Too Sweet,Hozier,https://charts-static.billboard.com/img/2013/10/hozier-7va-180x180.jpg,,13,1,29,same
14,Million Dollar Baby,Tommy Richman,https://charts-static.billboard.com/img/2024/05/tommyrichman-vhu-milliondollarbaby-kpl-180x180.jpg,,14,2,24,same
15,Hot To Go!,Chappell Roan,https://charts-static.billboard.com/img/2024/05/chappellroan-bhw-hottogo-8dx-180x180.jpg,,15,15,19,same
16,Lies Lies Lies,Morgan Wallen,https://charts-static.billboard.com/img/2024/07/morgan-wallen-dqx-lieslieslies-otk-180x180.jpg,,16,7,14,same
17,I Am Not Okay,Jelly Roll,https://charts-static.billboard.com/img/2024/06/jelly-roll-z4p-iamnotokay-zvd-180x180.jpg,,18,17,17,up
18,Miles On It,Marshmello & Kane Brown,https://charts-static.billboard.com/img/2024/05/marshmello-fo3-milesonit-gf9-180x180.jpg,,19,15,23,up
19,Ain't No Love In Oklahoma,Luke Combs,https://charts-static.billboard.com/img/2024/05/luke-combs-735-aintnoloveinoklahoma-c6a-180x180.jpg,,17,13,21,down
20,Cowgirls,Morgan Wallen Featuring ERNEST,https://charts-static.billboard.com/img/2023/03/morgan-wallen-dqx-cowgirls-myb-180x180.jpg,,22,12,43,up
21,Bed Chem,Sabrina Carpenter,https://charts-static.billboard.com/img/2014/06/sabrina-carpenter-3b3-180x180.jpg,,21,14,7,same
22,Austin,Dasha,https://charts-static.billboard.com/img/2024/03/dasha-3tu-austin-6a3-180x180.jpg,,20,18,31,down
