rank,title,artist,image,weeks at no.1,last week,peak position,weeks on chart,detail
31,Whatchu Kno About Me,GloRilla & Sexyy Red,https://charts-static.billboard.com/img/2022/05/glorilla-bn2-180x180.jpg,,None,31,1,new
32,Who,Jimin,https://charts-static.billboard.com/img/2024/07/ji-min-7g4-who-w0p-180x180.jpg,,25,12,13,down
33,You Look Like You Love Me,Ella Langley Featuring Riley Green,https://charts-static.billboard.com/img/2024/06/ellalangley-000-youlooklikeyouloveme-vtu-180x180.jpg,,30,30,17,down
34,Kehlani,Jordan Adetunji,https://charts-static.billboard.com/img/2024/06/jordanadetunji-vl3-kehlani-oq4-180x180.jpg,,26,24,17,down
35,Last Lap,Rod Wave,https://charts-static.billboard.com/img/2024/10/rodwave-qt2-lastlap-yrj-180x180.jpg,,None,35,1,new
36,Sympathy Is A Knife,Charli xcx Featuring Ariana Grande,https://charts-static.billboard.com/img/2012/06/charli-xcx-3qe-180x180.jpg,,None,36,1,new
37,I Can Do It With A Broken Heart,Taylor Swift,https://charts-static.billboard.com/img/2024/04/taylor-swift-9sy-icandoitwithabrokenheart-o50-180x180.jpg,,34,3,26,down
38,Saturn,SZA,https://charts-static.billboard.com/img/2024/03/sza-xyh-saturn-9z7-180x180.jpg,,35,6,34,down
39,Pink Pony Club,Chappell Roan,https://charts-static.billboard.com/img/2024/06/chappellroan-bhw-pinkponyclub-14t-180x180.jpg,,37,26,18,down
40,Pour Me A Drink,Post Malone Featuring Blake Shelton,https://charts-static.billboard.com/img/2024/07/post-malone-uhe-pourmeadrink-cdz-180x180.jpg,,29,12,17,down
41,360,Charli xcx,https://charts-static.billboard.com/img/2024/05/charli-xcx-3qe-360-37u-180x180.jpg,,50,41,19,up
42,It's Ok I'm Ok,Tate McRae,https://charts-static.billboard.com/img/2024/09/tatemcrae-rxu-itsokimok-dr7-180x180.jpg,,36,20,5,down
43,High Road,Koe Wetzel & Jessie Murph,https://charts-static.billboard.com/img/2024/06/koe-wetzel-n6g-highroad-769-180x180.jpg,,40,22,19,down
44,Federal Nightmares,Rod Wave,https://charts-static.billboard.com/img/2019/06/rod-wave-qt2-180x180.jpg,,None,44,1,new
45,Like That,"Future, Metro Boomin & Kendrick Lamar",https://charts-static.billboard.com/img/1988/03/future-zn2-180x180.jpg,,38,1,30,down
46,Angel With An Attitude,Rod Wave,https://charts-static.billboard.com/img/2019/06/rod-wave-qt2-180x180.jpg,,None,46,1,new
47,Si Antes Te Hubiera Conocido,Karol G,https://charts-static.billboard.com/img/2024/06/karol-g-7vn-siantestehubieraconocido-0ut-180x180.jpg,,39,32,17,down
48,Hollon,GloRilla,https://charts-static.billboard.com/img/2022/05/glorilla-bn2-180x180.jpg,,85,48,4,up
49,Fall Fast In Love,Rod Wave,https://charts-static.billboard.com/img/2024/10/rodwave-qt2-fallfastinlove-3we-180x180.jpg,,97,49,3,up
50,F**k Fame,Rod Wave Featuring Lil Yachty & Lil Baby,https://charts-static.billboard.com/img/2019/06/rod-wave-qt2-180x180.jpg,,None,50,1,new
51,Passport Junkie,Rod Wave,https://charts-static.billboard.com/img/2024/09/rodwave-qt2-passportjunkie-vf1-180x180.jpg,,100,51,5,up
52,Dancing In The Flames,The Weeknd,https://charts-static.billboard.com/img/2024/09/the-weeknd-jlk-dancingintheflames-nx1-180x180.jpg,,41,14,5,down
53,Help Me,Real Boston Richey,https://charts-static.billboard.com/img/2024/07/realbostonrichey-4gx-helpme-cv6-180x180.jpg,,53,53,13,same
54,Never Mind,Rod Wave,https://charts-static.billboard.com/img/2019/06/rod-wave-qt2-180x180.jpg,,None,54,1,new
55,Guess,Charli xcx Featuring Billie Eilish,https://charts-static.billboard.com/img/2024/06/charli-xcx-3qe-guess-uv3-180x180.jpg,,59,12,11,up
56,Wind Up Missin' You,Tucker Wetmore,https://charts-static.billboard.com/img/2024/04/tuckerwetmore-5kz-windupmissinyou-2rn-180x180.jpg,,43,43,29,down
57,Turtle Race,Rod Wave,https://charts-static.billboard.com/img/2019/06/rod-wave-qt2-180x180.jpg,,None,57,1,new
58,Or What?,NLE Choppa & 41,https://charts-static.billboard.com/img/2024/09/nlechoppa-afk-orwhatX-3o4-180x180.jpg,,52,52,3,down
59,28,Zach Bryan,https://charts-static.billboard.com/img/2019/09/zachbryan-de1-180x180.jpg,,42,14,15,down
60,La Patrulla,Peso Pluma & Neton Vega,https://charts-static.billboard.com/img/2022/04/pesopluma-2yo-180x180.jpg,,47,47,13,down
61,Juno,Sabrina Carpenter,https://charts-static.billboard.com/img/2014/06/sabrina-carpenter-3b3-180x180.jpg,,45,22,8,down
62,Apple,Charli xcx,https://charts-static.billboard.com/img/2012/06/charli-xcx-3qe-180x180.jpg,,83,51,13,up
63,Apply Pressure,Rod Wave,https://charts-static.billboard.com/img/2019/06/rod-wave-qt2-180x180.jpg,,None,63,1,new
64,Thick Of It,KSI Featuring Trippie Redd,https://charts-static.billboard.com/img/2024/10/ksi-z67-thickofit-743-180x180.jpg,,84,64,2,up
65,I'm Gonna Love You,Cody Johnson & Carrie Underwood,https://charts-static.billboard.com/img/2024/10/cody-johnson-dkq-imgonnaloveyou-5gl-180x180.jpg,,65,42,3,same
66,Mamushi,Megan Thee Stallion Featuring Yuki Chiba,https://charts-static.billboard.com/img/2019/01/megan-thee-stallion-dkc-180x180.jpg,,48,36,16,down
67,Beautiful As You,Thomas Rhett,https://charts-static.billboard.com/img/2024/05/thomas-rhett-d1j-beautifulasyou-e0m-180x180.jpg,,56,52,19,down
68,Dos Dias,Tito Double P & Peso Pluma,https://charts-static.billboard.com/img/2022/04/pesopluma-2yo-180x180.jpg,,51,51,6,down
69,Lonely Road,mgk & Jelly Roll,https://charts-static.billboard.com/img/2024/08/mgk-ohm-lonelyroad-4g6-180x180.jpg,,60,33,12,down
70,Good Graces,Sabrina Carpenter,https://charts-static.billboard.com/img/2014/06/sabrina-carpenter-3b3-180x180.jpg,,44,15,8,down
71,Shake Dat Ass (Twerk Song),BossMan Dlow,https://charts-static.billboard.com/img/2024/06/bossmandlow-000-shakedatasstwerksong-ocj-180x180.jpg,,66,66,6,down
72,Diet Pepsi,Addison Rae,https://charts-static.billboard.com/img/2024/09/addisonrae-xms-dietpepsi-yc0-180x180.jpg,,54,54,6,down
73,Guy For That,Post Malone Featuring Luke Combs,https://charts-static.billboard.com/img/2024/08/post-malone-uhe-guyforthat-dky-180x180.jpg,,61,17,12,down
74,Liar,Jelly Roll,https://charts-static.billboard.com/img/2024/08/jelly-roll-z4p-liar-cer-180x180.jpg,,86,74,4,up
75,The Best,Rod Wave,https://charts-static.billboard.com/img/2019/06/rod-wave-qt2-180x180.jpg,,None,75,1,new
76,Nights Like This,The Kid LAROI,https://charts-static.billboard.com/img/2020/02/the-kid-laroi-qev-180x180.jpg,,62,47,17,down
77,Whiskey Whiskey,Moneybagg Yo Featuring Morgan Wallen,https://charts-static.billboard.com/img/2017/03/moneybagg-yo-1uf-180x180.jpg,,57,21,18,down
78,Big Dawgs,Hanumankind X Kalmi,https://charts-static.billboard.com/img/2024/08/hanumankind-000-bigdawgs-iuv-180x180.jpg,,55,23,12,down
79,Houdini,Eminem,https://charts-static.billboard.com/img/2024/06/eminem-6zg-houdini-8j5-180x180.jpg,,58,2,20,down
80,Think I'm In Love With You,Chris Stapleton,https://charts-static.billboard.com/img/2023/09/chris-stapleton-gzh-ithinkiminlovewithyou-99q-180x180.jpg,,69,49,24,down
81,I Never Lie,Zach Top,https://charts-static.billboard.com/img/2024/01/zachtop-znv-180x180.jpg,,68,68,4,down
82,Even Love,Rod Wave,https://charts-static.billboard.com/img/2019/06/rod-wave-qt2-180x180.jpg,,None,82,1,new
83,Prove It,21 Savage & Summer Walker,https://charts-static.billboard.com/img/2016/08/21-savage-iy5-180x180.jpg,,71,43,15,down
84,Red Wine Supernova,Chappell Roan,https://charts-static.billboard.com/img/2024/04/chappellroan-bhw-redwinesupernova-9dp-180x180.jpg,,67,41,20,down
85,No One Noticed,The Marias,https://charts-static.billboard.com/img/2018/09/the-marias-mjs-180x180.jpg,,81,81,3,down
86,Am I Okay?,Megan Moroney,https://charts-static.billboard.com/img/2024/07/meganmoroney-bnc-amiokayX-wr9-180x180.jpg,,63,63,10,down
87,Lost In Love,Rod Wave & Be Charlotte,https://charts-static.billboard.com/img/2019/06/rod-wave-qt2-180x180.jpg,,None,87,1,new
88,Residuals,Chris Brown,https://charts-static.billboard.com/img/2005/07/chris-brown-94g-180x180.jpg,,75,75,7,down
89,Change Me,BigXthaPlug,https://charts-static.billboard.com/img/2024/10/bigxthaplug-g5k-changeme-m73-180x180.jpg,,None,89,1,new
90,How I Look,GloRilla & Megan Thee Stallion,https://charts-static.billboard.com/img/2022/05/glorilla-bn2-180x180.jpg,,None,90,1,new
91,El Lokeron,Tito Double P,https://charts-static.billboard.com/img/2024/09/titodoublep-000-ellokeron-zz5-180x180.jpg,,77,77,3,down
92,I Luv Her,GloRilla & T-Pain,https://charts-static.billboard.com/img/2022/05/glorilla-bn2-180x180.jpg,,None,92,1,new
93,Waited 2 Late,Rod Wave,https://charts-static.billboard.com/img/2019/06/rod-wave-qt2-180x180.jpg,,None,93,1,new
94,Mike,Rod Wave,https://charts-static.billboard.com/img/2019/06/rod-wave-qt2-180x180.jpg,,None,94,1,new
95,D.A.R.E.,Rod Wave,https://charts-static.billboard.com/img/2019/06/rod-wave-qt2-180x180.jpg,,None,95,1,new
96,Scared Love,Rod Wave,https://charts-static.billboard.com/img/2019/06/rod-wave-qt2-180x180.jpg,,None,96,1,new
97,Lil Demon,Future,https://charts-static.billboard.com/img/1988/03/future-zn2-180x180.jpg,,64,25,4,down
98,Mantra,Jennie,https://charts-static.billboard.com/img/2024/10/jennie-000-mantra-45m-180x180.jpg,,None,98,1,new
99,Leave Me Alone,BigXthaPlug,https://charts-static.billboard.com/img/2023/02/bigxthaplug-g5k-180x180.jpg,,None,99,1,new
100,Karma,Rod Wave,https://charts-static.billboard.com/img/2019/06/rod-wave-qt2-180x180.jpg,,None,100,1,new
