rank,title,artist,image,weeks at no.1,last week,peak position,weeks on chart,detail
1,Love Somebody,Morgan Wallen,https://charts-static.billboard.com/img/2024/11/morgan-wallen-dqx-lovesomebody-a74-180x180.jpg,1,None,1,1,new
2,A Bar Song (Tipsy),Shaboozey,https://charts-static.billboard.com/img/2024/04/shaboozey-acf-abarsongtipsy-bat-180x180.jpg,,1,1,28,down
3,Birds Of A Feather,Billie Eilish,https://charts-static.billboard.com/img/2017/02/billie-eilish-lrt-180x180.jpg,,2,2,23,down
4,Die With A Smile,Lady Gaga & Bruno Mars,https://charts-static.billboard.com/img/2024/08/lady-gaga-b8x-diewithasmile-6og-180x180.jpg,,4,3,10,same
5,Espresso,Sabrina Carpenter,https://charts-static.billboard.com/img/2024/04/sabrina-carpenter-3b3-espresso-c1a-180x180.jpg,,3,3,28,down
6,I Had Some Help,Post Malone Featuring Morgan Wallen,https://charts-static.billboard.com/img/2024/05/post-malone-uhe-ihadsomehelp-4uo-180x180.jpg,,5,1,24,down
7,Lose Control,Teddy Swims,https://charts-static.billboard.com/img/2023/07/teddyswims-vot-losecontrol-4kx-180x180.jpg,,6,1,63,down
8,APT.,ROSE & Bruno Mars,https://charts-static.billboard.com/img/2024/10/rose-000-apt-kne-180x180.jpg,,None,8,1,new
9,Taste,Sabrina Carpenter,https://charts-static.billboard.com/img/2014/06/sabrina-carpenter-3b3-180x180.jpg,,8,2,9,down
10,Beautiful Things,Benson Boone,https://charts-static.billboard.com/img/2024/02/bensonboone-a8a-beautifulthings-vvt-180x180.jpg,,9,2,40,down
11,"Good Luck, Babe!",Chappell Roan,https://charts-static.billboard.com/img/2024/04/chappellroan-bhw-goodluckbabe-yrt-180x180.jpg,,7,4,29,down
12,Please Please Please,Sabrina Carpenter,https://charts-static.billboard.com/img/2024/06/sabrina-carpenter-3b3-pleasepleaseplease-i9t-180x180.jpg,,10,1,20,down
13,Too Sweet,Hozier,https://charts-static.billboard.com/img/2013/10/hozier-7va-180x180.jpg,,12,1,31,down
14,Not Like Us,Kendrick Lamar,https://charts-static.billboard.com/img/2024/05/kendrick-lamar-atc-notlikeus-fyp-180x180.jpg,,11,1,25,down
15,Timeless,The Weeknd & Playboi Carti,https://charts-static.billboard.com/img/2024/10/the-weeknd-jlk-timeless-ait-180x180.jpg,,13,3,4,down
16,I Am Not Okay,Jelly Roll,https://charts-static.billboard.com/img/2024/06/jelly-roll-7m0-iamnotokay-zvd-180x180.jpg,,14,14,19,down
17,Lies Lies Lies,Morgan Wallen,https://charts-static.billboard.com/img/2024/07/morgan-wallen-dqx-lieslieslies-otk-180x180.jpg,,17,7,16,same
18,Hot To Go!,Chappell Roan,https://charts-static.billboard.com/img/2024/05/chappellroan-bhw-hottogo-8dx-180x180.jpg,,18,15,21,same
19,"I Love You, I'm Sorry",Gracie Abrams,https://charts-static.billboard.com/img/2020/10/gracie-abrams-wqa-180x180.jpg,,19,19,12,same
20,Miles On It,Marshmello & Kane Brown,https://charts-static.billboard.com/img/2024/05/marshmello-fo3-milesonit-gf9-180x180.jpg,,20,15,25,same
21,Million Dollar Baby,Tommy Richman,https://charts-static.billboard.com/img/2024/05/tommyrichman-vhu-milliondollarbaby-kpl-180x180.jpg,,15,2,26,down
22,Cowgirls,Morgan Wallen Featuring ERNEST,https://charts-static.billboard.com/img/2023/03/morgan-wallen-dqx-cowgirls-myb-180x180.jpg,,21,12,45,down
23,Tu Boda,Oscar Maydon & Fuerza Regida,https://charts-static.billboard.com/img/2024/10/oscarmaydon-uvh-tuboda-ktj-180x180.jpg,,None,23,1,new
24,TGIF,GloRilla,https://charts-static.billboard.com/img/2024/07/glorilla-bn2-tgif-0z9-180x180.jpg,,22,22,18,down
25,Stargazing,Myles Smith,https://charts-static.billboard.com/img/2024/05/mylessmith-w4f-stargazing-35e-180x180.jpg,,30,25,24,up
26,Pink Skies,Zach Bryan,https://charts-static.billboard.com/img/2024/06/zachbryan-de1-pinkskies-qx3-180x180.jpg,,24,6,22,down
27,Wildflower,Billie Eilish,https://charts-static.billboard.com/img/2017/02/billie-eilish-lrt-180x180.jpg,,27,17,23,same
28,Bed Chem,Sabrina Carpenter,https://charts-static.billboard.com/img/2014/06/sabrina-carpenter-3b3-180x180.jpg,,26,14,9,down
29,Whatchu Kno About Me,GloRilla & Sexyy Red,https://charts-static.billboard.com/img/2022/05/glorilla-bn2-180x180.jpg,,31,29,2,up
30,Ain't No Love In Oklahoma,Luke Combs,https://charts-static.billboard.com/img/2024/05/luke-combs-735-aintnoloveinoklahoma-c6a-180x180.jpg,,23,13,23,down
31,Austin,Dasha,https://charts-static.billboard.com/img/2024/03/dasha-3tu-austin-6a3-180x180.jpg,,25,18,33,down
32,Sailor Song,Gigi Perez,https://charts-static.billboard.com/img/2024/08/gigiperez-iqu-sailorsong-x36-180x180.jpg,,28,28,10,down
33,The Door,Teddy Swims,https://charts-static.billboard.com/img/2023/11/teddyswims-vot-thedoor-ud5-180x180.jpg,,29,24,21,down
34,25,Rod Wave,https://charts-static.billboard.com/img/2019/06/rod-wave-qt2-180x180.jpg,,16,16,2,down
35,You Look Like You Love Me,Ella Langley Featuring Riley Green,https://charts-static.billboard.com/img/2024/06/ellalangley-000-youlooklikeyouloveme-vtu-180x180.jpg,,33,30,18,down
36,Who,Jimin,https://charts-static.billboard.com/img/2024/07/ji-min-7g4-who-w0p-180x180.jpg,,32,12,14,down
37,I Can Do It With A Broken Heart,Taylor Swift,https://charts-static.billboard.com/img/2024/04/taylor-swift-9sy-icandoitwithabrokenheart-o50-180x180.jpg,,37,3,27,same
38,Kehlani,Jordan Adetunji,https://charts-static.billboard.com/img/2024/06/jordanadetunji-vl3-kehlani-oq4-180x180.jpg,,34,24,18,down
39,Saturn,SZA,https://charts-static.billboard.com/img/2024/03/sza-xyh-saturn-9z7-180x180.jpg,,38,6,35,down
40,High Road,Koe Wetzel & Jessie Murph,https://charts-static.billboard.com/img/2024/06/koe-wetzel-n6g-highroad-769-180x180.jpg,,43,22,20,up
41,Pour Me A Drink,Post Malone Featuring Blake Shelton,https://charts-static.billboard.com/img/2024/07/post-malone-uhe-pourmeadrink-cdz-180x180.jpg,,40,12,18,down
42,Pink Pony Club,Chappell Roan,https://charts-static.billboard.com/img/2024/06/chappellroan-bhw-pinkponyclub-14t-180x180.jpg,,39,26,19,down
43,Noid,"Tyler, The Creator",https://charts-static.billboard.com/img/2024/11/tyler-the-creator-c2e-noid-e1d-180x180.jpg,,None,43,1,new
44,That's So True,Gracie Abrams,https://charts-static.billboard.com/img/2020/10/gracie-abrams-wqa-180x180.jpg,,None,44,1,new
45,Like That,"Future, Metro Boomin & Kendrick Lamar",https://charts-static.billboard.com/img/1988/03/future-zn2-180x180.jpg,,45,1,31,same
46,It's Ok I'm Ok,Tate McRae,https://charts-static.billboard.com/img/2024/09/tatemcrae-rxu-itsokimok-dr7-180x180.jpg,,42,20,6,down
47,Si Antes Te Hubiera Conocido,Karol G,https://charts-static.billboard.com/img/2024/06/karol-g-7vn-siantestehubieraconocido-0ut-180x180.jpg,,47,32,18,same
48,Wind Up Missin' You,Tucker Wetmore,https://charts-static.billboard.com/img/2024/04/tuckerwetmore-5kz-windupmissinyou-2rn-180x180.jpg,,56,43,30,up
49,Dancing In The Flames,The Weeknd,https://charts-static.billboard.com/img/2024/09/the-weeknd-jlk-dancingintheflames-nx1-180x180.jpg,,52,14,6,up
50,Help Me,Real Boston Richey,https://charts-static.billboard.com/img/2024/07/realbostonrichey-4gx-helpme-cv6-180x180.jpg,,53,50,14,up
51,La Patrulla,Peso Pluma & Neton Vega,https://charts-static.billboard.com/img/2022/04/pesopluma-2yo-180x180.jpg,,60,47,14,up
52,Dos Dias,Tito Double P & Peso Pluma,https://charts-static.billboard.com/img/2022/04/pesopluma-2yo-180x180.jpg,,68,51,7,up
53,Juno,Sabrina Carpenter,https://charts-static.billboard.com/img/2014/06/sabrina-carpenter-3b3-180x180.jpg,,61,22,9,up
54,Shake Dat Ass (Twerk Song),BossMan Dlow,https://charts-static.billboard.com/img/2024/06/bossmandlow-000-shakedatasstwerksong-ocj-180x180.jpg,,71,54,7,up
55,28,Zach Bryan,https://charts-static.billboard.com/img/2019/09/zachbryan-de1-180x180.jpg,,59,14,16,up
56,Hollon,GloRilla,https://charts-static.billboard.com/img/2022/05/glorilla-bn2-180x180.jpg,,48,48,5,down
57,Diet Pepsi,Addison Rae,https://charts-static.billboard.com/img/2024/09/addisonrae-xms-dietpepsi-yc0-180x180.jpg,,72,54,7,up
58,Him All Along,Gunna,https://charts-static.billboard.com/img/2024/11/gunna-czg-himallalong-hjd-180x180.jpg,,None,58,1,new
59,Lonely Road,mgk & Jelly Roll,https://charts-static.billboard.com/img/2024/08/mgk-ohm-lonelyroad-4g6-180x180.jpg,,69,33,13,up
60,Guy For That,Post Malone Featuring Luke Combs,https://charts-static.billboard.com/img/2024/08/post-malone-uhe-guyforthat-dky-180x180.jpg,,73,17,13,up
61,Or What?,NLE Choppa & 41,https://charts-static.billboard.com/img/2024/09/nlechoppa-afk-orwhatX-3o4-180x180.jpg,,58,52,4,down
62,Mamushi,Megan Thee Stallion Featuring Yuki Chiba,https://charts-static.billboard.com/img/2019/01/megan-thee-stallion-dkc-180x180.jpg,,66,36,17,up
63,Apple,Charli xcx,https://charts-static.billboard.com/img/2012/06/charli-xcx-3qe-180x180.jpg,,62,51,14,down
64,2AM,BigXthaPlug,https://charts-static.billboard.com/img/2023/02/bigxthaplug-b0q-180x180.jpg,,None,64,1,new
65,Nights Like This,The Kid LAROI,https://charts-static.billboard.com/img/2020/02/the-kid-laroi-qev-180x180.jpg,,76,47,18,up
66,Good Graces,Sabrina Carpenter,https://charts-static.billboard.com/img/2014/06/sabrina-carpenter-3b3-180x180.jpg,,70,15,9,up
67,Beautiful As You,Thomas Rhett,https://charts-static.billboard.com/img/2024/05/thomas-rhett-d1j-beautifulasyou-e0m-180x180.jpg,,67,52,20,same
68,I Never Lie,Zach Top,https://charts-static.billboard.com/img/2024/01/zachtop-znv-180x180.jpg,,81,68,5,up
69,Think I'm In Love With You,Chris Stapleton,https://charts-static.billboard.com/img/2023/09/chris-stapleton-gzh-ithinkiminlovewithyou-99q-180x180.jpg,,80,49,25,up
70,I Luv Her,GloRilla & T-Pain,https://charts-static.billboard.com/img/2022/05/glorilla-bn2-180x180.jpg,,92,70,2,up
71,Whiskey Whiskey,Moneybagg Yo Featuring Morgan Wallen,https://charts-static.billboard.com/img/2017/03/moneybagg-yo-1uf-180x180.jpg,,77,21,19,up
72,Nel,Fuerza Regida,https://charts-static.billboard.com/img/2018/06/fuerzaregida-o2t-180x180.jpg,,None,70,12,re-entry
73,El Lokeron,Tito Double P,https://charts-static.billboard.com/img/2024/09/titodoublep-000-ellokeron-zz5-180x180.jpg,,91,73,4,up
74,I'm Gonna Love You,Cody Johnson & Carrie Underwood,https://charts-static.billboard.com/img/2024/10/cody-johnson-dkq-imgonnaloveyou-5gl-180x180.jpg,,65,42,4,down
75,No One Noticed,The Marias,https://charts-static.billboard.com/img/2018/09/the-marias-mjs-180x180.jpg,,85,75,4,up
76,Prove It,21 Savage & Summer Walker,https://charts-static.billboard.com/img/2016/08/21-savage-iy5-180x180.jpg,,83,43,16,up
77,360,Charli xcx,https://charts-static.billboard.com/img/2024/05/charli-xcx-3qe-360-37u-180x180.jpg,,41,41,20,down
78,Residuals,Chris Brown,https://charts-static.billboard.com/img/2005/07/chris-brown-94g-180x180.jpg,,88,75,8,up
79,Change Me,BigXthaPlug,https://charts-static.billboard.com/img/2024/10/bigxthaplug-b0q-changeme-m73-180x180.jpg,,89,79,2,up
80,Guess,Charli xcx Featuring Billie Eilish,https://charts-static.billboard.com/img/2024/06/charli-xcx-3qe-guess-uv3-180x180.jpg,,55,12,12,down
81,Thick Of It,KSI Featuring Trippie Redd,https://charts-static.billboard.com/img/2024/10/ksi-z67-thickofit-743-180x180.jpg,,64,64,3,down
82,Passport Junkie,Rod Wave,https://charts-static.billboard.com/img/2024/09/rodwave-qt2-passportjunkie-vf1-180x180.jpg,,51,51,6,down
83,Big Dawgs,Hanumankind X Kalmi,https://charts-static.billboard.com/img/2024/08/hanumankind-000-bigdawgs-iuv-180x180.jpg,,78,23,13,down
84,Si No Es Contigo,Cris Mj,https://charts-static.billboard.com/img/2024/06/crismj-000-sinoescontigo-mp4-180x180.jpg,,None,72,4,re-entry
85,Sympathy Is A Knife,Charli xcx Featuring Ariana Grande,https://charts-static.billboard.com/img/2012/06/charli-xcx-3qe-180x180.jpg,,36,36,2,down
86,Fall Fast In Love,Rod Wave,https://charts-static.billboard.com/img/2024/10/rodwave-qt2-fallfastinlove-3we-180x180.jpg,,49,49,4,down
87,Liar,Jelly Roll,https://charts-static.billboard.com/img/2024/08/jelly-roll-7m0-liar-cer-180x180.jpg,,74,74,5,down
88,Last Lap,Rod Wave,https://charts-static.billboard.com/img/2024/10/rodwave-qt2-lastlap-yrj-180x180.jpg,,35,35,2,down
89,Close To You,Gracie Abrams,https://charts-static.billboard.com/img/2020/10/gracie-abrams-wqa-180x180.jpg,,None,49,11,re-entry
90,Am I Okay?,Megan Moroney,https://charts-static.billboard.com/img/2024/07/meganmoroney-bnc-amiokayX-wr9-180x180.jpg,,86,63,11,down
91,Worst Way,Riley Green,https://charts-static.billboard.com/img/2017/09/riley-green-btc-180x180.jpg,,None,91,3,re-entry
92,New Drop,Don Toliver,https://charts-static.billboard.com/img/2019/12/dontoliver-eav-180x180.jpg,,None,92,2,re-entry
93,Federal Nightmares,Rod Wave,https://charts-static.billboard.com/img/2019/06/rod-wave-qt2-180x180.jpg,,44,44,2,down
94,Lil Demon,Future,https://charts-static.billboard.com/img/1988/03/future-zn2-180x180.jpg,,97,25,5,up
95,Back On My BS,BigXthaPlug,https://charts-static.billboard.com/img/2023/02/bigxthaplug-b0q-180x180.jpg,,None,95,1,new
96,Leave Me Alone,BigXthaPlug,https://charts-static.billboard.com/img/2023/02/bigxthaplug-b0q-180x180.jpg,,99,96,2,up
97,Belong Together,Mark Ambor,https://charts-static.billboard.com/img/2024/04/markambor-3re-belongtogether-qu4-180x180.jpg,,None,74,24,re-entry
98,The Emptiness Machine,Linkin Park,https://charts-static.billboard.com/img/2000/09/linkin-park-wbk-180x180.jpg,,None,21,6,re-entry
99,Mantra,Jennie,https://charts-static.billboard.com/img/2024/10/jennie-000-mantra-45m-180x180.jpg,,98,98,2,down
100,Angel With An Attitude,Rod Wave,https://charts-static.billboard.com/img/2019/06/rod-wave-qt2-180x180.jpg,,46,46,2,down
